We believe she can actually cut through the obstacles and move forward; that her Midwestern grit is a reason for hope.  We endorse Amy Klobuchar.  @qctimes knows what we in Minnesota already know: @amyklobuchar is the leader our nation needs in 2020! https://t.co/SpR3nwNQE7,2020-01-19 19:46:02,Twitter for iPhone,26,118
Join us this morning to make phone calls inviting your neighbors to support Angie! Stop by our office in Eagan at 11 AM or 2 PM — we'll be glad to see you there.   Click below to learn more and sign up! https://t.co/Kodjfr7iRe,2020-01-19 15:34:59,Twitter for iPhone,2,9
Hey D.C. — this is what a REAL winter storm looks like! https://t.co/6cAXitc30V,2020-01-18 20:06:45,Twitter for iPhone,28,395
The burden of this trade war falls on those who least deserve it: hardworking American families. That’s just one of the many reasons it needs to come to an end — now. https://t.co/4n0HUuxg4L,2020-01-18 18:12:54,Twitter for iPhone,13,35
Got to vote for @amyklobuchar this morning and I’m glad to be spending my evening with her celebrating the start of early voting with such an energized crowd of supporters! https://t.co/r9wCnT8YXQ,2020-01-18 2:45:02,Twitter for iPhone,39,219
In case you needed another reminder it’s a Presidential election year … and early voting is open! I’m proud to have just cast my vote in the Presidential primary for our current Senator future President and incredible candidate @amyklobuchar! https://t.co/yid20nvHcQ,2020-01-17 18:03:33,Twitter for iPhone,45,249
Honored to spend tonight supporting our future leaders with @serve_america and @sethmoulton! https://t.co/c6UUc9Babu,2020-01-16 0:55:35,Twitter Web App,2,27
Just tuning in to see @amyklobuchar stand out again in tonight's #DemDebate!,2020-01-15 2:30:26,Twitter for iPhone,19,143
Rising inequality and low pay hurts working families. The 2017 Tax Scam only made the problem worse. We must keep fighting so that every family can achieve the American Dream — not just those at the top. https://t.co/JNhVRRLI2N,2020-01-13 19:55:17,Twitter for iPhone,14,43
Craig also spends her time here in the district meeting with our veterans small business owners farmers and local leaders ... In short she is doing the work she was elected to do.  Thanks for your letter MaryKay. Doing this work is my pleasure! https://t.co/QvgpiDngHg,2020-01-12 21:19:51,Twitter for iPhone,12,38
Can't wait for kickoff! #SKOL https://t.co/Hk7Jt184IM,2020-01-11 20:57:46,Twitter for iPhone,2,51
Congratulations to Minnesota's newest labor leaders: SE Area Labor Council President @pommellawegmann and MN AFL-CIO ED @bethanywinkels. Minnesota is lucky to have strong women leading the way! Proud to call you both friends. https://t.co/q5mbMHgqaX,2020-01-11 16:30:49,Twitter Web App,9,19
Grateful to have the support of @bradybuzz. We must come together to find commonsense measures to address gun violence and keep our kids safe.,2020-01-11 1:11:46,Twitter Web App,8,28
Start 2020 off right and join Team Angie for our first Day of Action of the year!    Join us on Sunday January 19 at 11am or 2pm to make phone calls or to knock doors. Angie will be kicking off the 2pm shift!   Click the link below to confirm your time &gt;&gt; https://t.co/4VbBjpmxYk,2020-01-10 17:45:54,Twitter for iPhone,5,17
In recent years we've all felt the effects of rising temperatures and worsening flood seasons. We need bipartisan solutions to climate change not wholesale destruction of existing policy. https://t.co/ge1fWdEHsR,2020-01-09 17:35:36,Twitter for iPhone,20,42
Can’t wait to work together to get @BradTabke re-elected! An awesome representative for our community. https://t.co/6SjmwPQFUn,2020-01-09 3:32:36,Twitter for iPhone,7,56
It should have been a banner year for our pork producers ... until the trade war stopped sales cold. The Administration needs to stop this hogwash and let our farmers get back to business. https://t.co/m1W1HoMzCc,2020-01-09 0:13:20,Twitter for iPhone,14,42
#SKOL !,2020-01-05 21:25:53,Twitter Web App,5,39
We're ready at our house! #skolvikings https://t.co/8IvQAjarjB,2020-01-05 18:16:07,Twitter Web App,3,151
It's time to hold Big Pharma accountable.,2020-01-05 15:14:13,Twitter Web App,2,17
"Big Pharma is set to continue to boost it profits in 2020 on the backs of Minnesota families. A ""below 10%"" price increase is still unacceptable for brand name drugmakers. This is why the House passed HR3 to force drugmakers to negotiate its drug pricing. https://t.co/DFKC2eqAwV",2020-01-05 15:14:13,Twitter Web App,17,38
I will never agree to go back to a time when insurance companies could discriminate against our families due to a pre-existing condition.,2020-01-04 15:34:41,Twitter Web App,8,40
Healthcare needs fixing for sure but we can't allow Congressional Republicans to dismantle it without a plan. Playing politics with healthcare is hurting Minnesota families.   https://t.co/gHpDDwfWd3,2020-01-04 15:34:40,Twitter Web App,13,57
As my first year in Congress comes to a close I want to give thanks to my first supporter and the woman who inspired me to always keep fighting. Thank you Mom! https://t.co/AjHZn6IDcn,2020-01-02 16:41:11,Twitter Web App,8,167
Congratulations to the Golden Gophers on their big win today and an incredible season! #rowtheboat #skiumah  https://t.co/SA2mSC41Oz,2020-01-02 1:03:57,Twitter Web App,10,80
