This week I voted to overturn Betsy Devos’s harmful changes to the Borrower Defense Program. Predatory programs have misled Minnesota students with false promises before closing for good – these students deserve debt relief.,2020-01-17 22:23:31,Twitter for iPhone,17,155
In Washington I'm doing my part to protect and secure our elections and today absentee voting begins in Minnesota for the 2020 Presidential Primary! You can register on the spot and vote in person at your city office or by mail until 3/2.   https://t.co/STQkpk5NU1,2020-01-17 15:56:53,Twitter Web App,6,28
We differ in our politics but agree on Congress’s power to declare war. Honored to partner with ⁦@justinamash⁩ ⁦@RepGolden⁩ @RepChipRoy⁩ ⁦@RepScottPerry⁩ ⁦@RepSpanberger⁩ and ⁦@RepKenBuck⁩ on this important work. #newAUMF  https://t.co/woDZnrYmbh,2020-01-16 22:29:13,Twitter for iPhone,9,35
I'm joining @BettyMcCollum04 a bipartisan group of my colleagues and so many Minnesotans in supporting this legislation to protect our nation's most-visited wilderness. The #BWCA is an American treasure and the stories we share there should extend for generations to come. https://t.co/kBaE3MvLrG,2020-01-15 20:27:32,Twitter Web App,98,442
I'll be there. Tune in #MN03! https://t.co/qvmQvsJfFs,2020-01-15 19:52:06,Twitter Web App,2,25
@ProcessParty With all due respect to my extraordinary interns I must take credit for this discovery ;),2020-01-14 21:32:40,Twitter for iPhone,0,19
To all around the world peacefully protesting injustice and oppression. To all who seek freedom and self-determination. To all who dream of opportunity and security. We in America are your brothers and sisters. We believe in you. We support you. We are you. #persist,2020-01-12 15:53:17,Twitter for iPhone,14,106
@smithjb @deanbphillips I can vouch for that. 🎾,2020-01-10 23:54:29,Twitter for iPhone,0,7
After no deliberation whatsoever the Minnesota congressional delegation is pleased to announce bipartisan support for our Vikings tomorrow. #Skol #Vikings https://t.co/KQvOSLP0Td,2020-01-10 17:03:07,Twitter for iPhone,37,395
I recently traveled to the Persian Gulf to meet with our military leaders &amp; service members &amp; their families. They’re in my prayers and deserve to be supported by a leader with a steady hand a well-conceived strategy and a Congress willing to exercise its Constitutional duty.,2020-01-10 00:38:36,Twitter for iPhone,2,31
Thus it’s my hope and intention to inspire a new generation of leadership in Congress that commits to enhanced collaboration and reduced division - particularly on issues of such gravity. To that end a small bipartisan group of us met this evening to begin that process.,2020-01-10 00:38:35,Twitter for iPhone,1,31
So in affirmation of our Constitution I voted today in support of the War Powers resolution. But I’m disappointed with the decision to bring it to the floor at this moment - for if such resolutions aren’t fully bipartisan it sends a risky message to our allies &amp; our enemies.,2020-01-10 00:38:35,Twitter for iPhone,0,23
As a Gold Star son I know the immeasurable human cost of war. Our founding fathers felt it so essential to have vigorous debate before sending young Americans to battle that our Constitution requires Presidents to obtain congressional approval before doing so.,2020-01-10 00:38:35,Twitter for iPhone,17,118
@BFD_MN @BPD_MN Our entire community thanks you.,2020-01-09 22:51:20,TweetDeck,0,3
@chanprincipal @chanstormfb @ChanHighAP @chanstormAD @Bzydowsky @ISD112 @StormActivities Thank you Officer Bob!,2020-01-09 22:50:52,TweetDeck,0,4
@ExcelsiorFire @SoLakePD @deephavenpolice Thanks to all for your service to #MN03!,2020-01-09 22:50:08,TweetDeck,0,2
Today’s classified briefing on Iran by the administration was an affront to our Constitution and to  the majority of Ds &amp; Rs in Congress who take our jobs seriously our oaths of office seriously and the expectation of truth and transparency seriously. @SenMikeLee says it best👇🏼 https://t.co/NoetYVOhDF,2020-01-09 00:22:02,Twitter for iPhone,37,128
#HR8 was the 2nd bill I co-sponsored as a U.S. Congressman (after #HR1 of course) and @HouseGVP was one of the 1st groups I joined. A year later I'm proud to say we took action to save lives in the House. Americans are asking us to prevent gun violence will the Senate join us? https://t.co/8W5d0To090,2020-01-08 19:45:19,Twitter Web App,6,37
My team is headed to Southdale Library this afternoon for our first mobile office hours of 2020! We've helped more than 350 Minnesotans with federal agencies and returned more than $115000 to #MN03 through successful casework. How can we help you? 👇 https://t.co/i3WmrU0C6T https://t.co/wrb8oXXP87,2020-01-08 17:00:23,Twitter Media Studio,3,18
@clearJB Believe me. I did.,2020-01-08 14:19:37,Twitter for iPhone,0,2
I visited our bases in the Arabian Gulf days before the killing of Gen. Suleimani and tonight’s retaliatory attacks by Iran. Our service members around the world are in my prayers and strong leaders know that escalation from here would be a stain on themselves &amp; humanity. https://t.co/3jJtJuUTtU https://t.co/Nu12A8r2q5,2020-01-08 03:15:35,Twitter for iPhone,5,65
At Park Brook Elementary yesterday I was on goalie duty for a @mnwild Face-Off For Fitness with @NordyWild @hannahbrandt16 @Ryan_Carter22 and @rustykath. 2020 is off to a healthy start Park Brook has some new hockey gear and if you're wondering no goal in the photo below! https://t.co/RGXZTOnrMW,2020-01-07 16:57:16,Twitter Web App,5,23
This wasn't about politics it was about doing what's right.  https://t.co/nnIDl5trHT https://t.co/HyIHAIltU4,2020-01-06 23:54:21,Twitter Media Studio,8,41
For years the extraordinary Liberian community in #MN03 came together with compassion decency and respect. They shared their stories became advocates for their neighbors and welcomed me as family. I will never forget it. This is a beginning.   https://t.co/B8dntz6PXa https://t.co/WbGDPA8Imb,2020-01-06 22:46:22,Twitter Web App,2,12
Our #DED victory is proof that even when we have different perspectives good people working together can accomplish big things with handshakes high-fives and hugs. Our country needs many more nights like this one. https://t.co/bbPKJq7LES https://t.co/FxttQQm8W7,2020-01-06 22:46:18,Twitter Web App,4,17
