Let’s do this! #ChiefsKingdom #ChiefsVsTitans #AFCChampionship 🏈🏈🏈 https://t.co/HNt9dY7Wqd,2020-01-19 20:00:56,Twitter for iPhone,1,5
It’s a good day to stay off the roads! Please be safe everyone! https://t.co/ANtd6F6aVz,2020-01-17 14:13:44,Twitter for iPhone,1,0
Sen. @CoryBooker @KindforCongress and I called for an investigation into the president’s #OpportunityZone program because while it was supposed to help poor communities in reality it has just enriched the wealthy and well-connected. https://t.co/s7UyImnkYe,2020-01-17 02:24:26,Twitter for iPhone,2,2
We must #DefendOurDemocracy. https://t.co/QB8zCfDyuy,2020-01-15 19:36:10,Twitter for iPhone,0,1
Who’s watching tonight’s debate? #DemDebate #2020Election,2020-01-15 01:53:45,Twitter for iPhone,1,1
We have too many serious problems facing our country to be thrown off track by candidates spreading false stories. Please DONATE what you can large or small to help Emanuel stand strong against a primary opponent! - #TeamCleaver https://t.co/PZ9Cf1by9h,2020-01-14 23:16:01,Twitter for iPhone,1,0
What a crazy game! Congratulations on the BIG WIN tonight @Chiefs!! 🏈✨🎉 #KCChiefs #ChiefsKingdom #Playoffs,2020-01-13 00:06:17,Twitter for iPhone,1,3
Who’s ready for some @Chiefs football?! 🏈🏈🏈 #ChiefsKingdom #Playoffs https://t.co/2QBLK2bkse,2020-01-12 17:48:34,Twitter for iPhone,1,7
Please be safe if you have to be on the roads! ❄️ https://t.co/eMQkVFTAZR,2020-01-11 04:27:01,Twitter for iPhone,1,1
https://t.co/nzRd6El9Ad Homeownership is a clear critical factor in narrowing the racial and wealth divide in our country.,2020-01-11 04:07:53,Twitter for iPhone,5,7
https://t.co/LbmDjVuXRA,2020-01-10 03:19:48,Twitter for iPhone,1,1
Congratulations @Chiefs!! #chiefskingdom #playoffbound #firstroundbye https://t.co/fBW4CB3k0Z,2019-12-29 21:08:37,Twitter for iPhone,2,5
Time with family and friends; Kind words and deeds coming your way; Peace and joy in the sun and the rain; Now and throughout the year.   Sending you the warmest of Holiday wishes ~ Emanuel and Dianne Cleaver and family 🕊✨ https://t.co/euNIKU6yHl,2019-12-23 21:29:45,Twitter for iPhone,3,9
Tonight the House somberly took the step of voting to impeach the President.   This is a sad day for America but a necessary one to preserve our democracy and our Constitution. https://t.co/V3duoD8Q4s,2019-12-19 02:20:01,Twitter for iPhone,4,6
#OpenEnrollment has been extended to 12/18 at 3AM ET! #GetCovered   https://t.co/BntBGLivcv,2019-12-17 17:06:54,Twitter Web App,1,0
Thank you 🙏 to everyone who braved the winter wonderland to join us at last night’s holiday celebration! From our family to yours - wishing you a peaceful and joyous holiday season. ❄️🎊🕊 https://t.co/ohSGr6UB59,2019-12-16 20:36:01,Twitter for iPhone,2,5
A winter wonderland indeed. Nice win today Chiefs! #ChiefsKingdom  ❄️ ⛄️ 🏈 https://t.co/0ilHQGv0a1,2019-12-15 21:40:12,Twitter for iPhone,1,1
Please be careful on the roads today! ❄️ https://t.co/KqCIW81dCW,2019-12-15 14:38:27,Twitter for iPhone,1,1
https://t.co/vFXcPqZnuU,2019-12-13 22:54:01,Twitter for iPhone,1,2
Congratulations @GretaThunberg for this well-deserved honor. #climatecrisis #climatechange #TIMEPersonoftheYear2019 https://t.co/H64dD7vdrD,2019-12-11 22:45:28,Twitter for iPhone,1,1
I. Abuse of Power; II. Obstruction of Congress #ArticlesOfImpeachment https://t.co/0hajakU4Ac,2019-12-10 17:03:27,Twitter for iPhone,2,2
Nice win @Chiefs! #ChiefsKingdom https://t.co/xihl9RFl1r,2019-12-09 00:54:44,Twitter for iPhone,1,1
The Administration’s rule change would limit states’ abilities to provide residents access to food stamps. https://t.co/3Amry6dWdw,2019-12-04 22:24:40,Twitter for iPhone,0,1
Tomorrow is a day to celebrate the warmth and love of our families and communities and reflect on the blessings we’ve received.   We’re grateful to live in #MO5 and to be surrounded by loving family friends and neighbors. From our family to yours Happy Thanksgiving! 🦃🍁 🏈 https://t.co/Buue6RQuR1,2019-11-28 02:19:58,Twitter for iPhone,3,9
Today is a day to honor all of our service members who have sacrificed for our country and our freedom. To each and every veteran and their family a sincere #ThankYou for your service. #VeteransDay,2019-11-11 17:18:54,Twitter Web App,0,2
https://t.co/FJfo2afzFK,2019-10-31 15:48:35,Twitter for iPhone,0,4
https://t.co/fxUo2sw04t,2019-10-26 12:49:29,Twitter for iPhone,0,1
https://t.co/Wzc92aGmGb,2019-10-24 20:41:06,Twitter for iPhone,0,2
https://t.co/c71HybQQz9,2019-10-23 23:47:18,Twitter for iPhone,0,1
@RepCummings was a man of courage dedicating every day to bettering the lives of all Americans. He is gone too soon and will be deeply missed. https://t.co/9MCC6YfRx3,2019-10-17 21:04:53,Twitter for iPhone,0,0
#DemDebate tonight at 8pm ET. Will you be watching?,2019-10-15 19:49:37,Twitter for iPhone,0,0
Glad to work with @sharicedavids on ways to help small businesses grow in the greater KC area! #hightech #smallbusiness https://t.co/aZ6V9wZUwz,2019-10-09 21:19:38,Twitter for iPhone,0,1
Metro Community College right here in Missouri's 5th District provides affordable options for serving students in our community.  Under @JodeBiden’s higher #education plan institutions like this will be free for students in KC. #Biden2020,2019-10-09 18:28:07,Twitter Web App,1,0
HBCUs have consistently provided an affordable education to students of color graduating the majority of black teachers doctors judges and engineers. Under @JoeBiden’s plan these schools will get the funding they deserve. Learn more: https://t.co/vb3Cq5U9ls,2019-10-09 00:59:59,Twitter for iPhone,8,13
