Thank you Caucus family for your support of the FUTURE Act! https://t.co/HcGZRDIB2Y,2020-01-19 23:34:48,Twitter for iPhone,0,1
Proud to be a member of our @BPCCharlotte! https://t.co/g5aL7vlyuj,2020-01-19 23:20:12,Twitter for iPhone,1,3
Talking with @TomSteyer this morning about his plans for Charlotte #HBCUs and a Steyer administration.  Thanks for a great conversation Tom. https://t.co/lo0f42y5UR,2020-01-18 13:05:38,Twitter for iPhone,2,1
Religious liberty is a fundamental part of what makes us American and I thank my Awesome God for blessing me with the opportunity to live in a country where everyone is free to worship how they choose or not at all. #ReligiousFreedomDay,2020-01-17 02:35:40,Twitter for iPhone,0,1
By standing up for religious freedom we stand up for our communities’ right to exist and be free and that is why we must join our siblings from other traditions in standing up against Islamophobia anti-Semitism religious discrimination and faith-based violence.,2020-01-17 02:35:39,Twitter for iPhone,0,1
Religious freedom is a foundational right. For those of us who grew up in the Civil Rights era we know that the freedom to exercise our faith goes hand in hand with the freedom to peaceably assemble the freedom to petition our government and freedom of speech itself.,2020-01-17 02:35:38,Twitter for iPhone,0,2
Today marks #ReligiousFreedomDay. Charlotte and Mecklenburg County are home to almost 1000 places of worship representing scores of faith traditions. We are a diverse community of people who profess many faiths or none at all.,2020-01-17 02:35:38,Twitter for iPhone,4,6
Thank you to the @704_SPCLC for giving me the chance to talk about what I’ve been doing in Washington to fight for workers and labor. One of my top priorities in Congress is to Raise the Wage. #1u https://t.co/we27sEWA2f,2020-01-17 01:58:23,Twitter for iPhone,1,5
Proud to be your AKA sister @KamalaHarris! https://t.co/HmDtmGqkqQ,2020-01-16 23:45:07,TweetDeck,2,8
While we remember Dr. King fondly we should remember he had the courage to be hated in his lifetime. He knew that true peace was not the absence of conflict but the presence of justice. We can honor his legacy not by doing what is popular but by doing what is right. #MLK,2020-01-16 01:23:40,Twitter for iPhone,0,4
Martin Luther King Jr. would have turned 91 years old today. As we spend the next week honoring Dr. King’s legacy we should remember he fought not only for civil rights but also for economic and political systems that would bring about what he called the Beloved Community. #MLK,2020-01-16 01:23:39,Twitter for iPhone,4,10
Happy #NationalHatDay! https://t.co/zWQZxYQDQw,2020-01-15 14:48:27,TweetDeck,1,2
Thank you @LukeKuechly for being an inspiration to Charlotte on and off the field. https://t.co/3yEb9CbXxg,2020-01-15 01:40:58,Twitter for iPhone,1,0
Thanks to everyone who has endorsed our campaign so far! I’m proud of all we’ve accomplished together for #NC12.  You can join them here: https://t.co/dEdShLbu5l https://t.co/uov4qfMyUp,2020-01-13 22:02:43,Twitter for iPhone,6,12
Thank you @CoryBooker for your principled tenacious stand against gun violence your work for meaningful criminal justice reform and of course your bold plan to build on the FUTURE Act with the biggest investment of any candidate.  Proud to consider you a friend Cory. https://t.co/S15X7lIrBp,2020-01-13 19:40:35,Twitter for iPhone,5,17
@Shirley29194104 @RepAdams Same to you!,2020-01-12 22:08:07,TweetDeck,0,0
Back in the old neighborhood! Dropped by Fourth Ward Barber &amp; Hairstyle after lunch today. https://t.co/sjwiwfFKl4,2020-01-04 20:41:27,Twitter for iPhone,1,3
Meeting with the Adams campaign team at Freshwaters today. We have a strong record to talk about:  🎓 Billions in #HBCU funding made law ✈️ New Airport Tower at @CLTAirport  🚆 Funding for @CATSRideTransit  🏳️‍🌈 Equality Act passed the House 💪🏿 Standing up for the Constitution https://t.co/tpIN8Y1Via,2020-01-04 17:27:52,Twitter for iPhone,4,1
Thank you @JulianCastro for adding an important voice to the Democratic Primary - especially on issues like affordable housing that mean so much to our Charlotte-Mecklenburg community.  I can't wait to see what you do next.,2020-01-02 14:37:34,TweetDeck,1,4
Thank you Rep. Hall! https://t.co/4pgSgQ3lru,2019-12-30 18:52:19,TweetDeck,1,2
Heartbroken by violence against people celebrating their faiths this weekend in New York and Texas. No Americans should experience these acts of terror due to their faith. I am praying for the victims the congregants of West Freeway Church of Christ and the community of Monsey.,2019-12-30 03:00:57,Twitter for iPhone,2,7
John Lewis is a fighter. He has been bruised battered and beaten but he always comes back stronger than before. I know he can win this fight as well and my prayers are with him and his family at this time. https://t.co/XVsouGfa2H,2019-12-29 23:25:55,Twitter for iPhone,5,26
┏━━┓┏━━┓┏━━┓┏━━┓ ┗━┓┃┃┏┓┃┗━┓┃┃┏┓┃ ┏━┛┃┃┃┃┃┏━┛┃┃┃┃┃         Fully fund #HBCUs &amp; MSIs ┃┏━┛┃┃┃┃┃┏━┛┃┃┃┃ ┃┗━┓┃┗┛┃┃┗━┓┃┗┛┃ ┗━━┛┗━━┛┗━━┛┗━━┛,2019-12-28 20:34:47,Twitter Web App,5,10
Thanks for your support Tony! https://t.co/ZqNQccldKu,2019-12-28 19:38:40,TweetDeck,1,1
Check out the recent coverage of our work on #HBCUs:  https://t.co/ZISWJYaBvq,2019-12-28 17:50:20,TweetDeck,1,1
Andrew let me know when you’re in Charlotte and I’ll take you to the barbecue place @BarackObama stopped at last time. https://t.co/fW4S8BNo1i,2019-12-28 00:55:01,Twitter for iPhone,2,6
Merry Christmas and Happy Holidays to all! https://t.co/SIkHJzQE4l,2019-12-25 17:37:37,Twitter for iPhone,1,1
Having some morning conversations before the holidays. https://t.co/uyTkcgl8sl,2019-12-23 14:15:03,Twitter for iPhone,1,9
#HappyHanukkah! I hope your week is full of joy and light! https://t.co/fvhgMKZJSP,2019-12-22 23:40:30,Twitter for iPhone,1,1
Good job so far @NCATFootball! Best of luck in the second half! #aggiepride,2019-12-21 18:51:05,Twitter for iPhone,1,0
We made history! #AggiePride https://t.co/KI6F2MJQwi,2019-12-17 20:40:23,Twitter for iPhone,5,17
