Thank you Mr. President!  Please support me @DrGregMurphy1 so I can support @realDonaldTrump!  Election Day is September 10th! #ncpol #NC03 #murphy4congress https://t.co/Txa8ZG9fko,2019-09-04 22:41:25,Twitter Web App,221,434
See President Donald Trump stand side by side with Dr. Greg Murphy and tell America why @realDonaldTrump needs @drgregmurphy1 in Congress.  #DrainTheSwamp  https://t.co/qjqnWmxCFt,2019-07-18 01:52:51,Twitter Web App,177,148
Watch my interview @FoxBusiness as I talk about President Trump’s Eastern NC rally tonight and why @realDonaldTrump will win NC again in 2020! #MAGA #ncpol  https://t.co/RPPX5BLqrU,2019-07-17 16:56:46,Twitter Web App,58,98
Thank you Mr. President. I am proud to stand behind @realDonaldTrump. Eastern North Carolina is Trump Country and they want a Congressman who will support our President. I will have your back 100%! #MAGA #DrainTheSwamp https://t.co/CBNEO4EVja,2019-07-11 00:16:05,Twitter Web App,1979,6224
I cannot thank the people of Eastern North Carolina enough for placing your trust in me to represent the Republican Party in September. #ncpol #NC03 #Murphy4Congress https://t.co/N0IWlZyypy,2019-07-10 02:42:17,Twitter for iPhone,331,1064
It’s not too late. Polls are open until 7:30 please go vote! #ncpol #NC03 #Murphy4Congress https://t.co/fWffO2pEbx,2019-07-09 22:19:53,Twitter for iPhone,13,35
Live on now @seanhannity. Tune in! #ncpol #NC03,2019-07-09 19:46:41,Twitter for iPhone,2,23
I will be on @seanhannity at 3:30! #ncpol #nc03 #Murphy4Congress https://t.co/d7jcLe4NSH,2019-07-09 19:22:39,Twitter for iPhone,8,22
@RickSantorum a big supporter of @realDonaldTrump! Thank you for your support Rick! https://t.co/4qF6DjKtbs,2019-07-09 17:00:12,Twitter for iPhone,4,2
@RyanAFournier @RepMarkMeadows @Jim_Jordan Thank you for your support!,2019-07-09 16:20:33,Twitter for iPhone,2,5
Glad to have @TrumpStudents on the ground with me today! #Murphy4Congress #ncpol #NC03 https://t.co/mGXykh5aB1,2019-07-09 16:08:52,Twitter for iPhone,61,143
Proud to have the support of Carteret County Sheriff Asa Buck! #ncpol #nc3 #Murphy4Congress https://t.co/9wtxPXgNoo,2019-07-09 14:22:10,Twitter for iPhone,17,43
national television audience on Hannity heard why my support of @realDonaldTrump is the key reason Congressman Mark Meadows and Jim Jordan are supporting me for Congress.Take a look and share with your friends as you head out to vote Tuesday.  https://t.co/XOnVDbUyKr #ncpol #nc03,2019-07-09 03:18:16,Twitter Web App,44,64
Proud to receive the endorsement of @RyanAFournier  and @TrumpStudents! #Murphy4Congress https://t.co/3oEKs4HNwC,2019-07-08 21:55:30,Twitter for iPhone,106,264
Proud to have the endorsement of yet another of @realDonaldTrump’s strongest supporters America's Mayor Rudy Giuliani.  Please share our radio ad linked here and remind everyone to get out and vote tomorrow July 9th!  https://t.co/pFFacgovZd,2019-07-08 11:30:26,Twitter Web App,48,89
Just got off the phone with Congressman Mark Meadows with good news that @realDonaldTrump will be coming to Greenville on July 17th. We the People will be there to greet and welcome our President. #MAGA  #ncpol,2019-07-03 00:18:54,Twitter Web App,37,71
Thank you @RickSantorum for your endorsement. @NC03Special2019 @ncpol https://t.co/QslY0JBMJo,2019-06-18 23:32:20,Twitter Web App,32,54
Honored to have @Jim_Jordan and @AmyKremer in the district supporting my campaign. Proud to stand with these patriots!  #ncpol #NC03 https://t.co/j9CVTh6BIQ,2019-06-15 22:44:43,Twitter Web App,95,145
Thank you Amy Kremer and @WomenforTrump for your support! https://t.co/P8cIDtNaPw,2019-06-13 21:32:41,Twitter Web App,34,60
I was honored to learn that I have been endorsed by the national Tea Party Express. I have faith in the people of Eastern North Carolina that you can see through the lies and will send the Washington Establishment a message that this Congressional seat that is not up for sale. https://t.co/iy3Zi9XWqb,2019-06-13 21:32:37,Twitter Web App,33,40
Proud to announce I have received the National Rifle Association endorsement.The  NRA Political Victory Fund does great work. I thank them for their endorsement and promise all law abiding gun owners that I will support your Constitutional right to keep and bear arms. https://t.co/220xOxHBZ1,2019-06-13 21:28:30,Twitter Web App,33,46
Impeachment talk is nonsense.The real motive..Discredit the results of 2016 election to elect a Democrat in 2020. #realDonaldTrump  was the people’s choice &amp; he’s standing strong on his campaign pledges. We the People Stand Strong for the People’s President! #Trump2020,2019-05-30 09:06:09,Twitter Web App,23,44
Proud to stand with @realDonaldTrump &amp; strongly support his proposal for Medicaid Block Grants. The President  is once again moving power away from DC &amp; giving it back to the States. Watch this short video where I discuss this issue: https://t.co/FKDj5J2daF #NC03 #NCPOL #NCGOP https://t.co/laoTHAVoze,2019-05-29 12:57:04,Twitter Web App,30,57
“There was only one doctor in the race that was willing to be a conservative and step up despite the target it may place on their back. That doctor is Greg Murphy.”  - @RepMarkMeadows   Check out our new TV ad: https://t.co/OL0Un9NW7b. https://t.co/H8NN5Lgbi8,2019-05-21 11:26:31,Twitter Web App,61,63
