My 2019 Year-End Report was prepared for you as a review of the work of my offices in Washington and #Nebraska. It contains an overview of important initiatives across various policy lanes––healthcare ag national security natural security human dignity https://t.co/2pjq8kjxTN,2020-01-17 22:52:52,Twitter Web App,21,18
Saddened by the act of anti-Semitism at the South Street Temple in Lincoln this week. This is not childish vandalism; it creates fear and real concern for safety for our neighbors. I am glad the community will conduct a Shabbat service tonight. #antisemitism,2020-01-17 15:39:07,Twitter Web App,7,29
In very positive news for our ag producers and manufacturers the Senate just passed the United-States-Mexico-Canada Trade Agreement (USMCA) sending it to the President for his signature. #USMCA,2020-01-16 22:29:32,Twitter for iPhone,6,25
So grateful to spend time with former Tennessee Titans tight end Craig Stevens. His brother Eric a former St. Louis Ram is battling ALS as is my brother-in-law. #ALS @alsassociation @iamalsorg @drewbrees @stevens_nation https://t.co/vEQO01pMWa,2020-01-15 23:23:29,Twitter Web App,16,59
This 2019 Year-End Report was prepared for you as a review of the work of my offices in Washington and Nebraska. It contains an overview of key initiatives across various lanes including health care ag national security natural security &amp; human dignity https://t.co/VpOwMTxkR3 https://t.co/kMOcYhmILN,2020-01-15 22:48:15,Twitter Web App,5,10
So inspiring to see former New Orleans Saints safety Steve Gleason as he received the Congressional Gold Medal the highest civilian honor bestowed by Congress for courageously showing the way to live with ALS @SteveGleason @iamalsorg @alsassociation @TeamGleason #ALS,2020-01-15 22:38:05,Twitter Web App,6,16
Nebraska's J. Sterling Morton founder of Arbor Day once said: 'Each generation of humanity takes the earth as trustees.’ Important discussion today with Arbor Day Foundation leaders on advancing tree-planting as a key tool in protecting our natural security @arborday https://t.co/gt62030ilW,2020-01-15 22:26:55,Twitter Web App,6,24
Today Democrat Representative Matsui and I introduced The Residential Energy and Economic Savings (TREES) Act to fund utilities that partner with tree-planting nonprofits to mitigate the effects of climate volatility. @DorisMatsui #trees,2020-01-15 22:14:57,Twitter Web App,5,8
Thank you President Trump for aggressively renegotiating trade policy with China. Important first step. @realDonaldTrump #ChinaTradeDeal,2020-01-15 19:27:35,Twitter Web App,5,22
Important discussion with French Ambassador Philippe Etienne about affirming the deep bonds of friendship between France and America and about expanding conservation efforts in Africa’s Sahel to reduce conflict and terrorist activity there. @franceintheus @Ph_Etienne @WFPChief https://t.co/78rpbCL3td,2020-01-13 13:52:12,Twitter Web App,6,16
I don’t want a war with Iran. The President has stated the same. Harsh reality compels us to continue to clench a fist––while holding out a hand––to find the space for authentic relations even if it starts with small steps. https://t.co/6U5u6E95id #Iran,2020-01-11 03:20:50,Twitter Web App,11,22
