Grandpa and granddaughter are ready for some football! https://t.co/okGxmtHgyx,2020-01-19 21:02:07,Twitter for iPhone,5,92
@Swaggy_C12 @NERightToLife They believe in protecting the most vulnerable and innocent of all and their rights.,2020-01-18 20:55:16,Twitter for iPhone,1,9
Wonderful to see so many students in the Walk for Life--and many who are great part of our campaign team! https://t.co/xY3Ja4qjJ1,2020-01-18 20:53:05,Twitter for iPhone,6,36
It was a great turnout in the bitter cold for the Nebraska Walk for Life this morning! It warms my heart to be surrounded by so many who want to protect the most innocent among us: preborn babies. Thank you to @NERightToLife for organizing this event! #NE02 is #ProLife. https://t.co/7rqxBo5awM,2020-01-18 17:41:00,Twitter for Android,25,108
@CarloEby Soleimani was commander of organization that killed 609 Americans in Iraq alone and was planning to kill more. The previous Administration identified him as a terrorist.   He received justice.,2020-01-17 15:35:52,Twitter for iPhone,1,7
@Beard_Vet @realDonaldTrump @RepDonBacon @codeofvets @RealMattCouch @riggins_jack @RobManess @TJHproject @DarlaShine @walsh5050 @Fred02961487 @zduval1 @GibbieDuval Thank you... this is the day that we will start seeing fair and free trade. No one can out compete our farmer and rancher when there's a level playing field.,2020-01-16 03:38:54,Twitter for iPhone,4,11
@MOBnebraska Thank you Mayor!,2020-01-15 13:35:36,Twitter for iPhone,0,0
@JimHarroldOmaha @RepDonBacon @realDonaldTrump You'd be pleased to know most of the veterans supported the President.,2020-01-15 03:03:32,Twitter for iPhone,0,2
@MOBnebraska I appreciate you and your support.,2020-01-14 19:56:51,Twitter for iPhone,0,2
At the airport Shelly walked up to me and said "I'm a Democrat and I'm voting for you." Thank you Shelly! It was great to meet you. #NE02 https://t.co/yXDVLw9QJ2,2020-01-13 18:45:45,Twitter for Android,14,96
@vetsforbacon @letsdobetter5 @RepDonBacon The Chairman of JSC made clear the intelligence showed Soleimani planning an imminent attack. He was with the militia leader who attacked us the week prior when he was targeted. He showed his intent over the years by killing 609 Americans in Iraq alone.,2020-01-12 20:37:39,Twitter for iPhone,2,5
@LiferinLNK Thank you,2020-01-10 20:56:45,Twitter for iPhone,0,1
It's disgraceful that several members of Congress and Presidential candidates have blamed POTUS for Iran shooting down an airliner while the US showed much restraint during Iran's missile attacks. The visceral hate is clouding judgement. https://t.co/UcO6BJUbdR,2020-01-10 17:16:02,Twitter for iPhone,14,31
@jdlowndes No it's easy for me to defend an operation taking out a person who killed over 600 Americans in Iraq alone.,2020-01-09 00:11:29,Twitter for iPhone,0,0
|Qassem Soleimani: He will kill no more || Arab News  "No good comes from appeasing bullies and tyrants."  https://t.co/Aw7bvDlH5b|,2020-01-08 23:10:41,Twitter for iPhone,8,23
@NATCA @RepDonBacon Thank you very much.,2020-01-08 21:59:57,Twitter for iPhone,0,0
@LeavenworthSt @karaforcongress The definition of appeasement.,2020-01-08 19:46:40,Twitter for iPhone,1,3
Meanwhile the Democratic Socialists of America has endorsed the lead Dem candidate for #NE02. So @GovRicketts was right about your embrace of socialism. https://t.co/3oQo1htsZ3,2020-01-08 11:21:08,Twitter for iPhone,5,20
@_tarrvis @dcrponline I've been studying this guy for over 15 years. Anyone who has been focused on terrorism and Iran's activities in the Middle East knew who this guy was.,2020-01-08 11:09:33,Twitter for iPhone,0,2
We donated the NE Dem baby toys to pro-life organizations. They were given to a great cause. https://t.co/tKkihr0rnE,2020-01-08 11:08:05,Twitter for iPhone,6,32
I'm thankful to have been married to Angie for 36 years today! I've been very blessed. https://t.co/GRTdYptBKi,2020-01-06 21:28:47,Twitter for Android,3,110
Great insights from General Petraeus on Soleimani's role in killing Americans over last decade and half and the impact of our defensive action.  https://t.co/7FUHT4IeG6,2020-01-04 20:35:42,Twitter for iPhone,7,22
ICYMI: I thank @ProIsraelAm for endorsing my re-election for 2020! I'm proud to be one of the most active voices in Congress supporting Israel and our bilateral relationship. #NE02  https://t.co/JYCBv0wIeA,2020-01-02 20:28:55,Twitter Web App,7,22
@LeavenworthSt @Mitchbballin24 I missed you at the game.,2020-01-02 04:58:14,Twitter for iPhone,0,1
@JonBlumenthal @LeavenworthSt @karaforcongress Thank you.,2020-01-02 04:53:15,Twitter for iPhone,0,2
Happy New Year! May your year be filled with peace health and happiness. https://t.co/Y1UkhSM20v,2020-01-01 06:01:00,TweetDeck,7,35
Thank you William King The Boss for being a strong voice in Omaha! https://t.co/51GIhULGbO,2019-12-29 15:43:32,Twitter for iPhone,5,15
The plan I support gets generics on the market sooner and holds companies accountable for blocking competition which would result in better medicine more cures lower prices and less government control over our lives. #NE02 3/3,2019-12-28 19:17:51,Twitter for Android,3,14
The CBO said this plan would prevent 10 new cures per year from being developed resulting in higher fatality rates. Countries that have adopted similar plans have half the medicine options we do. This is absolutely unacceptable but my liberal opponents still support it. #NE02 2/,2019-12-28 19:17:26,Twitter for Android,1,9
House Democrats under pressure from the socialist wing of their party put forth a prescription drug plan that included government-forced price controls on medicine. This is a horrible idea and here's why. #NE02 1/,2019-12-28 19:16:17,Twitter for Android,5,25
Angie and I wish you a very Merry Christmas! https://t.co/rTw5aNZvea,2019-12-25 17:08:13,Twitter Web App,8,113
Thank you Janet for introducing yourself and sharing you're an issues-based voter and that you'll be an active supporter this coming year. I'm grateful! #NE02 https://t.co/PmF413VEJq,2019-12-23 02:27:33,Twitter for iPhone,2,25
Bacon makes everything better even a gyro! https://t.co/6ef3FrWZ6e,2019-12-21 15:14:20,Twitter for iPhone,2,24
Thank you Allen Hager for your hard work in the Learning Community. https://t.co/gjmDaEYfrd,2019-12-21 04:30:40,Twitter for iPhone,3,13
Thank you Aida for being a great supporter the last 4 years. I'm grateful. https://t.co/VjseI5hRrN,2019-12-21 04:15:15,Twitter for iPhone,3,14
Thank you Josh for working hard for conservative candidates up and down the ballot. https://t.co/3zR2QGZKqL,2019-12-21 04:11:38,Twitter for iPhone,4,12
Merry Christmas to Julie Shrader CEO and Founder of Rejuvenating Women! Thank you for your leadership to stop human trafficking. https://t.co/QVwQKMzfDe,2019-12-21 04:08:19,Twitter for iPhone,7,36
