It will be 20 years ago this Sunday (Jan. 19th) that three students died in that horrific Boland Hall fire at Seton Hall University.  I was proud to commemorate them and discuss what I've done in Congress to protect college students from similar disasters in the future. https://t.co/h6PbGQp7qc,2020-01-17 21:20:07,Hootsuite Inc.,5,19
I wanted to praise the cheerleaders from West Orange High School yesterday.  They will compete for the high school cheerleading national championship at the Walt Disney World Resort in Orlando in February.  Whether they win or not they are already champions to me. https://t.co/DD3et8VejZ,2020-01-17 17:10:29,Hootsuite Inc.,4,11
I really enjoyed my time this morning at the 49th Annual Memorial Breakfast to honor Dr. Martin Luther King Jr. hosted by the YMCA of Newark and Vicinity. https://t.co/WgzBq07Rj8,2020-01-17 14:50:07,Hootsuite Inc.,5,10
I wanted to celebrate our district's new national champions.  Rep. Payne Jr. praises the Brick City Lions @CSPAN https://t.co/3AGPYm9yRf,2020-01-16 21:07:32,Twitter Web Client,1,5
New report from the Government Accountability Office stated President Trump broke the law when he froze military aid to the Ukraine.    I hope my Senate colleagues read this article as they start the President's impeachment trial today.    https://t.co/nAVOHIZEDI https://t.co/SeEpfmp9M7,2020-01-16 18:10:08,Hootsuite Inc.,7,6
I really enjoyed meeting with supporters of ADAPT and the Disability Integration Act today.  I spoke about how their struggles are similar to Dr. Martin Luther King Jr.'s struggles for civil rights 50 years ago. https://t.co/pdYAZzGHsN,2020-01-16 00:30:11,Hootsuite Inc.,2,11
I had a great meeting today with leaders of the Jewish Federation to discuss ways to combat the recent rise in anti-Semitism.  We talked about how hate and intolerance have no place in America whether it is anti-Semitism or racism. https://t.co/3wnpe7zBr5,2020-01-15 23:30:11,Hootsuite Inc.,4,15
Today I heard about troubling working conditions for airport services workers at our nation's airports who are paid low wages and lack basic health care.  We need to give them and all American workers a living wage affordable health care and a fair shot at the American Dream! https://t.co/UEVH4iOzoM,2020-01-15 19:15:09,Hootsuite Inc.,3,10
I met with Newark Mentoring Movement officials last November and I was impressed with their work to create more opportunities for mentors throughout Newark.  I praised their work on the House floor today.  We need more mentors nationwide.    https://t.co/oQ0QdkVZak https://t.co/Zyxboe2bF3,2020-01-14 21:10:07,Hootsuite Inc.,6,11
Robert Cottingham has dedicated his life to serving his community of Orange NJ and our country.  I had the honor of attending his 90th birthday last Sunday and wanted to praise him on the House floor last night.  https://t.co/rkha3xfBu0 https://t.co/lxD9n8CthG,2020-01-14 19:45:08,Hootsuite Inc.,4,13
