Rep. Pressley — you’ve always exhibited courage. Thank you for sharing your personal story to help others. https://t.co/wR9qtS4X6l,2020-01-17 19:50:19,Twitter for iPhone,6,155
Thanks @amyklobuchar for bringing up the environmental danger from methane emissions last night. I’ve got a bill to prevent methane leaks that will have an immediate effect on our efforts to tackle climate change.👇 https://t.co/ozvzHscB7s,2020-01-15 17:18:31,Twitter for iPhone,14,110
I've worked with Cory Booker since he was Mayor of Newark. He has always been a strong champion of our state. I'm so proud to stand alongside you @CoryBooker and thank you for always fighting for New Jersey! https://t.co/gQJ6jQnZeC,2020-01-13 16:34:53,Twitter for iPhone,25,278
Well done Bouncing Bettys! 💪🇺🇸 https://t.co/l7p9Z6TmEA,2020-01-10 15:26:49,Twitter for iPhone,4,24
Do you know a high school student working to advance racial equity in their school or community? Nominate them for the Princeton Prize in Race Relations. Applications are due January 31st.  Apply or nominate someone here: https://t.co/4579evSiMp,2020-01-09 17:53:19,Twitter for iPhone,16,39
So proud of my friend in the steel toed boots club. Can’t wait to see you use those boots to kick some you know what in 2020! 🥾 https://t.co/8if4OSL5JQ,2020-01-07 22:37:52,Twitter for iPhone,18,233
Have a very merry Christmas! 🎄❤️ https://t.co/llF324btIx,2019-12-25 15:54:32,Twitter for iPhone,9,133
#HappyHanukkah! Wishing everyone celebrating love light and peace. https://t.co/6oeXzrd1F6,2019-12-22 21:45:39,Twitter for iPhone,14,106
I promised residents I would fight to get rid of the state and local tax deduction cap.   I’ve been on the floor for “12 Days of SALT” calling for a vote and today it’s coming before the House👇 https://t.co/wQHWqDIVUy,2019-12-19 17:08:04,Twitter for iPhone,16,151
I have served our country most of my life. The President has imperiled our national security attempted to undermine our democratic elections and has refused congressional subpoenas. To ignore this is to abdicate my duty. https://t.co/jEgSbsaThb,2019-12-18 22:50:16,Twitter for iPhone,105,926
- Our schools are on lock down  - Exits on the highway are closed  - Our citizens children and first responders are at greater risk  We are living in fear because Mitch McConnell refuses to move on gun safety legislation. https://t.co/xVbDTGKalf,2019-12-10 19:52:41,Twitter for iPhone,167,503
Jackie Gordon is a proven leader who knows what it means to put country over party. I’m ready for another woman in Congress from the NJ/NY region!  🚁🚁🚁 @VoteJackie4NY https://t.co/EM1ots1D8W,2019-12-06 13:11:42,Twitter for iPhone,25,127
136.6 MILLION robocalls were made to NJ residents in November.   That’s an average of 53 calls every second.   I voted for a bipartisan bill yesterday to protect New Jerseyans and stop bad robocalls. https://t.co/lj9bnlKGl7,2019-12-05 16:49:20,Twitter for iPhone,17,168
A woman's healthcare decisions belong between her and her doctor. Proud to be endorsed by @PPact to ensure reproductive healthcare access in #NJ11. https://t.co/zxCYuheehO,2019-12-05 14:50:04,Twitter for iPhone,12,107
Great to speak with you @Team_Harbaugh! I will always put the residents of #NJ11 first. https://t.co/FzWinYa6I4,2019-12-04 20:01:25,Twitter for iPhone,5,22
Our workforce is training for the job — time to get moving and #buildgateway.   https://t.co/rOTdf8abeW,2019-12-04 17:42:50,Twitter for iPhone,3,21
👋 from Java Love!   Support our wonderful local businesses in NJ and #ShopSmall today for #SmallBusinessSaturday.   Learn more at 👉 https://t.co/YLxswaKc1k https://t.co/NDrRrMTiaH,2019-11-30 14:17:53,Twitter for iPhone,13,106
I hope everyone had a great Thanksgiving with friends and family!! 🦃🍽🥕🥧,2019-11-29 01:19:42,Twitter for iPhone,7,232
The Chatham HS students had some excellent questions! Thanks for inviting me to CHS. https://t.co/ieb3GzLSQd,2019-11-27 00:56:23,Twitter for iPhone,8,117
“Here is what makes disinformation so difficult to discuss: while these tweets point to valid issues of concern...they are framed to serve Russia’s interests in undermining Americans’ trust in our institutions.” https://t.co/241SGBWUxw,2019-11-26 13:11:59,Twitter for iPhone,30,112
New Jersey’s investment in great schools (#1 public school system in the country) and great teachers pays off! Just one more reason Jersey’s the best place to grow up and to raise your kids! https://t.co/JrbkMq85to,2019-11-24 21:58:07,Twitter for iPhone,23,136
