Congressman Van Drew Announces Committee Asssignments to 116th Congress: https://t.co/WZZerWf17R,2020-01-16 17:04:25,Twitter Web App,35,125
The Advancing Support for Working Families Act helps families with the cost of having a child without raising taxes as other proposed bills would. It empowers parents a dose of economic freedom &amp; does not dictate how the funds must be used. https://t.co/0HQJc7IJdn,2019-12-13 17:08:02,Buffer,211,922
Starfish Equine Rescue is an incredible South Jersey organization that works to rescue rehabilitate and ultimately adopt unwanted abused and neglected horses. I thank them for the great service that they do for these animals and for South Jersey. https://t.co/J2O96mmZp9,2019-12-13 14:00:40,Buffer,304,1167
This week we have accomplished so much in the House of Representatives including a historic step forward for the national and economic security of our nation in passing the NDAA. https://t.co/NdXpfAJTim,2019-12-12 21:53:49,Twitter Web App,58,299
Mullica Township ACES is a school district initiative started by Barbara Rheault that provides academic aid &amp; enrichment to students after school hours. Thank you to Barbara Rheault and the Mullica Township School District for cultivating students' academic &amp; social development. https://t.co/rkRHRc6Vs2,2019-12-12 21:39:23,Buffer,25,144
In passing #LowerDrugCosts we are taking bold action to level the playing field for American patients &amp; taxpayers and improving our quality of life. This legislation is one that I am proud to have voted for &amp; the House can be proud to have passed. https://t.co/7gCiMJ7IGy,2019-12-12 20:26:09,Twitter Web App,43,205
The House just passed #HR3 to: 💊 Level the playing field for American patients who pay more than patients abroad.  👓 Expand Medicare benefits to include dental vision &amp; hearing.  🔬 Invest in innovation for cures and provide funding to combat the opioid crisis.,2019-12-12 20:18:38,Twitter Web App,43,196
Key takeaways from @HouseDemocrats’ new plan to #LowerDrugCosts?  -Ends ban on Medicare negotiating drug prices -Makes lower prices negotiated by Medicare available to all Americans -Stops drug companies from ripping off Americans,2019-12-12 16:30:00,Twitter Web App,24,146
In the first 6 months of 2019 more than 3400 prescription drugs raised their prices. That’s money out of your pocket. Today Congress will take action to #LowerDrugCosts!,2019-12-12 16:06:25,Twitter Web App,18,105
Today I am speaking at the House Agriculture Committee's Member's Day Hearing about the importance of agriculture in NJ's 2nd District which encompasses 40% of the state &amp; is responsible for forty-eight percent of the state’s total agricultural sales.  https://t.co/tpipfHtP62,2019-12-11 15:53:20,Buffer,8,47
The Puerto Rican Action Committee (PRAC) of Southern New Jersey is an organization dedicated to supporting the Hispanic community in our area.  PRAC has been fundamental in lifting up the Hispanic members of our community and I thank them for all the great work they do. https://t.co/Nbv5NVkcyt,2019-12-11 14:00:52,Buffer,8,51
A new cutter has been placed at USCG Station Cape May named after late Master Chief Angela McShan who served the USCG for 20 years &amp; was the first black woman to earn the title of master chief petty officer. https://t.co/FYgfQxQt33,2019-12-10 22:59:01,Buffer,12,94
Today I voted yes on a host of bipartisan #OceanClimateAction bills to protect Americans from sea level rise and chronic flooding.  We’ve all seen how chronic flooding impacts our South Jersey coastal and Bayshore communities. It’s time to #ActOnClimate. https://t.co/RtIJYSPMM3,2019-12-10 22:52:49,Twitter Web App,5,60
Democrats Republicans and Independents are united in the call to restore #NetNeutrality rules. I was proud to vote for the #SaveTheInternet Act in the House this year and I’m joining @SenateDems in demanding a vote in the Senate! https://t.co/ixPv8lIshn,2019-12-10 16:35:00,TweetDeck,16,71
More than 50 years after passage of the Voting Rights Act Americans still face discriminatory voting practices at the polls. We must come together and finally #RestoreTheVote for all.,2019-12-06 14:15:00,TweetDeck,28,122
We must continue to fight. #HandsOffSNAP,2019-12-04 20:32:06,Twitter Web App,14,58
The SNAP rule escalates the USDA's war on people in need during a time when too many are forced to stretch already-thin budgets to make ends meet. #HandsOffSNAP I have signed on to multiple letters and spoke at hearings opposing this rule and I am disappointed to see it pass. https://t.co/ue5JZiSsxy,2019-12-04 20:32:05,Twitter Web App,38,82
https://t.co/Iud06Zm0JZ,2019-12-04 20:01:13,Twitter Web App,2,37
I spoke on the House Floor to show my support for the bipartisan bicameral TRACED Act which requires phone companies to offer screening technologies to identify and block spam robocalls at no cost to customers. I urge my colleagues to support the TRACED Act. #NOROBO,2019-12-04 19:01:32,Buffer,11,90
Vineland New Jersey jumped straight into the spirit of the season over the weekend at their Main Street Vineland Christmas Parade. Thanks for having me! https://t.co/IdIC7BUewY,2019-12-04 14:05:07,Buffer,2,29
LWCF has historically been scavenged and allocated to other budget areas. Protect our green spaces and #FundLWCF! https://t.co/7uhnx7iQOk,2019-12-03 21:14:53,Twitter Web App,4,22
We are still working to get a vote on H.R. 3195 the Land and Water Conservation Fund Permanent Funding Act. This would protect LWCF which funds parks &amp; recreational opportunities with royalties from oil &amp; gas drilling.,2019-12-03 21:14:52,Twitter Web App,8,53
The Fair Indexing for Health Care Affordability Act is a common-sense solution that will protect costs &amp; make health care more accessible for South Jersey individuals &amp; families. We should be working on solutions to lower costs not increase them. MORE: https://t.co/rQWeScCiuA https://t.co/Tbi406GYmK,2019-12-03 19:02:15,Twitter Web App,1,10
Small businesses create 2 out of 3 new jobs &amp; veterans own nearly 10% of all businesses in the U.S. Whether you live in a major city small town or #rural area #shopsmall &amp; support your community today on Small Business Saturday! Find a business near you. https://t.co/OTvWHC02Of,2019-11-30 15:05:00,Buffer,8,29
Happy Thanksgiving! May you find many reasons to give thanks this year. #HappyThanksgiving2019 https://t.co/UQCSQCD6OI,2019-11-28 13:00:06,Buffer,1,39
The United States has always stood as a beacon of freedom and opportunity and we should continue to do so.,2019-11-25 19:58:56,Twitter Web App,48,217
In light of the recent revelations regarding White House Senior Advisor Stephen Miller we must stand up against white supremacist terrorism and the racist rhetoric that encourages it. That is why I am an original  cosponsor of H.Res. 299.,2019-11-25 19:58:56,Twitter Web App,315,1062
I want to thank Madison Stiles Marissa Marchese and Jaslene Candelaria for the selfless and benevolent work they do for our community through their platform as pageant titleholders. Our future is in wonderful hands with you three. https://t.co/AZMKlHnMLe,2019-11-23 16:00:34,Buffer,5,21
In a region wrought with strife the shared democratic values between the U.S. and Israel have been the foundation for our historic and deep-rooted partnership. These atrocious attacks on civilians are unacceptable. - JVD Read more.....  https://t.co/31f6ZssCl8,2019-11-22 21:53:07,Twitter Web App,6,21
William Mclees of Troop 79 in Somers Point New Jersey recently achieved the rank of Eagle Scout and I attended his Court of Honor. It was great to see the photo from when I attended his Cub Scout Ceremony as well. Thank you for having me and congratulations on your achievement! https://t.co/2wrOknkiGG,2019-11-22 21:38:13,Buffer,6,26
Today I wanted to recognize @AtlantiCareNJ a major health system in South Jersey for over a century.  We are lucky to have Atlanticare’s accessible medical services &amp; outreach programs to better our region. Thank you to Atlanticare and its staff for taking care of our community! https://t.co/4RYf01urS8,2019-11-22 19:49:51,Buffer,5,15
Thank you to the 2000+ people that participated in the town hall last nightl. We got through as many questions as possible. If you would like to speak with the Congressman you can schedule a call or a meeting by calling our office at 1(202)225-6572 https://t.co/L0dkNby3Og,2019-11-22 19:32:54,Buffer,2,20
Today on National Rural Health Day I spoke on the importance of Rural Health Care across America.   We must act on health legislation that supports the development and accessibility of community health centers for these rural communities and ultimately save lives. @HouseBlueDogs https://t.co/PPSM9r6cio,2019-11-21 18:45:08,Buffer,6,24
This Thursday from 5:30 to 7 PM EST I will hold another Tele-Townhall event. I want YOU to join the conversation and tell me what is on the minds of the people of South Jersey.  To participate in the event you can visit https://t.co/ekExAmYxe8 at the time of the event. https://t.co/zpTx1gcvWJ,2019-11-19 19:20:32,Buffer,6,18
We held a Service Academy Information Day for everyone interested in applying to a U.S. Service Academy as well as parents coaches and school counselors. I want to thank everyone for attending and I wish the best of luck to all who apply for a Service Academy. https://t.co/FPyMkupkN7,2019-11-18 21:17:31,Buffer,3,26
sending their kids to school nor does it do anything for those who have lost loved ones. Right now we must come together as a community but we must act on the common sense bipartisan solutions to this recurring issue. -JVD,2019-11-16 19:54:23,Twitter for iPhone,5,38
I am heartbroken to hear of the senseless act of violence at the Pleasantville High School football game Friday evening. My thoughts are with the victims and their families as well as all those affected. Unfortunately thoughts won’t help parents feel safe,2019-11-16 19:51:45,Twitter for iPhone,10,62
@SalemMedCenter Salem Medical Center recently celebrated 100 years of service to the South Jersey community. I want to thank them for their reliable service to South Jersey for the past 100 years and hope that they continue to flourish in Salem County for 100 more. https://t.co/E3iNG89x8t,2019-11-15 16:29:08,Buffer,0,0
Last month I had the honor of meeting with @JackandJillInc New Jersey's teen representatives. For the past 80 years the Eastern Region of Jack and Jill of America has been impacting the lives of children by making them civically engaged charitable and selfless leaders. https://t.co/qTsWuUd0Ku,2019-11-14 22:41:40,Buffer,7,28
I made my way around South Jersey to as many #VeteransDay events as possible yesterday. These photos are from the Veteran's Day observance at Brown Memorial Park in Atlantic City New Jersey. https://t.co/2kfwScZTC8,2019-11-12 21:11:27,Buffer,5,41
I walked in Lower Townships 2nd Annual Veterans Day Parade over the weekend and got to stop by and chat with a bunch of amazing members of the South Jersey community. https://t.co/WfYJou42S4,2019-11-11 20:30:27,Buffer,2,16
The VFW Post 8098 in Egg Harbor Township New Jersey held their Quilts of Valor Ceremony on Saturday and I stopped by to say hello to the community and our veterans. https://t.co/LNo4O5eEaK,2019-11-11 19:30:37,Buffer,3,12
Over the weekend I joined the @littoralsociety American Littoral Society at Cooks Beach in Middle Township NJ for their dedication to our veterans ceremony. https://t.co/bNz6Tr2yoZ,2019-11-11 18:02:06,Buffer,3,13
Today I joined Egg Harbor Township High School at their Wall of Honor Dedication Ceremony. #VeteransDay,2019-11-11 17:54:04,Buffer,2,11
I joined local Mayors to host a press conference to announce the recommencement of the Stone Harbor Renourishment Project. I am proud to get this done in a bipartisan way protect the coastline from storm damage and create critical habitat for a variety of migratory birds. https://t.co/XcaOKFcq6w,2019-11-08 20:05:34,Buffer,3,10
UPDATE: The power has been restored at our District Office in May’s Landing and we are fully operational.,2019-11-01 17:35:59,Twitter for iPhone,2,5
ATTN: Due to a car accident nearby our district office is currently without electricity. If you are trying to contact our office please call our DC office at (202) 225-6572,2019-11-01 16:09:49,Twitter for iPhone,5,5
Today at the @HouseAgDems Hearing Reviewing the State of Organic Agriculture - Producer Perspectives I spoke about the importance of SJ in the growth of organic farming.  The 2nd District of NJ is a top producer in almost every category in agriculture including organic farming. https://t.co/U9QWR5rvEW,2019-10-30 20:38:19,Buffer,12,71
The bipartisan #ProtectOurElections Act prohibits foreign ownership and control of our elections systems. It is a simple and essential measure to ensure that foreign governments do not sow doubt in our elections. https://t.co/PVijrrfazH,2019-10-23 13:00:10,Buffer,24,88
Election Security is one of the biggest issues facing our country today. This bill takes essential steps toward securing our elections. https://t.co/SeJCXLRwIo,2019-10-22 19:56:06,Twitter Web App,24,57
I am proud to join my co-chair of the @HouseBlueDogs election security task force @RepKendraHorn to introduce the #ProtectOurElections Act a bill to prohibit foreign ownership or control of our elections systems. https://t.co/g1QYLylXLw,2019-10-22 19:56:05,Twitter Web App,8,32
"It’s a simple concept but the stakes are high. Without dedicated funding the promise of LWCF and all its many benefits to our communities remain at risk." #FUNDLWCF  @BrianFitzUSA https://t.co/r3nI8plqO9,2019-10-22 18:58:45,Twitter Web App,6,24
Today I met with staff from the @NJSP Office of Professional Standards &amp; Major Wayne Korte. This team works to assure that the division members meet the highest standards of integrity &amp; ethical performance. I want to thank the group &amp; Major Korte for coming by! https://t.co/hOcWi1CkMa,2019-10-21 22:18:30,Buffer,3,7
I met with @aacomas &amp; @RowanSOM students &amp; Dean Thomas Cavalieri. The American Assoc. of Colleges of Osteopathic Medicine was founded in 1898 to lend support &amp; assistance to the nation's osteopathic medical schools &amp; to serve as a unifying voice for osteopathic medical education. https://t.co/jHW4wLTf3H,2019-10-17 21:05:55,Buffer,3,16
I am sad to hear of the passing of Representative Elijah Cummings. He was a strong voice and a dignified leader. My condolences go out to his family friends and all of those who knew him.,2019-10-17 13:57:16,Twitter for iPhone,4,18
Today I met with @CapeMayBrewCo &amp; @beerinstitute a national trade assn. representing brewers beer importers &amp; the beer supply chain. This industry contributes $328 billion to our economy generating over 2.1 million American jobs including 6428 jobs in NJ’s 2nd district. https://t.co/WWPYEZFmzY,2019-10-16 20:51:56,Buffer,6,25
The Belleplain VFW in Woodbine NJ held their "Afternoon of Comradery" on Sunday to honor the state auxiliary. https://t.co/B7Z4kHsspv,2019-10-16 18:00:22,Buffer,2,8
Over the weekend I attended the 19th Annual "Ride for the Vets" with the American Legion Riders at Post 352 in Somers Point NJ. https://t.co/YZfyb5Q5ZF,2019-10-16 15:16:32,Buffer,3,14
I strongly disagree with the president’s decision to withdraw U.S. troops from Syria. President Erdogan of Turkey wasted no time on his offensive in the region and we must work in a bipartisan manner to immediately stop Turkey from killing our allies. https://t.co/ifbpfAFrul,2019-10-15 20:18:01,Twitter Web App,8,18
I was honored to be the featured speaker at the Chamber of Commerce Southern NJ Congressional Action Committee meeting in Vineland NJ to speak about the agenda for the 116th Congress and hear about what matters to them. https://t.co/XtxOZZJURr,2019-10-11 18:20:50,Buffer,2,6
Yesterday I attended the State Medal Ceremony at Music Pier in Ocean City NJ. Our veterans are the heroes of our nation and deserve to be treated as such for being staunch defenders of our freedom. https://t.co/ptLSlTvj1Q,2019-10-11 18:20:43,Buffer,3,10
Over the weekend I attended a benefit for Marcelo Llufire. He is a true inspiration. You and your family are in our thoughts and prayers. https://t.co/IrRJzKMQkn,2019-10-10 21:13:31,Buffer,3,7
I joined the Cape Atlantic Conservation District to tour multiple sites and programs throughout Atlantic and Cape May counties. Conservation is key to a healthy environment and a better future for all. https://t.co/7K6P8JCXjW,2019-10-10 20:48:15,Buffer,2,11
Yesterday I attended the ribbon cutting for the New Public Works Facility and proposed new site for Port Norris Communication Tower. https://t.co/BuGdKje5QK,2019-10-10 15:56:39,Buffer,2,8
I recently introduced the American Workforce Empowerment Act with @rephagedorn This is a bipartisan solution to address the growing shortage of skilled workers to fill job openings in the technical &amp; skilled trades &amp; incentivize technical skills training and apprenticeships. https://t.co/7B4l4R47hN,2019-10-09 19:57:56,Buffer,9,23
https://t.co/0a1A09wiQ1  I strongly disagree with the President’s decision to withdrawal U.S. troops from northeastern Syria. Our Kurd allies have been instrumental in our fight against ISIS. Our allies must know America always fulfills its responsibilities.,2019-10-08 21:00:18,Twitter Web App,8,14
This week for the NJ02 Photo Contest Feature we have this beautiful image submitted by Hatchlings17!   You can always send us your photos of South Jersey at photos.nj02@mail.house.gov https://t.co/Ib9o0QcYPn,2019-09-25 08:30:01,Buffer,5,29
.If you or a loved one is struggling with a mental health or substance use disorder know that recovery is possible. 📞SAMHSA’s National Helpline 1-800-662-HELP (4357) Find the resources you need: https://t.co/kQiFoIpRjz,2019-09-24 22:19:57,Twitter Web App,5,6
I stand with South Jersey community members who are struggling with mental health and substance abuse. You are not alone. #EndTheStigma #RecoveryMonth https://t.co/QNF406zybG,2019-09-24 22:19:57,Twitter Web App,6,30
The Gloucester Co. Freeholders held a ceremony to honor 78 veterans 11 posthumously by presenting them with the Gloucester County Military Service Medals. I was honored to participate &amp; thank all service members for their duty &amp; time serving our country. https://t.co/3KKbZytj7i,2019-09-24 17:58:14,Buffer,6,24
At the Atlantic City Latino Festival we celebrated Hispanic Culture Music and Art. This event was requested at the Latino Town Hall held back in June and it coincides with Hispanic Heritage Month. I was happy to join in on the celebration! https://t.co/EJPgkMg0qi,2019-09-24 15:37:44,Buffer,1,8
ICYMI: Congressman Jeff Van Drew Announced Three SAFER Grant Awards Exceeding $6000000 to Fire Stations in South Jersey https://t.co/Gq7nNLTIlD,2019-09-22 23:51:34,Twitter for iPhone,3,11
This last weekend I participated in the installation of a new Cantor Harvey Wolbransky at the Congregation Shiraz Hayam in Ventnor New Jersey. https://t.co/MFwhfT3vzr,2019-09-19 21:00:44,Buffer,2,7
Military service is among the most meaningful ways to protect American democracy. Generations of men and women form a core part of this nation’s identity: Sacrifice to uphold the freedom of others.,2019-09-19 17:34:00,Twitter Web App,5,8
The Press of Atlantic City is honoring veterans by asking them to share their stories to be included in a special which will come out on November 10th.  The DEADLINE for all submissions is FRIDAY OCTOBER 18 2019 @ 11:59 PM.  https://t.co/V1IA1DMHea,2019-09-19 17:34:00,Twitter Web App,3,6
At the American Legion Post 469 8th Annual Wounded Warrior Week Reception we honored Purple Heart Recipient SO-1 Joseph Hahn US Navy Special Operator First Class - Navy Seal. https://t.co/hNK6xd73HK,2019-09-19 17:15:07,Buffer,2,6
Over the weekend I visited the First Presbyterian Church of Clayton and met some incredible members of the community. https://t.co/2vqcnH5AXs,2019-09-19 16:50:17,Buffer,2,5
Newly minted Eagle Scout Sean Duffy decided to beautify the Nature Reserve in EHT for his project. I am inspired by brave &amp; passionate young people like Sean who step forward &amp; guide their peers to better our community. Thank you Sean for your contribution to South Jersey! https://t.co/sOndEwS0WD,2019-09-18 15:08:52,Buffer,3,12
This grant will directly save lives in our district. I thank Sherriff Eric Scheffler and Dr. Richard Jermyn who worked so hard for this grant and do so much for the community of South Jersey. https://t.co/p9LmYq0yyj,2019-09-17 22:11:17,Twitter Web App,2,4
The AFG program continues to help our first responders in South Jersey to get the protective equipment &amp; training they need. Our first responders perform invaluable work for their community each day and I thank them for all they do. https://t.co/KczMVxBFyb,2019-09-17 21:11:27,Twitter Web App,2,3
We have to be mindful of the people who’ve worked in and around the water and our own economy for years and as we went through the process of the hearing no one could argue that fishermen and those industries don’t deserve a seat at the table.  https://t.co/wo8hxo1kZ0,2019-09-17 16:07:02,Twitter Web App,2,5
Our featured NJ02 Photo Contest Featured photo of the week comes from Doreen with a photo from Long Beach Island NJ https://t.co/uuAcWxunfJ,2019-09-16 17:00:20,Twitter Web App,2,6
I also want to thank everyone who showed up especially the fishermen to show how important this is to our community! #ActOnClimate @littoralsociety @Stockton_edu,2019-09-16 16:52:38,Twitter Web App,3,5
I thank the @NRDems for bringing this hearing that is essential to our economic and environmental success to South Jersey and for allowing the fishermen's voices to be heard.,2019-09-16 16:52:38,Twitter Web App,2,5
Offshore wind is critical to meeting our clean energy goals to create good-paying jobs &amp; to reduce the threat of climate change. However our fishermen who have long made their living off of these waters need to be brought to the table so that their livelihoods are not impaired.,2019-09-16 16:52:37,Twitter Web App,5,7
It is a great honor to hold this hearing on Offshore Wind and its Impct on Fisheries in Wildwood NJ today! Tune in live! https://t.co/yKLLbNoGIx,2019-09-16 14:45:50,Twitter for iPhone,3,9
