...lone-wolf terrorists. I want to thank Director Maples for speaking and look forward to working with him on these very important issues. (3/3),2020-01-19 22:38:22,Twitter Web App,0,0
...and anti-Semitism in the country. As lawmakers we must do everything we can to stop these domestic terrorists including going after their finances through legislation like the FASTER Act which helps law enforcement freeze the assets of ISIS-inspired... (2/3),2020-01-19 22:38:21,Twitter Web App,0,0
Honored to have Jared Maples Director of @NJOHSP speak at a Financial Services subcommittee hearing to address the growing threat of financing domestic terrorism extremism white supremacists... (1/3) https://t.co/DUHCrudLOi,2020-01-19 22:38:21,Twitter Web App,1,5
...as a part of the NJ Complete Count Commission’s efforts. Thank you to Freeholder Chair Amoroso Freeholder Ortiz and NJ Secretary of State Tahesha Way Esq. for hosting! (2/2),2020-01-19 16:10:28,Twitter Web App,0,1
#TeamGottheimer took part in the NJ Department of State US Census Training. At this training electeds town representatives community organizations and nonprofits from every county in NJ were gathered to learn about the 2020 Census... (1/2) https://t.co/lYNm912Wu1,2020-01-19 16:10:27,Twitter Web App,1,5
In the worst cases of bullying and harassment some feel like there’s no escape.   We're working together to change that. (2/2),2020-01-18 20:28:27,Twitter for iPhone,1,2
I'm proud to be partnering with Jane Clementi of the @TylerClementi Foundation to launch our new North Jersey Anti-Bullying Task Force. (1/2)  Watch more here:  https://t.co/zOOx9RXiBl,2020-01-18 20:28:26,Twitter for iPhone,4,10
The @ProbSolveCaucus launched a bipartisan working group to address war powers responsibilities. Congress must fulfill its obligations under the Constitution regarding war including authorizations for use of military force (AUMF).   I hope to see you in North Jersey soon! (4/4),2020-01-18 17:47:49,Twitter Web App,0,3
I met with friends and leaders from New Jersey's Jewish Federations to discuss combating anti-Semitism protecting religious institutions and strengthening the bipartisan U.S.-Israel relationship. (3/4),2020-01-18 17:47:48,Twitter Web App,0,2
The Financial Services Committee heard testimony from our very own @NJOHSP Director @JaredMaples on combating domestic terrorism anti-Semitism &amp; extremism &amp; we discussed my FASTER Act to freeze assets of suspected terrorist to prevent attacks from unknown accomplices. (2/4),2020-01-18 17:47:48,Twitter Web App,0,0
Watch my weekly update here! This week the House passed a joint resolution I cosponsored to halt a rule that would make it easier for predatory institutions to scam hardworking students into lifelong debt. (1/4) https://t.co/JdvYihkMxq,2020-01-18 17:47:18,Twitter Media Studio,2,5
Thank you to Remi the @MaywoodPolice and all of our law enforcement throughout Bergen County and the Fifth District for keeping our communities safe. We must always have your backs including our K-9 friends! #NJ5  https://t.co/ksejzv48w8,2020-01-18 17:08:39,Twitter Web App,2,5
I’m calling on the Moocher States not to take a nickel more than they pay into the kitty. It’s time they live up to their rhetoric. (4/4),2020-01-17 18:05:52,Twitter Web App,1,6
Just look at our roads and bridges and our taxes which are too high &amp; it’s clear that we simply can’t afford it.  According to this data New Jersey receives 79 cents in return for every dollar we send to Washington compared to New Mexico which gets $2.73.  It’s a joke. (3/4),2020-01-17 18:05:52,Twitter Web App,2,8
New Jersey's hardworking taxpayers are consistently sending billions of dollars more to Washington than our state is receiving back while the Moocher States keep making out like bandits. (2/4),2020-01-17 18:05:51,Twitter Web App,0,2
THREAD:  This is yet another clear example of how New Jersey is footing the bill for the Moocher States who are continuing to take our hard-earned dollars to pay their state bills. We simply can’t afford to foot the bill. (1/4)  https://t.co/ntxgYU8dRY,2020-01-17 18:05:51,Twitter Web App,4,10
Through working with Dumont Mayor LaBruno and other community leaders we're glad that CSX is focusing on making repairs and keeping residents safe. The safety of our community is paramount. (2/2),2020-01-17 01:06:58,Twitter Web App,1,4
Our local officials are working together with me to ensure CSX crossings are safe for Fifth District residents following serious concerns and deteriorating conditions in Dumont and Norwood. (1/2),2020-01-17 01:06:58,Twitter Web App,2,4
We need to be working together to protect students and make college more affordable. (2/2),2020-01-16 23:04:59,Twitter Web App,1,6
Today the House passed a joint resolution which I was proud to cosponsor to halt a @USEdGov rule that would make it easier for predatory institutions to scam hardworking students into lifelong debt. (1/2)   https://t.co/xxV6hGAKuF,2020-01-16 23:04:56,Twitter Web App,6,12
STATEMENT: Gottheimer Commends Senate Passage of Bipartisan USMCA Deal https://t.co/IOTvU7PCMk,2020-01-16 21:22:08,Twitter Web App,0,3
At a Financial Services Committee hearing this week to address homelessness tenant advocate Jeffrey Williams told us his story of coping with homelessness with his family and young children and what it will take to fix our broken system. Watch his compelling testimony here: https://t.co/j9H6ObOnS2,2020-01-16 21:05:07,Twitter Media Studio,1,9
...and senior issues. Attendees shared their experiences living and working in Sussex County. I want to thank Assemblymember Space and everyone else for taking part in the roundtable! (2/2),2020-01-16 18:35:17,Twitter Web App,0,1
#TeamGottheimer took part in a Rural Roundtable hosted by Sister Simone Campbell. Sister Simone is the Executive Director of NETWORK. The event covered a range of topics pertinent to Sussex County including agriculture high-speed internet transportation housing... (1/2) https://t.co/IqHuMByfsK,2020-01-16 18:35:16,Twitter Web App,4,9
Congrats to Sam and all the other firefighters sworn in! You all make Jersey proud you make the Boss proud and we will always have your backs. https://t.co/zKqZqxqqx2,2020-01-16 13:24:08,Twitter Web App,3,18
Everything please! Happy #NationalBagelDay New Jersey! https://t.co/rt0W5bHu8W,2020-01-16 01:55:10,Twitter for iPhone,1,5
We’re here to listen &amp; can assist with VA benefits Social Security Medicare &amp; much more. (2/2),2020-01-15 20:07:36,Twitter Web App,0,1
If you’re experiencing an issue with a federal agency please join my #NJ5 constituent services team for our mobile office hour today at the Norwood Council Chambers at 455 Broadway Norwood NJ from 5-6pm. (1/2) https://t.co/5m7XBmD5yq,2020-01-15 20:07:36,Twitter Web App,0,1
...helping stop domestic terrorism anti-Semitism and all acts of hate. @FSCDems (4/4),2020-01-15 18:13:37,Twitter Web App,0,4
We must combat these threats of hate extremism and domestic terrorism together -- Democrats and Republicans -- and with this hearing the Financial Services Committee will examine how our American financial institutions can play a role in... (3/4),2020-01-15 18:13:36,Twitter Web App,0,4
@NJOHSP Anti-Semitism is not only on rise around the world but also right in our own backyard. (2/4),2020-01-15 18:13:36,Twitter Web App,0,2
Today I spoke at the FSC Subcommittee on National Security with the Director of @NJOHSP Jared Maples where we examined the persistent and evolving threat of the financing of domestic terrorism and extremism including ISIS-inspired lone-wolf terror and white supremacists. (1/4) https://t.co/rMBK02tZHh,2020-01-15 18:13:08,Twitter Media Studio,5,17
...with this hearing the Financial Services Committee will examine how our American financial institutions can play a role in helping stop domestic terrorism anti-Semitism and acts of hate. (3/3),2020-01-15 13:16:33,Twitter Web App,5,15
...Anti-Semitism is not only on rise around the world but also right in our own backyard.  We must combat these threats of hate extremism and domestic terrorism together -- Democrats and Republicans -- and...(2/3),2020-01-15 13:16:32,Twitter Web App,7,15
Today the FSC Subcommittee on National Security will be examining the persistent and evolving threat of the financing of domestic terrorism and extremism including ISIS-inspired lone wolf terror and white supremacists... (1/3) https://t.co/xTl9Md87hh,2020-01-15 13:15:40,Twitter Media Studio,37,55
We’re here to listen &amp; can assist with VA benefits Social Security Medicare &amp; much more. (2/2),2020-01-14 22:15:24,Twitter Web App,1,2
If you’re experiencing an issue with a federal agency please join my #NJ5 constituent services team for our mobile office hour tomorrow at the Norwood Council Chambers at 455 Broadway Norwood NJ from 5-6pm. (1/2) https://t.co/QyoSUD4Vgd,2020-01-14 22:15:24,Twitter Web App,1,3
We must ensure that we're doing everything to help North Jersey's students and save lives. (3/3),2020-01-14 18:55:01,Twitter Web App,0,2
I supported legislation and policies to address the need for better data and incidents reporting more conversations between schools and parents schools taking more proactive steps and ensuring that our social media companies are properly combating cyberbullying. (2/3),2020-01-14 18:55:00,Twitter Web App,0,3
