I care about the budget. https://t.co/a0umobykOf,2020-01-18 21:17:08,Twitter for iPhone,60,382
The Government Accountability Office is a non-partisan independent agency that helps ensure our tax dollars are lawfully spent. They've concluded that the president broke the law when he froze aid Congress provided to Ukraine for political reasons. https://t.co/80GzB9seQC,2020-01-16 16:29:29,Twitter Web App,112,297
GOP Senators are entitled to be skeptical of Parnas since he wasn't under oath. They're not entitled to be skeptical while refusing to call sworn witnesses who could corroborate or refute him.,2020-01-16 13:26:48,Twitter Web App,1617,7563
I've been insisting along with @RepPeterDeFazio on stronger safeguards for transporting liquid natural gas by rail - monster trains with too few crew carrying LNG through New Jersey towns is a recipe for disaster. https://t.co/FGSqj4k2Zz,2020-01-14 22:38:22,Twitter Web App,14,55
The State Dept. tweeted this in the middle of our hearing but in fairness to Sec. Pompeo the interview was last night.   Still if he's willing to take Iran questions from FOX he should take them from Congress. When I was at State I never declined a request to testify! https://t.co/bsZOrw0bK9,2020-01-14 20:34:20,Twitter Web App,80,252
Pompeo talks Iran on Fox News at the very moment we’re conducting a House hearing on Iran that he was too busy — or scared — to attend. https://t.co/6pyInnfEy5,2020-01-14 18:13:06,Twitter for iPhone,1298,2661
My friend @CoryBooker ran one of the most principled positive and unifying campaigns I've ever seen. I am very sorry to see him leave the race but expect great things ahead.,2020-01-13 17:14:08,Twitter Web App,31,368
In a hearing today I asked Army Asst. Sec. R.D. James who oversees the Army Corps of Engineers if it would be sensible to ignore how a coastal road or bridge might be threatened by sea-level rise as the administration's new environmental review rule proposes. He said "no.",2020-01-09 17:53:25,Twitter Web App,46,147
My thoughts are with our military and diplomatic personnel in grave danger. Our highest priority now must be protecting them.,2020-01-08 00:43:30,Twitter for iPhone,52,317
Soleimani was a mass murderer. I take seriously the moral arguments for stopping him. But somehow I doubt the president or Pompeo made this call for moral reasons or that they understand how to keep the moral high ground that is America's greatest advantage in the world.,2020-01-07 16:09:43,Twitter Web App,86,455
Things no Democrat has said about Soleimani: - "It's a mean and nasty world out there" (Pompeo when asked about the Saudis killing Kashoggi) - "You think our country is so innocent?" (Trump when asked about Putin killing journalists) - "We fell in love" (Trump on Kim Jong Un) https://t.co/m1lf68QV4O,2020-01-07 16:09:41,Twitter Web App,1797,4972
I haven't seen the intel but in the days leading to the strike we weren't telling Americans to leave Iraq for their safety or suspending vital ops with the Iraqi army or rushing troops to protect our bases &amp; embassies. The threat seems more imminent now than before. https://t.co/4UTa5K3TbH,2020-01-07 15:51:52,Twitter Web App,555,1685
So if you’re indicted by a grand jury you can’t introduce new evidence in your trial??? https://t.co/dl5LBxXPiS,2020-01-06 21:00:37,Twitter for iPhone,73,361
If you're an American in Iraq the administration has told you to leave immediately acknowledging that the threat is more imminent now than before the strike. https://t.co/Fm0Yxtu1GD,2020-01-05 15:18:49,Twitter Web App,51,155
Yesterday the State Dept. said that "we're speaking in a language the regime understands." Now we know what they meant: Trump is literally speaking as an Iranian leader would threatening a war crime.   Presidents should speak in a language that distinguishes us from our enemies. https://t.co/Z9nXVD0syd,2020-01-05 01:31:11,Twitter Web App,88,378
The administration says environmental reviews shouldn't delay infrastructure projects yet refuses to release the long overdue review for the #Gateway tunnel. So climate change can't be a factor in deciding what to build but sticking it to NJ and NY can. https://t.co/WE4yIj1B40,2020-01-04 01:29:47,Twitter Web Client,43,114
With lives in the balance let's keep politics out of this. Democrats shouldn't denounce the strike just because Trump did it. Republicans should urge him for once to stay off Twitter take legitimate concerns seriously and manage the risks responsibly. @LindseyGrahamSC,2020-01-03 15:15:35,Twitter Web App,19,106
4. Repair the harm you've done to our relationship with Iraq (i.e. stop talking about taking their oil and truly engage with their leaders and people). If we're forced to leave Iraq after this Iran wins big.,2020-01-03 15:15:35,Twitter Web App,10,87
3. Show that our Middle East policy isn't just about fighting Iran. This would be a good time to tell the Saudis to stop the carnage in Yemen and make clear we support the young people in the region protesting the corruption &amp; autocracy backed by both Khamenei and MBS.,2020-01-03 15:15:35,Twitter Web App,8,80
2. Launch a diplomatic effort that our allies can get behind to prevent this from escalating into war with Iran or bloody attacks on our troops/diplomats/regional allies. I don't think Iran wants a war but they need to see the world united and a reasonable way out.,2020-01-03 15:15:35,Twitter Web App,7,79
What's needed now from the administration:  1. Immediately brief Congress on the intelligence the administration claims required the strike. When you lie about big and small things each day no one is going to trust you unless you show the evidence.,2020-01-03 15:15:34,Twitter Web App,15,104
Suleimani was a mass killer with the blood of Americans and countless Syrians/Iraqis/Iranians on his hands. Targeting him would be morally justified if part of a  strategy to stop further bloodshed which I doubt this administration has the wisdom skill or credibly to execute.,2020-01-03 15:15:34,Twitter Web App,59,260
Thanks to Millburn's Chai Center Chabad for convening a discussion tonight on rising anti-Semitism. As one participant said: this is not a Jewish problem; it's an American problem. None of us are safe unless all of us are safe. https://t.co/MDcBMUOIk6,2020-01-03 04:08:17,Twitter Web App,12,114
In parts of my district (e.g. Hunterdon County) Planned Parenthood runs the only clinic where low income women can access affordable cancer screenings family planning STD testing etc. Righting this wrong makes our whole community healthier. https://t.co/x25UQl3fgB,2020-01-02 20:49:50,Twitter Web App,74,319
@SusanPepe6 Thank you!,2019-12-30 23:41:38,Twitter for iPhone,0,1
Checks and balances are back - #2019in5words.   If you'd like to keep my voice in Congress and keep a majority that will protect our democracy please consider making a donation before our end of year deadline tomorrow! This one really counts. https://t.co/evjAP1kiMj,2019-12-30 20:14:15,Twitter Web App,17,68
Yesterday's attack in Monsey is just the latest horrific manifestation of rising anti-Semitism in our country. What's needed now is solidarity with our Jewish neighbors coordinated federal/state law enforcement efforts and honest reflection on what's driving this hate. https://t.co/y2IKITKD9a,2019-12-29 15:19:07,Twitter Web App,47,179
I thought getting 18 out of 37 on the New York Times very hard baseball trivia quiz was pretty good. But here is their evaluation. Fake news! https://t.co/6bzL1VO4dE https://t.co/mKXA8UNQ0N,2019-12-28 18:11:54,Twitter Web App,3,29
1. Not fiction. The CIA admitted torture was wrong. 2. If you want to defend the patriots at @CIA talk to the president who trusts Putin over them and accuses them of a "deep state" conspiracy. 3. Try defending the patriots at @StateDept too. https://t.co/si1UhJNPI8,2019-12-28 16:27:44,Twitter Web App,284,993
@VoteSalmon @HouseForeign @HouseOversight I have spoken.,2019-12-27 23:49:58,Twitter Web App,0,3
Expect subpoenas soon. @HouseForeign @HouseOversight https://t.co/KAXvDT1onj,2019-12-27 23:47:15,Twitter Web App,13,87
The SEALs who tried to stop Gallagher from killing more civilians and who then turned him in exemplify the honor and decency that distinguish our servicemen and women from the enemies they fight. If you stand with our military stand with them. https://t.co/NkanTImU3D,2019-12-27 20:09:20,Twitter Web Client,275,1040
One of many wins in the budget we just passed! https://t.co/myObTXiNXV,2019-12-23 19:29:14,Twitter for iPhone,16,124
A great piece with a few of my thoughts about the extraordinary final days of our year in the House. https://t.co/iOC8UNHItQ,2019-12-20 20:13:44,Twitter Web Client,14,46
We did 3 things this week that only a Democratic House could have done: - Vote to restore SALT deduction. - Negotiate &amp; pass a bipartisan trade agreement w/Mexico/Canada that labor &amp; business back. - Hold the president accountable. Thanks to all whose votes made this possible!,2019-12-19 22:13:33,Twitter Web App,67,302
I was proud to lead the final debate on the House floor with @katieporteroc. We will now press the Senate relentlessly to take this up as part of any tax reform going forward. Till then only the Senate leader stands between us and the tax relief we need.,2019-12-19 21:41:27,Twitter Web App,16,134
The House just passed our bill to restore the SALT deduction! A promise kept to New Jersey and middle class taxpayers everywhere.,2019-12-19 21:21:45,Twitter for iPhone,64,431
With bots like these who needs enemies? 😊 https://t.co/p3tvnPCkHt,2019-12-18 23:55:43,Twitter for iPhone,17,373
I’ll be speaking on the House floor in about 30 minutes.,2019-12-18 21:58:19,Twitter for iPhone,10,218
“The prosecutor’s case that I robbed a bank is easily disproved by the fact that I was caught and the bank still has the money.” https://t.co/LYeExmTASj,2019-12-18 17:21:37,Twitter for iPhone,109,421
“There’s one thing that virtually everybody I represent agrees on and that is that this decision on this issue has to be made based on what’s right and wrong not based on politics.” https://t.co/w0UNfjLll9 via @YouTube,2019-12-18 15:56:47,Twitter Web Client,46,207
