WE must wake up every single day and do everything we can to win on November 3rd!    Let's win for our country because there is too much at stake!,2020-01-19 20:56:36,TweetDeck,3,26
Who will you register to vote? What colleagues or classmates will you talk to? What candidates will you call or knock doors for? And if your situation permits – what candidates will you make campaign donations to?,2020-01-19 20:56:06,TweetDeck,5,27
I’ll say it again: THIS IS THE MOST IMPORTANT ELECTION OF OUR LIFETIME. Everything WE have is on the line including our Democracy and we must rise up to protect and defend it together!,2020-01-19 20:55:26,TweetDeck,8,33
- Women’s reproductive rights  - full scale rollbacks of environmental protections  - stacking the federal courts with far right judges  - our public schools  - our public lands  - working families  - Human dignity for immigrant and refugee families - Our DREAMERs and more,2020-01-19 20:55:06,TweetDeck,9,23
Everything we march for is under attack by this administration.,2020-01-19 20:53:53,TweetDeck,4,17
INCLUDING the Violence Against Women’s Act — which includes the important amendments that I added to protect Indigenous Women!,2020-01-19 20:53:02,TweetDeck,5,26
I’m asking you to call Senator Mitch McConnell AKA MOSCOW MITCH so this resolution doesn’t become another sad addition to the McConnell graveyard which is where more than 400 bills that will improve the lives of New Mexicans and all Americans have gone to die.,2020-01-19 20:52:35,TweetDeck,6,21
I along with House Democrats passed a resolution calling his actions unconstitutional and reasserting Congress’ authority to hold him accountable if he decides to take us down this dangerous path to war again.,2020-01-19 20:52:14,TweetDeck,4,20
It goes without saying that under this administration we are less safe than ever before. A few weeks ago the president took reckless action that put the United States on a dangerous path to war.,2020-01-19 20:51:51,TweetDeck,3,15
It’s time to kick the climate denier-in-chief out office so we can fight for a Green New Deal that will revitalize our economy create jobs and bring climate justice to every community across the country.,2020-01-19 20:50:58,TweetDeck,6,27
With our elected leaders like  Governor Lujan Grisham and Mayor Tim Keller along with our hardworking New Mexico federal delegation New Mexico and ABQ are leading the way and we’re ready to do all we can for our entire country to follow suit.,2020-01-19 20:50:45,TweetDeck,2,17
These aren’t bold ideas – they are ideas that have needed to happen for a long time to fight climate change and give people a fighting chance.,2020-01-19 20:49:05,TweetDeck,3,15
We passed a bill to protect Chaco Canyon we’ve sponsored the climate change emergency resolution a zero waste bill and my newest bill that calls for net zero emissions on Public Lands by 2040.,2020-01-19 20:48:53,TweetDeck,2,17
We are working every day to protect our public lands from this Administration who has given oil and gas a free ride resulting in our public lands emitting 25% of the carbon into the atmosphere.,2020-01-19 20:48:38,TweetDeck,2,20
As Vice Chair of the Natural Resources committee my colleagues and I are leading the charge to combat climate change and for climate justice for ALL New Mexicans and all Americans.,2020-01-19 20:48:15,TweetDeck,5,30
When I announced my candidacy for Congress I said it loud and clear and as we have brought witnesses to testify publicly that we are in a CLIMATE EMERGENCY.,2020-01-19 20:47:58,TweetDeck,5,34
I recently went to northwest NM smelled the poisonous air and saw the methane spewing out of the pipes. This is air that our children breathe and it's making them sick.,2020-01-19 20:47:37,TweetDeck,4,26
All this while this administration is doing all it can to gut the EPA and give free reign to the industries that wreck and pollute our environment. We know that one of the biggest threats to our health are impacts of climate change.,2020-01-19 20:47:13,TweetDeck,3,23
In the House we are standing up and fighting for women’s reproductive rights and doing everything we can to stop the daily attacks.,2020-01-19 20:46:48,TweetDeck,5,29
Trump and the Republicans are doing everything they can to take away access to women’s reproductive healthcare and this must be stopped.,2020-01-19 20:46:33,TweetDeck,8,35
As a single mom who raised my an amazing queer daughter I used Planned Parenthood for my healthcare — like many New Mexicans because it’s affordable and accessible.,2020-01-19 20:46:16,TweetDeck,5,48
We all learned a hard lesson in 2016 and now WE must do everything we can to ensure the Democratic nominee is inaugurated in 2021 and that we say goodbye to the current occupant of the White House!,2020-01-19 20:45:46,TweetDeck,7,38
For years elected officials said “this is the most important election of our lifetime” but they were wrong — THIS IS THE IMPORTANT ELECTION OF OUR LIFETIME.,2020-01-19 20:45:13,TweetDeck,5,33
What a beautiful crowd of  New Mexicans! Thank you for being here to show our strength and to stand up for the values we all believe in.  Today we are here marching and ensuring our voices are heard in 2020! https://t.co/vPh9QxbDuG,2020-01-19 20:44:33,TweetDeck,64,384
.@MayorKeller signed my petition today to be on the ballot.  Thank you so much Tim for your leadership and all that you do for Albuquerque! https://t.co/rvbrvUeWp8,2020-01-19 20:42:34,TweetDeck,7,75
@BobMoriartyABQ @SpencerFDixon @ewarren Hey Bob! Happy New Year! Thank you for checking in while I was in the deep freeze!,2020-01-19 03:57:45,Twitter for iPhone,0,3
#BeFierce https://t.co/1ZCvQa4zK7,2020-01-19 02:03:34,Twitter for iPhone,19,100
Proud to stand with @ewarren in Iowa! #Warren2020 https://t.co/9B4cFC7zK0,2020-01-18 15:05:52,Twitter for iPhone,90,699
@CheriBustos @dccc @dscc @scdp Thank you Madam Chair!,2020-01-18 04:30:29,Twitter for iPhone,0,4
@MayorKeller @abqride Thank you. Good call!,2020-01-18 02:32:44,Twitter for iPhone,0,3
Elections are won in the trenches but they start in small room like this in Carroll Iowa with people who believe in fighting for something bigger and better than themselves.  @IAforWarren @TeamWarren #PrecinctCaptains https://t.co/S3jfS8Vexl,2020-01-18 01:20:09,TweetDeck,38,188
⁦@ewarren⁩ is my candidate! Don’t delay - support her now! #Warren2020 https://t.co/PzPAASKyHC,2020-01-17 21:51:40,Twitter for iPhone,187,1821
So proud to be in Newtown Iowa today to introduce a fighter for the people an effective legislator a woman who lays it all on the line for the American people. And a truly kind and loving soul. My friend the unstoppable @ewarren. @TeamWarren @IAforWarren https://t.co/nd5vLS2T14,2020-01-17 21:43:41,TweetDeck,23,173
A huge crowd to listen to our next president: “our government needs to work for the rest of us;” snow and freezing temperatures will not keep us away! #Warren2020 https://t.co/Z26PrvKVFn,2020-01-17 21:40:38,Twitter for iPhone,6,75
