I’m honored to receive an “A” rating from @StopBigMoney for my work on restoring our democracy and making our government more accountable to its citizens. https://t.co/6rXuEJ2eNN,2020-01-19 17:40:28,Twitter for Android,9,39
#TeamTitus attended today's opening ceremony for the "Voice of Spring" art exhibition hosted by the Nevada Chinese Association. #OnlyInDistrict1 https://t.co/KkynLrVA1u,2020-01-19 02:17:46,Twitter for Android,2,10
We have to ensure that everyone understands the importance of their participation in the #2020Census. Funding for our hospitals schools and roads is on the line. #NVCensus https://t.co/wlGUJk1GOs,2020-01-18 16:39:10,Twitter for Android,8,19
Tonight #TeamTitus welcomed the new Vice Consul at @consulado_las Silvia Romero. https://t.co/jsTekTFkTx,2020-01-18 03:42:33,Twitter for iPhone,1,5
.@AFWERX is helping the Air Force improve its technology and security. This afternoon #TeamTitus stopped by the Las Vegas campus for an event hosted by @VetsInTech to connect veterans with job opportunities. https://t.co/JTbbBvw8xs,2020-01-18 00:49:44,Twitter for Android,2,6
#TeamTitus visited the 2020 #MLK Tech Summit today with @TheTechQueen at @Zappos to see how @CCSD students are using technology to prepare them for their future careers. #DTLV #OnlyInDistrict1 https://t.co/gHspDQrBG9,2020-01-18 00:28:47,Twitter for Android,1,5
Congratulations to the Medical Skills for Life Institute on the grand opening of your new location. Thank you for expanding access to career training for medical professionals. #OnlyInDistrict1 #TeamTitus https://t.co/s5ifaasfq2,2020-01-17 22:49:06,Twitter for Android,1,6
#TeamTitus is at #PreviewLV this morning with the @lvchamber to hear the latest economic outlook for Southern Nevada from @AppliedAnalysis and the @NFL's plans for Vegas from Commissioner Roger Goodell. #OnlyInDistrict1 https://t.co/IMJahN9GoC,2020-01-17 19:07:35,Twitter for Android,2,8
#TeamTitus was on hand to congratulate the Fourth Quarter Award winners at @NellisAFB. Thank you for your service! https://t.co/7PlkkYILfO,2020-01-17 17:03:05,Twitter for Android,3,6
#TeamTitus attended tonight's @FoParkinsons' meet and greet to discuss ways we can advocate for those suffering with this chronic disease. https://t.co/7j6LpnUyZ8,2020-01-17 04:17:19,Twitter for Android,3,8
#TeamTitus enjoyed three art openings with @LVCCLD by immigrants to Las Vegas this evening: @javieraphoto6's "Dreams of Ink and Flowers"  Jenny Baham's "Promised Land" and @ClayArtsVegas’ “Awaiting the Flowers.” The galleries can be viewed at Sahara West Library through March. https://t.co/DUl6qAqpZl,2020-01-17 03:18:23,Twitter for Android,3,9
#TeamTitus is tabling at today’s @YourVoiceAtIRS Tax Assistance Workshop to share information about how our office can help constituents with issues regarding the IRS. https://t.co/3G4sF7hlb8,2020-01-16 18:51:37,Twitter for Android,2,6
This morning #TeamTitus joined @tsegerblom for the dedication of the new "Spin Baby" sculpture by Wayne Littlejohn in honor of the Rat Pack and Las Vegas entertainers past and present. #OnlyInDistrict1 https://t.co/e67xCqJwrh,2020-01-16 17:49:11,Twitter for Android,2,3
Tonight at the 2020 @AIPAC dinner #TeamTitus heard from @y_polizer about @IsraAID's humanitarian efforts to support Syrian refugees and victims of the devastating earthquakes in Puerto Rico. https://t.co/BiuQAD6yT2,2020-01-16 04:32:38,Twitter for Android,7,27
The evidence that President Trump committed impeachable acts is overwhelming.   The only question is whether Republican Senators will allow a fair trial.   Blocking relevant documents and testimony is something you do when you're afraid of the facts.,2020-01-15 19:56:26,Twitter Web App,26,84
Congratulations to @CapabilityNV on the ribbon cutting today for your Las Vegas Children’s Therapy Clinic. #OnlyInDistrict1 https://t.co/ySFmjyODP0,2020-01-14 21:53:00,Twitter for Android,3,9
Through their Supporting Our Veterans Initiative in partnership with @USDOL @Cosmopolitan_LV has made hiring former service members a top priority. Today #TeamTitus thanked them and the many veterans they employ in Southern Nevada. #OnlyInDistrict1 https://t.co/OGufPXe6zi,2020-01-14 20:48:27,Twitter for Android,2,14
#TeamTitus joined the @CityOfLasVegas for the 6th Annual African-American Trailblazer Breakfast to celebrate the contributions of Las Vegas leaders like Pierre Hudson and Aem Upachak owners of @EllaEmsSoulfood who have done so much for our community. https://t.co/T8MpYhJ9lq,2020-01-14 19:43:27,Twitter for Android,2,8
I’m pleased to announce that @HUDgov is granting Las Vegas non-profit organizations and community programs over $10 million to provide housing and support services to those experiencing homelessness.,2020-01-14 18:41:15,Twitter Web App,17,76
We asked @SecPompeo to testify at the House Foreign Affairs Committee about the ongoing situation in Iran.   Today he refused to do so.   Why is the Secretary of State afraid to justify the President's actions in Iran? Why won't they provide evidence of an "imminent" attack?,2020-01-13 17:26:32,Twitter Web App,31,84
I hosted a discussion today with leaders from #AAPI community including @SEIU1107 and @APALAnational as well as representatives from the @uscensusbureau to share information about the #2020Census. We need all Nevadans to be counted! https://t.co/7zFcz16J7n,2020-01-12 01:53:17,Twitter for Android,7,14
#TeamTitus joined @LVMPD and @Sheriff_LVMPD along with several police departments and first responders for today's Nevada Law Enforcement Appreciation Day. https://t.co/vbMeEbknFa,2020-01-11 21:31:04,Twitter for Android,1,4
January is #HumanTraffickingAwarenessMonth and today is #HumanTraffickingAwarenessDay. #TeamTitus joined @embracinglv for their Through Their Eyes 5k run/walk and information festival to lift up efforts to combat #humantrafficking throughout Southern Nevada. https://t.co/liU36fjdIr,2020-01-11 17:45:24,Twitter for Android,5,8
#TeamTitus was on hand for today’s ribbon cutting of the new @IGTNews After School Advantage STEAM Lab at the @BGCSNV Lied Memorial Clubhouse. Thank you for helping improve after school learning in Southern Nevada! https://t.co/Iy9J8QGiQd,2020-01-11 01:32:53,Twitter for Android,3,21
Congratulations to New Life Adult Day Health Care on the groundbreaking of your new Main Hall. #TeamTitus #OnlyInDistrict1 https://t.co/12nu4WIF6O,2020-01-10 20:35:24,Twitter for Android,1,12
While horrific fires create a crisis in Australia President Trump still tries to deny climate change. It is inexcusable for the Trump Administration to put the President's corporate allies ahead of our health and safety.  https://t.co/JIDpyrkfY3,2020-01-10 19:36:08,Twitter Web App,3,8
Thank you @OneStopCareerNV @OFA_ACF and @MKNVspeaks for hosting today's forum "Thriving Communities for a Better Southern Nevada" to explore solutions that can break the cycle of poverty and connect job seekers to careers. #TeamTitus https://t.co/JhANIkxuYB,2020-01-10 19:13:51,Twitter for Android,2,6
#TeamTitus attended the #StateofVegas address tonight to hear @MayorofLasVegas's vision for @CityofLasVegas in 2020. https://t.co/sBRUpb9DPx,2020-01-10 02:30:04,Twitter for Android,1,4
The American people have no appetite for war with Iran and neither do I. That's why I just voted to pass the #WarPowersResolution. We can't allow President Trump to entangle the U.S. in a costly unnecessary war that would put our troops' lives at risk.,2020-01-09 23:12:14,Twitter Web App,10,53
The Nevada legislature is leading the way. 💪 https://t.co/WsoUA5tJjp,2020-01-09 20:54:05,Twitter Web App,13,65
Family farmers should not be forced to pay into organizations that sometimes lobby against their own interests and threaten animal welfare. https://t.co/ubTI3w8cNQ,2020-01-09 18:04:18,Twitter Web App,9,18
On #LawEnforcementAppreciationDay I want to thank officers and staff from @LVMPD @NLVPD @NHPSouthernComm and @NevadaDPS for putting themselves at risk to protect Nevadans every single day.,2020-01-09 17:16:45,Twitter Web App,1,6
#CES2020 is the biggest convention in Las Vegas and will attract nearly 200000 attendees. #TeamTitus toured the event space and joined the Mayor of Seoul @wonsoonpark to hear how South Korea’s capital is building a smarter and more sustainable city. #OnlyInDistrict1 https://t.co/PDtbm8U27G,2020-01-09 02:48:52,Twitter for Android,6,9
I’m unsatisfied by the information provided by the Trump Administration at today’s Congressional briefing. President Trump owes the American people – and the U.S. Congress – evidence for the claim that Qasem Soleimani was planning an imminent attack against us.,2020-01-08 19:43:12,Twitter Web App,3,11
Due to the Trump Administration’s foreign policy decisions Iran is once again on a path to build a nuclear weapon our anti-ISIS mission in the Middle East has stopped and our Iraqi allies have lost trust in us. Skillful diplomacy is needed to re-engage our European allies.,2020-01-08 19:43:12,Twitter Web App,1,6
The threat from Iran is far more serious today than it has been in recent memory. Iran has said it will no longer abide by restrictions under the nuclear deal and President Trump has no long-term strategy to stop Iran from obtaining a nuclear weapon.,2020-01-08 19:43:11,Twitter Web App,6,17
Nine years ago a shooter in Tucson killed six people nearly took the life of @GabbyGiffords and injured 12 others.   Out of this tragedy Gabby has helped save lives through  @GiffordsCourage.   Today we honor the victims and renew our push for action on gun violence.,2020-01-08 19:33:27,Twitter Web App,23,89
President Trump tried to cheat in the 2020 election. Any Senator who votes against hearing from relevant witnesses in the impeachment trial is just helping him cover it up.,2020-01-07 20:34:08,Twitter Web App,14,70
John Bolton said he's willing to testify in the Senate impeachment trial. The person most afraid to hear what he has to say is Donald Trump.,2020-01-06 21:30:04,Twitter Web App,9,39
Today I spoke at the @RTCSNV #GONV2020 Summit to discuss how the investments in infrastructure that I’m pushing for as a senior member of @TransportDems will benefit Southern Nevada. https://t.co/DixEeiS1or,2020-01-06 19:06:21,Twitter for Android,4,17
Our Las Vegas office still has openings for internships in the spring semester. If you are a student or recent graduate with a passion for public service apply today! https://t.co/IiWBwSJ8nL,2020-01-05 17:27:54,Twitter for Android,7,11
Tonight #TeamTitus joined @Msasianvegas for their 2nd Annual MANAO Women of Inspiration Gala. Thank you for our work to empower #AAPI youth in Southern Nevada. https://t.co/sd5bciHUhU,2020-01-05 04:09:39,Twitter for Android,2,6
January is #NationalBloodDonationmonth. You can find a blood drive near you: https://t.co/789uhfVhAm,2020-01-04 18:32:21,Twitter for Android,2,2
Thank you to the two Nevadans from @BLMNV and @HumboldtToiyabe who are helping fight the horrific wildfires in #NewSouthWales Australia and the four additional Nevadans who will be deployed next week. Stay safe!,2020-01-03 21:57:35,Twitter for Android,4,18
Qasem Soleimani was responsible for killing hundreds of Americans and we must do whatever possible to ensure that his death does not lead to further bloodshed. The American people have no appetite for war with Iran and neither do I. 2/2,2020-01-03 18:32:56,Twitter Web App,5,23
The Trump Administration must fully brief Congress on the airstrikes and its plan to protect those in harm’s way from Iranian retaliation. 1/2,2020-01-03 18:32:56,Twitter Web App,9,34
Where better to celebrate #NationalBuffetDay than Las Vegas? #OnlyInDistrict1 https://t.co/fDIVxK4F6c,2020-01-03 00:54:37,Twitter for Android,5,15
