Glad to have #TeamHorsford present to watch the Chinese Performing Arts Center’s interpretation of the Beijing Opera “Madame White Snake” one of China’s greatest folktales. https://t.co/vFuo9pC3Nh,2020-01-19 23:35:00,Twitter for iPhone,2,5
#TeamHorsford was honored to join Jenny Baham for the opening exhibition of “Promise Land” a series of oil paintings exploring America’s natural beauty. https://t.co/oFYPWWf0IQ,2020-01-19 4:06:00,Twitter for iPhone,3,7
It was an honor to welcome Silvia Mabel Martinez Romero as the new Vice Counsul of El Salvador to the great state of Nevada. I look forward to working with you to strengthening the relationship between our two countries. https://t.co/HRU4BpwBhG,2020-01-19 0:59:00,Twitter for iPhone,3,8
Thank you to Chairman @RepRaulGrijalva for coming to Nevada's 4th Congressional District and listening to the environmental priorities of my state. It's an honor to work with you on the Natural Resources Committee and to know that I have your support in my fight for Nevada. https://t.co/RW7PDcF59b,2020-01-19 0:48:00,Twitter for iPhone,3,15
Thank you to our local Tax Payer Advocate for an amazing kick off to tax season. Your commitment to assisting Nevadans navigate the tax process is appreciated! https://t.co/J8R5R5vpgz,2020-01-18 19:07:00,Twitter for iPhone,1,2
Proud to see @AaronDFordNV and my great state of Nevada pushing back against the discriminatory and inhumane Trump administration #SNAP rule that would leave our most vulnerable populations open to going hungry.  https://t.co/KZlwgiCVPH,2020-01-17 16:21:00,Twitter for iPhone,18,39
Happy Founders Day to the Finer Women of @ZPHIBHQ especially my Chief of Staff @brassyliving . Welcome to the Century Club! https://t.co/CvDEPFZVdR,2020-01-17 4:15:00,Twitter for iPhone,2,1
Spent some time yesterday calling impressive young Nevadans who I nominated to attend our country’s esteemed military academies! It’s an honor to help our state’s young people begin their journey of serving in our military. Thank you all for your devotion to our country! https://t.co/8Nhc6IPZYn,2020-01-16 13:34:00,Twitter for iPhone,5,16
Today is a historic day for the #EqualRightsAmendment – congratulations to the hardworking legislators in Virginia!   In Nevada we are lucky to have leaders like @SenatorSpearman who have continued tirelessly fighting for gender equality.  https://t.co/rx9R0DZR2i,2020-01-15 21:37:00,TweetDeck,5,10
Happy #FoundersDay to my wife @SonyaHorsford and all of the Lovely Ladies of @akasorority1908  #AKA112. Your leadership is truly a #SeriousMatter! https://t.co/Owk1ODmnPy,2020-01-15 21:20:00,Twitter for iPhone,3,4
It is important for those in government to remind the President of the good that federal investments bring to our states its families and workers.   I'm fighting in @HouseBudgetDems for economic security for all Nevadans. https://t.co/hfWG9OXJFe,2020-01-15 19:48:00,TweetDeck,2,7
