“Trump targets Michelle Obama’s school nutrition guidelines on her birthday” https://t.co/mgzKAKvs5p  Why am I not surprised. I will be working with my colleagues to reverse this heartless move.,2020-01-19 21:46:58,Twitter for iPhone,25,58
On Friday the federal courts allowed implementation of new a policy that will increase the number of livers available for transplants in NY. This policy is based on bipartisan legislation I've led as one the top Members of the E&amp;C health panel. https://t.co/7Mr6zpWDac,2020-01-19 18:23:16,Twitter for iPhone,5,21
Punish electoral college members?   Why do we even have them?   We should abolish the #ElectoralCollege.   I've introduced a Constitutional Amendment to do just that. https://t.co/tnn21t58pT https://t.co/FeZYkVd1El,2020-01-17 22:54:15,Twitter Web App,19,51
Rather Trump’s #ChinaTradeDeal is vague largely unenforceable says nothing about #environmental standards &amp; and doesn’t tackle the real changes needed to level the playing field for American workers and businesses.,2020-01-17 16:14:28,Twitter Web App,2,9
Trump’s trade war was a risky gambit that alienated some of our closest allies and cost American consumers and farmers billions of dollars. Unfortunately all this leverage did not result in a “good deal” for the United States. https://t.co/bMVl7HrH3K,2020-01-17 16:14:27,Twitter Web App,14,35
.@BetsyDeVosED ‘s borrower defense rule is simply anti-student. Predatory schools take advantage of students and leave them with outrageous debt and worthless degrees. That is why I #StandWithStudents and voted to overturn this awful rule to provide students the relief they need https://t.co/HTXP3VrgPW,2020-01-17 14:33:53,Twitter for iPhone,14,47
It was obvious that the Trump Administration violated the law by blocking critical security assistance to Ukraine in exchange for their manufacturing dirt on his political opponents.  And now the non-partisan Government Accountability Office confirms it. https://t.co/StX7Sm8s5N,2020-01-16 16:42:20,Twitter Web App,49,113
This isn’t about partisan politics; it’s about protecting the integrity of the United States. I hope the Senators will take their Constitutional oaths as seriously as we did—starting with @senatemajldr.(2/2),2020-01-16 02:49:30,Twitter for iPhone,8,37
No doubt a somber day. My @housedemocrats colleagues and I took an oath to uphold &amp; defend the #Constitution and that’s exactly what we’re doing by sending these #ArticlesOfImpeachment over to the Senate. (1/2) https://t.co/6DrhrsyfGv,2020-01-16 02:49:29,Twitter for iPhone,14,49
Given the profound risks that these new revelations expose it is imperative that Congress be fully informed about the threats against Amb Yovanovitch &amp; the Department’s response to them... https://t.co/p9z86Z0nzp,2020-01-16 00:09:03,Twitter for iPhone,70,161
It's outrageous that the @StateDept cancelled the embassy security briefing -- just as our diplomats are facing serious dangers.  I want to see this briefing happen before the end of the week. https://t.co/fVj0nuSIQl,2020-01-15 20:31:01,Twitter Web App,346,646
I’m proud to have voted for these talented colleagues who will represent the House as #Impeachment Managers. I have no doubt they will represent this body with integrity and defend our Constitution for the American people. https://t.co/rMDLpeOmaD,2020-01-15 18:50:14,Twitter Web App,41,168
Today I will convey a formal request for documents information and a briefing from senior officials related to this matter.   This unprecedented threat to our diplomats must be thoroughly investigated and if warranted prosecuted to the fullest extent of the law. https://t.co/QmJjnmbYJf,2020-01-15 16:29:22,Twitter Web App,301,584
Learn more about Wolf and his work here: https://t.co/kczQiVw8TL,2020-01-14 16:02:25,Twitter Web App,5,15
With everything happening on our planet I’m happy to announce an achievement on the universal scale by #NY16’s Wolf Cukier. His discovery of a new planet in a star system 1300 light years away pushes the limit on what seems possible and I’m very proud of this #Scarsdale student,2020-01-14 15:56:32,Twitter for iPhone,10,45
It was my honor to join the #Larchmont/#Mamaroneck community today for an important forum examining #CriminalJusticeReform in commemoration of #MLK’s legacy.   And thank you to my friend Elizabeth Saenger &amp; @ysow4youth for all of your outstanding work in #Westchester! https://t.co/xnqCIeSPcR,2020-01-12 22:58:00,Twitter for iPhone,3,13
Rallying yesterday to save the #MountVernon Hospital.   We need to be expanding health care options in underserved communities not limiting them.   And we also need to think about the nurses administrators doctors and maintenance workers who would be hurt by this closure. https://t.co/Br7G6gsjpU,2020-01-12 15:55:18,Twitter for iPhone,8,26
