I am deeply honored to announce that Erie County Sheriff Tim Howard has endorsed me for Congress. He has been strong supporter of conservative values and the Second Amendment and together we are ready to make sure NY27 has strong conservative representation in Congress! https://t.co/TnujP8ERla,2020-01-18 20:43:36,Twitter for iPhone,2,16
My statement on the Governor calling the special election on the same day as the Democratic Presidential Primary. I’m ready to win this seat and help the President continue to fight for his America First agenda https://t.co/H6HJ04R1iE,2020-01-14 12:16:18,Twitter for iPhone,1,5
Great turnout at the @ERIECOUNTYGOP Roundtable. I joined Chairman Karl Simmeth and Chairman @NickLangworthy to address a full house and share how we support President Trump &amp; serve our constituents by fighting irresponsible bail and discovery &amp; automatic voter registration laws. https://t.co/5oX0I3xAjL,2020-01-11 18:59:46,Twitter Web App,2,7
Today is National Law Enforcement Appreciation Day and I am proud to express my sincere thanks to the very brave and dedicated men and women who put their lives on the line each and every day to keep us safe.   To all who protect and serve -- thank you very much! https://t.co/UhaksHrYAl,2020-01-09 23:05:56,Twitter for iPhone,1,4
"Cuomo's ""State of Denial Address"" https://t.co/t1TxNJa2Yp",2020-01-09 3:47:03,Twitter for iPhone,0,3
Out of touch Democrats in Albany have decided to place cheap political points over people with a new bail reform law. While they applaud themselves New Yorkers are less safe &amp; criminals are being rewarded. Sign my petition &amp; tell them enough is enough! https://t.co/QdsP79wyAe,2020-01-08 18:21:36,Twitter Web App,0,1
I am honored to announce the @NYYRC has endorsed me for Congress. Young Republicans are the future of our party and I look forward to working with them to build a party that is strong and vibrant for future generations. https://t.co/Z5FGMtgHex,2020-01-06 21:22:36,Twitter for iPad,4,8
Man Enters Teenage Girl's Bedroom After Breaking Into Northern Westchester Home Police Say https://t.co/VzhJ8RWGl0,2020-01-06 13:59:49,Twitter for iPhone,0,0
"I've been against these so called ""reforms"" from the start and now at least some democrats are finally taking notice as to how dangerous they are  https://t.co/opDY3MH2dN",2020-01-04 19:35:17,Twitter for iPhone,0,1
The recent legislation introduced requiring GPS trackers to be placed in manufactured guns is just another attempt by New York City Democrats to erode the privacy of law abiding gun owners I have stood for privacy my entire career &amp; I will continue to defend the #2A in Congress.,2020-01-04 0:10:39,Twitter for iPhone,2,7
My Statement on President Trump’s Airstrike Against Gen. Soleimani https://t.co/oXKlIMPOa1,2020-01-03 17:20:49,Twitter for iPhone,0,1
Proud to be named to the Farm Bureau’s “Circle of Friends” list. Our #farmers are vital to our region and country and I will continue to fight for their prosperity  https://t.co/OYQtETWhum,2020-01-03 15:14:27,Twitter for iPhone,0,3
Sunday a horrible tragedy struck in Texas when a gunman opened fire during a Sunday service. My heart goes out to those affected. Thankfully law-abiding gun owning congregation members in the crowd responded and stopped the shooter quickly. https://t.co/JFAlGC3mkd,2019-12-31 14:03:26,Twitter for iPhone,0,2
And this is why we need to defend the 2nd Amendment! https://t.co/8qxdHsIFZ7,2019-12-27 1:14:19,Twitter for iPhone,1,4
Wishing everyone a very Merry Christmas! From my family to yours I hope you have a safe and joyous holiday and enjoy your time with loved ones. God bless America https://t.co/nKFol8L5IW,2019-12-26 0:12:40,Twitter for iPhone,0,2
