Furor over Astros Red Sox pitch spying scandal gives @MLB opportunity to finally correct injustice and take away Giants 1951 Pennant. Dodgers were robbed and Ralph Branca unfairly stigmatized. Do the right thing for Ralph!!,2020-01-18 23:05:26,Twitter for iPhone,5,72
...fought hard for his release. Egypt continually refused. Sanctions must be imposed on Egypt and govt officials who carried this out or allowed it to happen.,2020-01-15 17:27:21,Twitter for iPhone,5,19
Spoke today at meeting in Senate calling for action against Egypt after death of Mustafa Kassem Bethpage resident and American citizen who died after 8 years confinement in an Egyptian prison. Kassem was unjustly accused and @RepTomSuozzi and I along with @VP Pence... https://t.co/rHEYxK2b3a,2020-01-15 17:26:58,Twitter for iPhone,12,33
I have again spoken out against House Dems shameful rush to impeach @POTUS Trump b/c he was allegedly a clear &amp; present danger &amp; then waiting a month before sending Articles of Impeachment to Senate. Ultimate hypocrisy &amp; abuse of power by Dems. Will uphold Constitution &amp; vote NO. https://t.co/xjbgmUW8aP,2020-01-14 16:09:56,Twitter for iPhone,65,314
Proud to March in solidarity with thousands of Long Islanders in Mineola against anti-Semitism.,2020-01-12 23:20:16,Twitter for iPhone,14,136
Heroic effort by Lindenhurst constituent &amp; friend @napoleonboxing in title fight in Atlantic City last night. Lost one point decision. I definitely thought she won. All class and heart! The Empress. True Champion!! https://t.co/buPyFhAWmG,2020-01-11 13:24:38,Twitter for iPhone,1,8
Proud to speak at last night’s farewell ceremony for Indian Ambassador Harsh Vardhan Shringla as he returns to India to serve as Foreign Secretary. India and United States enjoy strong working relationship. https://t.co/1IWYiMpQLs,2020-01-10 17:40:17,Twitter for iPhone,8,72
Tonight my constituent and good friend WBA Super Middleweight Champion @napoleonboxing will fight a title unification bout in Atlantic City. (Showtime-9:00 PM) Great talent &amp; all heart. Go Alicia!! https://t.co/k2KzrdsUkF,2020-01-10 12:28:03,Twitter for iPhone,1,6
Voted against Democrat War Powers scheme. Totally counterproductive. Don’t undermine @POTUS Trump when USA needs unity vs. Iran. Don’t blame America first!,2020-01-10 03:19:46,Twitter for iPhone,102,389
Today is National Law Enforcement Appreciation Day. Essential that all good people stand with the Men and Women in Blue. They always stand with us.,2020-01-09 13:41:40,Twitter for iPhone,117,530
Strong statement by @POTUS Trump increasing sanctions on Iran while refraining from more military action because Iran’s “retaliation” caused no casualties. Also excellent briefing demonstrated absolute need to take out Soleimani. Well done Mr. President!,2020-01-08 19:56:11,Twitter for iPhone,69,522
Outstanding Democrat and American @JoeLieberman asks “Why can’t the Democratic party’s candidates simply admit Soleimani’s death makes Americans safer?” Time for Americans to stand together and reject knee jerk Trump Derangement Syndrome.,2020-01-06 15:45:12,Twitter for iPhone,54,257
Quoting @mgoodwin_nypost: “In a sane country which America used to be there would be shared satisfaction over the elimination of Soleimani. Yet Dems apparently outsourced their reactions to robots.” Too bad Blame America First crowd can’t get over TDS &amp; do what’s right for USA.,2020-01-05 21:06:23,Twitter for iPhone,53,283
Proud today to stand with government and religious leaders denouncing anti-Semitism at press conference organized by @RepKathleenRice. https://t.co/clssDzectx,2020-01-03 20:36:04,Twitter for iPhone,7,41
Vital that Americans unite behind @POTUS Trump decision to attack and kill Iranian terrorist Soleimani. No time for political sniping.,2020-01-03 03:28:27,Twitter for iPhone,1477,5151
Prayers for @repjohnlewis in his fight against pancreatic cancer - the latest battle in a life filled with historic challenges and achievements. Good luck John.,2019-12-30 21:49:40,Twitter for iPhone,6,41
Disgraceful that defendants charged with anti-Semitic attacks and attacks on police are released right back onto street. Indefensible.,2019-12-29 19:25:01,Twitter for iPhone,322,1188
Don Imus has died. True icon. Controversial. Thought provoking. Charitable. Enjoyed being on his show. Don Imus R.I.P.,2019-12-28 17:25:42,Twitter for iPhone,18,158
Rosemary and I wish our friends neighbors and constituents a very Merry Christmas.,2019-12-25 14:57:17,Twitter for iPhone,7,122
Congratulations and best wishes to my good friend @CarolSilvaNews on her retirement from @News12LI. Carol has always been the ultimate professional. Class and Courage. Enjoy many years of health and happiness!,2019-12-20 18:15:47,Twitter for iPhone,6,21
My Floor Speech today supporting @RepTomSuozzi bill reinstating the SALT Deduction. The legislation passed by a vote of 218-206. https://t.co/GAweYVdkLr,2019-12-19 21:15:33,Twitter for iPhone,8,72
...It sets the dangerous precedent of weaponzing Impeachment to undo the vote of the American people.  This is a sad day we will long regret.",2019-12-18 18:42:09,Twitter for iPhone,22,110
...To impeach a President for a phone call for which no crime is charged - nevermind a high crime - and for asserting his constitutional prerogatives as President is a clear abuse of power by the Congress...,2019-12-18 18:41:51,Twitter for iPhone,31,123
...- And 21 years ago tomorrow I voted against all 4 Articles of Impeachment against President Clinton.  Today's Articles of Impeachment against President Trump are an assault on our Constitution and the American people...,2019-12-18 18:41:24,Twitter for iPhone,10,64
My House floor speech in strong opposition to President Trump's Impeachment:  "I rise today in strong opposition to the Articles of Impeachment against President Trump.  Exactly 21 years ago today I spoke on this floor in opposition to the impeachment of President Clinton...,2019-12-18 18:40:42,Twitter for iPhone,163,699
Proud to receive the Bronze Medal New York City’s highest civilian honor from @NYCMayor de Blasio for my efforts on 9/11 Victims Healthcare and Victims Compensation. 9/11 victims &amp; families must always be remembered. They turned America’s worst tragedy into our finest hour. https://t.co/bVx8RwVagR,2019-12-16 20:03:51,Twitter for iPhone,8,69
Congrats to @BorisJohnson on outstanding victory in British elections. Crushing defeat for Labor Party and Socialism.,2019-12-13 17:20:59,Twitter Web App,15,123
Very saddened to learn of Danny Aiello's death. Danny was a tremendous talent and a truly great guy. Rosemary and I are proud of the friendship we had with Danny. Just a wonderful man. Our thoughts and prayers are with Danny's wife Sandy and family. Danny Aiello R.I.P.,2019-12-13 17:03:31,Twitter Web App,6,71
Great meeting re: US Merchant Marine Academy at Kings Point. As Chairman &amp; Member of Bd of Visitors I worked w Alumni to bring about reform. Alumni VP Marilyn Livi ‘82 Pres Jim Tobin ‘77 &amp; Legs. Coordinator Brian Foy ‘83 assured me reforms r being implemented. Great institution! https://t.co/IQLVXfFuC8,2019-12-12 17:05:57,Twitter for iPhone,1,23
When will the mainstream media apologize for enabling and/or covering for flagrant FBI abuses against @POTUS Trump described by IG Horowitz. Shameful violations by FBI Brass and abdication by media. Running out of time for redemption!,2019-12-12 02:20:49,Twitter for iPhone,138,387
Testimony today by Inspector General Horowitz decimates Comey and top FBI leaders for disgraceful abuses in @POTUS Trump investigation. Shameful this indefensible conduct could be carried out in this country. Never again! Action must be taken.,2019-12-12 00:49:02,Twitter for iPhone,46,177
Articles of Impeachment vs. @POTUS Trump announced today are shameless baseless abuse of Congressional power by House Democrats. Liberal media will enable &amp; support. I will defend Constitution &amp; vote NO. Can’t yield to progressive mob rule.,2019-12-10 14:29:27,Twitter for iPhone,659,2678
Proud to join with @NassauExecutive Curran Suffolk Executive @SteveBellone and @RepTomSuozzi denouncing anti-Semitic hate crimes. Commend County Execs for starting Islandwide Anti-Hate Crime Task Force. Anti-Semitism must be crushed whether on Long Island or in Congress. https://t.co/D7p0SbtYVT,2019-12-09 23:27:00,Twitter for iPhone,4,23
Saddened to learn of Jay Kriegel’s passing. True New Yorker. Great guy to talk with. Many accomplishments. Jay Kriegel R.I.P.,2019-12-06 14:26:28,Twitter for iPhone,2,10
Excellent meeting with Ireland’s Minister of State @HMcEntee regarding Brexit Northern Ireland and impact of next week’s British elections - all issues important to American as well as Irish and British interests. Lot of work ahead but Minister McEntee is hopeful. Agree. https://t.co/AlqMzuJSuO,2019-12-05 15:40:56,Twitter for iPhone,2,22
.@SpeakerPelosi call for impeachment is a reckless abuse of power intended to overturn the 2016 election. Constitution vests power in the America people not progressive mobs. @POTUS Trump 2020 election guaranteed.,2019-12-05 14:21:46,Twitter for iPhone,323,1113
Total desperation and lack of class by Professor Karlan taking cheap shot at 13 year old Barron Trump. How low can the TDS elite go?!?,2019-12-05 03:52:49,Twitter for iPhone,68,471
Congrats to British counterterrorism units and London Police for killing terrorist and ending terror attack. Can’t let our guard down.,2019-11-29 16:37:04,Twitter for iPhone,10,74
...his life on 6 month intervals. I commend @CardinalDolan for his very instrumental intervention and conversation with President Trump. Happy Thanksgiving to all!,2019-11-29 14:47:24,Twitter for iPhone,3,9
... resolution to Malachy's unfair situation. I consider this 6 month extension to be a temporary measure. Every effort must be made over the next 6 months to ensure Malachy will be allowed to remain in the United States on a permanent basis. He must not be forced to live...,2019-11-29 14:45:10,Twitter for iPhone,3,9
I thank the Trump Administration for granting a six month extension to Malachy McAllister. Having spoken with @POTUS Trump White House Counsel Pat Cipollone and Chief of Staff Mick Mulvaney in recent days I am confident of their intention to reach a permanent &amp; equitable...,2019-11-29 14:44:13,Twitter for iPhone,8,30
Thank @POTUS Trump for signing bill supporting Hong Kong protesters.,2019-11-28 18:53:33,Twitter for iPhone,2259,3184
Happy Thanksgiving from Pete and Rosemary King.,2019-11-28 14:08:17,Twitter for iPhone,6,76
Absolutely disgraceful that @FLOTUS was repeatedly booed at Youth Opioid Summit in Baltimore. If any issue should be free from abusive rude behavior it should be protecting kids from opioids. Has the left no sense of decency?!?,2019-11-26 18:26:16,Twitter Web App,385,1834
Congrats to @SeafordHSPride for winning Nassau County Conference IV football title. Special kudos to friend neighbor &amp; legendary coach Rob Perpal.,2019-11-25 02:16:03,Twitter for iPhone,3,31
Very positive meeting with Lord David Trimble of the British House of Lords regarding Boris Johnson’s Brexit Compromise. Agree on pursuing UK-USA free trade deal. Lord Trimble and I first met during Irish Peace Process days. Didn’t always agree then. On same page now. https://t.co/AG2LK7ZUsf,2019-11-20 21:21:16,Twitter for iPhone,5,18
Very proud to receive note from President George W. Bush. Will always remember all he did after 9/11 to rebuild NY console families and build defenses against terrorism. His friendship means so much to Rosemary and me! https://t.co/j62RySbrfY,2019-11-19 23:01:27,Twitter for iPhone,19,237
