Our case is simple.  The facts are uncontested.  And the evidence is overwhelming.  Donald Trump corruptly abused his power.  Appearing shortly on #FoxNewsSunday at 10 am to discuss. https://t.co/6CQ51yJZQl,2020-01-19 14:44:36,Twitter for Android,395,2180
The evidence is overwhelming.  Trump corruptly solicited foreign interference in the 2020 election.  The Nonpartisan General Accountability Office has now concluded the White House broke the law by withholding military aid from Ukraine.  Is there no bottom?  #AbuseOfPower,2020-01-18 12:39:00,Twitter for Android,1442,5642
Deeply disturbed to learn that 11 US soldiers were injured by Iranian missile attack.  We greatly appreciate their courage under fire 🇺🇸🇺🇸🇺🇸.  And are praying hard for a full and swift recovery 🙏🏾🙏🏾🙏🏾.,2020-01-17 20:56:30,Twitter for Android,331,1993
More than 100 million ppl have a preexisting condition.  President Obama’s leadership provided healthcare protection for these Americans.  Donald Trump is trying to strip it away.  Those are the FACTS.  #ProtectOurCare,2020-01-17 12:56:06,Twitter for Android,547,1823
Our fellow citizens in Puerto Rico have been devastated by hurricanes and earthquakes.  We will not rest until they receive the support needed to fully recover.  All. Hands. On. Deck.  https://t.co/g0HsKofz0n,2020-01-16 21:43:31,Twitter for Android,522,1922
The more we learn about the President’s corrupt abuse of power the worse it gets.  This is America.  No one is above the law.  The President must be held accountable.,2020-01-16 15:01:59,Twitter for Android,1173,5732
Honored to serve as an #ImpeachmentManager with @RepAdamSchiff @RepSylviaGarcia @RepJerryNadler @RepZoeLofgren @RepValDemings @RepJasonCrow   We will follow the facts.  Apply the law.  Be guided by the Constitution.  And present the truth to the American people. https://t.co/afZGBkoZNJ,2020-01-15 17:22:30,Twitter for iPhone,921,5455
The war on drugs has been a spectacular failure.  Families have been broken up and communities decimated.  It’s time to decriminalize marijuana and #EndMassIncarceration.  NOW. https://t.co/jqGyxFw1nh,2020-01-14 18:02:33,Twitter for Android,166,671
Our fellow citizens in Puerto Rico have repeatedly fought and died for America.  Hurricanes and earthquakes have shattered the normalcy of life on the island.  It’s time for America to fully stand with them.  🇺🇸 🇵🇷,2020-01-13 13:09:19,Twitter for Android,748,3048
What did Republicans do when they had complete control of government?  Pass #GOPTaxScam where 83% of the benefits went to the wealthiest one percent.  House Dems want prosperity in every single zip code.  For. The. People.,2020-01-12 18:22:23,Twitter for Android,1000,3721
House Dems promised to lower prescription drug costs and protect people with pre-existing conditions.   We have passed legislation to do exactly that.  They fight for the wealthy and the well-off.  We fight #ForThePeople.,2020-01-11 14:17:09,Twitter for Android,310,1305
We once went to war based on a lie.  There were no weapons of mass destruction in Iraq.  Thousands of American lives were lost.  Trillions of taxpayer dollars wasted.  It’s time to REPEAL the 2002 Authorization for the Use of Military Force in Iraq. https://t.co/VwfPgrwZs5,2020-01-10 19:04:05,Twitter Web App,328,1430
Justice Ruth Bader Ginsburg is an intellectual powerhouse.  She is a dynamic voice for the voiceless.  And a force of nature who has survived cancer four times.  May God continue to bless and watch over her in the months to come.  🙏🏽🙏🏽🙏🏽  https://t.co/tk7dxMj9zW,2020-01-10 00:49:22,Twitter for Android,506,3091
Trump corruptly abused his power.  He pressured a foreign government to target an American citizen for personal and political gain.  No one is above the law.  The Senate must conduct a fair trial.,2020-01-09 20:42:11,Twitter for Android,401,1938
American troops remain in harm’s way.  The nuclear ambitions of Iran have been reignited.  Fight against ISIS has been compromised.  Our allies in the region are under greater threat.  All is NOT well.,2020-01-08 22:19:08,Twitter for Android,390,1483
Thankful that there appear to be no casualties from the missile strike.  Prayerful that calm in the region will prevail.  🙏🏽🙏🏽🙏🏽  Determined to stop Trump from dragging America into another unnecessary war.  🛑🛑🛑,2020-01-08 13:43:22,Twitter for Android,444,3145
Apparently the so-called President thinks we can overwhelm Iran with Shock and Awe.  How did that work out for us in Iraq?,2020-01-07 23:56:51,Twitter for Android,428,2379
