One of the fundamental things that makes the United States great is our freedom of religion. Today we celebrate this freedom no matter your background or beliefs. #ReligiousFreedomDay 🇺🇸 https://t.co/Q9FahT8JlO,2020-01-16 21:07:12,TweetDeck,6,12
Thrilled to see the Senate pass #USMCA earlier today. One step closer to ratification of a deal that will help Ohio's ag &amp; manufacturing industries! https://t.co/hMKRRNyyXB,2020-01-16 19:33:30,TweetDeck,10,25
Thank you @OhioCornWheat for this award recognizing my work on behalf of Ohio agriculture!  I've continuously advocated for passage of #USMCA and I'm thrilled the Senate is expected to pass it this week.  With a farming background myself I'm proud to continue supporting Ohio ag! https://t.co/gJdOfj57DN,2020-01-16 16:22:05,TweetDeck,8,15
When small businesses thrive our entire country does. 🇺🇸  As a member of the Small Business Committee I'm working to help uplift small businesses in Ohio and across the nation. Thrilled to welcome the new @SBAgov Administrator Jovita Carranza to join me in this endeavor! https://t.co/U33nMfNrel,2020-01-15 18:08:46,TweetDeck,5,15
Women now make up a majority of the U.S. workforce 💪👷‍♀️👩‍⚕️👩‍🏭👩‍💼🇺🇸  The American economy has never been stronger. Thrilled to see so many people gain access to new employment opportunities every day! Let's keep it going!  https://t.co/qcIJqyD8Os,2020-01-14 16:15:47,TweetDeck,62,136
Great article about how a shortage in primary care physicians is affecting rural Americans like those in my hometown of Zanesville  Let's find ways to support graduate medical education so rural areas will have enough doctors  https://t.co/GoYLMCBw16,2020-01-10 20:39:36,TweetDeck,7,10
What's good for farmers is good for all of Ohio 👨‍🌾🌾👩‍🌾👍  Ag-tech innovation helps our farmers advance their operations. In yesterday's Innovation &amp; Workforce Development hearing we discussed just this.  WATCH ➡️ https://t.co/nEZu8f0d6Y,2020-01-10 17:27:58,TweetDeck,5,7
While it didn't pass I'm thrilled my amendment on PFAS requiring the @EPA to complete their PFAS Action Plan was brought to a vote on the House floor!  READ MORE HERE ➡️ https://t.co/nqmgg4OR5W https://t.co/EmQV1SPtKA,2020-01-10 15:43:03,TweetDeck,2,1
The economy continues to boom! Reported last month:  💥 145000 new jobs added 💥 Strong wage growth 💥 Unemployment held at 50-year low  For Ohioans this means more opportunities and prosperity! https://t.co/7RZjbznP4D,2020-01-10 15:38:18,TweetDeck,40,133
Please join me in honoring those who serve and protect this #LawEnforcementAppreciationDay. Thank you for your selfless service to our communities today and every day. https://t.co/Y59XyBGTHt,2020-01-09 21:18:26,TweetDeck,4,16
This is great news! This public-private partnership to distribute life-saving equipment is something I'm proud to support. Read about our announcement HERE ➡️ https://t.co/Dv1wS19SyI https://t.co/B1IMAhELOv,2020-01-08 15:49:54,TweetDeck,2,5
