Great time with so many patriots dedicated to fighting for our community state and country at the opening of the new @HamCoGOP HQ in Pendleton. On to victory up and down the ballot in November! @ChairmanAlex @robportman https://t.co/nIDCdNzSfk,2020-01-18 17:12:25,Twitter for iPhone,8,25
Big thanks to guest host @MarkSteynOnline for having me on "The Rush Limbaugh Show" to outline how Democrats have made a mockery of due process and the Constitution through their obsession with impeaching our president @realDonaldTrump. https://t.co/A7kg0GDt9u,2020-01-16 14:55:11,Twitter Web App,43,78
Great time talking with @seanhannity today about the Democrats' sham of an #impeachment and all the other priorities from infrastructure to the opioid crisis the House should have been focused on instead.  https://t.co/RoKZe41i3r,2020-01-15 21:30:27,Twitter Web App,21,10
I'm excited to start 2020 with my campaign in a stronger position than ever before to highlight my record of delivering results for hardworking Ohio families and establish a contrast with my opponents who are obsessed with impeachment and a radical agenda https://t.co/obaqltNEKB,2020-01-09 19:03:39,Twitter for iPhone,28,19
It’s official. For just the 3rd time in our nation’s 243-yr history a president has been impeached. Dems made history for all the wrong reasons. It's time to reject their partisan abuse of power and focus on delivering results for hardworking OH families. https://t.co/12uGVeFZuI,2019-12-19 14:11:34,Twitter Web App,3,9
I am fighting to combat the opioid crisis end sex trafficking create jobs lift wages and support Ohio small businesses. I look forward to earning the support of Ohio voters next year and continuing to fight for common-sense results for Ohio families.  https://t.co/4CcfOzXGFe,2019-12-11 13:58:54,Twitter Web App,20,10
Biden's excuses are a bunch of #malarkey.  https://t.co/4J0MX2ZK8L,2019-12-10 16:22:36,Twitter Web App,4,6
Thank you @IngrahamAngle for having me on to discuss the impeachment farce! One Democrat even said they have to impeach @realDonaldTrump or he might be reelected. It's time to focus on results for hardworking families and end this hyper partisan charade.  https://t.co/WezAAna8Eg,2019-12-10 15:32:22,Twitter Web App,2,4
By pushing ahead with their impeachment craze without any semblance of fairness or due process Democrats prove their objective is to undo the results of the 2016 election. That's why I am fighting hard to defend our president and get DC back to work.  https://t.co/d0BVB5pfBt,2019-12-09 20:29:14,Twitter Web App,7,24
Great time attending the campaign kickoff for Hamilton County Prosecutor @VoteJoeDeters in Sharonville and running into our ORP chairman @JaneyMurph! https://t.co/lRsPn3pdpQ,2019-11-17 13:46:22,Twitter for iPhone,2,21
Democrats in the House are abandoning any semblance of bipartisanship and undermining due process in their hyper-partisan quest for impeachment. https://t.co/GDdw43yU7E,2019-11-12 20:55:37,Twitter Web App,2,6
Thank you to all the men and women who have worn the uniform and served to protect our great nation and the freedoms we cherish. #veteransday2019 https://t.co/u5yRUDDDYL,2019-11-11 14:58:12,Twitter Web App,2,6
I will continue fighting to stop the Democrats’ out-of-touch agenda and deliver common sense conservative results for Ohio families and am honored to have the support of organizations like @SBAList in that battle.  https://t.co/PH9BqMvWBq,2019-11-07 20:59:34,Twitter for iPhone,13,23
ICYMI: The difference between how the Clinton impeachment was conducted and the Democrats’ current farce is all about due process.   https://t.co/be0aUpMsXs,2019-11-05 14:30:29,Twitter for iPhone,0,0
Excellent time last week with @Willie700WLW on the Bill Cunningham Show discussing the Democrats' impeachment hysteria and my fight to deliver common sense conservative results for Ohio families.  https://t.co/rQpzr4Nq9v,2019-11-04 13:28:51,Twitter Web App,0,2
Thank you to @Willie700WLW for having me on the show this afternoon to talk about Democrats' impeachment obsession and more!,2019-11-01 16:52:23,Twitter Web App,1,3
I believe the people’s House should spend its time doing the work of the people rather than engaging in baseless partisan witch hunts.  Unfortunately far-left politicians like Nancy Pelosi and my Democratic opponents choose resistance over results.  https://t.co/1VIFbKDfsW,2019-10-31 16:22:51,Twitter Web App,2,10
Incredibly honored to have the support and endorsement of Hamilton County GOP chair @ChairmanAlex and Warren County GOP chair Jeff Monroe. Working together we can continue to deliver conservative results for hardworking Ohio families.  https://t.co/5P1tBmoCls,2019-10-17 14:22:09,Twitter for iPhone,0,1
