We must have bipartisan discussions on modernizing our military's authorization. I penned an op-ed with several colleagues to make the case. https://t.co/BqLZ5doYoN,2020-01-16 22:09:49,Twitter Web App,3,7
Thank you to my colleagues @RepLeeZeldin @RepGregMurphy and @DanCrenshawTX for their support on this legislation to eliminate barriers to Veteran's access to a lifesaving therapy.,2020-01-16 21:46:52,Twitter Web App,2,7
Stellate ganglion block (SGB) is proven to alleviate common PTSD symptoms including hyperarousal and anxiety by injecting an anesthetic agent onto a collection of nerves in the neck responsible for the activation of the "fight or flight" response.,2020-01-16 21:46:52,Twitter Web App,2,7
Each year 11-20% of Operations Iraqi and Enduring Freedom 12% of Gulf War and 15% of Vietnam Veterans are diagnosed with PTSD. Yet only 40% are finding relief with current treatments.,2020-01-16 21:46:52,Twitter Web App,0,3
We have a moral duty to care for our Veterans who risked everything for our Country. Today I introduced the TREAT PTSD Act to provide our Veterans suffering from PTSD with unrestricted access to a promising treatment – stellate ganglion block (SGB). https://t.co/JSg3BIRJuC,2020-01-16 21:46:51,Twitter Web App,13,28
The Senate just passed the #USMCA and is sending this historic deal to the President’s desk. This is a great win for workers farmers and businesses in Pennsylvania. https://t.co/7t7wlrWUJD,2020-01-16 19:00:25,Twitter Web App,11,32
“We all know that in their hearts it is what they desired all along.”    The House Dems couldn’t hide their excitement for impeaching @realDonaldTrump when they cheered on the House floor. The American people don’t buy it. It’s a purely political sham. https://t.co/CC1SBLZHb9,2020-01-15 18:47:43,Twitter Web App,20,34
This morning Speaker Pelosi said “He’s been impeached forever. They cannot erase that.”  This has been the Democrat’s mission since Jan 20 2017. We’ve seen a politically-motived sham process that attempted to use Congress to reverse @realDonaldTrump's  election in 2016.,2020-01-15 17:44:24,Twitter Web App,43,203
Since Nov 2019 over 20 separate attacks have occurred on America or America’s interests in the Middle East. Iran has been raising tensions with the United States for years. Hear my remarks on US policy toward Iran during today’s Foreign Affairs hearing. https://t.co/xXA8wiGrZv,2020-01-14 20:42:48,Twitter Web App,7,17
As a member of @TransportGOP I stand for an infrastructure policy that lowers costs expands capacity and ensures a state of good-repair while providing environmental protections. I applaud the President for modernizing the NEPA regulations for the first time in 40 years. https://t.co/tGWXV81WSW,2020-01-14 16:57:28,Twitter Web App,9,14
ICYMI – Last week I sat down with @CongressmanHice and the @freedomcaucus podcast to talk about the ongoing developments in the Middle East. Listen here: https://t.co/VRugH0p5xI,2020-01-14 15:30:59,Twitter Web App,17,21
Congratulations to the people of Taiwan on a successful democratic election. Taiwan stands as a regional example of strength democracy and freedom. Congratulations Dr. Tsai Ing-wen.,2020-01-13 20:00:45,Twitter Web App,49,259
#MondayMotivation: It’s been 26 days since the House voted on the “urgent” impeachment articles. @SpeakerPelosi has yet to send the articles over to the Senate. After dividing her caucus and the country maybe she will fulfill her constitutional duty this week.,2020-01-13 18:01:19,Twitter Web App,18,61
Privileged to join Mornings with Maria on Fox Business to discuss the U.S. military airstrike in Baghdad that killed Iranian terrorist General Qassem Soleimani. Please watch the video below to hear my thoughts. https://t.co/btNauDhD2f,2020-01-03 16:08:05,Twitter Web App,7,25
Going on the offensive in the war on #PTSD -- 20 Veteran suicides/day is beyond unacceptable! That's why we penned a bill to get ALL #Veterans frontline access to groundbreaking PTSD #SGB treatment. Our #Heroes need #bipartisan support for TREAT PTSD Act...https://t.co/WUSsZKT8F0,2019-12-26 17:38:28,Twitter Web App,21,59
Mark thank you for your service your faith and your friendship. You’ll be missed greatly and I wish you Godspeed on your next adventure!,2019-12-19 16:41:35,Twitter Web App,22,80
I’m grateful for his leadership strong stand against irresponsible government spending and most of all his quiet but firm support in the trenches to ensure that the voices of the American People are heard.,2019-12-19 16:41:35,Twitter Web App,20,74
My good friend and colleague @RepMarkMeadows has been one of the most consequential Members of Congress.,2019-12-19 16:41:34,Twitter Web App,37,288
In good conscience and abiding by the Constitutional Oath I swore I could not support these Articles of Impeachment. More: https://t.co/YMJ6l7YDst https://t.co/Pok0H5MSuM,2019-12-19 03:27:52,Twitter for iPhone,15,108
I took to the House Floor today in opposition to the Articles of Impeachment. Madison and Hamilton warned us about this; that impeachment would veer toward political factions.  That’s exactly what this is - bitterly and nakedly partisan. https://t.co/x5QZYg1kWD,2019-12-18 22:09:52,Twitter Web App,326,1069
Today the House will vote on two Articles of Impeachment formalizing the accusations levied against President Trump. I’ll be on the floor later today to oppose these Articles. C-SPAN will cover the proceedings live. I encourage you to watch: https://t.co/iS6qol0pbM,2019-12-18 19:45:58,Twitter Web App,57,198
Hey all - here’s the DC recap for last week. Have a great week - stay warm! https://t.co/bkslrn2blW,2019-12-17 16:12:11,Twitter Web App,4,16
The Democrats on the Judiciary Committee just said that foreign-policy must be left to the “professionals.” Heaven forbid the President thinks he can be involved in foreign-policy! Do you think the “professionals” will be accountable in any election?,2019-12-12 21:13:57,Twitter for iPhone,38,114
Democrats apparently don’t understand and refuse to accept the legitimate separation of powers. They weren’t willing to go to court but they are sure willing to abuse their own power and take the law into their own hands.,2019-12-12 20:53:55,Twitter for iPhone,88,365
Democrats on the Judiciary Committee are acting as though oversight means the executive branch must bow to the legislative branch. They didn’t feel that way when a President said he would use his pen and a phone.,2019-12-12 20:53:30,Twitter for iPhone,9,18
