Smucker calls on the U.S Supreme Court to reconsider Roe vs Wade and Planned Parenthood vs Casey  #MarchForLife #abortionlaw   https://t.co/y8XrQv1YQy,2020-01-17 15:26:42,Twitter Web App,5,18
Smucker discusses the Borrower Defense to Repayment CRA - "Despite all of these commonsense measures today’s CRA seeks to move us backwards simply to undermine the Trump Administration while preventing students from making educational choices that best meet their needs." https://t.co/TrlrXgFNfW,2020-01-16 18:19:12,Twitter Web App,3,5
The Senate has just passed the #USMCA and it is headed to @realDonaldTrump desk!   This trade agreement is a big win for the people of  Pennsylvania and hardworking Americans!  This year Republicans have delivered three historic trade deals for American workers. #PromisesKept,2020-01-16 17:29:19,Twitter Web App,12,45
Today I offered an amendment which Democrats blocked to ensure these hardworking Americans don’t become victims of a misguided labor scheme cooked up by socialist Democrats in California and Congress.  #AmericanDream https://t.co/4o3AbIdbdZ,2020-01-16 00:23:09,Twitter Web App,84,251
In today's Subcommittee on Aviation- Congressman Smucker discusses current laws in place to ensure employees' rights are protected.@TransportGOP  https://t.co/Avb2walaaP,2020-01-15 20:34:17,Twitter Web App,0,3
President to sign the first phase of a trade deal between the United States and China.  This is great news for Pennsylvania and our farmers and ranchers! #ChinaTradeDeal https://t.co/6D6JQxXz91,2020-01-15 16:59:53,Twitter Web App,52,99
Another win for the American people!  #AmericaFirst 🇺🇸 https://t.co/ZrEoCj05Ny,2020-01-15 16:52:04,Twitter for iPhone,2,4
It's painful to watch House Democrats try to revive a dead horse. No matter how hard they try the facts have never changed.  The transcript and all the witnesses confirmed there was NO QUID PRO QUO!  I look forward to @realDonaldTrump fair trial in the Senate and his acquittal. https://t.co/dA8dAl1qtW,2020-01-15 16:24:39,Twitter Web App,139,523
Proud to support @GOPLeader Kevin McCarthy's Resolution condemning the actions of the Government of Iran and supporting the protestors in Iran their demands for accountability and their desire for the Government of Iran to respect freedom and human rights. #WeStandForFreedom 🇺🇸 https://t.co/HHm0iY4NpD,2020-01-14 18:05:42,Twitter Web App,11,52
Congressman Smucker recognizes Elizabeth Silbaugh Johnides of Hanover Pennsylvania.   Elizabeth tirelessly gives back to her community and is always looking for ways to lift up and empower women in business.  #PA11 https://t.co/NQl21Gcs4O,2020-01-14 15:52:17,Twitter Web App,2,8
It is unbelievable that we have come to a point in this country that we have to defend why a terrorist who has killed hundreds of Americans and plotting to kill more is bad. I support @realDonaldTrump for sending a clear message to those that threaten American lives-#NoTolerance https://t.co/rb3joRcG9e,2020-01-13 22:46:58,Twitter Web App,147,718
Are you signed up to receive my bi-weekly eNewsletter? The first one in 2020 is coming out this week click the link below and signup!  https://t.co/Bi079ZLVy3  #MondayMorning https://t.co/48AqvQ0MYK,2020-01-13 16:05:42,Twitter for iPhone,3,3
Smucker:"The world is a safer place without Qassem Soleimani" #FridayThoughts https://t.co/LgvCOJeoT9 via @YouTube,2020-01-10 19:45:12,Twitter Web Client,2,15
I voted NO on the Democrats' Resolution to weaken America!  On the heels of the Democrats’ partisan impeachment failure they are once again working to weaken America and ignore the Constitution simply because they disagree with the President.  My full statement below ⬇️#VoteNo https://t.co/AcN8Jm6tLM,2020-01-09 23:01:22,Twitter Web App,19,92
Today is #LawEnforcementAppreciationDay. We honor our brave women and men who put their lives on the line every day to protect our communities.   If you see an officer deputy or trooper today thank them for their service and dedication to keeping our communities safe. https://t.co/RI8OGJQifJ,2020-01-09 16:50:32,Twitter Web App,4,12
Congressman Lloyd Smucker (PA-11) signed on to H.R 3797- Medical Marijuana Research Act legislation to remove the barriers that currently hinder medical research on marijuana.  See press release below⬇️ https://t.co/ruOPPzRSEl,2020-01-08 21:14:09,Twitter Web App,3,19
Great to be at the swearing in of our local Lancaster County elected officials on Monday. I look forward to working with you all to continue to make Lancaster and York counties the best place to live work and achieve the American dream! #PA11 https://t.co/sYzUS03pPC,2020-01-08 15:30:09,Twitter Web App,3,10
(4/4)and sending a clear message to those that threaten American lives- It will never be tolerated.,2020-01-03 18:58:55,Twitter Web App,3,13
(3/4) The safety and security of the American people at home and abroad should be the central focus of our foreign policy. I support President Trump for taking decisive action against General Soleimani,2020-01-03 18:58:55,Twitter Web App,2,9
(2/4) The Quds and other forces Soleimani controls are designated terrorist organizations. On the day President Trump ordered the strike Soleimani was in Iraq-15 miles from our U.S. Military base in Baghdad plotting to kill many more Americans.,2020-01-03 18:58:54,Twitter Web App,2,7
(1/4) Iran’s most powerful general Qasem Soleimani has been allowed to run amuck reigning terror for the last 20 years - Leading to the killing of hundreds of American service members in Iraq Afghanistan Syria and beyond.,2020-01-03 18:58:54,Twitter Web App,9,32
As we turn the page and start a new decade – “Be at war with your vices at peace with your neighbors and let every new year find you a better man.”– Benjamin Franklin  From my family to yours Happy New Year! #happynewyear2020 https://t.co/dMBaEL1pvt,2020-01-01 03:34:27,Twitter for iPhone,10,36
Happy Hanukkah! #hanukkah2019 https://t.co/LnSRF0V5ZG,2019-12-22 19:35:16,Twitter for iPhone,5,14
To infinity and beyond! 🇺🇸🚀🌑 #SpaceForce https://t.co/MEB3Car1nv,2019-12-21 04:03:37,Twitter for iPhone,8,47
God Bless the Men and Women of our great military! Thank you Mr. President for making the safety and security of our country your top priority. 🇺🇸  I am proud my two amendments were included in the bill.  • Defense Small Business Advancement Act • The Warrior Wellness Act  #usa https://t.co/gm7WeBUr9c,2019-12-21 03:29:57,Twitter for iPhone,9,47
The House just voted overwhelmingly to pass the #USMCA.  My statement is below ⬇️⬇️⬇️ https://t.co/4iFhIILQls,2019-12-19 23:15:42,Twitter Web App,6,29
Today after nearly a year of waiting we will finally vote on the #USMCA.   This is a big win for Pennsylvania and the people of Lancaster and York counties.   The USMCA will improve and modernize trade for farmers manufactures and our American workforce  Let’s get it done!,2019-12-19 20:17:09,Twitter for iPhone,22,110
I voted NO on both articles of impeachment.   Tomorrow @realDonaldTrump will still be President and when we ring in the 2020 New year — Donald J. Trump will still be President.   #IMPEACHMENTVOTE https://t.co/0z7HUfPpBJ,2019-12-19 02:02:50,Twitter for iPhone,10893,53742
Not a single Republican voted FOR impeachment.  In fact 3 Democrats voted with Republicans and @TulsiPress voted present on both votes.  #IMPEACHMENTVOTE,2019-12-19 01:53:52,Twitter Web App,94,252
To my Democrat colleagues:  "How much is the trust of the American people worth?"  Because after the vote today for what you think is a short-term partisan gain you can be sure that the American people will have lost trust that their vote counts.    #ImpeachmentDay https://t.co/z1oe210iUE,2019-12-18 21:02:41,Twitter Web App,411,1099
As my colleagues on the other side of the aisle prepare to vote today to impeach the duly elected President of the United States of America @realDonaldTrump. I ask you to deeply contemplate this question How much is the trust of the American people worth? #ImpeachmentDay,2019-12-18 16:38:18,Twitter Web App,157,490
@Whitebird480 @realDonaldTrump Not difficult at all the President does not deserve to be impeached.,2019-12-18 16:16:14,Twitter Web App,3,17
WOW...A secretive surveillance court issued a rare public order on Tuesday rebuking the FBI for its handling of warrant applications to wiretap Carter Page. https://t.co/8CkGyG8rS9,2019-12-17 23:21:51,Twitter Web App,17,45
This also proves once again @realDonaldTrump was right to fire @Comey. This happened under his leadership and direction at the FBI. The President is owed an apology.,2019-12-15 19:59:50,Twitter for iPhone,24,91
This is absolutely unacceptable. As FBI Director Comey knew exactly what was happening the entire time. All who were involved must be held accountable. The Durham report is needed more than ever. @realDonaldTrump and the American people have every right to be outraged. https://t.co/MePJpgIXjo,2019-12-15 19:54:52,Twitter for iPhone,436,1285
Committee Republicans support smart focused and constructive oversight. Members of Congress have an important responsibility to protect every single tax dollar. Everyone in this room knows how serious we take that responsibility. The attacks from Committee Dems are insulting. https://t.co/f3658IFHH7,2019-12-12 19:55:26,Twitter Web App,6,29
#OTD: #Pennsylvania became the 2nd state admitted to the union! Check out @LibraryCongress Pennsylvania #map collection https://t.co/MkTAAGXG2o https://t.co/kKnZjPT3rW,2019-12-12 15:48:05,Twitter Web App,2,2
The #NDAA including my amendments the Warrior Wellness Act and the Defense Small Business Advancement Act has passed the House!   With this defense funding Congress continues its efforts to support our troops and rebuild a dominant military.   Proud to #KeepAmericaSafe 🇺🇸 https://t.co/0NlWpTG7VJ,2019-12-11 23:26:05,Twitter Web App,8,12
Last night I had the honor of being with Harold Billow at the Trump Rally in Hershey Pennsylvania. He is the last local survivor — and is believed to be the last remaining survivor — of the Malmedy Massacre that took place on Dec. 17 1944 at the Baugnez Crossroads in Belgium. https://t.co/MyoNBjDGZb,2019-12-11 15:34:38,Twitter Web App,9,32
@realDonaldTrump,2019-12-10 23:16:48,Twitter for iPhone,1,10
The President has great taste!! And Hershey loves you! https://t.co/lJHo4Txddx,2019-12-10 22:39:23,Twitter Web App,32,149
The USMCA is a big win for Pennsylvania and the people of my district!  Thanks to @realDonaldTrump and Republican policies Pennsylvania has the lowest unemployment rate in our state's history. This is a fantastic economy for all!  Welcome Mr. President to PA. Let's celebrate! https://t.co/qLn0Qsp9eo,2019-12-10 21:41:22,Twitter Web App,6076,20927
