Today it was my privilege to participate in the 33rd Annual Respect for Life March at Saint Matthew’s Church in Tyrone. Life is a precious gift that is worthy of our protection and I'll continue fighting for the unborn and the most vulnerable among us. https://t.co/p9gqBnD0ST,2020-01-19 23:58:13,Twitter for iPhone,11,59
Today I met with Williamsburg Fire Chief Ted Hyle about firefighter concerns in PA-13. Last year FEMA awarded nearly $3 million to our first responders to obtain equipment &amp; training. For more info PA-13 fire depts are encouraged to contact my office at https://t.co/3xxb4cKxAw. https://t.co/FiO8WlUmzw,2020-01-19 01:59:48,Twitter for iPhone,2,5
This afternoon I enjoyed stopping by the Martinsburg Library to drop off books from the Library of Congress. https://t.co/1bkHHvIzo7,2020-01-17 22:55:32,Twitter for iPhone,8,32
The #USMCA is a commonsense trade agreement that will deliver tangible results for the hardworking farmers in PA-13 and across our nation. With today's passage in the Senate the USMCA now heads to @POTUS' desk - a huge win for the American people. https://t.co/OS0xljCEUV,2020-01-16 17:26:52,Twitter Web App,5,9
By waiting 28 days to send "urgent" Articles of Impeachment to the Senate Democrats once again have confirmed that their #ImpeachmentSham was motivated by dislike of @realDonaldTrump and disregard of Americans' legitimate votes. Read more: https://t.co/8ZGwsTMjMW,2020-01-15 21:00:59,Twitter Web App,6,13
Even as House Democrats continue their partisan impeachment sham our @POTUS @realDonaldTrump is delivering on his promises to PA-13 and our nation. https://t.co/t5U9HhMTjI,2020-01-15 18:30:51,Twitter Web App,4,19
The men and women of @CBP are committed law enforcement agents working to secure our borders and provide compassionate care to migrants. Congress must come together to pass legislation that supports @CBP’s mission secures our borders and closes loopholes in our asylum system. https://t.co/YGjDIHIl2N,2020-01-14 22:24:59,Twitter Media Studio,4,9
From day one this has been a politically-motivated sham. The American people expect - and deserve - better. https://t.co/yqwHRsvE06,2020-01-14 14:20:47,Twitter Web App,186,661
Americans must stand united against Iranian threats and provocations. https://t.co/NcC9xnoyS2,2020-01-13 22:18:19,Twitter Web App,404,1537
On behalf of the #SheetzFreakz in PA-13 congratulations to @Sheetz on being recognized as one of America's favorite restaurants. It's a privilege to share my hometown of Altoona PA with this family-owned business that's acclaimed for its service to local communities...and MTOs. https://t.co/vAHp6dRuql,2020-01-13 17:22:36,Twitter Media Studio,6,22
Thank you for leading our pro-growth agenda Mr. President. https://t.co/jwIDWpIrkv,2020-01-11 20:47:57,Twitter for iPhone,6,42
The most recent U.S. Jobs Report confirmed that the economy added 145000 jobs in December and unemployment stayed at a 50-year low of 3.5%. In Congress I will continue to stand with @POTUS and fight for policies that strengthen our economy and build our workforce. https://t.co/mkft44eVX8,2020-01-10 23:05:36,Twitter for iPhone,15,48
This week we honored the life &amp; legacy of former PA Rep. Mike Fitzpatrick who passed away after a courageous battle with metastatic melanoma. As a physician &amp; co-chair of the Skin Cancer Caucus I remain dedicated to promoting innovative treatments – and a cure – for melanoma. https://t.co/g3aOk6T7Gh,2020-01-10 19:59:42,Twitter Web App,13,54
On #LawEnforcementAppreciationDay we honor the brave men and women who step up to protect our communities each and every day. Thank you to those who serve in PA-13 and across the country. https://t.co/VOBVjmOO9g,2020-01-09 17:51:55,Twitter Web App,6,13
The United States must continue to seek #PeaceThroughStrength. Alongside President @realDonaldTrump I'll keep working to defend our nation. Read more in today's Somerset Daily American: https://t.co/Bsh4Sc3Ds4 https://t.co/Sl9ngl3Sy0,2020-01-09 16:08:30,Twitter Web App,3,5
Our @POTUS @realdonaldtrump acted decisively to defend our nation and our servicemembers abroad from Iranian threats and provocations. It is concerning to see some House Democrats try to weaken our strategy of #PeaceThroughStrength when it is needed most. https://t.co/Mjc8sY1uKt,2020-01-08 22:12:04,Twitter Web App,14,45
Tonight I received a classified briefing on Iran and am closely monitoring the situation unfolding in Iraq. Today and every day we should pray for our men and women in uniform who are far from home serving our nation.,2020-01-08 01:58:43,Twitter for iPhone,25,101
It's been 20 days since House Democrats passed their shameful Articles of Impeachment.  The Speaker continues to keep these "urgent" Articles from moving to the Senate.  Time and time again Democrats prove that the #ImpeachmentSham is nothing more than a political stunt.,2020-01-07 21:49:08,Twitter Web App,5,27
With great sadness we mourn the loss of former PA Rep. Mike Fitzpatrick who passed away after a battle with metastatic melanoma. The courage that Rep. Fitzpatrick displayed in Congress &amp; his personal courage will be long remembered. My prayers are with the Fitzpatrick Family.,2020-01-07 14:52:24,Twitter for iPhone,6,37
As a #ProLife physician &amp; legislator I'm fighting to protect the dignity of life. It was my privilege to join with Whip @SteveScalise and 200+ fellow Members of Congress to urge the Supreme Court to uphold a commonsense law that protects women &amp; children. https://t.co/7kwjtPj8yx,2020-01-06 22:07:44,Twitter Web App,35,214
Yesterday it was great to see a number of PA-13 constituents at the #PAFarmShow. PA-13 is home to more than 8000 farms and it’s my privilege to represent our hardworking farmers in Congress. https://t.co/YEcM3dTp1s,2020-01-06 02:29:24,Twitter for iPhone,1,15
Great to see the Gutshall Family from Huntingdon County at the #PAFarmShow today. https://t.co/voQHkxKtAL,2020-01-04 18:45:49,Twitter for iPhone,6,24
Congressman @DrPhilRoe is a dedicated advocate for American veterans and a trusted health care voice in Congress. I am grateful for his years of service and for his leadership as chairman of the Doctors Caucus. https://t.co/4Xc7Y96l7t,2020-01-03 16:30:08,Twitter Web App,2,2
From day one President Trump has been committed to achieving peace through strength protecting Americans at home and abroad. Our Armed Forces are the best in the world and we’re indebted to them. https://t.co/ORq7uR3h3W,2020-01-03 13:26:00,Twitter for iPhone,80,348
On Tuesday I had the privilege of welcoming Somerset County's newest officials including my friend Commissioner Colleen Dawson. This year I am looking forward to working alongside each of them to serve the people of Somerset County. https://t.co/l1RMv7BrgZ,2020-01-02 20:15:00,TweetDeck,3,3
This week @POTUS @realDonaldTrump signed the TRACED Act into law which will target robocall attempts and prevent bad actors from scamming the American people. As your Congressman I was proud to support this commonsense legislation to fight robocalls. https://t.co/PgHUTHQGFi,2020-01-02 18:35:28,Twitter Web App,9,62
Happy New Year! Alice and I wish you and your family a happy safe and healthy 2020 ahead. https://t.co/iQkdMdmZYx,2020-01-01 15:50:43,Twitter for iPhone,2,19
In 2019 it has been my privilege to serve the constituents of PA-13. From helping people cut through red tape with federal agencies to answering your questions about policy and fighting for your priorities in Congress I am here to assist you. Learn more: https://t.co/y9LelKstDk https://t.co/5rQmXokzhN,2019-12-31 16:35:02,Twitter for iPhone,1,9
Recently I welcomed @ONDCP Director Carroll to PA-13 to meet with local leaders who are on the front lines of our fight against drug abuse &amp; addiction. By working together we can identify solutions to combat this crisis. https://t.co/SPrzzTzvT3 https://t.co/cwGXY0EKfl,2019-12-30 20:26:31,Twitter for iPhone,1,5
In November it was my privilege to honor more than 400 Blair County Vietnam veterans alongside Rocky Bleier at a special pinning ceremony in Altoona. Throughout the year our veterans should be recognized for their enduring service to our nation and our community. https://t.co/hYmNBiZeNs,2019-12-29 15:00:03,Twitter for iPhone,4,25
In April I traveled to southern border to learn directly from those on the ground in the border security effort what they need from Congress in order to be successful. Learn more about my visit to the southern border in the Altoona Mirror. https://t.co/dgziFwmK1g https://t.co/ruRBl334ZL,2019-12-28 16:45:20,Twitter for iPhone,56,124
As a member of @HomelandGOP I’m working with local state and federal leaders to bolster our national security. Earlier this year I welcomed @CISAHarrell to PA-13 to discuss school safety with local first responders and community leaders. Read more: https://t.co/xohzlzEdBN https://t.co/IkLOlTeDXs,2019-12-27 16:10:16,TweetDeck,4,12
This year I have been fortunate to meet a number of PA-13’s veterans. In August I had the honor of meeting with Harry Beal a Somerset County native who is recognized as America’s first Navy SEAL. It was a pleasure to recognize this patriot’s service to our nation. https://t.co/6P5gjrN3Fu,2019-12-26 16:41:28,Twitter for iPhone,3,10
Today my wife Alice and I wish each of you a very merry Christmas. https://t.co/GNLx0vpQp1,2019-12-25 23:43:11,Twitter for iPhone,5,40
As Americans reflect on our many blessings during this holiday season I wish you and your family a safe and joyous Christmas. https://t.co/wBRLe5D2zM,2019-12-24 15:28:42,Twitter Web App,19,118
Last week I went down to the Floor to voice my opposition to the weak Articles of Impeachment and the entire #impeachmentsham that occurred in the House. The American people expect – and deserve – better than the Democrats’ shameful impeachment obsession.https://t.co/kHVUiWovA0,2019-12-23 20:17:59,Twitter for iPhone,28,137
“America is more like Everett than it is like whatever you see on cable news. You just sometimes have to slow down to see it.”   It’s my privilege to represent the people of Everett PA in the House. Thanks to @SalenaZito for this heartwarming story. https://t.co/5QP98uXcvq,2019-12-23 14:18:55,Twitter for iPhone,15,66
