The Women’s March is a powerful example of women making their voices heard on issues that impact all Americans. In Pittsburgh women and allies are marching for equal rights our democracy and our values. I’m proud to support women as they push for change!,2020-01-18 18:30:59,Twitter for iPhone,6,29
The Trump Administration is rolling back Obama-era rules that made school lunches healthier. Allowing schools to swap French fries for vegetables isn’t ‘flexibility’ it’s just caving to special interests and is a big step backward. https://t.co/A1Shg4E6Vl,2020-01-18 01:25:51,Twitter for iPhone,13,31
The Trump Administration’s plans to cut SNAP will impact food assistance for 775000 Pennsylvania households. Pleased that our state will be joining in the lawsuit to stop these unreasonable work requirements from hurting our most vulnerable neighbors. https://t.co/Yt7sMLzLwQ,2020-01-18 01:16:34,Twitter for iPhone,24,30
Pleased to receive an A rating from for my votes to clean up Washington! https://t.co/SXdSjl3CBi,2020-01-17 15:04:00,Twitter Web App,2,8
We must be ready to defend our communications infrastructure against any Iranian cyberattacks. @FrankPallone and I have some questions – and I’m looking forward to hearing from @FCC and @DHSgov about their preparedness given recent escalated tension with Iran. https://t.co/3t3poTeXMO,2020-01-16 20:05:53,Twitter Web App,1,3
This just in: The Trump Administration violated federal law in withholding security aid to Ukraine according to the non-partisan @USGAO. The GAO report highlights the need for the Senate to conduct a fair trial to #DefendOurDemocracy.  https://t.co/fntZmKYwEg,2020-01-16 19:40:00,Twitter Web App,11,23
The last thing any American should worry about in an emergency is if they’ll be stuck with a massive bill – least of all America’s veterans. I’ve signed on as a cosponsor of H.R. 485 to ensure that the VA covers emergency ambulance transportation for all veterans.,2020-01-16 17:05:25,Twitter Web App,1,14
When for-profit colleges defraud students the students shouldn’t get stuck holding the bag. Last year Betsy DeVos rewrote the rules to make it harder for students in this situation to get relief. Today I voted for H.J.Res. 76 to block her rule. https://t.co/idkd0hCfu8,2020-01-16 16:11:40,Twitter Web App,3,15
Today I’m voting in favor of H.R. 1230 the Protecting Older Workers Against Discrimination Act to restore the pre-2009 standards and ensure that employees facing age discrimination can have their claims adjudicated fairly.,2020-01-15 20:47:02,Twitter Web App,1,7
Older workers are essential to our workforce – but 3 in 5 workers age 45 or older have experienced age discrimination in the workplace. Ten years ago SCOTUS imposed a tougher standard for age discrimination cases.,2020-01-15 20:46:54,Twitter Web App,2,4
