My colleagues &amp; I took an oath to protect the Constitution.  Senators took an oath to protect the Constitution. They just took an oath of impartiality.  No one took an oath to protect President Trump.  I hope all Senators reflect on their oath &amp; #DefendOurDemocracy,2020-01-16 19:31:13,Twitter Web App,53,190
Since Impeachment passed the House: ➡️Bolton said he would testify. ➡️Russia caught hacking Burisma. ➡️Lev Parnas said the President &amp; his administration knew. ➡️GAO concluded Trump broke the law withholding security assistance.  The Senate cannot turn a blind eye to the evidence https://t.co/LNss5Iyr6d,2020-01-16 16:18:15,Twitter Web App,158,346
This nonpartisan GAO report concluded President Trump broke the law.    The Senate must call witnesses and have a fair trial. We must #DefendOurDemocracy and hold this administration accountable. https://t.co/LNss5Iyr6d,2020-01-16 16:17:52,Twitter Web App,21,47
It was great to get to know Jax and his parents. Thank you for coming to Congress and educating me on the need for increased @NIH funding for celiac disease. I look forward to joining you in this effort because as @ChildrensPhila says "cures can’t wait!" https://t.co/6cUF3Hf4vC,2020-01-14 22:53:01,Twitter Web App,5,49
Right Now: @FSCDems are hearing solutions to the homelessness crisis in this country. Every American must have access to affordable housing. Tune in to the hearing below -- it's important we discuss the need for low-income housing.  https://t.co/eaCRJaxb4p,2020-01-14 15:50:42,Twitter Web App,11,31
Thank you for your leadership! Together we will tackle this health crisis. https://t.co/OIO2rNZ686,2020-01-11 16:42:08,Twitter for iPhone,8,56
Right now I am voting to pass a sweeping set of health &amp; environmental reforms to tackle PFAS water contamination.   “I am pleased to have worked on this public health issue and to see parts of my bill H.R. 2600 included.”  Thank you @RepDebDingell for your leadership! https://t.co/4IuceeF1RY,2020-01-10 16:20:50,Twitter for iPhone,19,122
Tonight I voted to terminate the use of the US Military in hostilities against Iran without Congressional Authorization -- as our constitution mandates.  My statement on the War Powers Resolution⬇️ https://t.co/81qwMPrmzt,2020-01-09 23:50:59,Twitter Web App,19,168
One year ago I cosponsored #HR8 the Bipartisan Background Checks Act to say #EnoughIsEnough.  It's passage was the first Congressional action in a generation to help prevent gun violence.  It’s long past time for @senatemajldr to bring this bill up for a vote #ForThePeople. https://t.co/RsITDE1pXt,2020-01-08 19:29:48,Twitter Web App,35,76
Saddened by the news of the loss of public servant Mike Fitzpatrick. Sincerest condolences to his family friends and my colleague @RepBrianFitz. https://t.co/iwSn6D4n3x,2020-01-07 02:44:36,Twitter for iPhone,4,46
Moments this like this why we serve. An unjustly detained peace activist is free today — hugging his family and loved ones. Grateful to all who worked on his release and to have been able to advocate on his behalf. https://t.co/IYn65Oqkjw,2020-01-04 22:05:29,Twitter for iPhone,6,31
My statement in response to the U.S. strike on Iranian Commander Soleimani. https://t.co/sW0XbukSG7,2020-01-03 17:52:57,Twitter for iPhone,13,71
It is with great relief and thanks to learn that peace activist and former @LaSalleUniv student Peter Biar Ajak has been released after over of year of unjust imprisonment. Thinking of his family and grateful to all who helped free Peter.  https://t.co/SP83uj1L7Q,2020-01-02 19:52:18,Twitter for iPhone,10,44
Day after day attacks against Jews during the season of Hanukkah— The story of the miracle.  We must speak with one voice that we stand with our Jewish brothers and sister. Hate bigotry &amp; antisemitism anywhere in the world diminishes us all—we must be the light that overcomes.,2019-12-29 18:47:26,Twitter for iPhone,26,156
@emmcooper42 Proud of you and everything that you do! Thank you for your work! Montco leads the way!,2019-12-29 18:20:38,Twitter for iPhone,0,5
It’s been a great year working #ForThePeople of the 4th Congressional District. Here are some highlights!  #PA04 https://t.co/gSSzqxuOH5,2019-12-29 14:31:41,Twitter for iPhone,33,184
