It’s a great time to be an American worker! Thanks to the Trump Administration’s pro-growth policies low-wage workers’ incomes are growing faster than their bosses’.  https://t.co/07NgMofono,2020-01-19 16:00:00,TweetDeck,5,16
6 of the 7 Democrats presenting the case against President Trump voted to impeach him before the Ukraine call even happened. This was never about facts it was always about overturning the result of the 2016 election and removing a duly elected President of the United States.,2020-01-18 15:30:00,TweetDeck,56,134
Today I visited APR Supply a wholesale distributor of plumbing automotive and HVAC products. We are fortunate to have this efficient and incredibly innovative employer in Lebanon County. https://t.co/PT5FyIlU5Y,2020-01-17 21:23:42,TweetDeck,1,11
Yesterday I spoke on the House floor regarding my priorities for 2020.  It is time for this Congress to get things done for the American people. We cannot confuse activity with accomplishment.   https://t.co/zi1bW7gTgv,2020-01-16 18:22:15,Twitter Web App,5,15
28 days after voting to impeach the President Democrats formally appointed impeachment managers. In delaying this procedural step Speaker Pelosi has shown her true motivation: trying to prevent the President's re-election.  Read my full statement here:  https://t.co/JYm2Z5hRGA,2020-01-15 18:38:12,TweetDeck,7,17
@realDonaldTrump (3/3) The China deal is good for our country and great for working families. America will continue to prosper meaning higher wages and more good-paying jobs for all Americans. President Trump is making trade work for America.,2020-01-15 16:45:02,Twitter Web App,158,480
@realDonaldTrump (2/3) The Phase 1 deal is a major step in the right direction for long-term growth &amp; prosperity. It slashes our trade deficit with China by $200B protects US intellectual property and positive results are already here: a booming stock market and doubling soybean exports.,2020-01-15 16:44:52,Twitter Web App,153,462
(1/3) After decades of unfair trade that only got worse in the last 10 years President Trump kept his promise to improve our trade deals. @RealDonaldTrump took us from a trade war to a great trade deal with China.,2020-01-15 16:44:39,Twitter Web App,369,1726
I will be speaking on the House floor between 10:00am-10:30am today regarding priorities for 2020.  Please tune in by watching on C-SPAN or by clicking the link below.  https://t.co/B6FAGlGyr4,2020-01-15 14:56:33,Twitter Web App,4,12
(2/2)I introduced the bipartisan Family Support Services for Addiction Act to fund accountable family support services for navigating insurance coverage exploring treatment options and understanding how they can best help their loved one recover.  https://t.co/QznVLp8XPM,2020-01-14 23:18:23,Twitter Web App,4,15
(1/2)In 2017 PA experienced 5456 drug-related overdose deaths - almost 15 a day and twice the national average.  Families play a pivotal role in helping their loved one recover from Substance Use Disorder but the recovery process can be intimidating stressful and confusing.,2020-01-14 23:18:22,Twitter Web App,8,19
By the government creating an atmosphere of growth the private sector can maximize wages employment and opportunity for the people of PA. Following conversations with local business and elected leaders I feel we laid out a game plan to do just that.  https://t.co/3E6SiRat1I,2020-01-14 19:17:40,Twitter Web App,2,3
(2/2) I am a strong proponent of getting more milk back into schools strengthening standards of identity and supporting trade deals that open worldwide markets and create a fair playing field for our high-quality products.  https://t.co/c64QzWnT6S,2020-01-12 20:29:20,Twitter Web App,2,8
(1/2) The dairy industry is the engine of many of our local economies. Unfortunately dairy farmers across #PA09 and our nation continue to face difficult economic headwinds.,2020-01-12 20:29:19,Twitter Web App,4,6
(2/2) The Phase 1 deal with China should reduce our trade deficit with China from $387 bn to $187 bn - $200 bn more “Made in USA” products! Thank you @realdonaldtrump,2020-01-11 19:23:11,Twitter Web App,210,555
(1/2) We went from a trade war with China to a great trade deal and record-breaking stock market thanks to President Trump. This new agreement gets us closer to reciprocal trade; on a fair playing field U.S. manufacturers and farmers gain more market share worldwide.,2020-01-11 19:23:10,Twitter Web App,363,1576
Outstanding jobs rpt for Dec. Our economy continues to surge under the policies of @realDonaldTrump  145000 new jobs 2.9% wage growth and 2.11 million new jobs in 2019.  USMCA and a new China deal means fairer trade and more open mkts for US mfg. &amp; ag. Well done Mr. President,2020-01-11 18:18:03,TweetDeck,15,66
Congrats to students Aidan RJ Anthony and Luke for winning the 2019 Congressional App Challenge for #PA09! Check out ‘My Pantry’ the app they created to save money prevent food waste and help people use farm to table ingredients.  https://t.co/9jsLNWN9Z6,2020-01-10 22:08:36,TweetDeck,6,8
The world is a better and safer place without Qassem Soleimani and I refuse to support any legislation that weakens the ability of the President to take swift action to eliminate a terrorist. https://t.co/tJab6FbHVj,2020-01-09 21:44:27,TweetDeck,11,33
The men and women who serve in law enforcement are always on call when we need them most. As the son of a police officer I greatly appreciate all who protect and serve our communities.  #LawEnforcementAppreciationDay https://t.co/Lx7zj9w8PA,2020-01-09 15:45:25,Twitter Web App,1,14
I just kicked off my telephone town hall to discuss key priorities affecting #PA09.  If you’d like to join please dial-in now using the call-in information below:  Participant: 877-229-8493 PIN: 118349,2020-01-08 22:42:22,TweetDeck,6,5
(5/5) This afternoon the House of Representatives will receive a briefing on Iran from the  @thejointstaff @EsperDoD @SecPompeo and @CIA Director Haspel. I commend the President for keeping Congress and the American people apprised of this situation as developments unfold.,2020-01-08 18:04:23,Twitter Web App,8,22
(4/5) President Trump implored Iranian leaders to direct their nation toward stability and cooperation. Only in doing so can Iran become economically sound secure and positively engaged on the geopolitical stage.,2020-01-08 18:00:10,Twitter Web App,6,23
(3/5) He assured the world of America’s peaceful intentions by giving Iran a choice: Iran can be part of a future that is peaceful and prosperous or they can live in isolated misery and martyrdom.,2020-01-08 18:00:09,Twitter Web App,4,19
(2/5)  He put America first but not alone as he called on other nations to take action. President Trump spoke for the world in calling for peace and reiterating zero tolerance for Iran’s reckless behavior and support for terrorism.,2020-01-08 18:00:09,Twitter Web App,4,20
(1/5) The President just addressed the nation and delivered a firm direct and reassuring message of peace through strength. @realDonaldTrump thanked our troops and praised their efforts to completely foil Iran’s attempted attack last night.,2020-01-08 18:00:09,Twitter Web App,19,82
Energy independence means national security. Because of @RealDonaldTrump's pro-domestic energy policies Iran has lost its leverage over the United States. 4-5 years ago Middle East turmoil would have spiked gas prices for American families. https://t.co/1OLcqTe5Sp,2020-01-08 17:07:44,Twitter Web App,7,7
Friendly reminder I will be hosting a telephone town hall today at 5:30 p.m. ET to discuss key issues affecting #PA09. I will be taking questions &amp; listening to comments from all counties in the district.   If you’d like to join dial:   Participant: 877-229-8493 PIN: 118349,2020-01-08 17:00:01,TweetDeck,3,5
I will be hosting a telephone town hall tomorrow Wednesday Jan. 8 at 5:30 p.m. to discuss key issues affecting #PA09. I will be taking questions &amp; listening to comments from all counties in the district.   If you’d like to join dial:   Participant: 877-229-8493 PIN: 118349 https://t.co/X4EbEYLo74,2020-01-08 00:00:00,TweetDeck,2,6
I am pleased to announce that Tom Gerhard will join our office today as Director of Community Development and Deputy District Director.  Full press release is below:  https://t.co/KtH7EUm8xt,2020-01-06 20:21:10,Twitter Web App,2,7
Thanks for hosting me! https://t.co/Qu5G0MNK1o,2020-01-05 17:51:08,Twitter Web App,5,12
Enjoyed attending the 104th Pennsylvania Farm Show today.   The agricultural industry employs nearly half a million people in PA and contributes $185B to the state’s economy. https://t.co/PVgr0QsxTU,2020-01-04 23:02:17,Twitter for iPhone,5,15
ICYMI: the @CitizensVoice featured my op-ed regarding Democrat leadership betraying the nation’s trust. Since they don’t trust the American voter to decide who our president should be the American voter is justified in not trusting Nancy Pelosi’s House. https://t.co/7oPIdANkde,2020-01-04 15:30:00,TweetDeck,14,27
My full statement on the elimination of top Iranian General and terrorist Qasem Soleimani: https://t.co/848QAZjZtQ,2020-01-03 19:14:07,Twitter Web App,4,1
(3/3) This is the reality of the situation and why @realDonaldTrump was absolutely justified in responding to Iran’s aggression with force. We will not allow Iran to commit terrorist acts against the US and its allies. God Bless our troops.,2020-01-03 15:57:51,Twitter Web App,3,13
(2/3) If the US laid down its weapons and wanted peace Iran would invade all of the Middle East and annihilate Israel.,2020-01-03 15:57:44,Twitter Web App,3,13
(1/3) The killing of Americans will never go unpunished and aggression from Iran will no longer go unchecked. If Iran laid down its weapons and wanted peace conflicts would end.,2020-01-03 15:57:34,Twitter Web App,8,35
WATCH: I spoke with @WBREwyou regarding the partisan impeachment process lowering prescription drug costs and @realDonaldTrump’s swift action against the Iranian-backed forces in Iraq. https://t.co/XT1g1FgrjK,2020-01-03 14:30:39,Twitter Web App,2,1
@realDonaldTrump (3/3) The United States will always defend its national interests both at home and abroad and I commend the President’s efforts to protect American lives.,2020-01-03 03:43:43,Twitter Web App,10,39
@realDonaldTrump (2/3) Soleimani who is responsible for the deaths of hundreds of Americans had orchestrated many attacks on U.S. forces and diplomats in Iraq including the recent events at the embassy in Baghdad and was planning future attacks.,2020-01-03 03:43:28,Twitter Web App,14,37
(1/3) Tonight under orders from @RealDonaldTrump the United States military carried out a strike that eliminated Qasem Soleimani the commander of the Iranian Quds Force a U.S.-designated terrorist organization.,2020-01-03 03:43:11,Twitter Web App,19,74
I spoke with @WBREwyou today regarding key issues affecting #PA09. Please tune in tonight in the 5 p.m. hour to learn more.,2020-01-02 21:18:46,Twitter Web App,2,1
As we close out the year and decade and enter into our own “Roaring Twenties” I look forward to working together to keep the American Dream alive and well for all.   Happy #NewYear! https://t.co/zMzH7KigZJ,2020-01-01 15:30:00,TweetDeck,3,19
Thanks to @RealDonaldTrump’s #TaxCutsAndJobsAct America’s workers are seeing tangible increases in their paychecks.   Low-wage workers enjoyed a 4.5% income boost outpacing the 2.9% growth their high-wage counterparts saw in November! https://t.co/a597oOkhP0,2019-12-30 20:46:12,Twitter for iPhone,81,282
WATCH: I joined @MorningsMaria on @FoxBusiness to discuss the U.S. airstrikes against Iranian-backed targets in Iraq and Syria domestic terrorism and the American voter being justified in not trusting Nancy Pelosi’s House. https://t.co/vmSCCgkgye,2019-12-30 14:33:16,Twitter Web App,8,24
I will join @MorningsMaria tomorrow in the 7 a.m. ET hour to discuss key priorities.  Please tune in!,2019-12-29 22:41:55,Twitter Web App,5,14
Merry #Christmas to all!  I hope that everyone has safe travels and enjoys time with family and friends. https://t.co/1Kka6YpAc6,2019-12-25 15:30:00,TweetDeck,5,23
Read my op-ed in the @DailyItem regarding the partisan impeachment process.  Since Democrat leadership doesn’t trust the American voter to decide who our president should be the American voter is justified in not trusting Nancy Pelosi’s House.  https://t.co/BpGKDEo7tw,2019-12-23 18:25:48,Twitter Web App,52,175
Happy first night of #Hanukkah to everyone celebrating the Festival of Lights. https://t.co/XA1RPpHz1D,2019-12-22 22:47:19,Twitter Web App,2,14
Today marks the two-year anniversary of the Tax Cuts and Jobs Act.   Thanks to the TCJA @realDonaldTrump and Congressional Republicans the economy has added nearly 7M jobs! #TCJA2Years https://t.co/DtFm10v4ad,2019-12-22 15:30:00,TweetDeck,11,41
ICYMI: I took part in a ceremony to honor U.S. Army veteran Sergeant Francis O’Donnell and to reissue medals earned during the Korean War.  Full video from @WNEP below:  https://t.co/2XsKK17f91,2019-12-21 15:30:00,TweetDeck,3,4
ICYMI: I spoke with @CBS21News regarding the partisan impeachment vote.   The people should decide who will be President not Speaker Pelosi: https://t.co/2381wPvMW1,2019-12-20 20:34:25,Twitter Web App,4,6
My statement on House passage of the #USMCA:  https://t.co/ZPH9ZwLRdR,2019-12-19 21:26:39,Twitter Web App,18,75
My statement on tonight’s impeachment vote:  https://t.co/Vypgp2PQvt,2019-12-19 01:58:01,Twitter Web App,5,7
Tonight Democrat leadership brings their impeachment charade to the House floor for a vote.  Watch my speech below to hear why I’ll be voting in strong opposition to both articles of impeachment. https://t.co/tHhPkqGbzw,2019-12-18 19:10:05,Twitter Web App,321,1078
@realDonaldTrump (3/3) Speaker Pelosi said this vote would only come forward if it was bipartisan. The only thing bipartisan about tomorrow’s vote is that all Republicans and some Democrats will vote in opposition. This is not exactly the bipartisanship the Speaker had in mind.,2019-12-17 22:18:43,Twitter Web App,20,60
@realDonaldTrump (2/3) It is a straightforward summary that provides an account of the unfair procedures by Democrat leadership &amp; the failure to substantiate any impeachable offense. This letter marks a historic night – the eve of the Democrats’ vote to undermine the American election process.,2019-12-17 22:18:30,Twitter Web App,17,60
(1/3) Below is a very important letter for all Pennsylvanians and Americans to read from @realDonaldTrump to Speaker Pelosi regarding the baseless and partisan impeachment process. https://t.co/ntP9ctHeL2,2019-12-17 22:18:15,Twitter Web App,243,539
I will appear on @FoxBusiness Network’s “Making Money with Charles Payne” at 2:35 p.m. ET to discuss the government funding bill and impeachment.  Please tune in!,2019-12-17 16:59:06,Twitter Web App,6,8
Due to inclement weather my Pottsville and Bloomsburg offices will open at 11 am.   If you are in need of immediate assistance please call my DC office at (202) 225-6511.,2019-12-17 13:08:55,Twitter for iPhone,4,5
I will join Frank Andrews on @WILKNewsradio at 4:30 p.m. to discuss impeachment.  Hope you can tune in!,2019-12-16 21:23:22,Twitter Web App,3,3
I will appear on @WBREwyou (Eyewitness News) tonight in the 5 p.m. hour to discuss the baseless and partisan impeachment process against @realDonaldTrump.  Please tune in!,2019-12-16 20:20:02,Twitter Web App,6,42
Since @realDonaldTrump has clearly not committed any high crimes or misdemeanors I’ll vote ‘hell no’ on impeachment. https://t.co/Vq54nREm7Q,2019-12-16 14:13:25,Twitter Web App,28,95
ICYMI: enjoyed speaking with @RJHarrisWHP580 to discuss the baseless and partisan impeachment process against @realDonaldTrump which has been flawed from the start.  https://t.co/eBBLt6alJ5,2019-12-15 21:10:35,Twitter Web App,5,32
Learn how to apply for funding under @fema’s Assistance to Firefighter Grants (AFG) program Fire Prevention and Safety (FP&amp;S) grant program &amp; Staffing for Adequate Fire and Emergency Response (SAFER) grants by clicking the link below: https://t.co/4zBGsPysIy,2019-12-14 16:45:05,Twitter for iPhone,2,5
Today I took part in a ceremony to honor and thank U.S. Army veteran Sergeant Francis O’Donnell and to reissue medals earned during the Korean War.  Tune in to @WNEP at 6 p.m. and @brcnews13 at 5:30 or 6:30 p.m. for stories on today’s ceremony! https://t.co/CNysLBEs14,2019-12-13 20:41:30,Twitter Web App,8,13
Happy birthday #Pennsylvania! On December 12 1787 Pennsylvania became the second state to ratify the Constitution.  Check out the map of Pennsylvania below courtesy of the @LibraryCongress. https://t.co/HFFNuVKYXW,2019-12-12 21:27:49,Twitter Web App,5,12
(2/2) This is unsettling but the problem needs to be exposed before we can get solutions.  Watch the interview at the link below for more information:  https://t.co/2EUi1rRviE,2019-12-12 14:38:02,Twitter Web App,5,9
(1/2) It is important for everyone to see Attorney General William Barr’s straightforward description of the recent inspector general’s report and the forthcoming Durham report.,2019-12-12 14:37:53,Twitter Web App,7,21
The passage of this historic #NDAA is a big win for America. Under @realDonaldTrump’s leadership the agreement provides the biggest pay raise in a decade for our troops strengthens our military &amp; establishes a Space Force to better defend against 21st century threats.,2019-12-11 23:27:30,Twitter Web App,14,51
Tomorrow our hours in State Representative Heffley’s office will be in his Albrightsville location (2681 State Route 903 Unit 3 Albrightsville PA) from 9 a.m.-3 p.m.   Next Thursday (Dec. 19) our hours will be from 9 a.m.-3 p.m. in Weissport. https://t.co/XvM2uRHrCk,2019-12-11 19:42:57,Twitter Web App,1,3
I spoke on the House floor in support of H.R. 19 the Lower Costs More Cures Act.   This important legislation would lower out-of-pocket spending spur competition &amp; innovation &amp; empower patients to make well-informed decisions about their medications.   https://t.co/mYRJBz3S7v,2019-12-11 17:57:16,Twitter Web App,21,76
@realDonaldTrump (3/3) This is Orwellian and for the sake of our country and the American people cannot be allowed to happen again.,2019-12-10 16:52:32,Twitter Web App,13,26
(2/3) The group abusing power here is Democrat leadership with the presumption of guilt and the lack of due process against @RealDonaldTrump. Additionally they have obstructed Congress by holding secret hearings to vet their own witnesses as rehearsals before public viewing.,2019-12-10 16:52:26,Twitter Web App,20,35
(1/3) Finally Democrat leadership has come up with the terms they find most effective for their impeachment sham. They’ve tried Russian corruption bribery quid pro quo and obstruction of justice and have now finally arrived at “abuse of power” and “obstruction of Congress.”,2019-12-10 16:52:20,Twitter Web App,15,32
@realDonaldTrump (2/2) USMCA will spur $68B in new economic growth across the U.S. and PA's economy will benefit immensely. Trade with Canada and Mexico supports more than 470K jobs in PA alone and more than 42K jobs in PA depend on manufacturing exports to these countries.,2019-12-10 16:20:19,Twitter Web App,387,1043
(1/2) The #USMCA now looks like it will finally come to the House floor for a vote next week. This agreement as negotiated by @realDonaldTrump is a huge win for America &amp; #PA09. Democrat leadership has wasted months on their impeachment sham instead of this critical trade deal.,2019-12-10 16:20:10,Twitter Web App,3858,14775
@GOPLeader @realDonaldTrump (4/4) Jerry Nadler has supported impeachment since the day he became Judiciary Committee Chairman. This should be an outrage. We are witnessing a politics-driven attempt to impeach a duly-elected President which is a complete abuse of congressional impeachment powers.,2019-12-09 15:31:39,Twitter Web App,49,119
@GOPLeader @realDonaldTrump (3/4) It is of great concern that the 16 of 24 Democrat members of the Judiciary Committee the Committee that this week will draft articles of impeachment voted to bring up the President’s impeachment in mid-July before any calls with Ukraine took place.,2019-12-09 15:31:30,Twitter Web App,36,90
@GOPLeader (2/4) Watch the video below to learn why Nancy Pelosi has wanted to impeach @realDonaldTrump since before he even took office.,2019-12-09 15:31:18,Twitter Web App,21,65
(1/4) I agree with @GOPLeader - “Democrats have claimed they are hesitant or remorseful about impeachment but their timeline shows they have been plotting to take down President Trump all along.” https://t.co/bM1Bww34D6,2019-12-09 15:31:09,Twitter Web App,331,888
Another booming jobs report under @realDonaldTrump’s leadership.  The U.S. added 266K new jobs in November unemployment is at 3.5% and wages are up 3.1% compared to a year earlier. https://t.co/Fe44RGryJH,2019-12-06 14:41:51,Twitter Web App,96,360
Great to catch up with @VP Mike Pence one of the best VP’s in the history of our nation at this week’s @HouseGOP meeting.   Thank you for continuing to fight for the American people. https://t.co/3475apNdYy,2019-12-06 13:30:00,TweetDeck,10,30
Today I honored Mahantongo Valley Farms owners Larry and Joanna Snyder who are from #PA09.   One of their beautiful Christmas trees was selected by @realDonaldTrump and @FLOTUS to adorn the Blue Room in the @WhiteHouse during this holiday season. https://t.co/OtvC9oCt3o,2019-12-05 18:50:06,Twitter Web App,7,17
