Congratulations to this Due West Robotics team for winning the South Carolina First Lego League State Championship! I know you all worked very hard to get here and I wish you the best of luck at the World Championship! #SC03 https://t.co/hWze9JUtqe,2020-01-17 21:01:08,Twitter Web App,3,16
Planned Parenthood is a radical organization that has zero respect for the unborn. They should NEVER receive taxpayer dollars! #ProLife https://t.co/twHrMjuvaB,2020-01-17 17:50:12,Twitter Web App,788,2235
Huge news for the Upstate. Congratulations! https://t.co/1qlFlfaMeK,2020-01-16 21:28:09,Twitter Web App,7,16
If Senator Chuck Schumer wants to negotiate trade deals like #USMCA maybe he should try to run for President instead of interfering in a deal with Canada and Mexico that will boost our economy and create jobs!  https://t.co/xqPus9baU6,2020-01-16 18:22:33,Twitter Web App,19,48
House Speaker Nancy Pelosi: "Every day that we're involved in this impeachment is a sad day for America"   There wasn’t a lot of sadness yesterday during their ceremony! https://t.co/X7JwFRo72s,2020-01-16 16:48:44,Twitter Web App,5,22
Almost all of the impeachment managers supported impeachment BEFORE the whistleblower complaint. This has never been about the whistleblower or Ukraine. Democrats STILL can’t get over the fact that @realDonaldTrump beat HRC! https://t.co/AZn5cE8kYI,2020-01-16 16:26:59,Twitter Web App,19,28
Great time sitting down with the @SafariClubIntl folks for an upcoming episode of the Tag Soup podcast. Talked all about hunting and conservation. Stay tuned! https://t.co/Kng0C0iKZP,2020-01-16 15:57:36,Twitter for iPhone,4,7
Democrats’ agenda: #ImpeachmentSham   @realDonaldTrump’s agenda: #AmericaFirst 🇺🇸   What a contrast! https://t.co/3LhWbnT28h,2020-01-16 15:37:41,Twitter for iPhone,11,27
As unserious as the actual articles of impeachment. Unreal.  https://t.co/qJY6prlPIW,2020-01-16 13:34:57,Twitter Web App,12,53
Democrats today: sending “impeachment managers” to the Senate for their #ShamImpeachment   @realDonaldTrump today: working to end China’s unfair trade practices &amp; putting #AmericaFirst to further elevate our economy create jobs spur innovation &amp; protect hard-working Americans.,2020-01-15 18:35:58,Twitter Web App,16,38
And Democrats claimed this was a solemn thoughtful process. Impeachment has always been their goal. #ImpeachmentSham  https://t.co/Qune5h2PzT,2020-01-15 18:16:37,Twitter Web App,12,16
28 days – so much for urgency! Democrats know their "case" isn’t going to hold up. https://t.co/lbwBCGy1An,2020-01-15 16:39:26,Twitter Web App,9,18
Adam Schiff... -Abused Chairmanship to spin the Russian collusion hoax over 2 years -Coordinated with whistleblower &amp; denied it on national television -Manufactured a false transcript of Trump/Zelensky call during a hearing to mislead the nation #ImpeachmentSham #ZeroCredibility https://t.co/RLpcKUJDOA,2020-01-15 15:53:09,Twitter Web App,46,72
Zero credibility! The Democrats’ sham is continuing. https://t.co/SWtG9BMV3L,2020-01-15 15:46:45,Twitter Web App,83,276
Democrats broke House Rules and abused their power to prevent important witnesses from being heard during the #ShamImpeachment – like Hunter Biden who is at the center of this entire thing (along with witnesses like Adam Schiff and the whistleblower). https://t.co/jka3Tp7tPe,2020-01-15 14:59:27,Twitter Web App,20,37
“Secretary of State Mike Pompeo’s announcement that the United States would no longer view Israeli settlements as inconsistent with international law may have surprised many but it should not have surprised the Palestinians…” Check out my latest op-ed! https://t.co/T46cGHm6Tp,2020-01-15 14:53:01,Twitter Web App,6,14
"Nancy Pelosi's vote on a war powers resolution to rein in Trump on Iran is hypocritical–Democratic leaders didn't act against Obama's military overreach as he launched attacks across the Middle East and North Africa.”  https://t.co/gJOFEjDZmn https://t.co/w1tTOlfr32,2020-01-15 14:48:01,Twitter Web App,11,25
I will make good on the wager with @SteveScalise and wear the colors of the College Football National Champions — the LSU Tigers — tomorrow. Congrats Bayou Bengals! #LSUvsCLEM https://t.co/ePwVAXjVAZ https://t.co/Y9tlgFJ6oG,2020-01-14 19:12:48,Twitter for iPhone,1,28
The “urgent” impeachment articles have been left sitting for 27 days. It was never about urgency or the facts – it has always been about hatred for @realDonaldTrump and his presidency.,2020-01-14 18:23:29,Twitter Web App,31,102
“Trump/Ukraine Scandal?” The REAL scandal: Hunter Biden made millions on board of Burisma (no energy experience) while it is being investigated for corruption when his father as VP withheld foreign aid until prosecutor looking into shady deals was fired. https://t.co/LgT9Yw6y6A,2020-01-14 18:06:47,Twitter Web App,20,39
For Democrats this was all politics &amp; trying to destroy @realDonaldTrump's name due to their anger over the 2016 election. Their #ShamImpeachment isn’t about the facts – they have no evidence &amp; no case! https://t.co/1i2w50JvXT,2020-01-14 15:17:08,Twitter Web App,249,611
🇺🇸 https://t.co/pYXYbv7NJz,2020-01-14 01:35:04,Twitter for iPhone,10,64
Time to watch @ClemsonFB in the #NationalChampionship! #ALLIN #LSUvsCLEM 🐅 https://t.co/8Lq5C0Fy26,2020-01-14 01:16:16,Twitter for iPhone,2,13
On the way to New Orleans to see @ClemsonFB play in the @CFBPlayoff #NationalChampionship game! It’s a great day to be a Clemson Tiger! #ALLIN https://t.co/wL8UQcw1ma,2020-01-13 19:58:14,Twitter for iPhone,2,44
Proud of my good friend @AGJeffLandry! Inauguration Day in a rainy Baton Rouge. We are going to make this official &amp; head to N’Awlins! #GoTigers! https://t.co/WIUguFIaUX,2020-01-13 19:11:15,Twitter for iPhone,2,4
My blood runs orange &amp; I’m #ALLIN #GoTigers 🐅 #NationalChampionship https://t.co/31sbz9nUvA,2020-01-13 19:01:30,Twitter for iPhone,2,20
Important points in here. It’s time for Congress to debate AUMFs in general: "Pelosi's vote on a war powers resolution to rein in Trump on Iran is hypocritical–Democratic leaders didn't act against Obama's military overreach as he launched attacks..."  https://t.co/gJOFEjDZmn,2020-01-13 18:54:38,Twitter Web App,8,25
Get up Tigers it’s GAMEDAY! #ALLIN 🐅    My good friend @SteveScalise &amp; I made a friendly wager on the @ClemsonFB vs. @LSUfootball @CFBPlayoff #NationalChampionship game over Popeyes &amp; sporting the winning team’s necktie. Looking forward to a GREAT GAME &amp; a #CLEMSON VICTORY!,2020-01-13 14:46:11,Twitter for iPhone,7,53
Speaker Pelosi caved and “urgency” was all a stunt.   “But this was a spectacular failure and Pelosi knows it.” https://t.co/SwHTZDf6hU,2020-01-10 21:26:30,Twitter Web App,71,226
Never thought I’d see the day when House Democrats would chastise and rebuke the Commander-in-Chief for lawfully and decisively taking out the world’s most dangerous terrorist – but here we are. Trump Derangement Syndrome is clouding their judgement! https://t.co/AU93I1sLOQ,2020-01-10 15:07:26,Twitter Web App,7,19
The USA is winning under @realDonaldTrump! https://t.co/2Hw19dFEAj,2020-01-10 14:20:15,Twitter Web App,80,382
Democrats’ war powers resolution attempts to undermine our national security &amp; the ability for @realDonaldTrump to respond to imminent threats. Their goal is to stop @realDonaldTrump no matter what–&amp; this resolution signals they would even stop him from keeping our nation safe!,2020-01-09 22:14:29,Twitter Web App,14,56
Soleimani was a Specially-Designated Global Terrorist responsible for 600+ deaths of Americans &amp; terror around the world. @realdonaldtrump lawfully &amp; decisively took him out. The Democrats’ War Powers Resolution is an atrocious attempt to appease their radical anti-Trump base. https://t.co/oQCys5EOyX,2020-01-09 21:45:10,Twitter Media Studio,46,109
Unbelievable. We should be applauding these servicemembers! I’m forever grateful for the men and women in uniform who defend our freedoms. I stand with them! https://t.co/ODznIP0Gbb,2020-01-09 20:41:12,Twitter Web App,8,27
.@POTUS @realDonaldTrump is delivering on his promise to streamline outdated processes eliminate red-tape &amp; create efficient standards in order to properly evaluate environmental impacts in the 21st century! #gopHEAT https://t.co/I5aPWJZgtb,2020-01-09 17:53:37,Twitter Web App,12,37
Bravo to the @realDonaldTrump Administration for modernizing NEPA regulations a move that has been long overdue. These regulations haven’t seen a comprehensive update in over 40 years! https://t.co/qsuDOZV0Uf,2020-01-09 17:49:09,Twitter Web App,28,72
Huge thank you to our brave law enforcement officers in #SC03! Our communities are safer because of you! #LawEnforcementAppreciationDay,2020-01-09 14:34:42,Twitter Web App,5,19
This is huge news and a big win for border security! https://t.co/HL5CuQN9st,2020-01-09 14:25:35,Twitter Web App,17,30
Pelosi in September…”The times have found us today…to place us in the urgency of protecting and defending our Constitution from all enemies foreign and domestic.” Doesn’t seem so urgent anymore since she knows there’s no case! The nonsense has to stop!  https://t.co/6CL15fia9f,2020-01-09 14:12:40,Twitter for iPhone,14,31
@gorgeous_gregg But Iraq was. This was a terrorist leader in Iraq who as an Iranian was instigating future acts of terror there.,2020-01-08 23:27:56,Twitter for iPhone,0,1
The American people are sick of the impeachment nonsense and now Senate Democrats are too. Nancy Pelosi’s sham is crumbling. https://t.co/aKQ12qcGIm,2020-01-08 20:26:52,Twitter Web App,16,42
Where were all the Democrats when Obama was using drones to drop missiles in Yemen and elsewhere? The 2002 AUMF covers Iraq – not sure it covered Yemen!,2020-01-08 20:16:03,Twitter Web App,6,30
The Democrats’ hatred for our President on full display. Unbelievable. https://t.co/z7rRiCyQJt,2020-01-08 19:54:18,Twitter Web App,7,27
“We are now the number-one producer of oil and natural gas anywhere in the world. We are independent and we do not need Middle East oil.” - @POTUS @realDonaldTrump #EnergyDominance #gopHEAT,2020-01-08 17:25:43,Twitter Web App,15,88
The maximum pressure campaign against Iran must continue. I stand with our Commander-in-Chief! God bless the USA. https://t.co/LySqEmew10,2020-01-08 17:21:47,Twitter Web App,4,29
"The United States is ready to embrace peace with all who seek it." - @POTUS @realDonaldTrump,2020-01-08 17:14:07,Twitter Web App,6,21
.@realDonaldTrump has shown tremendous leadership in the face of Iran’s violence &amp; aggression. He has shown the world that the U.S. will no longer coddle or appease Iran that the U.S. will always protect Americans &amp; that a world without Soleimani is a safer world.,2020-01-08 17:11:35,Twitter Web App,14,40
The US military is the best in the world &amp; always steps ahead of everyone else. I’m forever grateful for the men &amp; women who put on the uniform in defense of our freedoms. Their dedication skill &amp; preparedness are unmatched.,2020-01-08 17:05:35,Twitter Web App,12,38
Closely monitoring the Iranian attack on bases in Iraq housing U.S. servicemembers. Please join me in praying for the safety and protection of the men and women in uniform serving our nation.,2020-01-08 01:11:47,Twitter for iPhone,24,189
Thank you!! https://t.co/60qZ8cpS5z,2020-01-07 19:37:36,Twitter Web App,3,14
Even in the midst of endless attacks by Democrats @POTUS @realDonaldTrump continues to usher in a booming economy in the USA. Promise made promise kept!  https://t.co/BkLsjJAaUO,2020-01-07 19:36:29,Twitter Web App,15,41
Pelosi in September… “The times have found us today… to place us in the urgency of protecting and defending our Constitution from all enemies foreign and domestic.” Doesn’t seem so urgent anymore because there’s NO case. #ShamImpeachment https://t.co/mksWlKgrGN,2020-01-07 15:25:01,Twitter Web App,93,315
Democrats’ focus is tearing @realDonaldTrump down. @realDonaldTrump's focus is keeping Americans safe. Quite the difference. Thank you @POTUS. https://t.co/p3SrFPlFMc,2020-01-07 15:18:43,Twitter Web App,12,27
Soleimani had the blood of hundreds of Americans on his hands &amp; was responsible for brutal terror around the globe. Thank you to @realDonaldTrump for showing the world that attacks on Americans will not go unnoticed. https://t.co/VBjNaKEjSg,2020-01-07 14:59:04,Twitter Web App,18,36
Exactly why American #EnergyDominance is so important! #gopHEAT https://t.co/T6uPAvXVET,2020-01-06 20:18:23,Twitter Web App,10,29
Democrats continue to weaponize impeachment. Speaker Pelosi knows the “case” is no case at all &amp; would absolutely crumble in a Senate trial. This isn’t about facts or evidence. It’s about complete hatred of the President. https://t.co/MjRkQdnTsl,2020-01-06 18:11:23,Twitter Web App,42,149
Hey @ChrisMurphyCT how many drone strikes did PresObama order without notifying Congress?    542 resulting in 3797 deaths including civilians.,2020-01-04 01:20:22,Twitter for iPhone,225,432
I believe @ChrisMurphyCT got his sequence a little out of order!  See Dec 31 Tweet and the Tweet from today. Sheesh. They (Progressives) hate POTUS Trump so much! https://t.co/koj0ChXjwU,2020-01-04 00:13:09,Twitter for iPhone,27,53
@AdamNewshound12 I can be against war with Iran but FOR killing a terrorist and someone who propagated terrorism on behalf of the world’s largest State-Aponsor of terrorism Iran.  Everyone is jumping to conclusion that this means a “war.”  We are already at war in GWOT.,2020-01-04 00:07:19,Twitter for iPhone,0,0
@ChrisMurphyCT How did you vote on past AUMF’s on GWOT?  I believe Congress gave the CIC the ability to act quickly to take out terrorists.,2020-01-03 22:16:38,Twitter for iPhone,13,78
AMERICA considered him a war criminal. https://t.co/r1u9OO4b7z,2020-01-03 21:01:59,Twitter Web App,10,36
What an incredible and accomplished life Sam Wyche lived! His legacy will continue to live on for years to come. Praying for his loved ones during this time of loss.  https://t.co/g3xYjUh6bN,2020-01-03 17:15:51,Twitter Web App,1,11
Mic drop Senator Cruz https://t.co/Lnon1XqP8x,2020-01-03 15:35:47,Twitter Web App,16,76
Decisive action to confront the world’s largest state sponsor of terrorism has been long overdue. Iran &amp; the world now know that the U.S. will no longer be bullied or scared of global public opinion when it comes to protecting U.S. citizens or U.S. interests from heinous acts. https://t.co/aRaUSBfyqf,2020-01-03 14:45:49,Twitter Web App,15,51
Our military is the best of the best. May God bless them for their efforts in making the world a safer place without murderous terrorists like Qassem Soleimani.,2020-01-03 14:29:53,Twitter Web App,3,23
I applaud @realDonaldTrump for taking decisive action to take out Qassem Soleimani a brutal terrorist with the blood of countless Americans on his hands. This action shows Iranian attacks &amp; aggression against Americans will not go unnoticed under his leadership. https://t.co/0QDdQds1UY,2020-01-03 14:29:52,Twitter Web App,17,60
