It is now undeniable that the President violated his oath of office.   Senators must now decide whether to uphold theirs. https://t.co/3Kd6Jw3PkH,2020-01-16 16:53:02,Twitter Web App,137,281
Students who've been defrauded by their colleges have suffered enough.  Secretary DeVos refuses to provide them w/ relief or hold these schools accountable.  Today we reversed her rule so we can hold these predatory schools accountable &amp; provide students the relief they deserve.,2020-01-16 15:53:18,Twitter Web App,105,241
All Americans deserve protection from discrimination and that includes older Americans.   Today we voted to restore older Americans’ ability to fight back against age discrimination.   This a fundamental protection they need and deserve.,2020-01-15 21:59:53,Twitter Web App,35,80
In 1966 Dr. Martin Luther King Jr. visited Kingstree South Carolina and urged the audience to “march on the ballot box” in order to make change.  As we celebrate his birthday today I would urge all those who wish to make their voices heard to do the same. https://t.co/a8kl1dm5qN,2020-01-15 20:17:46,Twitter Media Studio,291,617
The House has voted to send articles of impeachment to the Senate.   It's now incumbent upon them to engage in a fair &amp; impartial trial as dictated by the Constitution.   Every Senator must choose whether to be loyal to the President or the Constitution. No one is above the law.,2020-01-15 18:48:20,Twitter Web App,99,278
I have long advocated for targeting persistent poverty communities with federal funding including through my 10-20-30 plan so we can help bridge the economic divide.  That way towns like Pembroke Township get the infrastructure and investment they need. https://t.co/Tdaz4nUt8K,2020-01-14 14:49:03,Twitter for iPhone,40,59
Great game and great season @ClemsonFB.   You truly went #ALLIN.  @SteveScalise looks like I owe you and your staff some South Carolina BBQ!,2020-01-14 05:34:22,Twitter for iPhone,10,75
One thing @ClemsonUniv &amp; @LSU can agree on today–saving tigers worldwide.  These 2 universities along w/ fellow tigers @AuburnU &amp; @Mizzou formed the Tigers United University Consortium to help protect this endangered species.  I applaud their great work! https://t.co/d2ZrsmPbS2,2020-01-14 00:09:00,TweetDeck,63,144
Now that Congress has repealed the 2017 GOP tax on places of worship and nonprofits we must ensure the IRS provides guidance on how these organizations can receive a refund for the unexpected and unwarranted tax they incurred. https://t.co/EWlJJEIvSq,2020-01-13 19:55:41,Twitter for iPhone,10,12
Almost 2 Million South Carolinians with pre-existing conditions are at risk of losing their health care coverage if Republicans win their anti-health lawsuit.   No American should face discrimination because they have a pre-existing condition. #ProtectOurCare https://t.co/HKq6PpRRmJ,2020-01-13 19:05:00,TweetDeck,485,1067
It’s the battle of the Tigers tonight for the #NationalChampionship.   So naturally Whip @SteveScalise and I decided to have a battle of the Whips to see whose team will reign supreme.   There’s a lot of good food on the line so LET’S GO TIGERS! https://t.co/hRDFKyNUTX,2020-01-13 18:39:52,Twitter Media Studio,104,341
South Carolina played a significant role in this nation’s fight for civil rights.  Pleased more of that history will become digitized so it may be remembered by future generations.  Congrats to @UofSClibraries &amp; Dr. Bobby Donaldson on this grant award. https://t.co/ihvXb80Cij,2020-01-13 15:59:09,Twitter Web App,29,48
President Trump doesn’t want us to remember that his administration is still trying to eliminate the ACA’s protections for people with preexisting conditions.   We won’t forget. https://t.co/cAyNJubAIB,2020-01-10 21:33:53,Twitter for iPhone,318,438
Programs like this bring health care➡️people; however they also highlight the importance of affordable high-speed internet.  Many residents of medically underserved areas—where telehealth is most needed—can’t benefit b/c they can’t get internet access. https://t.co/wA85AyieW7,2020-01-10 18:57:00,TweetDeck,42,70
The EPA is failing to address the threat of #PFAS chemicals.   The PFAS Action Act provides protections impacted communities need quickly &amp; for the long term.  This comprehensive legislation will:    ✅ regulate PFAS chemicals ✅ clean up contamination ✅ protect public health,2020-01-10 16:13:58,Twitter Web App,33,65
I met my wife in jail after being arrested during a civil rights march.   She brought me food and shared a hamburger with me.   Turns out she knew who I was and had been plotting to meet me for some time.   We were married for 58 years. https://t.co/rEtNyuxDZf,2020-01-09 21:40:44,Twitter Web App,15575,126209
If the President believes military action against Iran is warranted this resolution and the Constitution require him to make the case to Congress and receive authorization.  With this resolution we are speaking for peace compassion morality &amp; clear vision. https://t.co/PPw0pz7kiK,2020-01-09 21:30:19,Twitter Media Studio,122,356
Encouraged by @AjitPaiFCC’s Rural Digital Opportunity Fund proposal to prioritize faster internet speeds.   Fiber networks are a game-changer for rural America.   I am excited to see what @SCcooperatives and @SCTBA_  will do to close the #DigitalDivide in South Carolina. https://t.co/a89nppTv26,2020-01-09 21:14:33,Twitter Web App,34,57
Many people know that I have an affinity for turtles and I’m very pleased with the efforts my state is making to protect them and other reptiles and amphibians. #SAVETHETURTLES! 🐢🐢🐢   https://t.co/w3NEpYzYYe,2020-01-09 16:51:27,Twitter Web App,58,191
As we move into this tax season I am pleased the 2017 GOP tax on places of worship and nonprofits has been repealed.    I was proud to introduce legislation to lift this unexpected and unnecessary burden on these previously tax-exempt organizations. https://t.co/ceem1f0KxJ,2020-01-08 20:26:47,Twitter Web App,24,51
Iranian missile strikes against an American military base heightens concerns about the safety and security of our troops and Americans abroad.   They should be this Administration’s top priority.   Escalating tensions with Iran is not the answer.,2020-01-08 02:33:50,Twitter for iPhone,102,339
Contributions to South Carolina’s 529 plan are not only deductible from state income tax but now-thanks to the just-enacted SECURE Act-can also be used to pay off up to $10000 of student loan debt or registration costs of apprenticeship programs. https://t.co/0parkpky8P,2020-01-07 19:11:23,Twitter Web App,25,29
This report regarding PFAS contaminated water near Shaw AFB is another example of why the House is voting this week to regulate these dangerous chemicals.   We must protect the drinking water and health of communities near our military bases.  https://t.co/A3RKWtPwpU,2020-01-06 16:11:24,Twitter for iPhone,139,215
The President’s unilateral action places our country at greater risk with no evidence of a strategy. His failure to even consult Congress—entrusted by the Constitution to authorize military force—is alarming. Congress must uphold our responsibility to protect national security.,2020-01-03 17:19:02,Twitter for iPhone,106,214
Wishing everyone a safe happy and prosperous New Year. https://t.co/PkB6iHTbot,2020-01-01 05:00:00,TweetDeck,32,158
My thoughts and prayers are with my good friend @repjohnlewis as he begins what is sure to be his hardest fight yet.  But I know that John will continue to fight as he always has and will overcome this obstacle just as he has overcome many others. https://t.co/P4ufpV8ng4,2019-12-30 01:18:53,Twitter for iPhone,180,897
Happy Kwanzaa to all those around the world celebrating today. https://t.co/WPZk6MYdhF,2019-12-26 16:03:00,TweetDeck,78,211
Wishing everyone a very Merry Christmas! https://t.co/XH7C2BuiJv,2019-12-25 15:02:00,TweetDeck,41,189
Wishing peace and light to all those around the world celebrating the beginning of Hanukkah tonight.,2019-12-23 00:20:51,Twitter for iPhone,79,346
As we approach this holiday season I hope that we will not forget the brave men and women who sacrificed so much to serve and protect our great republic.   And as we end this year and look to next year let us strive to create peace and happiness throughout the world. https://t.co/BU2epqlxJn,2019-12-20 21:49:00,Twitter Media Studio,111,282
In 2019 I introduced legislation on affordable housing student loan debt reducing gun violence and more.   As we go into 2020 I will continue to fight to make America's greatness accessible and affordable for all. https://t.co/Oo8aweKFkU,2019-12-20 16:20:24,Twitter Media Studio,105,309
I did not support NAFTA but I believe the #USMCA builds on the positive aspects of NAFTA while repairing its faults.  South Carolina is a major trading state and ratifying this agreement will provide the certainty our companies need to continue to grow internationally.,2019-12-19 16:07:33,Twitter Web App,27,75
When we took our oath we promised to ‘support &amp; defend the Constitution against all enemies foreign &amp; domestic.’  Today that required us to impeach the president of the United States.  It gives us no pleasure to do what was done today but we took an oath &amp; today we fulfilled it.,2019-12-19 02:16:39,Twitter Web App,172,590
I rise today and reflect upon our oath of office to 'support and defend the Constitution against all enemies foreign and domestic.'   It is my sincere belief that under the circumstances that bring us here today there is only one path for us to take to fulfill that oath. https://t.co/UBDBi7bS43,2019-12-18 16:09:35,Twitter Media Studio,235,810
I think this president has conducted himself in such a way that we are left with no alternative but to proceed with a vote today to impeach.  If these charges are not impeachable nothing is. https://t.co/FYRbgkyGbc,2019-12-18 14:53:30,Twitter Media Studio,231,697
Without this repeal the Republican tax law forced charities and places of worship to pay taxes on basic employee benefits like transportation and parking.   I’m pleased they will no longer have to bear the cost of the Republican’s giant tax giveaway to wealthy and corporations.,2019-12-17 21:27:07,Twitter Web App,5,20
Proverbs 31:9 says “Speak up and judge fairly; defend the rights of the poor and needy.”  We spoke up and we have successfully repealed the tax hike on charities and places of worship. https://t.co/AMq5FgWvOI,2019-12-17 21:27:07,Twitter Web App,15,32
HBCUs are all about providing opportunities to our students who might not get them anywhere else and preparing them so that when they graduate they are just as qualified if not more as any other student in the same profession. #FUTUREAct #ForTheFUTURE https://t.co/nyBWXJwtbf,2019-12-17 21:24:00,Twitter Media Studio,51,140
These appropriations packages grow our economy protect our environment repair our infrastructure strengthen health care invest in education and set up rural communities for continued success while striving to make America’s greatness accessible and affordable for all.,2019-12-17 20:57:23,Twitter Web App,8,21
The spending package also increased the budget cap for the South Carolina National Heritage Corridor which brings thousands of tourists to the state each year.,2019-12-17 20:57:23,Twitter Web App,8,19
STEM education for HBCUs was increased by over $10 million in the spending package and an additional $10 million was added to my HBCU Historic Preservation Fund which renovates historic structures on HBCU campuses nationwide.,2019-12-17 20:57:23,Twitter Web App,6,15
The spending package provides short-term funding extensions for Community Health Centers through May 2020.  I will continue fighting to extend CHC funding long-term so under-served areas can receive the care they need.,2019-12-17 20:57:23,Twitter Web App,6,15
The spending package provides $29 million for telehealth projects.   The Medical University of South Carolina is a telehealth center providing nearly 250 million telehealth services to over 200 sites in 27 counties 28 hospitals over 100 community clinics and 50 schools.,2019-12-17 20:57:22,Twitter Web App,6,14
The spending package removes the fringe benefits (parking transit etc.) tax on places of worship and charities that was created by the Republican’s 2017 tax bill.,2019-12-17 20:57:22,Twitter Web App,6,13
I secured another $12 million for the Rural Energy Savings Program that I originally established in 2010 which creates jobs saves American families and businesses money on their electric bills and reduces air pollution.,2019-12-17 20:57:22,Twitter Web App,6,13
The spending package fully funds the $138 million Charleston Harbor deepening project and increases the Environment Infrastructure funding so the Lake Marion Regional Water Agency can provide potable water and sewage to communities in parts of my district.,2019-12-17 20:57:22,Twitter Web App,7,17
The spending package applies my 10-20-30 formula – ensuring that at least 10% of funds are spent in counties with a poverty rate of at least 20% over the last 30 years – to 15 spending accounts an all-time high.,2019-12-17 20:57:21,Twitter Web App,6,16
The spending package includes $15.5 billion in funds for new transportation and housing projects.   South Carolina will get an increase of $43 million in funding for highway and transit projects and an additional $2.3 million for housing projects.,2019-12-17 20:57:21,Twitter Web App,6,13
I’m pleased that Congress has reached a bipartisan agreement to fulfill our Constitutional duty to fund the government for another year.  This legislation contains many of my priority projects for South Carolina.  A thread:,2019-12-17 20:57:21,Twitter Web App,49,87
https://t.co/jlv19awuvH,2019-12-17 20:25:37,Twitter Web App,12,19
The FUTURE Act also simplifies the FAFSA from 108 to 22 questions.   By simplifying this form we’re able to remove a significant barrier for students who need financial assistance in order to afford college.,2019-12-17 19:17:00,TweetDeck,19,39
South Carolina’s 8 HBCUs will receive nearly $5 million in annual funding as a result of the #FUTUREAct.,2019-12-17 19:12:00,TweetDeck,30,63
#HBCUs and #MSIs are historically underfunded.   Thanks to the hard of work our Senate colleagues their funding has been PERMANENTLY authorized through the #FUTUREAct.   This will provide these vital institutions with the stability and certainty they need to thrive.,2019-12-17 19:03:00,TweetDeck,33,52
As an HBCU graduate I’ve benefited personally from the exceptional value &amp; educational preparation that these institutions provide.  HBCUs have made &amp; continue to make tremendous contributions to our society &amp; their graduates have helped shape the course of our nation’s history.,2019-12-17 19:01:00,TweetDeck,25,50
This is a prime example of why we must pass H.R. 5042 the Opportunity Zone Reform Act to ensure that the Opportunity Zone tax incentive is used solely for its intended purpose: expanding economic opportunity for low-income Americans. https://t.co/WhHyd1rVjT,2019-12-17 17:00:31,Twitter Web App,56,72
🚨ATTENTION🚨   Enrollment for health insurance through the Affordable Care Act has been extended to 3 AM EST Dec. 18. Low-premium policies are available for qualified applicants.     If you still need to enroll in 2020 health care coverage enrollment reopens today at 3 PM EST. https://t.co/aq8WuBayeE,2019-12-16 19:39:54,Twitter Web App,70,65
@SpeakerPelosi The Battle of the Bulge was the last major German offensive movement during World War II.   The German's defeat there ultimately allowed for the allied troops to achieve victory. https://t.co/L1vQUavPzB,2019-12-16 19:15:06,Twitter Web App,18,44
This weekend my colleagues &amp; I joined @SpeakerPelosi in Belgium where we honored World War II heroes &amp; marked the 75th anniversary of the Battle of the Bulge.  We must never forget the sacrifices of all of our brave men &amp; women who have served to defend &amp; protect our freedoms. https://t.co/XKVyNkGQ0V,2019-12-16 17:07:48,Twitter Web App,102,308
The Safe Drinking Water Act was passed into law with the intent of protecting public health.  Yet 45 years later Americans all across the country STILL don’t have access to safe drinking water.  This is unacceptable &amp; violators must be held accountable. https://t.co/YCAnLzgo8D,2019-12-16 15:18:17,Twitter Web App,108,138
Today is the last day to enroll in 2020 health insurance coverage.   Visit https://t.co/HZWBN4W0sS to sign up for new coverage switch providers or change your plan’s coverage.,2019-12-15 16:45:19,Twitter for iPhone,39,52
It’s been over 280 days since the House passed bipartisan legislation to #EndGunViolence.  It’s been 7 years since 26 innocent children and adults were gunned down at Sandy Hook Elementary School.  It’s been 7 years too long.   It’s time for the Senate to act.,2019-12-15 03:06:54,Twitter for iPhone,407,879
The president has left us no choice but to stand in defense of our country in order to uphold our great republic. (2/2),2019-12-13 18:40:56,Twitter for iPhone,26,78
Today @HouseJudiciary took a patriotic vote in support of protecting our democracy.   There is no pleasure in this action but it is the solemn duty required of those who take the oath of office to protect and serve. (1/2),2019-12-13 18:40:56,Twitter for iPhone,46,148
There are only two days left until the 2020 health insurance open enrollment period ends.  Now is the time to make changes to your existing coverage get a new plan or add family members.  Enroll today by visiting https://t.co/HZWBN4W0sS. https://t.co/yM3LOOfB3J,2019-12-13 18:03:13,Twitter for iPhone,59,50
The ReConnect program is vital to my Rural Broadband Task Force’s initiative to eliminate digital deserts and ensure all Americans have access to high-speed internet by 2025. https://t.co/SqqKMhwQ39,2019-12-13 16:35:29,Twitter Web App,40,57
This new policy is nothing but a cruel bureaucratic barrier to health care that will decrease coverage without increasing employment.   We should be expanding access to affordable health care not restricting it. https://t.co/lXNOK3TBBK,2019-12-12 22:35:25,Twitter for iPhone,134,178
Looking forward to speaking at @MorganStateU’s fall commencement tomorrow.   Congratulations to all of the Fall 2019 graduates for your hard-earned success.,2019-12-12 20:56:34,Twitter Web App,26,60
H.R. 3 not only provides American consumers with accessible &amp; affordable prescription drugs but also funds expansion of community health centers which provide quality health care in hard-to-reach communities.  I urge my Senate colleagues to bring this bipartisan bill to a vote.,2019-12-12 20:26:18,Twitter Web App,32,63
Four years ago the U.S. joined nations around the world in a pledge to embrace radical changes so that we might have a chance at saving our planet for future generations.  The House has voted to keep us in this agreement.   It's time for the Senate to do the same. https://t.co/Jr9ZlEIlAd,2019-12-12 18:02:00,TweetDeck,71,113
Born a slave Joseph Rainey became the first African American to serve in Congress 149 years ago today.   I represent today many of the same communities he represented 149 years ago. https://t.co/wA9mJw8GDr,2019-12-12 16:44:00,Twitter Media Studio,156,391
H.R. 3 is a huge win for American consumers providing price reductions on prescription drugs &amp; putting money back in their pockets.  This bill also funds provisions from my Community Health Centers legislation providing critical quality health care in hard-to-reach communities. https://t.co/xoE9FG6yBz,2019-12-11 23:42:36,Twitter Media Studio,92,216
The NDAA also contains @RepCunningham's amendment which I co-led to establish Coast Guard JROTC programs nationwide.  Both of these measures will expand young people's access to leadership training and valuable life skills.,2019-12-11 23:18:21,Twitter Web App,7,17
Pleased with House passage of NDAA today which includes important provisions to support our national defense &amp; meets the needs of our troops &amp; their families.  I'm also pleased the NDAA includes my legislation authorizing 8th graders to participate in JROTC programs nationwide.,2019-12-11 23:18:21,Twitter Web App,38,59
There are only a few days left to enroll in 2020 health insurance coverage.  South Carolinians are only at 89% enrollment compared to this time last year.  Check your coverage. Make changes. Get enrolled today.  Visit https://t.co/HZWBN4W0sS for more information. https://t.co/b4UoeTOzh5,2019-12-11 19:01:20,Twitter Web App,47,40
The President can't steal funds appropriated by Congress for the military to build his unnecessary and ineffective border wall.   I urge the Admin to accept this ruling &amp; restore funds to projects like the Laurel Bay Fire Station replacement in Beaufort. https://t.co/YcGoEH2GX4,2019-12-11 16:42:06,Twitter Web App,83,143
There are only 4 days left until the open enrollment period for 2020 health insurance closes.  Now is the time to make changes to your existing plan switch providers or get new coverage.  Visit https://t.co/HZWBN4W0sS to enroll today. https://t.co/S1Te9gm649,2019-12-11 14:39:02,Twitter Web App,60,42
@SCSTATE1896 Thank you to Chairman @RepRichardNeal and the @WaysMeansCmte for helping get today’s Future Act over the finish line.  Today’s legislation will help not only secure the financial future of HBCUs and MSIs but the future of their students as well.,2019-12-10 22:08:05,Twitter Web App,12,37
As a proud @SCState1896 graduate I know HBCUs and MSIs play an important role in educating millions of students nationwide.  I’m pleased that Congress was able to come together to permanently authorize funding to support these historic institutions. #ForTheFUTURE,2019-12-10 19:30:47,Twitter Web App,36,72
It's been 2 years since the @FCC repealed #NetNeutrality and almost 250 days since the House passed the #SaveTheInternet Act.  Without net neutrality your Internet Service Provider can:  ❌ Block ❌ Throttle ❌ Charge extra  The Senate must allow this to come to a vote. https://t.co/qjg1psfO63,2019-12-10 16:37:00,TweetDeck,122,168
The facts are uncontested.   The evidence is in plain sight.   We cannot let a president abuse his power for personal gain and obstruct Congress.   No one is above the law including this president.   We must #DefendOurDemocracy and move forward with #ArticlesofImpeachment.,2019-12-10 16:34:59,Twitter Web App,118,256
The U.S. Mexico Canada Agreement (USMCA):  -Will boost the economy -Support workers -Protect the environment -And improve access to affordable prescription drugs  It’s a win for Americans and a model for future trade agreements.,2019-12-10 15:39:35,Twitter Web App,16,43
HBCUs and MSIs generate billions of dollars for the U.S. economy every year and provide pathways to success for millions of students across the country.  The FUTURE Act is vital to the future of these students and the students after them.  We must fund them now. #ForTheFUTURE https://t.co/6H4n2a41Xs,2019-12-10 15:03:00,TweetDeck,32,48
As we recognize #HumanRightsDay today we must recommit ourselves to not only defending our own inalienable rights but the rights of others as well.  For as Dr. Martin Luther King Jr. once said “for evil to succeed all it needs is for good men to do nothing.”,2019-12-10 13:59:34,Twitter Web App,99,190
Today we remember and honor all of the brave men and women who fought and died in the Battle of Pearl Harbor.   Their bravery and sacrifice will never be forgotten.,2019-12-07 16:11:52,Twitter for iPhone,82,238
In 2013 the Shelby v. Holder decision gutted the VRA unleashing a wave of local voter suppression laws designed to silence American voters—especially  voters of color.   The right to vote is the cornerstone of our democracy and must be protected at all costs. #RestoreTheVote,2019-12-06 17:37:12,Twitter Web App,78,122
I do believe that this piece of legislation is deserving of bipartisan support.  I can remember when voting rights bills could pass both houses unanimously.  Let's do that today and demonstrate that we are making this democracy work for ALL. #RestoreTheVote https://t.co/VPHmtJ5XLS,2019-12-06 16:39:55,Twitter Media Studio,392,968
This legislation draws from evidence of documented modern-day voting impediments to establish criteria to determine where oversight and pre-clearance is still needed to ensure voter access and fair elections. #RestoreTheVote,2019-12-06 16:13:43,Twitter Web App,12,25
#HR4 is a good step to right the wrongs that've dismantled the fundamental right to vote through Voter ID laws purging voter rolls &amp; closing majority-minority polling places.    Upholding the voter protections in the VRA is critical to realizing the promise of democracy for all.,2019-12-06 16:13:42,Twitter Web App,58,109
This is a vote of conscience.   I've seen enough and I believe that if we cannot vote to impeach with what we had in testimonies last week then we ought to just modify the constitution and get rid of impeachment altogether. - via @CNN @NewDay https://t.co/pXBs22pEWO,2019-12-06 14:56:55,Twitter Media Studio,77,172
The Montgomery bus boycott was a true act of resistance in the fight for civil rights.  They stood on the shoulders of others to secure our rights and now we stand on their shoulders as we continue to fight to make America's greatness accessible and affordable for all. https://t.co/KcmtYOPGvt,2019-12-05 18:07:48,Twitter Media Studio,84,136
If these activities are not impeachable then we ought to amend the Constitution of the United States &amp; get rid of impeachment altogether.  We are witnessing a time in history that calls for true patriots to stand up in defense of this country &amp; its values. #DefendOurDemocracy,2019-12-05 16:47:50,Twitter Web App,184,435
Today’s witnesses categorically agreed that the President’s abuse of power is worthy of impeachment.  We cannot refute the clear facts that have been laid before us.  No one is above the law and we must hold this President accountable. #DefendOurDemocracy,2019-12-04 21:03:00,TweetDeck,114,229
50 years ago Sen. Fritz Hollings led a Hunger Tour through SC which moved Pres. Nixon to support the creation of SNAP.  Now this Admin is undermining this successful program to combat food insecurity making it harder for Americans to access assistance they need. #HandsOffSNAP,2019-12-04 20:10:34,Twitter Web App,157,217
The victims survivors and first responders of the Pulse Nightclub shooting deserve proper memorialization.  We ought to honor their memory by designating Pulse Nightclub as a federally recognized National Memorial site. #OrlandoStrong https://t.co/aJLWoV4p6O,2019-12-04 15:52:00,Twitter Web App,45,83
The FUTURE Act-which passed the House unanimously-is still sitting in the Senate.  To my colleagues in the Senate the FUTURE Act is all about the future of people whose experiences may be different from yours but whose intelligence may surpass yours.  It's time we fund them. https://t.co/SSRfxyQlg7,2019-12-04 01:00:43,Twitter Media Studio,154,279
"Just because impeachment is the main story in Washington doesn’t mean policy work isn’t happening. It just means it isn’t getting talked about as much..." https://t.co/1EmNJKZFvn,2019-12-02 17:28:43,Twitter Web App,210,374
Most of us don’t think twice about being able to shop online but thousands of Americans still lack access to basic internet.  Without internet rural residents can’t access education jobs health care or #CyberMonday deals.  It’s time to bring internet to ALL Americans.,2019-12-02 14:31:04,Twitter Web App,333,1190
Wishing the great Shirley Chisholm a happy 95th birthday.  May we continue to honor her memory and her legacy in all that we do. https://t.co/EQ39GmS3CG,2019-11-30 16:45:00,Twitter Media Studio,174,462
Small businesses make up 99% of all American businesses.  As we embark upon the holiday shopping season I would encourage you to shop at small businesses and support your local community. #ShopSmall #SmallBusinessSaturday https://t.co/PgBDtxmgsg,2019-11-30 15:56:00,TweetDeck,53,75
Wishing everyone a safe and happy Thanksgiving. https://t.co/mvBHDuPsZm,2019-11-28 16:05:00,TweetDeck,19,81
Health insurance enrollment is still open but it closes on December 15.  Now’s the perfect time to get health insurance change your coverage or switch providers.   Get covered today by visiting https://t.co/HZWBN4W0sS. https://t.co/U8bDMdMeQB,2019-11-26 21:30:54,Twitter Media Studio,117,126
The @USDA’s SNAP proposal would cause nearly #1MillionKids to lose access to free school meals.  This is unacceptable.  Children need access to nutritious foods both at home and during the school day.  We must protect our children. https://t.co/sJVybI4Nyw,2019-11-26 19:09:00,TweetDeck,180,206
Watch today's impeachment inquiry hearings live below ⬇️ https://t.co/XczAB6mGzq,2019-11-21 14:02:10,Twitter Web App,15,28
Latinas must work nearly 23 months in order to earn what white men earn in 12 months.  That is unacceptable.  Equal work deserves equal pay regardless of race ethnicity or gender.  The House has voted for equal pay. The Senate must do the same. #LatinaEqualPayDay https://t.co/39vY0MGOhB,2019-11-20 19:14:00,TweetDeck,79,119
Today we pause and honor the lives of all of the members of our transgender community whose lives were lost in acts of hate violence and transphobia.  No one should fear losing their life for simply being who they are. #TDOR https://t.co/TvEcP85EWy,2019-11-20 18:13:00,TweetDeck,127,217
Watch today's impeachment inquiry hearing live below 👇 https://t.co/sQdXTnEXX8,2019-11-20 14:35:57,Twitter Web App,9,12
I’m deeply disappointed that Chairman @SenAlexander &amp; @senatemajldr continue to block vital funding for our nation's HBCUs &amp; minority serving institutions.  The education of young people isn't a bargaining tactic &amp; we can't afford to turn our backs on these historic institutions.,2019-11-19 20:21:14,Twitter Web App,102,202
