I had a great time returning to my alma mater and meeting with the University of South Carolina @GamecockECON today. Thank you to all of these bright young men and women for the great questions and dialogue! https://t.co/TGsJPeL42o,2020-01-17 21:36:29,Twitter for iPhone,2,1
Next week my staff is hosting mobile office hours throughout the Grand Strand and Pee Dee to assist you with issues involving federal agencies including claims processing at the VA Social Security benefits the IRS obtaining passports and more.   https://t.co/82QdqyZuL5,2020-01-16 14:32:09,Twitter for iPhone,2,1
Join me next week to uplift our community in prayer at the Seventh District Interfaith Prayer Breakfast. All are welcome to attend - please see the invitation below for information on how to RSVP. We hope to see you on January 22! https://t.co/QWMUllpmld,2020-01-15 15:33:10,Twitter for iPhone,3,1
Let's get coffee! I'm hosting Coffee with your Congressman events throughout the Seventh District next week. Find one near you.  https://t.co/SwY6j2Yg5C,2020-01-14 16:58:52,Twitter for iPhone,5,5
Congratulations to LSU on their national championship win. Clemson Football had an amazing season and we are so proud of the way they represented our great state! https://t.co/2vQc3hVo7j,2020-01-14 15:21:24,Twitter for iPhone,1,4
Glad to hear there are no reports of injuries from today’s tornado in Loris! My thoughts and prayers are with everyone dealing with the damage caused by this storm.  https://t.co/NyX5IdAiYY,2020-01-14 01:25:52,Twitter for iPhone,6,6
Today is the BIG day!  Let the battle of the Tigers begin!   My money is on @ClemsonFB 🏈 !!! https://t.co/MJHwSXs42t,2020-01-13 18:42:27,Twitter for iPhone,2,7
Great news.  And congratulations to this teenager who had the courage to hold these “journalists” responsible.  https://t.co/yrMQNPQcDE,2020-01-10 17:42:35,Twitter for iPhone,6,13
December #JobsReport:  ✅ 145000 new jobs added ✅ strong wage growth ✅ unemployment remains at a 50-year low https://t.co/KzaTo6USCj,2020-01-10 15:00:31,Twitter for iPhone,5,3
Jobs jobs jobs!  https://t.co/suhZuncjQ1,2020-01-09 23:56:33,Twitter for iPhone,3,7
Officer Winkeler made the ultimate sacrifice while protecting our community.  He will be laid to rest in Florence today.  Please join me in saying a prayer for his family and the entire Florence community.  https://t.co/LBnyBulrjP,2020-01-09 18:16:47,Twitter for iPhone,1,3
On this National Law Enforcement Day as we honor all law enforcement officers for their services and sacrifice to our community please take a moment to honor the life of Florence Regional Airport Officer Winkeler.,2020-01-09 18:16:46,Twitter for iPhone,1,2
