Amen!  Titan Up! https://t.co/Wyf7bY764l,2020-01-12 14:26:51,Twitter Web App,11,33
Go Vols!! https://t.co/XOd91Gm1Aa,2020-01-02 16:09:53,Twitter for iPhone,1,13
Honored to work on this issue at the federal level but the real heroes are Trish Merelo along with all who lost loved ones now fighting for a barrier and our first responders. We won’t stop until we get this done. https://t.co/epOcLgoTsj,2019-12-30 15:45:45,Twitter for iPhone,2,7
Some thoughts on the #impeachment vote today: https://t.co/PkbXndAfAv,2019-12-18 20:02:55,Twitter for iPhone,7,29
The General Assembly should be involved in any future decisions regarding refugee resettlement in our state.,2019-12-18 19:36:43,Twitter for iPhone,3,5
The Tennessee General Assembly spoke loud and clear on refugee resettlement in 2017 when we voted to file a lawsuit on it. As it is still pending it court I believe Tennessee should hit the pause button and allow the lawsuit to play out.,2019-12-18 19:36:28,Twitter for iPhone,6,15
Enjoyed celebrating Christmas with @williamsontngop last night! These dedicated men and women are fired up for 2020! https://t.co/qpv4dG0HN6,2019-12-09 13:29:21,Twitter for iPhone,11,39
Never forget! https://t.co/zwX2u3Lb91,2019-12-03 01:36:03,Twitter for iPhone,3,10
From our family to yours happy Thanksgiving! https://t.co/zmPxzjf4XO,2019-11-28 14:57:30,Twitter for iPhone,5,17
Facts are a funny thing. https://t.co/z6LzwYfwqW,2019-11-22 17:44:43,Twitter for iPhone,2,5
Who’s your Baghdadi now?  Our new t-shirts are going fast!    Buy yours here today. https://t.co/NPXdt2wh2m,2019-11-18 22:16:56,Twitter for iPhone,2,6
Recently President Trump announced our American troops brought Baghdadi the world’s most wanted terrorist to justice.   Who’s your Baghdadi now?  Buy our new shirts here! https://t.co/NPXdt2wh2m,2019-11-15 19:34:35,Twitter for iPhone,4,7
It was an honor to speak at @Heritage_Action’s Southeast Sentinel Summit last weekend! @Heritage has led the way in the fight for freedom for more than four decades and their Sentinels are on the front lines today. #SentinelNation https://t.co/KeYsiiWy3D,2019-11-14 15:41:03,Twitter for iPhone,10,23
Thanks to the 500+ people who came out to our Old Fashioned Fish Fry last night to help salute our veterans! https://t.co/N96YBxqVKy,2019-11-10 15:04:40,Twitter for iPhone,16,40
Today is a big day: it's Mark's birthday! Mark has given so much of himself to serving our neighbors our state and our country. Our family couldn't be prouder of him.  To honor his 55th birthday will you join me in giving $55 to his campaign?  -Camie https://t.co/HQpjOReRWU,2019-11-08 15:09:02,Twitter for iPhone,3,9
Well said Leader McCarthy! https://t.co/cl8BseXseE,2019-11-07 13:28:29,Twitter for iPhone,2,10
It was an honor to speak at the Tennessee Federation of Republican Women’s Convention in Johnson City last week. Republican women are the backbone of our Party and are energized to hit the trail in 2020! https://t.co/jdmBOeEj1P,2019-10-29 19:25:29,Twitter for iPhone,3,17
Some dogs hunt terrorists; my dog doesn’t get that chance so he carries firewood. From one canine to another job well done! https://t.co/w8OLeoyfe8 https://t.co/bD0py97otI,2019-10-28 23:41:47,Twitter for iPhone,1,21
Great read on the impeachment events in DC. “The impeachment inquiry is nakedly political and so far there’s no public evidence of high crimes write @DavidRivkin and Elizabeth Price Foley. “ https://t.co/jM5z15hEs2,2019-10-26 05:31:16,Twitter for iPhone,3,11
Seeing him do the perp walk here real soon is going to be nice though! @RepMarkMeadows https://t.co/74hPGHSVn8,2019-10-25 23:47:24,Twitter for iPhone,0,11
Sen. Reginald Tate served his community and our state with great devotion and passion. Our hearts are broken to hear of his passing. Reggie was not just a colleague—he was a friend to all. It didn’t matter which side of the aisle you were on; we were all here to serve Tennessee.,2019-10-21 18:40:34,Twitter for iPhone,4,28
Since much of the mainstream media is headquartered just down the street there’s no reason this isn’t being covered. Other than the obvious one... #fakenews https://t.co/9rC69U9IC1,2019-10-18 20:12:23,Twitter for iPhone,3,12
Tickets are going fast! If you haven’t gotten a ticket yet make sure to get one tonight for our 2nd Annual Old Fashioned Fish Fry! https://t.co/eowuuLv7Ox,2019-10-18 01:38:01,Twitter for iPhone,1,4
Happy birthday @USNavy! https://t.co/6aRDhOzl0G,2019-10-13 15:24:02,Twitter for iPhone,1,3
Coming up next at #CPAC Atlanta! Tune in: https://t.co/bN5L453y6r,2019-10-11 20:34:17,Twitter for iPhone,0,3
Congratulations @BelmontUniv for being selected as a 2020 debate site! Looking forward to welcoming @realDonaldTrump back to the Volunteer State! https://t.co/nNA22AvcyK,2019-10-11 18:30:26,Twitter for iPhone,4,25
Camie and I will be joining Governor Lee and thousands across Tennessee in praying for our state today. I hope you’ll join us too. https://t.co/6Uz3oUqMnb,2019-10-10 12:28:13,Twitter for iPhone,3,28
Happy birthday @GovBillLee! https://t.co/p1SSl0j1bU,2019-10-09 14:13:47,Twitter for iPhone,0,14
It is a travesty what is going on in D.C. right now. Check out my thoughts from the Maury County Reagan Day here! https://t.co/8UMy3r0gtL,2019-10-07 00:55:27,Twitter for iPhone,2,13
It was an honor to speak at the Maury County Republican Party Reagan Day Dinner last night! Republicans across Tennessee are ready—and United—to re-elect President @realDonaldTrump in 2020! https://t.co/Br0lTB82A5,2019-10-04 14:54:21,Twitter for iPhone,3,12
