It was great meeting with El Paso veterans and residents today to discuss my work and accomplishments from my first year in office.  Thank you to all of those who came I’m looking forward to the new year of serving our beautiful city! ☀️ https://t.co/WpcOZLPUCo,2020-01-18 23:31:54,Twitter for iPhone,9,53
Good morning El Paso! ☀️  Today I’m hosting my veterans town hall meeting at 10 am and my general town hall meeting at 1 pm. I’ll discuss my work during my first year in office on behalf of El Pasoans. See you there!  https://t.co/omvW3rxidO] https://t.co/9bxgcQokoe,2020-01-18 15:00:00,TweetDeck,9,25
Feliz cumpleaños amiga! Sending you a big birthday hug @RepDMP hoping you have a wonderful day with your family.  🎂❤️ https://t.co/WzR4fQMYsC,2020-01-18 13:31:19,Twitter for iPhone,11,135
TOMORROW: I’m hosting my veterans town hall meeting and my monthly town hall meeting at 10 am and 1 pm. I’ll discuss my work during my first year in office on behalf of El Paso residents.   Don’t forget to RSVP👇🏽 https://t.co/omvW3rxidO] https://t.co/vDZi8MMjGe,2020-01-17 22:30:00,TweetDeck,5,29
My courageous wonderful beautiful friend @RepPressley  thank you for sharing your story.  You are a #Shero https://t.co/R82F3j6Djh,2020-01-17 17:43:28,Twitter Web App,15,108
Today I’m proud to introduce with @NydiaVelazquez H.R. 5625 the Targeting Environmental and Climate Recklessness Act to deter and hold accountable foreign individuals and companies who engage in reckless behaviors that exacerbate the climate crisis.   https://t.co/L29f1of3mQ,2020-01-16 22:51:21,Twitter for iPhone,14,49
Climate change is an urgent global crisis that demands a strong and swift response. As Congress continues to push for ambitious climate action we must also ensure we harness foreign policy to combat this threat and protect our planet for future generations.,2020-01-16 22:51:20,Twitter for iPhone,16,84
And the @DHSgov Migrant Protection Protocols (aka Return to Mexico) policy is a program you run that sends vulnerable asylum seekers into the clutches of these depraved people you mention.  I’m asking you to use your voice and authority to help them @DHS_Wolf by ending MPP. https://t.co/fH3V88O5fA,2020-01-16 21:14:50,Twitter for iPhone,39,102
We have to ensure our @DeptofDefense can engage and compete with China and investing in American STEM programs is a key part of that.  I'm proud that @UTEP has a high number of clearance-ready STEM graduates who stand ready to serve our country &amp; address our security challenges. https://t.co/YYk6rttdnp,2020-01-16 16:17:24,Twitter Media Studio,5,24
EL PASO: This Saturday I'll be hosting my veterans town hall meeting and my monthly town hall meeting at 10 am and 1 pm. I’ll discuss my work during my first year in Congress and answer your questions.   Click below to RSVP👇🏽  https://t.co/omvW3rxidO https://t.co/3oRn3yACgr,2020-01-15 21:25:59,TweetDeck,5,25
Africa is a key area of geopolitical competition with Russia &amp; China. Our bipartisan National Security Strategy demands we focus on this.  That’s why my colleagues and I wrote a letter to @DeptofDefense to share concerns with a proposal to reduce our troop presence in the region. https://t.co/yon20OeuY3,2020-01-15 20:51:51,TweetDeck,7,26
.@SpeakerPelosi has selected a talented &amp; diverse group of leaders as managers. I’m grateful for their leadership in weeks ahead.  So proud to serve with all of them but I’m feeling especially proud that my dear friend the tough and brilliant @RepSylviaGarcia is a manager. https://t.co/1KY9QdaeLx,2020-01-15 15:30:55,Twitter for iPhone,189,865
Today my @HouseJudiciary colleagues and I launched an investigation into the dangerous “Remain in Mexico” policy.  It’s time to hold the administration accountable for this deeply un-American practice that blocks due process for asylum seekers.   https://t.co/F3avRMlsnM,2020-01-15 02:14:36,Twitter for iPhone,47,124
It’s that time of year again: flu season.  It’s not too late to get a flu vaccine to help protect yourself and your loved ones. @EPTXFire and @ElPasoTXGov Public Health are offering vaccines at no cost for eligible children and adults. Learn more 👇🏽  https://t.co/OyDFOiiGND,2020-01-14 20:55:16,TweetDeck,18,20
And it snows in 55 degree weather too right?  This is a lie.  The only thing protecting Americans’ healthcare with pre-existing conditions has been the tenacity of @HouseDemocrats who are fighting tooth and nail #ForThePeople and against your efforts to obliterate the ACA https://t.co/sWFgGKnHit,2020-01-14 20:05:21,Twitter for iPhone,34,106
In less than a year six children died in Border Patrol custody. The circumstances of these senseless and tragic deaths have been exacerbated by the lack of transparency and accountability within @DHSgov. We deserve answers.  https://t.co/mmBKGcPjd9,2020-01-13 23:03:37,TweetDeck,121,198
Have questions? Attend my January town hall meeting this Saturday at 1 PM to talk with El Paso Census Office representatives about job opportunities. RSVP now 👇🏽  https://t.co/jWb7SjinkD,2020-01-13 20:52:00,Twitter for iPhone,4,6
The @uscensusbureau seeks to fill temporary positions in El Paso to assist with the 2020 Census.   You can make a difference help your community and earn extra income for doing it. Apply online now at https://t.co/CvdZykCDF8! https://t.co/5SMeSTn6MB,2020-01-13 20:50:44,Twitter Media Studio,6,13
ATTENTION EL PASO VETERANS: Eligible veterans and caregivers are now granted access to on-base commissaries exchanges and some recreation facilities.   For more information about the expanded access and how to take advantage of this new benefit 👇🏼  https://t.co/aoZQYbZ0Yt,2020-01-13 16:00:00,TweetDeck,10,15
El Paso's @Showtyme_33 never lets his fans forget about his loyalty to the #915  Love and loyalty right back at you!💪🏾🙏🏾 https://t.co/gjAvOWUwJr,2020-01-13 01:38:39,Twitter Web App,16,84
EL PASO: I'll be hosting my veteran’s town hall meeting and my monthly town hall meeting on Saturday Jan. 18 at 10 am and 1 pm.  I’ll discuss my work during my first year in Congress on the behalf of El Paso. RSVP below👇🏽  https://t.co/omvW3rxidO https://t.co/N2rlcbGuZW,2020-01-13 00:09:16,TweetDeck,10,32
✖️Over-priced meds found across the border in MX at literally a fraction of the US price ✖️Border wait times crippling commerce w/ hideous barricades  It’s time for  @senatemajldr to take up @HouseDemocrats legislation &amp; for @realDonaldTrump to stop working vs border communities https://t.co/JwlK1lqACM,2020-01-12 21:26:03,Twitter for iPhone,90,206
A closer look at the data tells the real story of our economy.   It’s an economy that works very well for the top earners but fails the millions of Americans who have jobs and  can barely make a living. https://t.co/hg5figcuB5,2020-01-12 13:23:49,Twitter for iPhone,131,234
The third country agreements “increase the power of DHS and make people jump through impossible hoops. If this goes into effect across the entire border no one will be able to ask for asylum anymore."  That’s precisely the goal of this administration. https://t.co/dl7AtP2MIR,2020-01-12 12:31:53,Twitter for iPhone,53,84
EL PASO: I'll be hosting my veteran’s town hall meeting and my monthly town hall meeting on Saturday Jan. 18 at 10 am and 1 pm.  I’ll discuss my work during my first year in Congress on the behalf of El Paso. RSVP below👇🏽  https://t.co/omvW3rfGPe https://t.co/uiw656pfMm,2020-01-11 19:00:00,TweetDeck,6,18
.@GovAbbott’s decision to not accept any more refugees for initial resettlement in Texas is deeply un-American and wrong.   Immigration is not a zero-sum game. We are a nation of immigrants and refugees make our state economy and communities like El Paso stronger. https://t.co/ec0KY2KkjU,2020-01-11 16:48:54,Twitter for iPhone,57,162
EL PASO: Join me at my veterans town hall meeting and my monthly town hall meeting on Saturday Jan. 18 at 10 am and 1 pm.  I’ll discuss my work during my first year in Congress and answer your questions. RSVP below👇🏽  https://t.co/omvW3rxidO https://t.co/MlISDroVb5,2020-01-10 15:54:59,TweetDeck,9,13
War with Iran is not an outcome the American people want and under the Constitution @POTUS does not have the authority to unilaterally wage war.  Today in an effort to keep our troops and America safe I was proud to vote for a War Powers Resolution.  https://t.co/XTqAS8eq2F,2020-01-09 23:20:36,Twitter for iPhone,14,80
As a Member of Congress my duty is to protect El Pasoans and defend our nation’s interests.   Unfortunately the reckless and irresponsible actions by @realDonaldTrump have endangered our servicemembers diplomats and allies and worked counter to American security interests.,2020-01-09 23:20:36,Twitter for iPhone,32,213
.@realDonaldTrump’s reckless and irresponsible actions toward Iran are even more dangerous because he has no clear strategy.  That is why I’m proud to support a War Powers Resolution directing the President to end hostilities with Iran to keep our troops and America safe. https://t.co/N5LBWAR8Eu,2020-01-09 21:53:26,Twitter Media Studio,79,359
This NFL season El Pasoans have someone to root for: @Showtyme_33.  The Jones brothers fellow @UTEP Miners and Burges Mustangs are true role models for our community and their humility and generosity is an inspiration to so many El Pasoans.  https://t.co/SCazhMiEfT,2020-01-09 18:39:42,TweetDeck,13,51
.@senatemajldr is out of excuses.  Every single argument he has made against holding a fair trial including subpoenaing documents and hearing from witnesses has fallen apart. The Constitution demands that the Senate hold a fair trial.   https://t.co/m4pcB4Iist,2020-01-09 16:03:10,TweetDeck,40,100
One year ago @HouseDemocrats introduced #HR8 bipartisan-passed legislation to help #EndGunViolence.  Yet @senatemajldr continues to fail the victims survivors and thousands of communities like El Paso impacted by gun violence by blocking a vote on this crucial step forward. https://t.co/TNuRAmT8qi,2020-01-08 23:23:47,TweetDeck,33,89
Targeting El Paso was painful to watch.   Despite the Trump administration’s cruel immigration policies and the deadly attack against our community El Pasoans will continue to set an example for the nation and our resilience will guide the way.   We are #ElPasoStrong. https://t.co/h9S6LNpNOV,2020-01-08 17:52:35,Twitter for iPhone,88,210
For the @realDonaldTrump administration there is no bottom.  @DHSgov will now deport asylum seekers to a country that might not even be their own – undermining our asylum system and putting individuals seeking refuge in danger. This cruelty must end.  https://t.co/ToQLfjOHPx,2020-01-08 17:10:16,TweetDeck,54,81
I was in Iraq last spring speaking with allies committed to working alongside us in the fight against ISIS. One of my brothers who was there furthering American interests left Iraq just a few months ago.  I'm praying for our troops diplomats personnel &amp; allies in the region. https://t.co/u9MZaCe6OS,2020-01-08 01:37:40,Twitter Web App,29,167
Keeping our fellow Americans in Puerto Rico in my prayers after the devastating earthquakes on the island.   I join @NydiaVelazquez’s call for @POTUS to issue an emergency declaration immediately so federal assistance can reach those in need.   https://t.co/kQXbWitAwa,2020-01-07 23:19:04,TweetDeck,31,109
For almost 30 years El Pasoans tuned in to watch @estelacasasep – a compassionate and trusted Paseña – deliver the news.  Today we celebrate her and look forward to seeing her work as ED of @umcf_ep and @epchfoundation.   https://t.co/VcTxsHYKLM,2020-01-07 18:38:39,TweetDeck,3,15
To my Republican colleagues (Part II):  Do you think this is okay too? https://t.co/yCS3NQYkoe,2020-01-06 02:47:33,Twitter for iPhone,41,118
To my Republican colleagues:  Do you think this is okay? https://t.co/IF4xlHtOQa,2020-01-06 02:45:23,Twitter for iPhone,138,538
This is our new reality.    And it will continue to get worse unless we act urgently and aggressively to address the #ClimateEmergency https://t.co/OR4gp7HQqT,2020-01-06 02:33:57,Twitter for iPhone,34,58
This is the #ClimateEmergency. Don’t look away pretend it doesn’t impact us or that this is normal.  We each have to change our behavior and consumption.  And we must demand our government take immediate urgent aggressive action.  @HouseDemocrats have but we can’t do it alone. https://t.co/Xk7ZaSzAhy,2020-01-06 02:30:23,Twitter for iPhone,34,89
2019 was a challenging and painful year for El Paso but as always we showed that we are #ElPasoStrong.  I’m proud to represent El Pasoans and honored to join our brave first responders and @thegreatkhalid as an @ElPasoTimes 2019 Newsmaker.   https://t.co/CG2d20IoER,2020-01-05 16:59:12,Twitter for iPhone,19,62
And if the statement below is true increases urgency for our demands for details re: the “imminent” attack against the US.  “Mahdi also revealed that Soleimani was in Baghdad at the time of his killing to meet with him and relay Iran's response to a Saudi request for dialogue.”,2020-01-05 15:50:51,Twitter for iPhone,17,56
This is terrible news. Last spring I had the privilege to travel to Baghdad w/ ⁦@HASCDemocrats⁩ and learned first hand how important and mutually beneficial our presence in Iraq has been. They are key partners in our fight against terrorism and ISIS. https://t.co/kF9lWKoCo5,2020-01-05 15:47:37,Twitter for iPhone,41,101
The escalation with Iran endangers American troops diplomats and allies.   I sent a letter alongside my @HASCDemocrats colleagues @RepDebHaaland and @RepSpeier asking the Administration to immediately brief Congress on the details of this and imminent operations in the region. https://t.co/kPlmSGozZk,2020-01-05 00:22:58,Twitter for iPhone,37,125
While many of us want to combat the climate crisis the Trump administration doesn’t just deny it — the consequences of their actions will accelerate it. https://t.co/vXCEtSJ2JP,2020-01-04 17:17:59,Twitter for iPhone,17,67
In the absence of details from the White House on the “imminent attack” — details that Congress and the American people deserve — this information is very revealing. Thank you @rcallimachi https://t.co/gYsu0bsv7Y,2020-01-04 14:13:02,Twitter for iPhone,339,1203
.@realDonaldTrump’s administration is trying to force #Dreamers to live in fear by threatening their legal status but 2 federal court injunctions hold #DACA in effect.   If you are a #DACA recipient and eligible for renewal update your status today.   https://t.co/Mm2C6cKWig,2020-01-03 19:00:00,TweetDeck,68,108
Praying for the safety of our service members and foreign service officers and personnel in the Middle East. https://t.co/Tolr0FGg97,2020-01-03 04:46:36,Twitter for iPhone,59,258
This is not about blind loyalty to one man.  This is about a monumentally consequential decision.  Qasem Soleimani was an enemy of the U.S.  Who provided this guidance &amp; what was the intelligence that led to it?  Why wasn’t Congress consulted?  What is the strategy going forward? https://t.co/4d6oR6TxqM,2020-01-03 04:14:38,Twitter for iPhone,181,636
ATTENTION EL PASO VETERANS: Starting this year eligible veterans and caregivers will be granted access to on-base commissaries exchanges and some recreation facilities.   Learn about the expanded access and how to take advantage of this new benefit 👇🏽  https://t.co/aoZQYbZ0Yt,2020-01-02 18:51:58,Twitter for iPhone,8,34
Wishing everyone in El Paso and across the country a healthy joyous and prosperous 2020! https://t.co/f4M2YfAQFe,2020-01-01 02:30:00,TweetDeck,10,98
My heart breaks for Australia for all of us. The destruction and devastation of the climate crisis -- caused by humanity our consumption and our selfishness -- is upon us.  And this is just the beginning. 💔 https://t.co/WrwDwU5NTw,2019-12-31 03:27:49,Twitter Web App,79,235
We’re all relieved it wasn’t worse.  And we don’t yet know how the killer got his gun or what legislation might’ve prevented this altogether (e.g. background check).  But we DO know that as gun laws have been loosened in Texas the bloodshed and violence increased not decreased.,2019-12-30 19:14:08,Twitter for iPhone,11,55
Remember when churches didn’t need armed security?   When kids could go to school w/o fear of being shot?  When going to Walmart didn’t inspire terror?  I saw the video and it was indeed horrendous and greusome and terrifying.  Deadly shootouts in church should be a wake up call. https://t.co/V7OO50luXk,2019-12-30 19:14:08,Twitter for iPhone,39,160
I am so deeply saddened by this news. Knowing and working with him has been one of the greatest blessings of my life in public service.   But I also have faith that John Lewis will beat this. He is a warrior like no other.  Sending you much love and all my prayers @repjohnlewis https://t.co/ccPzh2SRyN,2019-12-29 23:08:47,Twitter for iPhone,192,1046
Another tragic deadly shooting in Texas. In a church. Where congregants had guns.   My prayers &amp; condolences go to the White Settlement community members who have to endure this awful pain.  ⁦@GovAbbott⁩ and ⁦@senatemajldr⁩ - when will you act? https://t.co/uVzCfahOvH,2019-12-29 19:46:39,Twitter for iPhone,855,2436
This attack is horrifying. My heart goes out to the community in Rockland County.  The hate being fueled in our country is a threat we must take on with urgency.  https://t.co/UyGCL33169,2019-12-29 12:54:30,Twitter for iPhone,28,110
Merry Christmas El Paso! I’m wishing you light and laughter as you gather together to celebrate. https://t.co/ePksfPA3NG,2019-12-25 03:51:53,TweetDeck,15,153
The more evidence that’s revealed the more damning it is for Donald Trump &amp; his enablers.  They will continue to conceal evidence to keep the American people in the dark.    Thankfully American patriots will be just as relentless in making sure the truth sees the light of day. https://t.co/mU5BgjAQzS,2019-12-23 18:17:46,Twitter for iPhone,41,158
Congratulations to our neighbors in New Mexico for this great achievement for our region that recognizes the significance of White Sands for its natural and cultural resources.   https://t.co/hAQTymca8A,2019-12-23 17:11:16,Twitter for iPhone,43,208
Wishing peace joy and love to everyone in El Paso and across the country this Hanukkah! https://t.co/wZIaGSjdIW,2019-12-22 16:00:00,TweetDeck,15,104
El Paso knows only too well the horrors of being targeted because of who we are.  When we have a white supremacist in the White House a president who puts targets on our backs and administration officials who engage with hate groups the hatred fuels attacks. https://t.co/o5gmQkWDsr,2019-12-21 21:37:32,Twitter for iPhone,113,299
Fort Bliss is part of El Paso’s rich history. The installation is the @DeptofDefense’s second-largest a major power projection platform and many of its facilities are open to the public.  Learn more about why Ft. Bliss is more than a military base.  👇🏼  https://t.co/AYs4ecMaoo,2019-12-21 18:00:00,TweetDeck,5,21
Thank you@publicintegrity for your fight.  The more that’s revealed the clearer an understanding we have of what the President is trying to hide.,2019-12-21 14:22:13,Twitter for iPhone,18,77
In the latest round of heavily redacted docs (again released by court order) govt officials not only knew withholding of the aid was wrong but they were concerned what they were being asked to do was ILLEGAL.  Trump’s “favor” &amp; corrupt scheme wasn’t for “us”. It was all for him,2019-12-21 14:22:12,Twitter for iPhone,46,106
During our Judiciary markup of the articles of impeachment last week I held up a stack of heavily redacted documents that @publicintegrity acquired through a court battle as an example of the ongoing effort by @realDonaldTrump to keep Americans in the dark about his corruption. https://t.co/6NnDr8bYb9,2019-12-21 14:22:12,Twitter for iPhone,94,224
There are 1650 #DACA recipients in El Paso that live in fear because of @realDonaldTrump’s administration.  We must #ProtectTheDream and continue to work for our #Dreamers.   If you are a #DACA recipient keep your status up to date. Renew yours today.   https://t.co/Mm2C6cKWig,2019-12-20 20:05:00,TweetDeck,45,128
Thrilled to announce the winners of the 2019 Congressional App Challenge!  Congratulations to D’Andre Ramirez and Daniel Avalos from @ParklandMS for using their coding skills to create Lunchweek an app to help schools with food preparation and reduce waste. https://t.co/PrXTJhSPbD,2019-12-20 17:31:26,TweetDeck,17,47
As a representative of one of the largest manufacturing regions in North America a vote for USMCA is a vote for the more than 23000 El Pasoans dependent on a prosperous border economy.  Read my full statement below 👇🏼  https://t.co/hGZXL7rc5T,2019-12-19 22:53:48,TweetDeck,16,58
