Thanks Trump! https://t.co/vdEyVxgiOf,2020-01-19 18:15:23,Twitter for iPhone,18,65
Puerto Rico is in a state of emergency yet no debate question about it. #DemocraticDebate,2020-01-15 04:38:13,Twitter for iPhone,525,2199
“U Can’t Touch This” was also huge that year for MC Hammer.,2020-01-15 04:14:39,Twitter for iPhone,2,46
@MohammedKhaderr Public Enemy’s “Fear of A Black Planet” sticks out for “Fight The Power.”,2020-01-15 03:52:40,Twitter for iPhone,1,20
So did “Poison” by Bel Biv Devoe “Vogue” by Madonna and “The Humpty Dance” by Digital Underground among other American classics that year. https://t.co/BdUYIqd0e9,2020-01-15 03:46:02,Twitter for iPhone,17,221
Warren is winning. https://t.co/cunll9N1M4,2020-01-15 03:12:41,Twitter for iPhone,242,1708
Texas' Biggest Oil And Gas Industry Group Accepts Role In Climate Change https://t.co/4nhLoTMWmz,2020-01-14 22:38:19,Twitter for iPhone,4,6
Congratulations to you both and welcome to the world Joaquin! https://t.co/Oh8kJE6HZt,2020-01-14 17:30:14,TweetDeck,9,201
Thank you! https://t.co/LMGecMQiK8,2020-01-14 16:32:14,TweetDeck,3,44
Proud to be in this fight with you! https://t.co/bitducVkgZ,2020-01-14 16:30:28,TweetDeck,29,450
I see what you did there. https://t.co/BnnRKRT4f7,2020-01-14 16:25:57,TweetDeck,45,504
@daveweigel Your analysis is accurate.,2020-01-14 16:13:31,TweetDeck,0,24
.@ewarren is going to fight for all of us including for people who came from neighborhoods like mine. I’m proud to be in this fight with her! https://t.co/Nuk9z29UrN,2020-01-14 16:06:47,TweetDeck,722,4576
Should’ve used the one I got him for Christmas. https://t.co/CWqADgIjc9,2020-01-12 22:38:41,Twitter for iPhone,20,504
I get that a lot. https://t.co/hIOXZMRQpu,2020-01-11 20:05:26,Twitter for iPhone,1717,36867
You think so? https://t.co/osJydHZ1Wj,2020-01-09 02:36:56,Twitter for iPhone,14,245
I’ve been asked whether I plan to shave my beard -   The beard stays (for now)! https://t.co/iBLFQHdfvj,2020-01-09 02:10:24,Twitter for iPhone,83,3580
Praying that our troops remain safe. https://t.co/eX4bGbVxYn,2020-01-07 23:54:38,Twitter for iPhone,24,118
The team spent countless hours in discussions with advocacy groups and individuals affected by specific policies to understand how best to confront America’s greatest challenges. A big thank you to everyone who offered their advice opinion or story in our efforts.,2020-01-07 04:51:59,Twitter for iPhone,11,89
Thanks to our policy team that helped shape Julian’s vision: @sid_ravishankar brilliantly crafted policy and guided the team that included @AntonioDeLoeraB @SarabiaTX and interns @JannethPerales9 @DWalste @josiahgouker. @MayaRupert + @natimontelongo were also very instrumental. https://t.co/Hs84CjpwKE,2020-01-07 04:46:34,Twitter for iPhone,37,196
Didn’t you say the same thing about North Korea? https://t.co/2d5lGGEgUm,2020-01-06 20:36:34,Twitter for iPhone,21,166
If you present Donald Trump with a war buffet you shouldn’t be shocked when he picks the craziest most irresponsible option. https://t.co/F307hiHhCo,2020-01-05 17:46:30,Twitter for iPhone,104,392
|Ruben Navarrette: Castro exits the race — and enters the history books || West Central Tribune https://t.co/UTGkO7vGcw|,2020-01-05 05:46:41,Twitter for iPhone,24,58
@Lollardfish It just takes way too long to move around in a car in NYC sometimes. The last time I was there it took 15 minutes to get through one intersection because of construction and then cars backed up at the intersection through multiple lights.,2020-01-05 02:21:46,Twitter for iPhone,0,35
How shameful for the Governor of Texas to demonize the homeless for his political purposes. https://t.co/qxtmOGDlZu,2020-01-04 01:02:59,Twitter for iPhone,280,1124
Garcia: As a presidential contender Julián Castro left it all on the field https://t.co/QDclYHkCWM via @mysa,2020-01-03 15:53:04,Twitter for iPhone,15,61
You just authorized an act of war in the Middle East in the name of the American people.   You didn’t tell Congress. You’re clearly not prepared for the consequences.  A flag tweet is not a plan. https://t.co/fvt1HCn6Nx,2020-01-03 04:33:38,Twitter for iPhone,4283,19703
Juan? https://t.co/yQkCYIHEiO,2020-01-02 22:06:12,Twitter for iPhone,208,1658
You said uncomfortable things that needed to be said spoke up for the forgotten and vulnerable — the people we grew up with. You called on our country to be more just more humane more who we’re supposed to be and gave hope to so many in a dark time.  I love you brother.,2020-01-02 20:21:19,Twitter for iPhone,674,6762
.⁦@JulianCastro⁩ You’ve made your family and community proud. Look at this picture — the weeds in our backyard in a neighborhood that outsiders called the bad side of town no car no money but big dreams and the feeling of nothing to lose. You started life from scratch.1/ https://t.co/QA5U6wZH4q,2020-01-02 20:02:31,Twitter for iPhone,2298,21191
Happy New Year!,2020-01-01 06:02:46,Twitter for iPhone,6,124
You charge people $400 a night for bed-bugged rooms at Mar-a-Lago. https://t.co/cBve1H7Wl5,2019-12-28 04:43:05,Twitter for iPhone,43,327
May you and your family have a Merry Christmas and wonderful holidays! https://t.co/242TyogGRn,2019-12-25 05:05:29,Twitter for iPhone,17,539
(North Star Mall San Antonio Today)  Friendly Store Asst: Are you Mr. Castro?  Me: Yes I’m Joaquin.   SA: Oh good to meet you. My brother is named after you.   Me: Oh is that right that’s cool. What’s his full name?  SA: Julián L——,2019-12-22 03:09:42,Twitter for iPhone,323,6054
You don’t think it’s for sale do you? https://t.co/1UlFM1KRIX,2019-12-21 20:12:00,Twitter for iPhone,19,125
I’m starting my Christmas shopping today — a few days earlier than I used to start before I had a family.   What should I get @JulianCastro?,2019-12-21 20:07:42,Twitter for iPhone,31,511
As Democrats we can’t say we’re against Voter ID then force people to vote in a caucus.   No early voting  Long wait times No privacy (possible intimidation),2019-12-20 14:31:53,Twitter for iPhone,60,205
In the name of the Father Son and the Holy Spirit Amen. https://t.co/8qJtwuktun,2019-12-20 13:57:43,Twitter for iPhone,40,261
Candidates: What does it take to make the stage?  DNC: It’s easy you just need 4 polls at 4%.   Julián/Cory: Which polls?  DNC: The ones that don’t count black or brown people! Good luck!   #DemDebates #JulianDebates ⬇️ https://t.co/KQSfcR1lLH,2019-12-20 05:02:05,Twitter for iPhone,438,1089
Ok but do you live in a diner? #DemDebates https://t.co/eTn9HZOQsB,2019-12-20 03:44:00,Twitter for iPhone,19,167
.@PeteButtigieg No hard feelings. I know you understand ⬇️ https://t.co/rQa58igZXT,2019-12-20 03:20:16,Twitter for iPhone,2196,12104
Julián on immigration ⬇️ #JulianDebates https://t.co/t4pRPbUjdI,2019-12-20 03:10:23,Twitter for iPhone,10,34
