It’s been a media-filled day! This afternoon I had a press conference in Mission TX to discuss immigration the border wall &amp; trade. After that I met with Mayor Darling of McAllen for his in-studio “Meeting with the Mayor” show. Thank you @mayordarling for having me on! https://t.co/hAFa8dJHa8,2020-01-17 23:32:27,Twitter for iPhone,1,3
This week I was able to catch up with UT System Chancellor @jbmilliken and meet students from @utrgv. I will continue to support the UT system and their incredible work in educating students across Texas. Hook ‘em Horns! https://t.co/hpfH41tyX4,2020-01-17 14:35:17,Twitter Web App,3,6
Today the Senate passed the USMCA and now it awaits the President’s signature. Together we have created a historic trade agreement that will position more Americans to compete—and win—in today’s global economy. https://t.co/NoX9zANFYo,2020-01-16 21:11:32,Twitter Web App,2,14
I am committed to working with my colleagues on the Appropriations Committee to fight against this abuse of power and preserve our power of the purse.,2020-01-16 19:11:36,Twitter Web App,0,6
As an Appropriator I worked hard to create a spending bill that strengthens our national security and advances U.S. foreign policy. We cannot continue to allow the Trump Administration to sidestep the Constitution.  https://t.co/kk6kcdrBQp,2020-01-16 19:11:36,Twitter Web App,15,25
Thank you @TexasWheat and the @wheatworld for presenting me with the 2019 Wheat Advocate Award. I am committed to fighting for wheat growers in my district and across the state of Texas so they can continue to provide our country with this critical food source. https://t.co/ZbqBfjTfEO,2020-01-16 18:08:42,Twitter Web App,4,4
Our country’s economy is supported by Texas’ booming oil and gas industry. It is critical that we continue to support an industry that creates jobs puts us on a path to energy independence and advances our country’s economy. https://t.co/HJ2JeO085x,2020-01-16 14:08:57,Twitter Web App,4,20
College debt should not put someone in financial ruin especially for hardworking Americans in public service. That’s why I worked hard to secure language in the final spending bill that will help make the loan forgiveness program (TEPSLF) a more fair and reliable process. https://t.co/WS0hKheK6x,2020-01-15 21:52:07,Twitter Web App,2,8
Rising living costs and shrinking retirement savings are forcing Americans to work later into their lives than ever before. Today I am voting for the bipartisan Protecting Older Workers Against Discrimination Act to ensure older workers are protected against age discrimination. https://t.co/eeS3t0Spjn,2020-01-15 17:48:34,Twitter Web App,2,10
Reallocating $3.5 billion from our counternarcotics program &amp; $3.7 billion from military construction will intensify the opioid crisis and impact our country’s military readiness. I will continue to fight this diversion of funds and this ineffective vastly expensive border wall.,2020-01-14 16:58:40,Twitter Web App,2,4
We cannot allow the Administration to pull funding from critical military projects that meet our strategic military needs and support the well-being of our military members and their families.  https://t.co/3Q0UkmdKzx,2020-01-14 16:58:40,Twitter Web App,6,17
Millions of Americans live with a pre-existing condition including in the Lone Star State. I am committed to fighting for these 11 million Texans and making sure they receive affordable quality health care. #ProtectOurCare https://t.co/xlzOetJ9bg,2020-01-13 22:12:15,Twitter Web App,1,7
Responding to the #2020Census is our civic duty. The Census affects funding for our communities and shapes our community’s future. Visit https://t.co/odyyIPIP7S. https://t.co/rNT72woDdH,2020-01-13 18:22:44,Twitter for iPhone,7,11
Congratulations Raine Perez on winning the ‘Next 100’ NFL contest! She is one of 32 youth athletes selected across the nation to take part in a Super Bowl commercial and represent a NFL team at this year’s game. You’ve made Laredo incredibly proud! https://t.co/DQYBv52d9X,2020-01-11 22:23:33,Twitter for iPhone,6,10
Great words from @RosLehtinen. It is critical to remember that we are all Americans and we must work together for our constituents and our country not just our parties. I am committed to working across the aisle to get work done for the people of TX-28.https://t.co/9O1sugnqCg,2020-01-11 19:50:45,Twitter for iPhone,9,17
Every day millions of Americans are exposed to unsafe levels of PFAS through their drinking water. I voted for the PFAS Action Act to protect Americans from this dangerous chemical and ensure Americans have access to clean and safe water. https://t.co/0zYD4pQvbP,2020-01-10 17:15:59,Twitter Web App,2,4
I always enjoy meeting with our law enforcement officers in TX-28 whether it’s deputy sheriffs in Starr County or Border Patrol agents at the U.S.-Mexico border. I want to thank all law enforcement officers for protecting our communities. Happy #NationalLawEnforcementDay! #TBT https://t.co/RF36OzgMEm,2020-01-09 23:44:50,Twitter Web App,1,20
