With the #NDAA signed— which included my language allowing the use of military recycling facilities by local communities— bases are now allowed to accept recyclable materials from their local communities &amp; use the profits to improve the installation. https://t.co/Yjybdh74m3,2020-01-17 18:55:08,Hootsuite Inc.,11,28
Improving the lives of our veterans has always been at the core of my time as a congressman. I will always fight to make sure that our #veterans receive the best care! https://t.co/jJSSlogiux https://t.co/BFPCPGCBRT,2020-01-16 17:35:05,Hootsuite Inc.,19,27
I cosponsored #HR19 which uses bipartisan reforms to lower out of pocket spending protect access to new medicines/cures strengthen transparency &amp; champion competition. Tell Speaker Pelosi to bring this to the House floor! https://t.co/L7v40kD4fn,2020-01-14 17:55:13,Hootsuite Inc.,16,24
I'm a strong advocate for CTE programs so that young people can get well-paying jobs without a 4-year degree. I’m proud that #TX31 is a leader in CTE programs &amp; thousands of Central Texas students have benefited from the availability of these programs. https://t.co/jJSSlnYHCZ https://t.co/jc2bCgGmbh,2020-01-13 16:40:16,Hootsuite Inc.,17,20
I’m pleased to report that this #NDAA includes a 3.1% pay increase for service members. Earlier this year I submitted an NDAA amendment to give a pay raise to our troops but Democrats blocked the amendment twice. I’m glad that common sense prevailed! https://t.co/2MSkNYwbD2,2020-01-10 20:45:09,Hootsuite Inc.,20,32
Not only do Dems want to give taxpayer-funded health insurance to illegal immigrants—they’ve also promised to make private health insurance illegal. Texans deserve a system that puts them—not government bureaucrats—in charge of their health care decisions. https://t.co/jJSSlnYHCZ https://t.co/YzeIhOVx5a,2020-01-10 16:10:13,Hootsuite Inc.,12,18
The new #USMCA will finally allow American farmers &amp; ranchers to compete on an even playing field. The agreement will benefit Texas’ ranchers &amp; cattlemen—securing their market access to Canada &amp; Mexico to support exports. https://t.co/vAfHYLW68d,2020-01-09 21:10:07,Hootsuite Inc.,19,25
Happy #LawEnforcementAppreciationDay! Thank you today &amp; every day to all of our law enforcement officers for your constant sacrifices &amp; valor. #BacktheBlue https://t.co/86XvIao4Ak,2020-01-09 17:10:08,Hootsuite Inc.,5,17
We must stand united as a nation and we must always be prepared to defend ourselves against those who seek to do us harm. Tonight pray with me for our troops on the frontlines and their families back home. May God keep them safe and give them strength to fulfill their mission.,2020-01-08 02:48:05,Twitter for iPhone,33,50
Soleimani was a terrorist responsible for the loss of hundreds of American lives. The Iranian regime escalated the situation when they attacked the U.S. Embassy in Baghdad &amp; I applaud President @realDonaldTrump for taking appropriate action in response. https://t.co/CKVoRPDPqE,2020-01-03 20:03:59,Hootsuite Inc.,36,56
We need to encourage innovation of new cures to give hope to those facing sickness. I cosponsored #HR19 which doesn’t crush research investment &amp; new cure developments. Pelosi’s drug pricing scheme does! Some Dems have said it is “worth it” to lose new cures in order pass #HR3 https://t.co/IDebWh03MU,2020-01-03 18:45:14,Hootsuite Inc.,43,25
I'm proud to have spearheaded major reforms to Privatized Military Housing. This language will increase transparency &amp; oversight measures to hold contractors accountable ensuring the chain of command puts the health safety &amp; welfare of servicemembers &amp; families first.  #NDAA https://t.co/jRQJ7pRGTF,2020-01-02 16:45:17,Hootsuite Inc.,42,25
The new #USMCA empowers American innovators to sell goods &amp; services globally. For the first time in any trade agreement there is a new chapter dedicated to digital trade furthering digital innovators. Texas set to benefit from increased exports to neighboring Mexico. https://t.co/SYqxPRrFdn,2020-01-01 18:45:09,Hootsuite Inc.,29,30
I hope everyone has a safe #NewYearsEve with family &amp; friends! Wishing all of my #TX31 neighbors a joyful peaceful &amp; prosperous #2020. https://t.co/30ojG4UYpl,2019-12-31 22:50:08,Hootsuite Inc.,5,8
“You can’t contradict that these are the best numbers of our lives. You can’t.” There’s no denying we’re living in the best labor market in more than a generation thanks to #conservative policies at work! https://t.co/xoPkQCnNfy #GOP,2019-12-30 15:50:10,Hootsuite Inc.,13,23
The U.S. job market strengthened in November— employers added 266000 jobs &amp; the unemployment rate dropped to a 50-year low of 3.5%. America’s economy is thriving under #conservative policies! https://t.co/SlUyvY7SU3 #GOP,2019-12-27 17:05:18,Hootsuite Inc.,7,19
I cosponsored #HR19 which uses bipartisan reforms to lower out of pocket spending protect access to new medicines/cures strengthen transparency &amp; champion competition. Meanwhile Pelosi’s partisan drug pricing scheme is not only bad policy it’s never going to become law. https://t.co/PIf2np6zUJ,2019-12-26 18:45:10,Hootsuite Inc.,5,16
#MerryChristmas to all of my neighbors &amp; constituents here in #TX31. May all the blessings of this joyous season be yours! https://t.co/yCUOUNTe0I,2019-12-25 13:35:09,Hootsuite Inc.,6,18
“For God so loved the world that he gave his only begotten Son that whosoever believeth in him should not perish but have everlasting life.” —John 3:16 #ChristmasEve https://t.co/C5zwyIMkdx,2019-12-24 17:35:11,Hootsuite Inc.,9,22
I secured major reforms to Privatized Military Housing— the most substantial military housing overhaul in 2 decades. The reforms will: improve military housing increase protection of servicemembers &amp; families in military housing establish a tenant's bill of rights. #NDAA https://t.co/NkL299pNf6,2019-12-23 15:45:14,Hootsuite Inc.,7,19
Today starts the eight-day celebration commemorating the rededication of the Holy Temple in Jerusalem. Happy #Hanukkah to those celebrating! https://t.co/DzNlWa6D3v,2019-12-22 23:35:04,Hootsuite Inc.,2,9
“The job market is stronger than the experts thought was even possible a few years ago." The U.S. economy continues to thrive under #conservative leadership! https://t.co/q8VpzX9EKa #GOP,2019-12-20 15:55:14,Hootsuite Inc.,7,13
The new #USMCA will finally allow American farmers &amp; ranchers to compete on an even playing field. The agreement will benefit Texas’ ranchers &amp; cattlemen—securing their market access to Canada &amp; Mexico to support exports. https://t.co/YlmfB9pc5k,2019-12-19 19:45:12,Hootsuite Inc.,7,20
#ICYMI: Williamson County ranks 2nd in the nation for job growth! Conservative leadership has made WilCo a great place to live and work https://t.co/YBRmiAfjHQ. The Texas economy is thriving under #conservative leadership let’s keep it that way! #TX31,2019-12-19 15:10:15,Hootsuite Inc.,3,10
17 of the 24 Democratic members on House Judiciary voted to impeach President Trump well before his call with the Ukraine. This isn’t about justice this is about politics. We must win back the House to stop these Democrat antics. Donate today https://t.co/3KJSkHcv1P https://t.co/c1DnuNim9U,2019-12-18 23:30:59,Twitter for iPhone,18,40
I fought and secured language dealing with privatized military housing in the #NDAA. As the representative for Ft. Hood my biggest priority is improving the lives of our Soldiers and their families. https://t.co/jo0KsHHIlG,2019-12-18 22:35:05,Hootsuite Inc.,3,13
I #backtheblue. Law enforcement officers have a tough job &amp; I consider it my duty to ensure they have the resources they need. Throughout my time in Congress I have secured millions for local law enforcement agencies in #TX31. https://t.co/jJSSlnYHCZ https://t.co/ihCXLrBWZp,2019-12-18 17:30:57,Hootsuite Inc.,4,12
#ICYMI: Last month #WWIIveteran Freda Haworth Coate celebrated her 100th birthday. It was very exciting to give Freda an American flag that had been flown over the U.S. Capitol. Read more about Feda’s incredible life &amp; service here: https://t.co/9D5mN8EgB6,2019-12-17 16:40:09,Hootsuite Inc.,6,15
Improving the lives of our veterans has always been at the core of my time as a congressman. I will always fight to make sure that our #veterans receive the best care! https://t.co/jJSSlnYHCZ https://t.co/vlmN0DmXi5,2019-12-16 15:40:12,Hootsuite Inc.,13,22
December 15th is nationally recognized as #BillofRightsDay to commemorate the ratification of the first ten amendments to the U.S. Constitution. It is my honor to protect these rights as your congressman. #TX31 https://t.co/EvTVXupNMD,2019-12-15 14:40:07,Hootsuite Inc.,14,21
“No one would have ever guessed we could be sitting at 3.5% unemployment with 110 months of job gains.” #Conservative policies at work for the American people! https://t.co/SlUyvY7SU3 #GOP,2019-12-13 15:25:08,Hootsuite Inc.,13,37
Happy birthday to the @USNationalGuard! Thank you for your service commitment &amp; sacrifice on behalf of our great country for the past 383 years.#AlwaysReadyAlwaysThere https://t.co/I4VY302qxh,2019-12-13 14:10:16,Hootsuite Inc.,5,12
Thank you to the Texas Alliance for Life for your endorsement. I will always fight to protect the precious lives of those who cannot protect themselves. https://t.co/TT4r8PEnUL,2019-12-12 15:05:14,Hootsuite Inc.,15,33
Democrats continue to play political theatre to impeach President @realDonaldTrump! Add your name if you support our President. https://t.co/ViYJDIeHDy,2019-12-11 23:05:06,Hootsuite Inc.,9,19
Dems’ dangerous open borders agenda will incentivize illegal immigration &amp; continue the flow of illegal drugs &amp; criminals into the US. Meanwhile—#conservative immigration policies have resulted in a 63% decline in illegal immigrant apprehensions since May. https://t.co/jJSSlnYHCZ https://t.co/vXiiSxSbKP,2019-12-11 21:05:05,Hootsuite Inc.,7,19
Canada and Mexico are Texas’ biggest trading partners. Instead of focusing on the issues to better Americans’ lives Democrats continue to play partisan political theatre.  https://t.co/RgQbcSXlt7,2019-12-10 14:55:16,Hootsuite Inc.,4,9
I'm a strong advocate for CTE programs so that young people can get well-paying jobs without a 4 year degree. I’m proud that #TX31 is a leader in CTE programs &amp; thousands of Central Texas students have benefited from the availability of these programs. https://t.co/jJSSlnYHCZ https://t.co/BDYYTZZg2D,2019-12-09 22:55:06,Hootsuite Inc.,7,13
Yet another blockbuster jobs report smashed expectations as the U.S. added 266000 jobs in November. Common-sense #conservative policies are working— let’s keep it that way! https://t.co/U3svQhdAE7 #GOP,2019-12-09 22:20:06,Hootsuite Inc.,6,13
On this day 78 years ago the United States naval base at #PearlHarbor Hawaii was attacked. “A Date Which Will Live in Infamy.” Today we reflect &amp; remember those who lost their lives that day serving our country. https://t.co/hpI9oQdm2m,2019-12-07 15:10:15,Hootsuite Inc.,6,21
Not only do Dems want to give taxpayer-funded health insurance to illegal immigrants but they’ve also promised to make private health insurance illegal. Texans deserve a system that puts them in charge of their health care decisions. https://t.co/jJSSlnYHCZ https://t.co/W60u7aGSFf,2019-12-06 16:35:14,Hootsuite Inc.,8,11
#ICYMI: @DHSgov &amp; @usairforce awarded a $4.2 million cybersecurity contract to @TAMUCT. It is appropriate that we launch a cyber research center here in Killeen. We are the warriors cyber is the new battle the battlefield should be here at @TAMUCT. https://t.co/2d78O4fPxV,2019-12-05 17:50:10,Hootsuite Inc.,7,3
Texas knows firsthand how common-sense conservative policies are working: The unemployment rate in Texas is currently at a record low of 3.4%! Texas is thriving under #conservative leadership let’s keep it that way. https://t.co/XrAA90X173 #GOP #KeepTexasRed https://t.co/SkbLs3FihT,2019-12-04 15:50:11,Hootsuite Inc.,13,18
The USMCA trade deal would boost our economy even further with Texas set to benefit from increased exports to neighboring Mexico. It’s time for Speaker Pelosi to ratify the U.S.-Mexico-Canada trade agreement! #USMCA https://t.co/sk1TGKDBuJ,2019-12-03 15:10:20,Hootsuite Inc.,13,21
I #backtheblue. I’ve authored legislation to create a grant program so that law enforcement officers have access to active shooter training. This training teaches officers to neutralize a threat &amp; save lives. https://t.co/jJSSlnYHCZ https://t.co/xIfbvFbX4D,2019-12-02 15:35:15,Hootsuite Inc.,11,21
Small businesses keep our economy strong. Today is #SmallBusinessSaturday— support your local community &amp; #ShopSmall! #SmallBiz https://t.co/Gntlcisw2F,2019-11-30 14:35:06,Hootsuite Inc.,4,13
From our family to yours Happy Thanksgiving! https://t.co/N2tsDfweIY,2019-11-28 21:57:31,Twitter for iPhone,5,31
Blessings to you &amp; yours this #Thanksgiving! https://t.co/QekwSRq4ST,2019-11-28 14:55:14,Hootsuite Inc.,14,18
