ICYMI I teamed up with @RepColinAllred on an op-ed for the @dallasweekly on lowering prescription drug prices. This piece was inspired by stories from people in our North Texas Districts who struggle with high cost of prescription drugs. https://t.co/OwzMe9uJaw,2020-01-18 14:00:00,TweetDeck,4,10
#ICYMI I spoke on the importance of media ownership and television📺and movies📽️that better reflect the diverse fabric of the United States at the @EnergyCommerce Subcommittee Hearing on Communication and Tech. https://t.co/D2TZ1TP3eU,2020-01-17 14:00:01,TweetDeck,2,2
Age discrimination should be treated as serious as other forms of workplace discrimination. That is why I joined my colleagues to vote for The Protecting Older Workers Against Discrimination Act which sends a message that employers can't discriminate against older workers.,2020-01-16 23:00:00,TweetDeck,5,11
I thank Officer Naqirra Williams of the Forest Hill Police Department for her brave service and wish her a speedy recovery as she heals from this act of violence. https://t.co/t6cSfyS3ya,2020-01-16 22:00:00,TweetDeck,1,0
My prayers are with Polytechnic High School as they reel from an act violence that left one student seriously injured. My office and I are closely monitoring the situation as details still unfold.  https://t.co/sc0a0MfcSO,2020-01-16 20:43:47,Twitter for iPhone,2,3
I’m glad a federal judge put a hold on @GregAbbott_TX’s xenophobic decision to bar refugee resettlement. His decision is contrary to the values that we hold dear in Texas.  Standing firm against attacks on refugees and welcoming those in need is what #Texas is about. https://t.co/yGG07BGM6p,2020-01-16 20:13:15,Twitter Web App,16,34
Groups like these endanger our national security and the security of our allies. We need to continue to partner with allies around the globe so we can curtail threats. Pulling out as the Administration is considering will likely create a vacuum where extremism can flourish.,2020-01-16 18:09:28,Twitter Web App,0,1
I visited troops in this region and saw firsthand that a limited targeted presence of our military in Africa in partnership with local stakeholders serves as a deterrent to dangerous terrorist groups like Boko Haram and Al-Shabaab. https://t.co/U4E53TkiQq,2020-01-16 18:09:28,Twitter Web App,1,1
Honored to preside over my first hearing in #DFW with the @HelsinkiComm to evaluate defense technology and its impact on U.S. and Euro-Atlantic Security. https://t.co/kNeNgVRPJz,2020-01-16 17:36:07,Twitter Web App,5,9
Today I joined my colleagues in holding Trump accountable by sending the articles of impeachment to the Senate. No one comes to Congress to impeach a sitting a president but the evidence is clear--Trump abused his power. Read my full statement here: https://t.co/wyMklxa4GQ,2020-01-15 20:40:10,Twitter Web App,11,26
This is wrong and reckless. Our President’s decision undercuts our military readiness and cuts much-needed funding that our brave servicemembers depend on.   https://t.co/ts1zuCxGQ2,2020-01-14 21:08:26,Twitter Web App,6,11
Thanks to my friend @RodneyDavis for dropping off the Congressional “Longest Yard” Football Champions trophy that we won during last year’s @CongFootball Game. Can’t wait to join my colleagues in this year’s game! https://t.co/Km6ZnRT9HT,2020-01-14 19:10:49,Twitter Web App,2,8
Last year I visited detention facilities across our border and saw the disturbing conditions faced by migrants. No human being coming to our nation deserves to be treated this way—that is why my colleagues and I are continuing to demand answers and accountability of ICE. https://t.co/aCr1fBGG11,2020-01-14 15:50:00,Twitter Web App,21,48
🚨ATTENTION🚨 The @uscensusbureau is recruiting to fill hundreds of thousands of temporary positions across the country to assist with the #2020Census count. Visit this page to find out how you can get a #2020CensusJob today!   https://t.co/OULXe8YDzv,2020-01-13 20:21:40,Twitter Web App,2,1
Shame on @GovAbbott for turning his back on those who are the most vulnerable. This is not what the state of Texas is about. https://t.co/Z0UBCmbDm1,2020-01-11 00:40:39,Twitter for iPhone,13,39
Today Dems &amp; Republicans voted to pass the #PFAS Action Act a bill to regulate hazardous chemicals in our water 💦. I’m proud to have taken a step forward to ensure that no one has to worry whether their water is safe to drink.,2020-01-10 18:40:36,TweetDeck,6,13
My colleague @repkaygranger and I introduced a bill that would commemorate Dionne Bagsby’s life —a trailblazer who paved the way for women and minority leadership in government. Our bill would rename a Post Office in #DFW the Dionne Phillips Bagsby Post Office.,2020-01-10 16:13:11,Twitter Web App,1,4
As your member of Congress I took an oath to protect American lives and keep our country out of senseless wars—that is why I voted for today’s resolution that will limit the President from further escalating military activity without approval from Congress. Full statement here: https://t.co/wv1y0vI7d6,2020-01-09 23:50:44,Twitter Web App,7,21
#ICYMI The small business bill I introduced with my @HouseSmallBiz colleague @repkevinhern passed in the House yesterday! 📺 my speech on the House floor about the impact my legislation will have on small businesses across our #TX33 community. https://t.co/kY9ouoSrPO,2020-01-09 15:44:12,TweetDeck,3,7
🚨 ATTENTION🚨 Today our team will host office hours at the @irvinglibrary.   They can assist you in finding answers to questions regarding Social Security military &amp; Federal Student Aid. Make sure to stop by! https://t.co/74zKxqbK6A,2020-01-09 15:15:25,TweetDeck,3,3
@GabbyGiffords @HouseDemocrats It is time for the Senate to stop blocking this vital legislation and start saving lives. RT if you agree. #EndGunViolence,2020-01-08 22:40:49,Twitter Web App,7,6
9 years ago today in AZ 6 people were killed and 12 were injured including our colleague @GabbyGiffords. 1 year ago today @HouseDemocrats took a crucial step to stop senseless acts of gun violence like this from happening by introducing the Bipartisan Background Checks Act.,2020-01-08 22:40:31,Twitter Web App,8,9
Today the small business bill I introduced with my @HouseSmallBiz colleague @repkevinhern passed in the House. This legislation will provide small businesses across our #TX33 district with the much-needed protections they deserve. https://t.co/Mh9vWfFIdx,2020-01-08 20:58:47,TweetDeck,2,6
Praying for the safety of our brave military personnel. https://t.co/i5d7h747fu,2020-01-08 00:04:23,Twitter for iPhone,4,11
Hate has no place in North Texas and no place in America.   I stand with the Jewish community and commit to fighting antisemitism in all its forms and from all sources. #JewishAndProud,2020-01-07 20:00:00,TweetDeck,1,5
My thoughts and prayers are with my fellow Americans in #PuertoRico. I urge a prompt federal response to ensure necessary resources for those affected by the earthquakes. https://t.co/bRIp4u68QX,2020-01-07 18:06:58,TweetDeck,5,15
I strongly condemn this brazen attack that tragically killed three Americans and I am sending my prayers to their loved ones during this time.,2020-01-06 00:00:44,Twitter for iPhone,2,3
I had the privilege of traveling to Kenya in 2017 and visiting the brave military personnel that were stationed there.   https://t.co/FOpa6rTMhw,2020-01-06 00:00:02,Twitter for iPhone,5,3
It is time for the Administration to brief Congress on their strategy going forward to ensure that our nation does not get pulled into another unnecessary war.,2020-01-03 17:45:12,Twitter Web App,3,14
Qassim Soleimani was an enemy of our country that was responsible for the deaths of thousands. That is clear. However I am deeply concerned that this attack was carried out without proper Congressional consultation.   https://t.co/b0il6C9oO8,2020-01-03 17:44:23,Twitter Web App,3,10
Happy New Year to all! https://t.co/LJ5rEriYjZ,2020-01-01 15:15:23,Twitter for iPhone,3,10
People worshipping in our nation’s mosques churches and synagogues cannot continue to be targets for senseless acts of violence. As a country we must condemn and confront the rising tide of hateful intolerance and work together to stop the epidemic of gun violence.,2019-12-30 18:38:08,Twitter Web App,7,7
This past weekend two communities of faith were rocked by acts of violent hatred. My deepest condolences go out to all of those in New York and our own Tarrant County community that were impacted by these acts. https://t.co/Nuozm8Nvci,2019-12-30 18:36:49,Twitter Web App,5,8
We need a fighter like @repjohnlewis during these times that face our nation. It is an honor to have the opportunity to work alongside him in Congress and I’m sending my prayers to him and his family as he begins treatment.,2019-12-29 23:33:14,Twitter for iPhone,12,45
While we are still gathering the full details I want to send my thoughts to the victims that were impacted by the shooting and the brave responders that arrived on the scene.,2019-12-29 20:24:52,Twitter for iPhone,1,4
Today our community is reeling from an act of gun violence that was aimed at parishioners attending services at the West Freeway Church of Christ in White Settlement.   https://t.co/adBUMk8nlU,2019-12-29 20:24:25,Twitter for iPhone,11,22
Happy Kwanzaa! https://t.co/MnP23G37uC,2019-12-26 21:56:29,Twitter for iPhone,2,6
Merry Christmas to all celebrating across #TX33 today! https://t.co/KDZznYoQzD,2019-12-25 13:13:53,Twitter for iPhone,3,6
As the new year approaches I wanted to take the opportunity to update you on some of my work to serve the people of #TX33 and thank you for making #2019 a great year.   Happy Holidays to all! https://t.co/dL16IHLsCk,2019-12-23 15:00:00,TweetDeck,2,7
Happy Hanukkah! https://t.co/vSD3HC6NZl,2019-12-22 20:08:37,Twitter for iPhone,1,3
If you were impacted by the Dallas tornado you may qualify for disaster loan assistance. Make sure to apply by the deadline on January 13th!  https://t.co/cotYU6ON6H,2019-12-20 20:10:58,Twitter Web App,5,1
Today I joined my colleagues to pass a #USMCA that has the strongest enforcement mechanisms of any U.S. trade agreement as well as critical victories for workers lower prescription drug costs and environmental protections. Read my full statement here: https://t.co/8xkIO8pHIW,2019-12-19 21:54:26,Twitter Web App,2,4
This decision is putting the #ACA on the chopping block and will clear a path for Republicans to strip coverage for those with pre-existing conditions kick people off their coverage and line the pockets of insurance and drug companies.,2019-12-19 03:14:36,Twitter for iPhone,3,4
My home state of Texas has one the highest numbers of uninsured citizens in the nation and today’s ruling will put millions more lives on the line.  https://t.co/OX1NZc2Aee,2019-12-19 03:14:18,Twitter for iPhone,6,8
Today I joined my colleagues to vote on articles of impeachment against our president because when I took my oath of office I swore to defend the Constitution even if that meant having to hold the nation’s president accountable. No one is above the law. My full statement here: https://t.co/oAvReKPvaK,2019-12-19 01:24:22,Twitter Web App,14,83
Today’s proceedings are not a sham or charade—they are how we hold an American president accountable when he puts his own interests over our Constitution. Today we will continue to #DefendOurDemocracy and prove that no one is above the law—not even the president. https://t.co/WjO6qtMxaG,2019-12-18 19:37:42,Twitter Web App,10,44
Today I was proud to join my colleagues to avert a government shutdown and fund critical priorities that will benefit both North Texas and our nation. Read my full statement here ⬇️ https://t.co/amIRoO4pHT,2019-12-17 22:49:48,TweetDeck,2,10
Minority-Serving Institutions contribute so much to our nation’s economy. 🇺🇸  🎓#HSIs enroll 60 percent of all Hispanic students.   ⚖️#HBCUs produce 50 percent of all Black lawyers.   That’s why I’m proud to support the #FUTUREAct and its continued success. 💯,2019-12-17 19:14:22,TweetDeck,8,15
More than [275 Bipartisan bills] that would increase wages lower healthcare costs and support veteran families are sitting on @senatemajldr’s desk.   @senatemjldr needs to do his job and work #ForThePeople. https://t.co/7DoHe8kdsY,2019-12-17 18:21:58,TweetDeck,6,11
Make sure you and your family #GetCovered!   The extended deadline to enroll is 2am CT!   ⬇️⬇️⬇️  https://t.co/qf21eHuyDY or https://t.co/EsSqBTPpiX,2019-12-17 17:45:52,Twitter Web App,43,146
If we do not our state could lose billions of dollars in federal funding and fair representation in Congress.,2019-12-16 22:22:03,Twitter Web App,2,4
Our Democracy works best when everyone is accounted for. My home state of Texas should be doing everything to ensure that critical investments are being made to have an accurate census. https://t.co/THsrEkB6hX,2019-12-16 22:22:03,Twitter Web App,3,5
🚨ATTENTION🚨   Enrollment for health insurance through the Affordable Care Act has been extended to 2 AM CST Dec. 18.   If you still need to enroll in 2020 health care coverage enrollment reopens today at 2 PM CST. Visit https://t.co/DmfBScwGnu today to #GetCovered!,2019-12-16 21:00:34,Twitter Web App,5,1
Since then our country has been shattered by thousands more mass shootings and yet @senatemajldr refuses to take up any of the commonsense gun violence prevention legislation that we have passed. #EnoughIsEnough—it’s time to stop playing politics and start saving lives.,2019-12-16 18:08:07,Twitter Web App,1,4
This past weekend marked 7 years since the Sandy Hook tragedy that robbed 26 innocent children and educators of their lives. https://t.co/PRcM0BPRlt,2019-12-16 18:07:35,Twitter Web App,2,7
