So true https://t.co/NFTFHsa9fL,2020-01-18 20:09:53,Twitter for iPhone,8,21
@davidsirota @JoeBiden Oops now Terri Sewell is on the Biden train! https://t.co/yKK5dzLoJI. 11 CBC members know Joe and his policies better than you. Why not try a positive campaign instead of trying to tear our next President down!,2020-01-17 17:15:22,Twitter for iPhone,13,52
Biden picks up endorsement from key black lawmaker...An air of inevitability is forming. Joe Biden will be our next President. Welcome to my friend and colleague Terri Sewell to #TeamBiden! https://t.co/yKK5dzLoJI,2020-01-17 17:10:49,Twitter for iPhone,14,39
@docftw33 @JoeForIA @JoeBiden @TeamJoe Mine too,2020-01-17 16:54:08,Twitter for iPhone,0,3
@generalunite Point well taken,2020-01-17 16:06:46,Twitter for iPhone,0,1
@davidsirota Hmmm should I believe you or President Obama? I’m going with President Obama...https://t.co/zYR5S1SBLj https://t.co/eweaqM034x,2020-01-17 13:39:57,Twitter for iPhone,3,12
@RoscoeCooperIII @HenricoSchools Congrats Doc!!!,2020-01-17 13:26:21,Twitter for iPhone,0,1
As a proud HBCU grad (VUU MDiv  2008) I understand the importance of our HBCUs. Glad to see Team Biden reaching out to involve this young and exciting group! https://t.co/XQ1AgQg4fk,2020-01-15 22:31:44,Twitter for iPhone,9,8
@SymoneDSanders From what I see...Joe Biden is!,2020-01-15 02:38:03,Twitter for iPhone,2,10
|Kaine says he has 51 votes for Iran war powers resolution || TheHill Way to go Tim! https://t.co/gMSh1Xjyi9|,2020-01-14 22:17:41,Twitter for iPhone,4,17
|Biden most trusted among Democratic primary voters on foreign relations: poll || TheHill...Joe Biden is the one to repair the damage done by Trump to American prestige on the world stage https://t.co/WoTuiDsv2a|,2020-01-14 03:26:09,Twitter for iPhone,12,24
10th black congressman endorses Biden - POLITICO....LOVE IT...more momentum for #Team Joe https://t.co/MvpgptbD9s,2020-01-13 12:37:16,Twitter for iPhone,12,29
I for one am sick and tired of folks trying to tell Black folks that we should not support Joe Biden. We know Joe we know his heart we saw him support President Obama. We know what we are doing. Those who attack Joe either don’t know him or are just malevolent. https://t.co/eZTgPrr0o6,2020-01-12 17:49:10,Twitter for iPhone,182,541
|McEachin Statement on the Passage of the PFAS Action Act || Congressman A. Donald McEachin https://t.co/jkBhheN77j|,2020-01-10 20:45:53,Twitter for iPhone,1,2
Joe Biden’s Virginia’s advantage - The Washington Post...Virginia wants #Joe2020 https://t.co/EbdrJbkITO,2020-01-10 16:49:46,Twitter for iPhone,24,58
@notlarrysabato The challenge is that using diversionary programs and engaging in criminal justice reform takes just as much work and man/woman power. Current process penalizes those prosecutors who engage in reform,2020-01-09 16:38:51,Twitter for iPhone,1,8
@thedrmikejones @RepMcEachin Thanks so much for the support! I’ll work hard to make you proud,2020-01-09 01:41:59,Twitter for iPhone,0,2
@thedrmikejones @BPaves @realenergytoday Yep,2020-01-08 03:25:24,Twitter for iPhone,0,0
Three Democrats who flipped House districts endorse Joe Biden...big thanks to these three front liners. Huge boost as we begin to elect Joe Biden as our next President  https://t.co/LOcnGQLE3i,2020-01-06 12:59:45,Twitter for iPhone,20,58
@EFillerCorn Happy Holidays can’t wait for you to bang the gavel,2019-12-31 23:00:12,Twitter for iPhone,0,1
Poll: Biden has edge over Trump in Florida...#Joe2020 https://t.co/K6f210JKoD,2019-12-31 17:22:02,Twitter for iPhone,9,22
https://t.co/FXzGWeYF3w.  #Joe2020,2019-12-31 13:38:19,Twitter for iPhone,6,9
John Lewis: Civil rights icon and US congressman announces he has pancreatic cancer - CNNPolitics....Praying for you Rep. Lewis https://t.co/Fl0RcJj6hj,2019-12-30 00:42:52,Twitter for iPhone,7,9
https://t.co/owxiirckdQ. I voted no. The environment is the most important issue of the 21st century and all issues must be viewed through that lens. For the American worker to be competitive our competitors overtime must honor the laws we do (labor enviro ) USMCA fails the test,2019-12-20 17:02:01,Twitter for iPhone,1,5
@EFillerCorn Look good,2019-12-18 23:38:32,Twitter for iPhone,0,5
Glad you are here with us as we fight for our Democracy https://t.co/KimqE2pURc,2019-12-18 23:31:46,Twitter for iPhone,2,6
|Greenpeace gives Bloomberg a D+ on climate || TheHill....The Environment is the most important issue of the 21st Century. A D+ just wont due https://t.co/JzvUXF0X7c|,2019-12-18 17:47:03,Twitter for iPhone,2,5
|Merry Christmas Mr. Scrinch || Opinion || https://t.co/x89hBCX4Nz   There are over 2k versus dealing with poverty in the Bible about 500 of those demand government action. This is how the Bible thumping Republicans respond. https://t.co/87fE76h6by|,2019-12-17 17:49:09,Twitter for iPhone,1,0
Many thanks to those who fought this horrible battle https://t.co/9PBOniA7Yp,2019-12-17 01:29:01,Twitter for iPhone,3,5
Started the day dropping off 200 plus books at the Highland  Springs High School library. https://t.co/L9ERVTKsUQ,2019-12-16 18:14:45,Twitter for iPhone,7,21
@tyenel12 That’ll preach,2019-12-16 03:44:44,Twitter for iPhone,1,3
@emilylevine55 @MauraLeeLang @TeamJoe @KamalaHarris @JoeBiden Welcome,2019-12-14 18:52:29,Twitter for iPhone,0,1
@notlarrysabato @AmandaChaseVA Sick just sick,2019-12-14 13:51:11,Twitter for iPhone,1,10
@notlarrysabato @VApoliticalmeme Thanks Ben. Getting stronger every day,2019-12-14 04:16:13,Twitter for iPhone,0,5
There are few things more rewarding than picking up the phone and telling a young person in the district that they have been admitted to one of our service academies!,2019-12-13 20:48:48,Twitter for iPhone,3,10
@lowkell @VApoliticalmeme Thanks @lowkell,2019-12-13 20:14:05,Twitter for iPhone,0,3
