https://t.co/rhwnHlJQ7u,2020-01-19 23:06:21,Twitter for iPhone,60,254
If she were my constituent and not an actress reading the lines of a super PAC targeting me (and other Democrats) I’d let her know that my bipartisan border security legislation was just signed into law by the President. #VA07  https://t.co/6WWyq1cMNk,2020-01-17 22:58:33,Twitter for iPhone,41,207
A super PAC just launched new TV ads against me.   “Stacy” purports to be disappointed in my work. The only problem is that she seems to be disappointed in quite a few representatives.   Please help me defend against this attack with a donation today!   https://t.co/7k6ZAqdF0j https://t.co/uz9GtzvOR1,2020-01-17 22:58:33,Twitter for iPhone,229,719
Thank you to for telling your story @AyannaPressley. You are an example of strength and perspective for so many. https://t.co/xN7lEfnIyR,2020-01-17 02:05:10,Twitter for iPhone,15,192
At a time of divisive angry partisanship the call to do right by our service members their families and the Constitution is one that can and should unite us all both in the halls of Congress and across our communities.   https://t.co/peFXSNaz2X,2020-01-16 22:48:09,Twitter for iPhone,20,82
Today was a long time coming.   It’s the result of decades of advocacy from our fellow Virginians.  It’s the product of unwavering determination even at times when the task seemed impossible.   It’s a new day &amp; I’m proud of our Commonwealth. #ERANow   https://t.co/E0YAl1OWTd,2020-01-16 00:58:38,Twitter for iPhone,43,309
"Spanberger said she is proud of what she has achieved on health care broadband access fair trade immigration agriculture and election security."  In 2020 I'm determined to keep fighting for the people and communities I represent. #VA07   https://t.co/fcuhaFjwt3,2020-01-14 23:24:16,Twitter Web App,20,89
Here we go again children hunkering in classrooms afraid and parents desperately relieved that this one isn’t real.   Thank you to every teacher administrator police officer and first responder for working to keep our kids safe. @HenricoPolice @HenricoSchools @HenricoFire https://t.co/v1nspF7I39,2020-01-13 17:50:52,Twitter for iPhone,21,101
“Virginia the birthplace of democracy has a chance to take action this year and become a leader in restoring and amplifying a foundation of democracy: the right of all citizens to vote at the ballot box.” Excellent OpEd by ⁦@VVforDelegate⁩ https://t.co/NO12Jn7BtP,2020-01-10 23:09:52,Twitter for iPhone,57,189
Congress must reassert its Article I responsibilities and if we are to have an effective debate that honors the sacrifice of our men and women in uniform we must not make ignorant partisan factually-inaccurate points to score points and render debate impossible.,2020-01-10 21:20:10,Twitter for iPhone,40,204
Presidents -of both parties- have overstepped Congress’ constitutional authority and responsibility over war making &amp; many members of Congress -of both parties- have readily ceded that power.,2020-01-10 21:19:38,Twitter for iPhone,28,194
This is the problem facing politics today- arrogant ignorance. This example from a Trump official.  - Obama didn’t kill Qaddafi.  - Targeting bin Laden and al-Awlaki didn’t need “imminence” to justify a course of action because they had Congressional approval under the 2001 AUMF. https://t.co/xLs48bu0dF,2020-01-10 20:47:00,Twitter for iPhone,328,1129
U.S. servicemembers have been engaged in conflict in the Middle East for nearly two decades.   Congress needs to step up and reassert its constitutional authority. https://t.co/THNbkX0uIp,2020-01-10 15:43:08,Twitter for iPhone,63,259
Thank you to the firefighters who flew halfway around the world to help our friends in need. Be safe. 🇺🇸 https://t.co/D5hfLYWLMJ,2020-01-09 15:46:42,Twitter for iPhone,23,248
I thank my colleague across the aisle @chiproytx for pushing for an updated AUMF. Many members of Congress across the political spectrum want to ensure that Congress as representatives of our service members &amp; their families debate vote on &amp; authorize future military action. https://t.co/expgvvHE28,2020-01-08 23:25:53,Twitter for iPhone,15,77
Tonight I join millions of Americans here at home as we think of the thousands of U.S. servicemembers who now find themselves in harm’s way. We are with you and we are praying for your safe return home.,2020-01-08 02:49:05,Twitter for iPhone,46,410
