Today I sent the following letter to the Governor about the risks posed to the habitats of Virginia's birds by the Hampton Roads Bridge-Tunnel. https://t.co/4JZcM5im9N,2020-01-17 20:49:56,Twitter Web App,4,4
Broadband access is vital to economic opportunity in rural areas in Virginia and nationwide. Chairman @AjitPaiFCC's proposed Rural Digital Opportunity Fund will help connect more homes and businesses. I appreciate this commitment to serving rural communities. https://t.co/fEI3pr6b1o,2020-01-16 14:31:11,Twitter Web App,12,31
Southwest Virginians are proud of our musical heritage. This @NEAarts grant of $25000 will support the Mountains of Music Homecoming at the Crooked Road highlighting our rich music and culture.  More⬇️https://t.co/oPv5aVHp0B,2020-01-15 21:50:14,Twitter Web App,5,11
We need more information from Insys Mallinckrodt and Purdue in order to understand how drug manufacturers may have affected the course of the crisis. Learning from the mistakes of the past will help prevent such tragedies in the future.,2020-01-14 15:47:47,Twitter Web App,2,3
Lapses across the drug supply chain contributed to the opioid crisis which has devastated communities across the country and in the Ninth Congressional District particularly. https://t.co/545SiuAIFx,2020-01-14 15:47:47,Twitter Web App,5,2
Congressman Griffith's Weekly E-Newsletter 1.13.20 Topic: Second Amendment https://t.co/VUbrqiGDcU,2020-01-13 15:18:39,Twitter Web App,1,3
My statement on Speaker Pelosi saying she will send the articles of impeachment to the Senate next week ⬇️ https://t.co/swXx1KcMuZ,2020-01-10 18:10:33,Twitter for iPhone,4,12
Whether or not to wage war is a matter of the greatest significance to our country.   Unfortunately the War Powers Resolution introduced by Democrats does not do justice to the topic.   More ⬇️ https://t.co/O8jr68QEgm,2020-01-09 23:36:00,Twitter for iPhone,3,11
On this Law Enforcement Appreciation Day let's thank the men and women who protect our communities every day. https://t.co/RU0MJwUgi5,2020-01-09 22:50:21,Twitter Web App,1,12
I am concerned for our troops in harm’s way after Iran’s missile attacks on U.S. personnel in Iraq. This is a serious action on Iran’s part. Congress must debate and vote if the conflict escalates.,2020-01-08 01:30:05,Twitter for iPhone,5,25
Congressman Griffith's Weekly E-Newsletter 1.3.20 Topics: New Laws Impeachment and Airstrike https://t.co/sfxoofsWyQ,2020-01-03 21:24:22,Twitter Web App,1,5
He has also been an important voice in Congress on behalf of veterans. I will miss having this friend and devoted public servant in the House when he departs. I wish Phil Clarinda and their family all the best as they go forward.,2020-01-03 17:56:50,Twitter Web App,1,3
@DrPhilRoe has been a great partner in the House of Representatives on the many matters of shared interest between East Tennessee and Southwest Virginia. He is always ready to work together to advance our common agenda.,2020-01-03 17:56:50,Twitter Web App,1,4
Read my Op-Ed in Richmond Times-Dispatch “Proportional Representation Promotes Fairness” https://t.co/tu6Lrm1Te2,2019-12-30 15:28:52,Twitter Web App,13,12
May you have a merry Christmas. https://t.co/d1yhMkkZxo,2019-12-25 13:04:10,Twitter for iPhone,4,19
Congressman Griffith's Weekly E-Newsletter 12.24.19 Topic: O Little Town of Bethlehem https://t.co/CEXkvMexTo,2019-12-24 19:26:33,Twitter Web App,2,2
Best wishes to all celebrating Hanukkah beginning tonight. https://t.co/yUY39KayfG,2019-12-22 20:31:52,Twitter for iPhone,3,11
Democrats want the people of Marion to help shoulder the tax burden in Manhattan and the people of Stuart to subsidize the tax burden of living in San Francisco. That is unfair to the people of the 9th District and most of America. My statement on SALT ⬇️ https://t.co/1EzWtXNXwE,2019-12-19 21:38:05,Twitter for iPhone,5,8
I spoke to WFIR News about why the abuses of FISA uncovered by the Justice Department's inspector general deserve more than a strong letter. They call for sanctions. https://t.co/NlaCQJzVdX,2019-12-19 16:08:47,Twitter Web App,6,13
