USMCA is a renewed commitment between the U.S. Canada &amp; Mexico &amp; I look forward to working with our trade allies to continue advancing a North American economy that creates good-paying jobs and is in line with our values.,2020-01-16 19:21:26,Twitter for iPhone,0,2
Today we cleared another hurdle in getting a trade deal signed into law that ensures a level playing field for WI farmers workers &amp; families keeps jobs in the US &amp; makes this deal enforceable. https://t.co/9JdZqZvXp9,2020-01-16 19:21:26,Twitter for iPhone,2,5
Wisconsinites know that sticking to a budget is about discipline &amp; priorities. Meanwhile leaders of both parties have passed reckless tax cuts for billionaires &amp; bills that aren't paid for causing the deficit to balloon. It's irresponsible unacceptable &amp; must stop. https://t.co/aOpAuORX9A,2020-01-13 22:33:37,TweetDeck,3,10
This is great news for the folks living working and running businesses along the Kickapoo River! https://t.co/3abndXeGPh,2020-01-10 15:26:17,TweetDeck,2,4
a bipartisan bill that would improve coverage under Medicare for immunosuppressive drugs for kidney transplant patients. Today it is being considered by the @EnergyCommerce  Committee tune in here: https://t.co/B9F0dd7BEb,2020-01-08 16:36:45,Twitter for iPhone,3,11
Patients &amp; their families shouldn’t have to worry about whether they can afford the treatment needed to help keep their transplanted kidney. Recently Rep. @michaelcburgess @RepAnnaEshoo @RepJasonSmith @RepMcEachin Rep. @HerreraBeutler and I introduced...,2020-01-08 16:36:45,Twitter for iPhone,9,29
The Senate Finance Committee voted to advance this renegotiated deal getting us that much closer to signing #USMCA into law.,2020-01-07 20:23:27,Twitter for iPhone,0,0
For months my colleagues &amp; I in the House worked to get a trade deal that ensures a level playing field for WI farmers workers &amp; families keeps jobs here &amp; makes this deal enforceable.  https://t.co/TqjQHY9tUo,2020-01-07 20:23:26,Twitter for iPhone,1,2
If President Trump wants to escalate our military involvement in countries overseas he must come before Congress present a clear thought-out strategy and make the case to the American people and seek approval.,2020-01-03 22:29:27,Twitter for iPhone,7,33
another Middle Eastern conflict—something no one wants – with no clear long-term strategy.   Once again the President is taking military action without consulting Congress as constitutionally required or without knowing how Iran will retaliate.,2020-01-03 22:29:26,Twitter for iPhone,4,22
There is no doubt that Soleimani was an enemy of the United States and has been responsible for the death of thousands—including many of our own men and women in uniform. However this Administration’s decision escalated an already tense situation with Iran bringing us closer to,2020-01-03 22:29:26,Twitter for iPhone,10,33
This deal is a great example of what can be accomplished when people work across the aisle to get things done and should serve as the template for all future trade agreement negotiations.,2019-12-19 21:32:40,Twitter for iPhone,2,14
For months my colleagues and I worked to get a trade deal that ensures a level playing field for Wisconsin farmers workers and families keeps jobs in the United States and makes this deal enforceable. I’m proud of the work we’ve done. https://t.co/O2xYU0gLYm,2019-12-19 21:32:40,Twitter for iPhone,3,34
HAPPENING NOW: The House is getting ready to pass #USMCA. A bipartisan trade agreement my colleagues &amp; I have worked on for months fighting to ensure a level playing field for WI.   https://t.co/Pwd3g9mVxM,2019-12-19 16:07:54,TweetDeck,3,25
Read my thoughts on tonight’s votes below https://t.co/Tw1OHESLVk,2019-12-19 02:18:16,Twitter for iPad,53,259
If I missed you or you have any questions or concerns don't hesitate to call my office: 1-888-442-8040.,2019-12-12 18:57:14,Twitter for iPhone,6,10
Thanks to everyone who joined me on my tele-town hall last night. We talked about everything from protecting Social Security &amp; Medicare to lowering prescription drug costs to ending the Administration's ongoing trade war. https://t.co/7CPXFkagIp,2019-12-12 18:57:13,Twitter for iPhone,5,33
Read more here: https://t.co/0zGmlZv2jF,2019-12-10 21:56:32,Twitter for iPhone,1,4
Wisconsin workers and farmers keep jobs in the United States and make this deal enforceable. Without enforceability the gains achieved for workers and families would not exist and Wisconsin farmers would not have been guaranteed access to the Canadian dairy market.,2019-12-10 21:56:32,Twitter for iPhone,2,11
I’m pleased to share that today Congress and the Administration came to a bipartisan agreement on USMCA. For months my colleagues and I have worked and advocated for a trade deal that would ensure a level playing field for,2019-12-10 21:56:32,Twitter for iPhone,4,20
Tune in now for an important update on USMCA.   https://t.co/Eoht1vlQBq,2019-12-10 15:12:48,Twitter for iPhone,3,3
6 years ago SCOTUS gutted the Voting Rights Act making it more difficult for millions of Americans to vote. Today the House passed #HR4 the Voting Rights Advancement Act moving us one step closer to restoring the Voting Rights Act to its full strength. #RestoreTheVote https://t.co/7NKQ3MDt0o,2019-12-06 20:00:22,TweetDeck,7,35
Today is #NationalRuralHealthDay! Rural communities are the backbone of our state's economy. This is why I am working to make health care more accessible and affordable for our rural communities and our state as a whole. https://t.co/iKUVy9hhQX,2019-11-21 20:55:50,TweetDeck,3,17
Earlier this week almost 200 Wisconsin National Guard soldiers returned to the US from Afghanistan. Thank you all for your service to our state and our nation and welcome home. https://t.co/FDm47NtRKA,2019-11-19 20:51:03,TweetDeck,2,16
🚨ATTENTION #WI03🚨 If you enjoy WI's outdoors as much as I do submit your favorite fishing hunting or outdoor photo to my WI outdoors photo contest! Email your photo to wi3photos@mail.house.gov with your name &amp; where your from to enter - I look forward to seeing your photos! https://t.co/Frazs0O4TH,2019-11-19 16:27:28,Twitter for iPad,1,1
Please join me in welcoming home the 115th Fighter Wing of Wisconsin's Air National Guard. Thank you all for your service to our state and our nation - you have the pride of Wisconsin with you. https://t.co/8jyWKWHa0l,2019-11-14 22:06:08,TweetDeck,4,13
This #VeteransDay please join me in saying thank you to all those who have served our country. Our dedicated troops and veterans deserve our thanks today and every day for the service and sacrifice they've made for our great nation. https://t.co/VJVOdPdYaE,2019-11-11 15:46:36,TweetDeck,2,3
...need to succeed. At a time when three WI dairy farms are closing a day it’s a no-brainer to have Brad Pfaff leading the Department of Agriculture Trade and Consumer Protection. Any decision otherwise isn’t putting the best interest of our farmers or our state first.,2019-11-04 22:58:43,Twitter for iPhone,2,22
As a kid who grew up on a family farm in WI no one understands the challenges that our family farms face or the work that needs to be done to revitalize our state more than Brad Pfaff. Brad has dedicated his life to ensuring WI farmers workers &amp; families have the tools they...,2019-11-04 22:58:43,Twitter for iPhone,20,72
