Why I Voted Against the Trump Impeachment via @nytopinion https://t.co/OqEuWXFwV7,2019-12-20 16:38:36,Twitter Web App,153,495
Rep. Sensenbrenner statement on USMCA:   "The House passage of the USMCA is a welcome Christmas present for Wisconsin’s hard working families especially our dairy farmers. This vote has been long overdue and I urge the Senate to approve the trade deal as soon as possible.",2019-12-19 21:25:50,Twitter Web App,2,17
Rep. Sensenbrenner: Democrats Hypocrisy Exposed as Urgent Impeachment Can Now Wait https://t.co/jOH4rA3cZc,2019-12-19 18:17:00,Twitter Web App,7,18
Rep. Sensenbrenner will be voting no on these articles of #impeachment. https://t.co/qaTYWGWzyZ,2019-12-18 19:12:11,Twitter Media Studio,27,154
#ShamImpeachment https://t.co/gQsGyNUnso,2019-12-13 15:10:51,Twitter Web App,69,150
THREAD: https://t.co/e7as2lx54s,2019-12-12 17:45:52,Twitter Web App,21,44
"Sensenbrenner: Democrat Impeachment ‘Weakest Case in History’" https://t.co/R7RJoVjDkR,2019-12-12 15:36:06,Twitter Web App,6178,19108
#ShamImpeachment https://t.co/vBYbIqUkR8,2019-12-12 01:41:23,Twitter Web App,153,284
Rep. Sensenbrenner's opening statement at the House Judiciary Committee's markup of articles of impeachment against President Trump: https://t.co/0UPNB3zcyO,2019-12-12 01:36:25,Twitter Media Studio,40,110
#USMCA https://t.co/VoU8uoQmnE,2019-12-10 19:13:46,Twitter Web App,3,10
Just as the Founders feared divided governments will now almost certainly lead to partisan impeachments. The Democrats’ obsession with ousting the President made today an inevitability but it is nevertheless a sad day for the Republic.”,2019-12-10 15:50:53,Twitter Web App,6,14
Despite the fact that they could find no bipartisan support—a criterion once set by both Speaker Pelosi and Chairman Nadler—they are pushing forward with this exercise that will further tear the country apart.,2019-12-10 15:50:53,Twitter Web App,7,15
Rep. Sensenbrenner statement on articles of impeachment:  “Democrats have wanted to impeach President Trump since January 20 2017 and realized their dream would come true last November.,2019-12-10 15:50:52,Twitter Web App,7,17
Rep. Sensenbrenner was proud to join this effort. #USMCANow https://t.co/qxQ7Rf4gxd,2019-12-09 22:53:27,Twitter Web App,24,39
"Sensenbrenner to Democrat Impeachment Lawyer: ‘You Have Made Joe McCarthy Look Like a Piker’" https://t.co/x6lnVnPzGx,2019-12-09 22:03:41,Twitter Web App,25,52
If Chairman Schiff thinks that he's a special prosecutor then he needs to come testify before our committee and not hide behind his staff. #WheresAdam?,2019-12-09 20:16:12,Twitter Web App,4171,10684
The OIG Report released today highlights multiple missteps errors and omissions by the FBI in conducting FISA Surveillance of an American citizen. Congress must fully examine these findings and take corrective actions to prevent similar issues in the future.”,2019-12-09 19:47:41,Twitter Web App,19,38
Rep. Sensenbrenner re: OIG report:  “The Intelligence Community is given powerful tools to protect the security of the American people including conducting surveillance operations. These tools require vigorous oversight to make sure the rights of Americans are protected.,2019-12-09 19:47:41,Twitter Web App,26,44
Democrats are rushing through this #ShamImpeachment because Americans have seen through their broken and unfair process. https://t.co/KBpMc91dzL,2019-12-09 17:01:36,Twitter Web App,72,167
Context: https://t.co/Loeybv1v9H,2019-12-06 21:44:12,Twitter Web App,0,0
"Democrats’ voting rights legislation doomed after partisan House vote" via @McClatchyDC  https://t.co/ned0bxIaXl,2019-12-06 21:44:12,Twitter Web App,3,4
"This is a 'partisan impeachment roadshow': Congressman" via @YahooFinance https://t.co/Py4tVtFpry,2019-12-06 15:01:12,Twitter Web App,1,1
"Sensenbrenner: I think the American public is getting sick tired of impeachment" via @WISN12News https://t.co/5bKcEVOog7,2019-12-05 20:59:41,Twitter Web App,2,4
