.@tomperez I encourage you to spend a lot of money in WI 7th district - AKA Trump Country....wait @DNC has no money under Perez's failed leadership. #GoodLuck #MAGA @realdonaldtrump https://t.co/QBDeXOV1cb,2020-01-16 17:10:27,Twitter for iPhone,15,70
https://t.co/wWULeiy7xe,2020-01-15 02:27:24,Twitter for iPhone,38,179
Landed in WI https://t.co/pRzll9r8qT,2020-01-15 00:09:02,Twitter for iPhone,44,385
https://t.co/aR65iysWQW,2020-01-14 21:41:07,Twitter for iPhone,37,135
About to board AF1 to WI https://t.co/12QUkgNgdf,2020-01-14 21:38:12,Twitter for iPhone,48,462
https://t.co/Xlt8gcl59q,2020-01-14 21:36:35,Twitter for iPhone,13,61
Affordable housing is a real issue across the country.  Crazy Warren’s radical environmental plan will increase the cost of housing for all Americans.   https://t.co/3DYD6DvaQh,2020-01-14 12:35:01,Twitter for iPhone,12,55
Winning... https://t.co/0IzN6K4hDX,2020-01-13 01:25:42,Twitter for iPhone,7,64
Couldn’t agree more... https://t.co/IDTC2YNNS4,2020-01-11 15:35:01,Twitter for iPhone,49,364
Long before Dems took control of the House I predicted they were going to impeach.  https://t.co/3x5dMYdDjC,2020-01-06 13:56:35,Twitter for iPhone,38,50
This Tweet from @SeanDuffyWI has been withheld in response to a report from the copyright holder. Learn more.,2019-12-31 20:28:32,Twitter Web App,55,165
Last night's chat with Chris Cuomo on CNN discussing trade and GOP affection for @realDonaldTrump https://t.co/FNkl19NJLH,2019-12-27 17:20:54,Twitter Web App,12,47
Chris Cuomo asked if Republicans support President Trump out of fear. Here is my response. https://t.co/3DzYbycQ1X,2019-12-27 15:29:36,Twitter Web App,45,217
I joined Chris Cuomo last night to discuss "fairness" in the Senate impeachment trial.  @CNN @ChrisCuomo https://t.co/4x0MGAyYbX,2019-12-27 12:16:10,Twitter Web App,11,60
https://t.co/EUFXTe6o7C,2019-12-27 05:42:23,Twitter for iPhone,21,41
Joining @ChrisCuomo tonight with my free cup of Kwik Trip coffee.  @CNN @KwikTrip https://t.co/tbqz5mxg5J,2019-12-27 01:52:02,Twitter for iPhone,6,95
So the truth comes out.... Impeachment had nothing to do with Ukraine. https://t.co/sPoDoUYFHz,2019-12-20 01:21:22,Twitter Web App,24,96
I am joining @CNN  @NewDay in 3 min. Check us out. Discussing today’s impeachment vote with Charlie Dent,2019-12-18 11:49:03,Twitter for iPhone,2,26
Check out @CNN in 20 minutes. On with @ChrisCuomo   “Let’s get after it” https://t.co/ugmpzOVk0r,2019-12-17 02:14:03,Twitter for iPhone,2,29
