For Doug preserving and protecting our wildlife for sportsmen is personal -- he's a hunter himself. Here is how he's working to protect Alabama's deer populations from chronic wasting disease. ⬇️  https://t.co/EwOpV5K9NO,2020-01-18 22:25:23,Twitter for iPhone,12,42
Doug has sworn to give all sides a fair trial to not rush to a partisan or a political corner -- and that is exactly what he'll do.   #ImpartialJustice https://t.co/5mJzqRJrRi,2020-01-18 21:15:01,Twitter Media Studio,17,47
Our team is honoring the life and legacy of #MartinLutherKingJr across the state this weekend — this morning they joined Alpha Phi Alpha Fraternity Inc. and Alpha Upsilon Lambda Education Foundation for their Twenty-Fourth Annual MLK Jr. Memorial Breakfast in Montgomery. #MLKDay https://t.co/DLotdpg8pB,2020-01-18 20:20:14,Twitter for iPhone,10,45
Great news one of our best champions and advocates in Montgomery @vivian_figures is joining our Women for #OneAlabama panel discussion! We can't wait. https://t.co/xADojonzhF,2020-01-18 18:04:44,Twitter Web App,3,15
We are officially SOLD OUT and we are officially overwhelmed by y'all's enthusiasm! We can't wait to see you all next Friday and if you can't be there make sure to follow along for highlights from our amazing panel of women for One Alabama. https://t.co/KrMCkhfXVe,2020-01-17 23:05:24,TweetDeck,14,77
"These farmers work hard and they don’t want a handout” he said. “They want their markets.” - @DougJones    Alabama farmers deserve a Senator who will stand up for them.   https://t.co/kZvY1Kmrla,2020-01-17 20:06:58,Twitter Web App,11,35
When you run on the message of unity over division when you work toward #OneAlabama for everyone folks notice. https://t.co/snTSh4fENF,2020-01-17 19:00:35,Twitter for iPhone,14,65
Thank you @tallapoosadems for getting ready for November with us. We’re proud to have you on Team Doug! https://t.co/AR3m4DWIfQ,2020-01-17 02:05:46,Twitter for iPhone,5,28
It's clear -- we need folks in the Senate who will do their duty.   Let's keep Doug there: https://t.co/YEZ51NhyOj,2020-01-16 19:45:18,Twitter Web App,7,27
This is about a duty to fair and #ImpartialJustice.   Doug will do his duty. https://t.co/KJk2ktIZBw,2020-01-16 18:50:10,Twitter Media Studio,63,164
CONFIRMED: Alabama activist speaker and trainer @tMKing1 is joining our Women for One Alabama panel discussion! Don't miss it get your tickets before they sell out: https://t.co/l9bLo6l1Ae https://t.co/y0wsCSnWsG,2020-01-16 16:18:48,Twitter Web App,4,19
Students -- need help navigating the college aid application process?   Check out these free workshops in Mobile Selma Montgomery Hueytown and Trinity on January 28-29 ⬇️  https://t.co/dNu4uMoAeO,2020-01-15 23:48:59,Twitter for iPhone,6,21
Not the Democratic stance not the Republican stance.   Doug will always vote his conscience. https://t.co/awBmicVtML,2020-01-15 21:53:29,Twitter Web App,17,72
Happy Founders' Day @akasorority1908! We're so proud to stand with the amazing sisters like Representative Sewell who are working to build an Alabama that works for everyone! https://t.co/soJFO3Qj7x,2020-01-15 21:12:36,Twitter Web App,0,8
"I cannot sit idly by in Atlanta and not be concerned about what happens in Birmingham. Injustice anywhere is a threat to justice everywhere."  Today we celebrate the birthday of Dr. Martin Luther King Jr. -- let's continue the work. #MLK91 https://t.co/BznAI6WYek,2020-01-15 20:32:58,Twitter Web App,10,45
Because of YOU we finished the year strong!   We just wanted to take a moment to say thank you Team Doug! Together we're going to win this for #OneAlabama. https://t.co/aGKswIHp5W,2020-01-15 00:30:00,TweetDeck,7,33
Tariffs are taxes.  This would hurt Mobile jobs and Doug won't stop fighting these harmful tariffs. https://t.co/5tIDDru2BZ,2020-01-14 23:00:59,Twitter Web App,26,54
In two years Doug has accomplished a lot and we can't wait to see what he does with six more. https://t.co/0LP0f9ITCL,2020-01-14 22:13:04,Twitter Web App,31,89
Alabama must expand Medicaid. https://t.co/pw2efJEGgM,2020-01-14 19:36:33,Twitter Web App,15,55
When strong women lead Alabama thrives. Join @ValerieJarrett local leaders and Team Doug for a conversation about the importance of women’s leadership as we build  #OneAlabama.   Get your tickets here: https://t.co/up0LCff8at https://t.co/XSkUTQTAHN,2020-01-14 16:31:34,Twitter Web App,10,22
The people of Alabama deserve an outdoors they can enjoy that's why Doug's working to make sure we preserve it for generations to come. https://t.co/ECdCLtA3ZQ,2020-01-13 22:56:38,Twitter Web App,29,78
Happy Founders Day to the exceptional women of @DeltaSigmaTheta! https://t.co/CmCxPHqg4y,2020-01-13 22:23:10,Twitter Web App,1,10
We couldn't agree more. https://t.co/EJBAApH40t,2020-01-13 21:36:31,Twitter Media Studio,29,73
On Team Doug we believe that when strong women lead Alabama thrives.   Join us for a discussion on the importance of women in leadership with author businesswoman and Senior Advisor to President Obama @ValerieJarrett. We hope to see y'all there: https://t.co/c5WAe6PNzx https://t.co/iPlq7lJBUJ,2020-01-13 18:41:39,Twitter Web App,11,28
Alabama deserves a Senator who has their back. https://t.co/k4nIW8TvkE,2020-01-11 14:13:32,Twitter for iPhone,23,86
Not the President's Senator not Chuck Schumer's Senator. Alabama’s Senator. https://t.co/f6j2OfMAxI,2020-01-11 01:39:48,Twitter Media Studio,373,1260
Every child in Alabama should be able to get the care they need. #OneAlabama https://t.co/u7rmOIP6jk,2020-01-10 22:09:44,Twitter Web App,20,54
Talking with our neighbors uplifting African American communities and every community protecting the hard-won right to vote: these are Doug's priorities 365 days a year and he's is not taking a day off. https://t.co/IZFpG9nAjK,2020-01-10 20:25:10,Twitter Web App,6,29
On Team Doug we believe the college application process should be more accessible -- if you're a high school senior make sure to take advantage of no application fees at @AuburnTigers from January 13-17! https://t.co/E7iJh7BIuL,2020-01-09 18:57:42,Twitter Web App,8,23
"I am making sure that the people of Alabama know that regardless of what goes on nationally that I have their backs. I’m there for the people of Alabama. " - Doug Jones #OneAlabama https://t.co/t1AnjVvkUw,2020-01-08 22:21:24,Twitter Web App,18,90
How many days until election day?  Only 301.  And we're going to use every one of them to work for #OneAlabama. Join us:   https://t.co/LcCgQk9Yi9,2020-01-07 22:21:39,Twitter Web App,17,58
We are proud that @aamuedu graduate Josh Baker calls Alabama home and we're proud that Doug's bill to permanently fund HBCUs will support students like him for generations to come.  https://t.co/mNAvK4xkzG,2020-01-06 22:57:48,Twitter Web App,4,29
This summer Doug kicked off this campaign for #OneAlabama. Here's a look at what Team Doug accomplished on the campaign trail this year:  https://t.co/BsYGYd4E26,2020-01-06 21:12:58,Twitter Web App,12,34
Walking into the first Monday of 2020 ready to work with our friends family (furry friends) and neighbors for #OneAlabama. RT if you agree. https://t.co/iLr0ehKsjv,2020-01-06 17:16:23,Twitter Web App,14,45
Happy Founders’ Day to the men of @kapsi1911! Team Doug in Mobile joined local alumni tonight to celebrate their 109th anniversary. https://t.co/72ngcxygSy,2020-01-06 02:47:34,Twitter for iPhone,5,20
And join us to work for #OneAlabama for everyone!  https://t.co/DpaGgoUV5L,2020-01-03 19:24:01,Twitter Web App,3,8
💲 Chip in a couple bucks to help keep Doug in the Senate:  https://t.co/PpqlrdQpB2,2020-01-03 19:23:41,Twitter Web App,3,8
👕 Get your favorite Team Doug merch to rep here:   https://t.co/at6gdk2Omc,2020-01-03 19:22:47,Twitter Web App,2,4
You can get started on these right now!  ✔️ Check your voter registration status here: https://t.co/Cg1p0dMiV1,2020-01-03 19:22:08,Twitter Web App,2,3
Here are Team Doug's New Years resolutions:   ✔️ Check your voter registration status  👕 Rep Team Doug merch  💲 Chip in to keep Doug in the Senate  🚪 Sign up for updates and get ready to work for #OneAlabama!  https://t.co/DpaGgoUV5L,2020-01-03 19:21:53,Twitter Web App,8,23
Today we want to give a very special birthday shoutout to Doug's running mate @louisenewjones! Louise's passion and dedication inspires us all on Team Doug to keep working for One Alabama. Happy birthday Louise! https://t.co/QDW9eoLVWb,2020-01-02 18:03:58,Twitter Web App,8,55
It is 2020 and our New Year's resolution is winning this for #OneAlabama. Make it your resolution to join our team: https://t.co/DpaGgoUV5L,2020-01-01 15:21:24,Twitter for iPhone,3,15
Happy New Year from all of us on Team Doug! https://t.co/mR0m0egOYG,2020-01-01 15:21:24,Twitter for iPhone,13,76
As the year ends Team Doug is taking a moment to reflect on all we've learned and accomplished in 2019.  https://t.co/BsYGYd4E26,2019-12-31 23:17:34,Twitter Web App,6,24
You can help us do that here: https://t.co/PpqlrdQpB2,2019-12-31 20:53:05,Twitter Web App,5,18
┏━━┓┏━━┓┏━━┓┏━━┓ ┗━┓┃┃┏┓┃┗━┓┃┃┏┓┃ ┏━┛┃┃┃┃┃┏━┛┃┃┃┃┃              Reelect Doug Jones   ┃┏━┛┃┃┃┃┃┏━┛┃┃┃┃ ┃┗━┓┃┗┛┃┃┗━┓┃┗┛┃ ┗━━┛┗━━┛┗━━┛┗━━┛,2019-12-31 20:53:04,Twitter Web App,112,606
The year is almost over and that means one thing--election day is coming.   We're going to do everything we can to keep Doug in the Senate. Join us chip in now. https://t.co/PpqlrdQpB2,2019-12-31 16:34:17,TweetDeck,3,15
We're working for #OneAlabama for everyone.   Stand with us: https://t.co/PpqlrdQpB2,2019-12-30 22:11:58,TweetDeck,8,29
It's HBCU students like Rachel who will be supported thanks to the funding Doug secured through the FUTURE Act. https://t.co/yxWpNkSbL3,2019-12-29 15:41:28,Twitter Media Studio,21,54
From championing paid family leave to making it easier to apply to college Doug's working on issues that matter to all Alabamians. Let's fight for him: https://t.co/PpqlrdQpB2,2019-12-27 20:15:12,Twitter for iPhone,14,50
To everyone observing Kwanzaa we wish you time with family loved ones and fellowship this season! https://t.co/9d2W0BlAZL,2019-12-26 22:08:09,Twitter for iPhone,4,22
This is what happens when you cut through all the division and work for  #OneAlabama -- strive for bipartisanship and focus on the issues that matter to Alabamians and Americans. And it's because of y'all that we're going to keep Doug fighting for us.,2019-12-26 17:46:17,Twitter Web App,12,32
And that's not all -- Doug helped secure paid family leave for millions of federal workers including over 50000 in Alabama as part of the National Defense Authorization Act. https://t.co/WnZEHEwfU1,2019-12-26 17:46:16,Twitter Web App,12,30
The decades-old Widow's Tax has stopped 65000 surviving military spouses from receiving the full benefits they are entitled to. Doug's bipartisan bill to axe the Widow's Tax was finally passed as part of the National Defense Authorization Act. https://t.co/k748D851wN,2019-12-26 17:46:16,Twitter Web App,21,39
His bipartisan FUTURE Act ensures that Alabama's many HBCUs will have annual funding they can rely on to support students like these: https://t.co/5i8FvMjgHp,2019-12-26 17:46:16,Twitter Web App,13,24
For those of you who think that the news is too much to handle right now here's some great news: We're so proud of the work Doug's been doing in the Senate.  In the past couple of weeks we've had some huge wins: https://t.co/OohMULEbtX,2019-12-26 17:46:15,Twitter Web App,96,211
Merry Christmas Alabama! Wishing you a peaceful holiday with family and friends. https://t.co/FICyhIOmbH,2019-12-25 16:37:12,Twitter for iPhone,16,87
From Doug Louise Carson Christopher of course Scout and Dakota as well as all of us on Team Doug -- wishing you peace and joy this holiday season! https://t.co/LiA5EFrwOj,2019-12-24 17:39:46,Twitter for iPhone,22,108
Happy first night of Hanukkah y’all! To all our Jewish friends and neighbors we hope this time is filled with light and joy. https://t.co/XussVREdM8,2019-12-22 21:19:08,Twitter for iPhone,7,40
Our holiday service week is almost over but our team in Huntsville helped keep Alabama clean with the Marshall County Dems litter clean up &amp; joined Crossroads Community Outreach in Florence to help them serve our neighbors in need at their Community Christmas! #OneAlabama https://t.co/SiEBAeJdjR,2019-12-21 22:04:06,Twitter Web App,11,35
Folks when we put aside our partisan differences and work together we can accomplish great things.   Doug's bipartisan work to repeal the Widow's Tax is a victory for over 2000 military families in Alabama.   That's what #OneAlabama is all about. https://t.co/hbR5Eogw4E,2019-12-21 04:32:15,Twitter Media Studio,76,190
This is a big deal y'all. Listen to Cathy tell her story about how this burden has impacted her life. We're so proud that it has finally been eliminated. https://t.co/o4E74ea8uh,2019-12-21 02:48:17,Twitter Web App,26,52
It is official! The President has signed the National Defense Authorization Act into law and with it Doug's bipartisan bill to axe the Widow's Tax! This bipartisan victory is thanks to Doug's hard work and years of advocacy from widows like Stella in Birmingham. https://t.co/L9yn51aNMu,2019-12-21 02:46:43,Twitter Web App,34,112
Over 900000 Alabamians with pre-existing conditions are at risk. Doug won't stop fighting to protect our care.  https://t.co/TIFVh6kTtX,2019-12-20 21:14:51,TweetDeck,5,29
Now let's show Doug we've got HIS back. Chip in now: https://t.co/PpqlrdQpB2,2019-12-20 20:21:15,Twitter Web App,9,10
We're going to win this thing because Alabamians know Doug's got their back. #OneAlabama  https://t.co/HJVsD18iXT,2019-12-20 20:21:00,Twitter Web App,8,33
As part of our holiday service week our Mobile team volunteered with the Mobile Alumni of Kappa Alpha Psi for their Breakfast With Santa. Each year they make sure that every child regardless of income has the opportunity to get a gift from Santa! #OneAlabama https://t.co/JpJaAI8IzN,2019-12-19 23:37:13,Twitter Web App,5,16
And that’s not all this bill does — it also simplifies FAFSA making it easier for students in Alabama and beyond to apply to college.,2019-12-19 22:05:39,Twitter Web App,8,46
🎉 Great news: Doug’s FUTURE Act to permanently fund our Historically Black Colleges and Universities and support our future leaders is now law!,2019-12-19 22:05:12,Twitter Web App,53,195
We all deserve quality affordable health care. These attempts to overturn the Affordable Care Act are dangerous and would allow over 900000 Alabamians to be denied health coverage. https://t.co/1GHkBSMY1X,2019-12-19 02:12:19,Twitter for iPhone,32,43
The Widow's Tax is axed. https://t.co/BThdMUZItR,2019-12-18 23:16:09,Twitter Web App,11,35
