Happy New Year and decade! They hold a lot of promise and I’m excited about what we can achieve in 2020 + thankful for so many blessings. It’s an honor to serve the people of Arkansas and I will continue to work hard and to the best of my ability to do just that. #arpx #ARgop https://t.co/sDohibumYe,2020-01-01 18:52:59,Twitter for iPhone,0,5
Hoping you and your loved ones have had a Merry Christmas. Remember the reason for this season. We're so very blessed and Christmas is another reminder of that truth. The gifts of family faith and freedom are at the top of my list. https://t.co/xmbWMFp17o,2019-12-25 22:04:40,Twitter Web App,0,6
Gratitude is central to #Thanksgiving.  RT if you're #thankful for: - living in the freest most prosperous country in the world - men and women risking their lives to defend and protect us - incredible blessings from God like faith family and friendship.  #HappyThanksgiving https://t.co/tAJReJXnhj,2019-11-28 16:51:57,Twitter Web App,3,6
Great be with a packed house @GOPBentonCounty 2019 Reagan Day Dinner and though she needs no introduction talk about my friend @SarahHuckabee. A wonderful night with many faithful conservatives and happy warriors. Always enjoy getting to spend time with this group. #ARpx #ARGOP https://t.co/Cla5iSuAbH,2019-11-12 02:32:43,Twitter for iPhone,8,63
Happy #VeteransDay to the heroes who answered the call to serve. I’m continually amazed &amp; humbled by those who have worn America’s uniform. They feel honored to have sacrificed and served the country we all love. What a testament to our military and our our nation. THANK YOU 🇺🇸 https://t.co/Cf2pSKWwrJ,2019-11-11 18:16:13,Twitter for iPhone,0,2
@realWillTeeter @JohnBoozman Game’s changed quite a bit since the last time I suited up so I don’t think I’m the guy but I appreciate the vote of confidence! https://t.co/ZQecFap0kU,2019-11-11 00:30:52,Twitter for iPhone,0,2
Happy Birthday to the few the proud the United States #Marines. 244 years and going of service and honor. Semper Fi and God Bless our Marine Corps. https://t.co/NUmxptFQ7O,2019-11-11 00:11:13,Twitter for iPhone,2,6
Congratulations to Arkansas’s own Dave and @marrs_jenny Marrs on the premiere of their show. They’re a great family and deserve this type of success. Great to see them giving the rest of the country a look at some of the qualities that make life in NWA &amp; our entire state so good. https://t.co/5s2luyvwVr,2019-10-11 00:00:07,Twitter for iPhone,3,5
Dorothy’s decades working to build and grow @ARGOP played a vital role in our civic life and demonstrated how to make a difference: get involved &amp; work on behalf of your beliefs. Her legacy of faith patriotism leadership and advocacy will live on in Mississippi Co. &amp; across AR https://t.co/ACybEjZWxa,2019-10-05 22:57:35,Twitter for iPhone,4,9
9-11-01 serves as a reminder that our security &amp; way of life can be threatened at any moment - with tragic consequences. But it also taught us to rely on the bonds that unite us to find comfort and courage. We will #neverforget the lives lost and forever changed that day. #Sept11,2019-09-11 23:59:25,Twitter for iPhone,2,10
