This week was a huge win for Arizona and our country! We passed historic trade legislation that will boost U.S. GDP by $70 billion. https://t.co/GBPEg2D6Q3,2020-01-19 18:43:00,TweetDeck,226,1147
Mark your calendars for these upcoming fee-free days to visit our national parks ⬇️ 1/20 - MLK Day 4/18 - First Day of National Park Week 8/25 - National Park Service Birthday 9/26 - National Public Lands Day 11/11 - Veterans Day https://t.co/IXGwzwUsSV,2020-01-19 15:11:00,TweetDeck,252,1019
Arizona’s public lands are meant to be enjoyed by all. I introduced legislation to enhance the visitor experience by increasing access to recreational concessions such as mountain bike rentals paragliding &amp; horseback riding. https://t.co/FKureVB3AM,2020-01-18 19:07:00,TweetDeck,110,691
ICYMI: We secured key funding to increase the security at our Southern Border and improve cross-border commerce by modernizing the San Luis Port of Entry. https://t.co/6FhUwujjwT,2020-01-18 17:13:00,TweetDeck,171,827
The most fascinating thing about the liberal media is that they think they’re neutral. Maybe they check their journalistic objectivity at the door. https://t.co/v6jyQkSsYh,2020-01-18 03:52:25,Twitter Web App,8732,26905
I'm a fighter pilot I call it like it is and that's what I did today. https://t.co/2PHc1fo2xo,2020-01-17 05:01:06,Twitter Web App,11485,40127
It’s been a slow news day but I’ll be joining @IngrahamAngle at @8pm AZ on @FoxNews. 😉👊🏼,2020-01-17 02:31:38,Twitter for iPhone,1268,8164
Arizonans continue to feel the deadly effects of the opioid crisis. Today we passed critical legislation to extend the ban on fentanyl-related substances and keep these synthetic drugs out of our communities.,2020-01-17 01:49:55,Twitter Web App,812,4448
It’s not just our state that will benefit. Nationally the #USMCA will boost U.S. GDP by $70 billion and add 180000 new jobs by modernizing the antiquated guidelines currently stifling American trade.   #USMCA is good for AZ and good for America. https://t.co/eLAyxWdM2A,2020-01-16 17:14:29,Twitter Web App,329,1052
As I’ve traveled the state I’ve met with hundreds of employees and small businesses to hear how the #USMCA would improve their livelihoods.   They know #USMCA means more jobs for Arizonans. Already more than 228000 Arizona jobs rely on cross-border commerce. https://t.co/FgAfTAl1ET,2020-01-16 17:14:28,Twitter Web App,277,1044
🚨🚨We finally passed the #USMCA! This historic trade agreement creates wide-ranging opportunities for Arizona’s workers farmers ranchers and businesses. https://t.co/jhorXN2XSU,2020-01-16 17:14:26,Twitter Web App,2522,8083
A) you are.  B) here’s the video. https://t.co/zVgk9pBhdf https://t.co/cfFdotLjFK,2020-01-16 15:22:59,Twitter for iPhone,13239,46091
The American people will continue to stand with the Iranian protesters as they risk everything for freedom from their brutal regime.  I introduced a resolution today to condemn the Iranian government for their murderous retaliation against protesters. ➡️ https://t.co/hyS24Yiery,2020-01-15 21:42:49,Twitter Web App,267,1032
A true life of service! @SteveGleason is on a mission to find a cure for ALS &amp; provide life-changing technology &amp; care to the thousands already living with this disease. He is highly deserving of the Congressional Gold Medal. https://t.co/nnNKdVhrIZ,2020-01-15 21:06:03,Twitter for iPhone,95,414
Great news for AZ workers! @POTUS just signed #PhaseOne of a U.S.-China trade agreement that will protect American technology &amp; innovation and increase agriculture trade between our countries. https://t.co/gJghwQBg2i,2020-01-15 20:56:10,Twitter Web App,102,346
Fact check: (still) true!   I want to vote yes on the USMCA trade deal. ⁦@azcentral⁩  https://t.co/SBzEuUm1Io,2020-01-15 19:46:03,Twitter for iPhone,122,519
‼️‼️‼️ https://t.co/OEc2fNe7NM,2020-01-15 19:33:40,Twitter for iPhone,60,247
2020 is off to a good start with @LarryFitzgerald returning to @AZCardinals! #RedSea https://t.co/VFhn9voSCf,2020-01-15 17:47:13,Twitter Web App,18,124
Traveling service members and veterans—make sure to check out @TucsonAirport’s newly re-opened Military Lounge! https://t.co/SYb8qyWj70,2020-01-14 20:58:50,Twitter for iPhone,36,152
