“the need for the Senate to conduct a thorough trial with testimony from witnesses in a position to confirm or deny the allegations has become ever more urgent.” https://t.co/CorZNlquKu,2020-01-19 16:20:39,Twitter for iPhone,5,17
We deserve a President who understands climate change and is ready to address it right away. There’s no time to waste. https://t.co/uM7jAQM5sr,2020-01-19 03:18:44,Twitter for iPhone,22,71
Inspired after a great morning at the Delaware Women’s March! https://t.co/Fb6YSqFI1g,2020-01-18 18:41:58,Twitter for iPhone,9,38
Yup. https://t.co/T4DWSh1acw,2020-01-18 01:07:03,Twitter for iPhone,28,87
Senator @KamalaHarris is right. This trial is also a real test for the integrity of the Senate. https://t.co/UFUqLX0IS9,2020-01-16 23:01:58,Twitter for iPhone,9,30
Just more proof (as if we needed anymore) that the Trump/GOP tax bill was not written to help working families. https://t.co/fdrlpDkY5s,2020-01-16 18:30:28,Twitter for iPhone,13,14
This is the oath I’m going to take tomorrow. I intend to keep it.  “I solemnly swear that in all things appertaining to the trial of President Donald John Trump now pending I will do impartial justice according to the Constitution and laws so help me God.”,2020-01-16 00:07:47,Twitter for iPhone,11,95
Here’s what I keep coming back to on impeachment.  Trials have witnesses and documents.  Coverups don’t.,2020-01-15 20:45:59,Twitter for iPhone,14,55
This guy doesn’t belong anywhere near the White House. https://t.co/aRhMc1sxBo,2020-01-15 14:36:35,Twitter for iPhone,19,46
I’m proud to be part of a party that recognizes the existential threat we face from climate change and recognizes that we have to take big bold action to address it. Right now.,2020-01-15 03:52:53,Twitter for iPhone,5,38
My friend @JoeBiden is ready to unite this country he’s ready to defeat Donald Trump he’s ready fight for America’s middle class and he’s ready to be our Commander in Chief.  And he’s ready to do all of that on Day One.,2020-01-15 03:21:10,Twitter for iPhone,59,261
Senator @brianschatz is right.   If you live in a state with a Republican Senator call them. Tell them you want a fair trial. https://t.co/INLL2czagN,2020-01-15 00:27:09,Twitter for iPhone,6,19
A helpful fact check of President Trump’s *actual position* on pre-existing conditions protections  👇🏻👇🏻👇🏻 https://t.co/zt5hFd8flT,2020-01-14 19:44:02,Twitter for iPhone,3,10
Mr. President you’ve spent your entire time in office trying to repeal the Affordable Care Act which would take away protections for Americans with pre-existing conditions. https://t.co/8vpNsfM2Mq,2020-01-14 00:02:52,Twitter for iPhone,19,51
Though he suspended his campaign today @corybooker has made lasting positive  impacts on our country and our party and I’m excited to continue working with him to move our country forward.,2020-01-13 17:34:50,Twitter for iPhone,1,18
Throughout his campaign my friend @CoryBooker showed our country his incredible passion for justice his undying hope for America’s future and his unshakable belief in the power of love.,2020-01-13 17:34:28,Twitter for iPhone,3,27
.@SpeakerPelosi is right.  Trials have witnesses. Cover ups don’t. https://t.co/owqpgjiGyf,2020-01-12 17:43:49,Twitter for iPhone,31,71
This policy has been racist an un-American since Donald Trump first announced it during his 2016 campaign.   I authored the #NoBanAct to repeal this ban last year and I’m doing everything I can to pass it through Congress now. https://t.co/rubWBp5WlB,2020-01-11 19:33:46,Twitter for iPhone,11,30
Over 200 Republican members of Congress are urging the Supreme Court to overturn Roe v. Wade. I’m going to do everything I can to ensure that doesn’t happen.  This latest attempt to strike Roe down is dangerous and we cannot allow it to move forward.   https://t.co/2acq3djuBG,2020-01-10 17:00:03,Gain Platform,7,40
Stephen Miller doesn't belong anywhere near the White House. Nearly 40 Senators 100+ members of the House of Representatives and 50+ civil rights organizations agree.   He must resign.   https://t.co/4oKu3NMPfz,2020-01-09 23:30:21,Gain Platform,12,50
I know we’re talking about their totally incoherent strategy in the Middle East today but don’t forget that the Trump Administration is ALSO working overtime to repeal the Affordable Care Act &amp; take away protections for millions of Americans with pre-existing conditions.,2020-01-09 01:07:13,Twitter for iPhone,29,63
@GabbyGiffords Today we honor their memory. But the victims of this tragedy in Arizona and countless other shootings since then deserve more than our thoughts and prayers. They deserve real action to #EndGunViolence.,2020-01-08 22:23:20,Twitter Web App,1,9
Nine years ago today @GabbyGiffords was shot and wounded while six people were killed in a senseless shooting. One of the victims was 9-year-old Christina Taylor Green the daughter of a Delawarean and someone I’ve known for a long time. https://t.co/sbKIJjoTWp,2020-01-08 22:22:57,Twitter Web App,5,20
It’s still really simple: we need just four Republicans to support witness testimony in the impeachment trial.   Your voice matters. Call write tweet - make sure Republicans know the American people are demanding a fair trial.,2020-01-08 15:48:46,Twitter for iPhone,17,35
I stand with @PPDelaware and wholeheartedly support their mission to provide health care to women up and down our state. https://t.co/sAotx1yGKf,2020-01-07 22:52:31,Twitter for iPhone,5,15
Reminder that while Leader McConnell and Senate Republicans are blocking relevant witnesses from testifying in the impeachment trial they’re also blocking legislation to:  Address gun violence.  Combat climate change.  Lower Rx drug costs.  And much more.,2020-01-07 01:09:12,Twitter for iPhone,12,45
The Trump Administration's actions have made the risk of another military conflict in the Middle East even more likely and I'm concerned they don't have a strategy.   https://t.co/sVbIYiTgBV,2020-01-06 23:05:00,Twitter for iPhone,6,13
This isn’t complicated. The Senate impeachment trial should hear from relevant witnesses.,2020-01-06 22:45:28,Twitter for iPhone,12,72
It’s almost impossible to overstate how dangerous and irresponsible the Trump Administration’s rejection of science and cuts to scientific research have been.   https://t.co/tNjikpUpC0,2020-01-05 23:28:36,Twitter for iPhone,27,51
These endorsements speak volumes. Three members of the House - all of them veterans all of them elected in swing states - know @JoeBiden is the candidate who can unite the country and defeat Donald Trump. https://t.co/2UHL4ZDOQz,2020-01-05 22:58:57,Twitter for iPhone,19,71
With less than a month until the Iowa caucus I joined #TeamBiden - and Delawarean Gabby Johns - in Cedar Rapids to connect with voters and thank volunteers. https://t.co/HVmXAFC9GH,2020-01-05 02:13:46,Gain Platform,23,93
Wow. This is big news for the Birds tomorrow. #BeatSeattle #FlyEaglesFly https://t.co/CrEFggYO3t,2020-01-04 20:23:12,Twitter for iPhone,1,10
My friend @JoeBiden is exactly right. We need to protect the Affordable Care Act from those trying to repeal it and we need to work together to build on it and improve it. https://t.co/ApbMz4zrui,2020-01-04 18:11:43,Twitter for iPhone,32,135
Make no mistake Republicans in Washington are still determined to overturn Roe v. Wade.  I will not stop fighting to ensure that doesn’t happen. https://t.co/WMyZRKMBuH,2020-01-04 00:41:35,Twitter for iPhone,9,33
Pres Trump and Republicans have shown that they don’t really have a health care plan - their only “plan” is to repeal the Affordable Care Act.  The ACA isn’t perfect but it’s helped tens millions of Americans get covered-we should be working to improve it https://t.co/O6nSGMYg4S,2019-12-30 18:25:50,Twitter for iPhone,23,55
May your holiday season be filled with health happiness and hope for a bright new year ahead! https://t.co/MjXL233wNi,2019-12-24 15:25:19,Gain Platform,3,87
I just ran the numbers and it’s only four. https://t.co/3DEsA0NZGV,2019-12-23 00:44:57,Twitter for iPhone,2846,19699
TJ - you’re doing a terrific job for @JoeBiden - you and your family are in my prayers - we know you’re going to beat this! https://t.co/IQbSKQMB9e,2019-12-22 18:17:18,Twitter for iPhone,21,133
If Senate Republicans believe there is a reasonable defense of the President’s actions a legitimate Senate trial is their chance to deliver it.,2019-12-21 16:24:19,Twitter for iPhone,25,86
With this #SCOTUS decision Kentucky can now force women to endure an ultrasound before an abortion. This violation of personal privacy is invasive and medically unnecessary. It shames women for accessing basic health care. But that’s the entire point. https://t.co/XzaoQi5Nwo,2019-12-20 23:00:36,Gain Platform,11,23
@OKnox He has his own hashtag?!,2019-12-20 15:21:07,Twitter for iPhone,0,3
The thing about wine caves though  is that Republicans are still trying to repeal the Affordable Care Act and take away protections for 135 million Americans with pre-existing conditions.,2019-12-20 15:14:29,Twitter for iPhone,142,453
.@JoeBiden just made such an important point: America can lead the world’s response to the climate crisis AND become a clean energy superpower. We can do both. We have to do both.,2019-12-20 02:07:49,Twitter for iPhone,56,142
Proud as always of my friend @JoeBiden‘s determination to bring this country together and move this country forward.,2019-12-20 01:54:17,Twitter for iPhone,46,264
You don’t say...  https://t.co/aYW5ROnFUb,2019-12-19 15:22:02,Twitter for iPhone,6,5
The Republican Party’s health care policy is repealing the Affordable Care Act in full including the protections for Americans with pre-existing conditions.   We can’t let that happen. https://t.co/flXDr1udOM,2019-12-19 03:32:06,Twitter for iPhone,8,21
I’ll be joining Rachel @maddow on @MSNBC at about 9:20 tonight to talk about the likely impeachment trial in the Senate and that...interesting letter from President Trump yesterday. Tune in!,2019-12-19 01:09:34,Twitter for iPhone,7,33
House Democrats today are upholding their constitutional responsibility to hold the President accountable.   And those “do-nothing” Democrats have also passed legislation on gun violence climate change prescription drugs &amp; much more that you and Mitch McConnell are blocking. https://t.co/I4KyxWM95l,2019-12-18 19:59:04,Twitter for iPhone,8,16
Every person must be accurately counted by the Census. Our Constitution demands it and our democracy requires it. We can’t let this administration get away with weaponizing the 2020 Census for political gain. #WeCount  https://t.co/uTgofsfSFq,2019-12-18 14:00:44,Gain Platform,8,18
Thrilled to have the next President of the United States @JoeBiden home in Delaware tonight! https://t.co/5St3cIzZ5q,2019-12-18 01:22:52,Twitter for iPhone,40,282
After a two-year investigation the DOJ’s IG report confirmed what we knew all along: this was a legitimate warranted investigation into serious wrongdoing. This was a far cry from the ‘hoax’ or ‘witch hunt’ that President Trump would have us believe. https://t.co/rDkxAD87AZ,2019-12-17 22:00:33,Gain Platform,6,18
JUST IN: The ACA open enrollment deadline has been extended to Wednesday Dec. 18 at 3 a.m. ET. This is the deadline to make sure you and the people you love have health insurance in 2020.  Head over to https://t.co/ODnYdzxHj5 to #GetCovered.,2019-12-17 20:30:27,Gain Platform,3,4
#StephenMiller is responsible for some of President Trump’s most cruel policies. Miller’s bigoted views have no place in our public discourse let alone the White House. He is a cancer at the very heart of this presidency and he must be fired immediately. https://t.co/ExoOADerUX,2019-12-17 00:30:43,Gain Platform,18,25
If you’re angered by this disgusted by this and sick of this I’ve got news for you.  We’ve got just about 11 months to work as hard as we can to defeat this president take back the Senate and restore dignity to our government and our politics.  There’s no time to waste. https://t.co/QDyF9kFG8a,2019-12-16 03:38:39,Twitter for iPhone,27,96
Just a reminder that right now tonight Republicans are supporting a lawsuit that would take away protections for millions of Americans with pre-existing conditions and gut the Affordable Care Act.,2019-12-16 00:28:16,Twitter for iPhone,49,97
We used to expect the President to set the norm for civility. Now it’s up to all of us to respond to divisiveness with decency and to anger with hope. It’s not always easy but the people who love this country also have the power to change it. https://t.co/wDyw6sUXQP,2019-12-14 18:30:34,Gain Platform,7,20
The absolute least the Senate can and must do is set up a fair legitimate process if an impeachment trial begins. https://t.co/HmN45ViROw,2019-12-13 22:13:18,Twitter for iPhone,233,896
This is shameful on so many levels https://t.co/k4KbWNFchQ,2019-12-12 15:46:09,Twitter for iPhone,11,31
Since 1965 the #VotingRightsAct has always been until now a bipartisan bill. The bill now heads to the Senate and I urge my colleagues to demonstrate that we are making this democracy work for all Americans. https://t.co/prm8hBm1Bm,2019-12-12 14:00:45,Gain Platform,7,15
As communities across the country reel from the consequences of climate change they’re sending an urgent cry for action. This is a reality we take very seriously in DE as America’s lowest-lying state. https://t.co/Q5HiZ0HoTs,2019-12-12 01:15:04,Gain Platform,3,19
