"I solemnly swear that in all things appertaining to the trial of the impeachment of Donald John Trump President of the United States now pending I will do impartial justice according to the Constitution and laws: so help me God." https://t.co/N2rTqGUKOh,2020-01-16 20:03:17,TweetDeck,14,79
Senators swore an oath to support &amp; defend the Constitution. That includes protecting the First Amendment.   We must reverse these unreasonable new restrictions &amp; give reporters the access they need to keep the American people informed.   https://t.co/il8AzQnh7X,2020-01-16 17:58:07,TweetDeck,9,34
From Honolulu to Helsinki to Hanoi millions around the world will mobilize for a better planet on #EarthDay2020.  Join the @EarthDayNetwork movement &amp; demand climate action now. https://t.co/PnwaTqCjWY,2020-01-13 22:25:55,TweetDeck,9,24
We secured $1.1M for a new Navy ROTC program at UH.  This new program will give more Hawaii students a chance at earning scholarships while helping strengthen diversity in the Navy. https://t.co/yDUbg38apO,2020-01-02 22:35:02,TweetDeck,0,16
Last week the FDA officially raised the minimum age to buy tobacco to 21 after our bill was signed into law.  This is a big win for public health &amp; will save more than 220000 lives every year. https://t.co/YrzvcyIwxc,2020-01-02 21:45:12,TweetDeck,5,21
These veterans got hurt serving our country. We owe it to them to give them &amp; their caregivers these benefits  More details about this new program &amp; answers to frequently asked questions are available here: https://t.co/nZQnkAssFt,2020-01-01 21:58:52,Twitter Web App,0,5
Veterans who qualify for these new benefits can shop online or use commissaries exchanges &amp; recreation facilities anywhere in Hawai‘i.  Find a commissary or exchange near you:   https://t.co/RFyYOoWNeE  https://t.co/Ewoxke4OZL,2020-01-01 21:58:52,Twitter Web App,0,4
Our new law provides these expanded benefits to:  ☑️ Purple Heart recipients ☑️ Veterans with service-related disabilities ☑️ Former prisoners of war ☑️ Qualified caregivers (approved by the VA),2020-01-01 21:58:51,Twitter Web App,0,3
STARTING TODAY: 27000+ more veterans &amp; caregivers in Hawai‘i will gain access to military commissaries exchanges &amp; recreation facilities across the state. https://t.co/sPt3RcQUBl,2020-01-01 21:58:51,Twitter Web App,2,15
These veterans got hurt serving our country. We owe it to them to give them &amp; their caregivers these benefits  More details about this new program &amp; answers to frequently asked questions are available at https://t.co/nZQnkAssFt https://t.co/qKIe5iL7M6 https://t.co/WvMkEmOLIE,2019-12-31 16:25:36,Twitter Web App,2,4
Veterans who qualify for these new benefits can shop online or use commissaries exchanges &amp; recreation facilities anywhere in Hawai‘i.  Find a commissary or exchange near you:   https://t.co/RFyYOoWNeE  https://t.co/Ewoxke4OZL,2019-12-31 16:22:12,TweetDeck,1,4
Our new law provides these expanded benefits to:  ☑️ Purple Heart recipients ☑️ Veterans with service-related disabilities ☑️ Former prisoners of war ☑️ Qualified caregivers (approved by the VA),2019-12-31 16:21:51,TweetDeck,2,8
STARTING TOMORROW: 27000+ more veterans &amp; caregivers in Hawai‘i will gain access to military commissaries exchanges &amp; recreation facilities across the state.,2019-12-31 16:21:37,TweetDeck,1,22
These veterans got hurt serving our country. We owe it to them to give them &amp; their caregivers these benefits  More details about this new program &amp; answers to frequently asked questions are available here ⬇️  https://t.co/LYkSWxM612,2019-12-30 16:33:00,TweetDeck,0,5
Veterans who qualify for these new benefits can shop online or use commissaries exchanges &amp; recreation facilities anywhere in Hawai‘i.  Find a commissary or exchange near you:   https://t.co/RFyYOoWNeE  https://t.co/Ewoxke4OZL,2019-12-30 16:30:10,TweetDeck,1,5
Our new law provides these expanded benefits to:  ☑️ Purple Heart recipients ☑️ Veterans with service-related disabilities ☑️ Former prisoners of war ☑️ Qualified caregivers (approved by the VA),2019-12-30 16:29:41,TweetDeck,1,9
