What a great week for Iowa! https://t.co/L9F2EgjJ27,2020-01-17 23:18:23,TweetDeck,17,73
This week we’re seeing the impact of @realDonaldTrump  and our conservative Senate majority.   The phase 1 deal with China is signed. #USMCA is heading to the President’s desk. Our economy is booming.   I’m excited for 2020! https://t.co/EZvThdYVhK,2020-01-16 23:28:54,Twitter Web App,38,129
It’s taken far too long thanks to obstruction from the Democrats but we’ve finally gotten #USMCA to @realDonaldTrump’s desk.   I’ve been hearing from folks across Iowa that we needed to get this done and I’m proud to deliver this win for Iowa.,2020-01-16 17:40:13,TweetDeck,25,160
Sexual assault cannot be tolerated in our military. Period.   We made great progress protecting survivors of abuse and assault in the military last year but there is still much more to be done.    https://t.co/IZLPr9rsso,2020-01-15 23:30:58,TweetDeck,10,35
As a veteran who served in Iraq I’m glad Soleimani is dead. It should have happened years ago before he had the opportunity to kill and maim so many of our troops. It’s a shame the candidates at the #DemDebate last night don’t agree. https://t.co/tjH97vMLD7,2020-01-15 21:27:16,TweetDeck,186,470
I joined @foxandfriends this morning to talk about last night’s #DemDebate.    If you managed to stay awake through it all you saw just how out of touch the modern Democratic party is from Iowa. https://t.co/1zUn5lMWuX,2020-01-15 20:17:23,TweetDeck,18,98
We're in a great place heading into 2020!  Let's keep pushing back on the coastal liberal insanity and #MakeEmSqueal in Washington. #iasen #iapolitics,2020-01-15 19:08:50,Twitter Web App,8,27
Thanks to all our grassroots supporters our campaign had a strong Q4!   Here are some highlights:   Nearly $1.7 million raised  Nearly $4.9 million cash on hand 85% of donations from first time donors 97% of donations were $100 or less Over 4000 Iowa donations from 99 counties,2020-01-15 19:08:50,Twitter Web App,25,84
The Iowa #DemDebate starts in just an hour. Remember no matter how hard they pander for Iowa’s votes their policies would be devastating for our state. https://t.co/7d6Nvs0eH5,2020-01-15 01:02:39,TweetDeck,28,94
While they pander for Iowa votes at the #DemDebate tonight remember all the candidates on stage who support eliminating the Electoral College which would silence Iowa voices and shift power to coastal states like New York and California.,2020-01-14 21:21:37,TweetDeck,72,218
