We need answers about how sexual assault claims are being handled by the Illinois Army Reserve. Survivors of sexual assault should be supported not ignored or retaliated against. https://t.co/kJa5PxnkWi,2020-01-19 17:53:01,Sprout Social,15,54
Great to see the House vote to overturn Secretary DeVos’ harmful “borrower defense” rule. It’s time for the Senate to do the same and stand with students not predatory for-profit schools. https://t.co/WwK34MTU6U,2020-01-18 22:17:12,Sprout Social,7,34
I hope that all Senators on both sides of the aisle will put aside partisanship and uphold our constitutional duty to pursue truth and impartial justice during this impeachment trial. https://t.co/H0mUasuZRQ,2020-01-18 00:47:01,Sprout Social,29,153
We are calling on Secretary DeVos to end these cruel seclusion practices in our public schools. https://t.co/eOeAK0fYKc,2020-01-17 20:22:01,Sprout Social,4,24
The Senate came together across party lines to stand with farmers workers and business and pass the USMCA. This is an important agreement for Illinois’ economic future. https://t.co/1jlLsvicUd,2020-01-17 17:11:49,Sprout Social,1,4
I am taking action to combat the disturbing rise of domestic terrorism and white supremacy. https://t.co/ObEAYZwrcH,2020-01-17 02:20:01,Sprout Social,7,39
This is an opportunity for every member of Congress to go on the record and make it clear whether they are standing with students or predatory for-profit colleges. https://t.co/RBIqjodjIC,2020-01-17 00:34:00,Sprout Social,16,35
The American people deserve a full and fair impeachment trial with witnesses and documents — not a cover-up. https://t.co/S6r1EyodwP,2020-01-16 22:21:46,Sprout Social,17,56
President Trump just sent thousands of troops to the Middle East and now he wants to divert even more funds from the military to pay for his border wall? This is unacceptable. https://t.co/3CAZSJy5Q7,2020-01-16 02:58:00,Sprout Social,21,50
The House should vote to stand with students and overturn Secretary DeVos’ unfair “borrower defense rule.” I have introduced a similar resolution in the Senate. Our students deserve better. https://t.co/RBIqjodjIC,2020-01-15 21:12:01,Sprout Social,10,19
These changes to the SNAP program are cruel and unnecessary. The only thing this will accomplish is to make it harder for families to put food on the table. https://t.co/ngPme4LGyD,2020-01-15 19:47:47,Sprout Social,22,34
I think that this new agreement which is not only good for labor and agriculture will be good for Illinois. I’m glad the final agreement was negotiated on a bipartisan basis. https://t.co/ZFnyLFqkqQ,2020-01-15 01:34:00,Sprout Social,0,8
If the FDA is serious about addressing the youth vaping epidemic they need to close these loopholes that leave dangerous products on the market and accessible to our kids. https://t.co/y1OGqIxjG1,2020-01-14 20:34:01,Sprout Social,0,5
President Trump’s claims to support protections for pre-existing conditions are absurd when he is shamefully working to overturn the ACA and put health care in peril for millions of Americans. https://t.co/DuDSeMZd9a,2020-01-14 17:26:50,Sprout Social,20,42
I’m fighting to hold ArcelorMittal responsible for their possible cover-up of a toxic spill in the Little Calumet River. We must protect the public health &amp; safety of everyone in the Lake Michigan area. https://t.co/8r8w93RMlx,2020-01-14 03:53:00,Sprout Social,1,9
I encourage the House to pass this important resolution to ensure Secretary DeVos can’t continue to rip off students who were defrauded by predatory for-profit schools. https://t.co/LKEiIT1hnF,2020-01-14 01:10:00,Sprout Social,7,41
Proud to join @TammyforIL to secure this important funding to help Illinois children succeed. https://t.co/AetRpWtDp8,2020-01-13 23:48:01,Sprout Social,1,9
We need to meet the recent rise of hate crimes and white supremacist violence with the type of urgent action it requires. My bill will help fight back against hate crimes and domestic terrorism. https://t.co/9lRKqQJBHr,2020-01-13 21:23:33,Sprout Social,4,16
We need urgent action to combat the rise of domestic extremism &amp; hate crimes. I’ve introduced the Domestic Terrorism Prevention Act to fight white supremacist violence and keep our communities safe. https://t.co/ljvlJQp5u7,2020-01-13 01:29:00,Sprout Social,29,68
This lawsuit is threatening to overturn the Affordable Care Act and leave millions of Americans without access to the care they need. The GOP must stop playing politics with people’s health care. https://t.co/qOp9ImQmyT,2020-01-12 17:55:00,Sprout Social,70,75
I have long advocated for Big Pharma to be forced to disclose drug prices in their TV ads. Now they’re suing to stop it from happening. With their outrageous prices is it any wonder why?,2020-01-12 01:42:00,Sprout Social,34,114
It’s time for serious action to address the youth vaping epidemic. More than 5 million kids are now hooked on dangerous e-cigarettes. That’s why I introduced the Youth Tobacco Act to crack down on Big Vape and Big Tobacco and stop them from targeting our young people.,2020-01-11 23:09:42,Sprout Social,12,41
Instead of taking urgent action on climate change the Trump Administration is once again rolling back critical environmental protections. https://t.co/mxvyWblAmW,2020-01-11 03:09:00,Sprout Social,16,39
Secretary DeVos must be held accountable for siding with predatory for-profit schools. We must ensure much-needed debt relief for defrauded students in Illinois and across the nation. https://t.co/wDCmMHvoQg,2020-01-11 01:49:00,Sprout Social,61,151
This shameful Republican lawsuit is threatening health care for millions of Americans. https://t.co/dgamY7pLGB,2020-01-10 23:37:00,Sprout Social,15,20
The House passed a War Powers Resolution yesterday and now it’s time for the Senate to do the same. The Constitution is clear: the power to declare war rests with Congress alone. https://t.co/e36SieIriD,2020-01-10 21:49:58,Sprout Social,13,35
We all stand with the people of Puerto Rico in the wake of these devastating earthquakes. https://t.co/JspIg75jIC,2020-01-10 03:11:00,Sprout Social,12,27
I’m supporting the USMCA trade agreement in the Senate because while it’s not perfect it’s a good step forward that will bolster our productive relationship with Mexico and Canada. https://t.co/El4Y2oEznk,2020-01-10 01:33:00,Sprout Social,3,19
We must hold ArcelorMittal accountable for falsifying results of toxicity tests. I’m calling on the EPA to enforce the Clean Water Act on behalf of everyone in the Lake Michigan watershed. https://t.co/jBt2giB2jL,2020-01-09 23:27:01,Sprout Social,15,28
It would be a serious mistake if we let President Trump start another endless war in the Middle East. https://t.co/U75JS5ACrL,2020-01-09 20:58:00,Sprout Social,4,18
Our HUD Secretary should be focused on ending housing discrimination and standing up for Americans’ civil rights. Secretary Carson’s decision to reverse this rule will do the opposite. https://t.co/nODaPJopjZ,2020-01-09 01:17:00,Sprout Social,43,71
I hope that the House will act next week to overrule Secretary DeVos’ borrower defense rule and protect defrauded student borrowers and taxpayers from predatory for-profit schools. https://t.co/TkJ6gfo8Ts,2020-01-08 20:24:01,Sprout Social,12,32
It is time for my colleagues in Congress to take a stand. We have a constitutional responsibility to prevent further escalations and stop another reckless endless war in the Middle East. https://t.co/RdgnRZXTcW,2020-01-08 17:56:24,Sprout Social,15,42
President Trump is recklessly dragging us closer and closer to war with Iran. But the Constitution is clear: the power to declare war rests with Congress alone. https://t.co/FtSW5o106m,2020-01-08 02:45:01,Sprout Social,30,84
These latest anti-democratic actions by Nicolás Maduro are outrageous. I am continuing to call for a real credible election in Venezuela under the leadership of interim President Juan Guaidó. https://t.co/PjKJ0Dnq3Z,2020-01-07 23:58:00,Sprout Social,4,14
The fires in Australia are absolutely devastating — and a tragic look at our future if we fail to meet the climate challenge. We need real action on climate change now. #ActOnClimate https://t.co/mex0uBwkM0,2020-01-07 20:35:01,Sprout Social,9,20
Absolutely - please chip in now to help Barbara Bollier flip Kansas' Senate seat. We can do it! https://t.co/rMfRxJAUmz https://t.co/ABmBSdCZD8,2020-01-07 17:07:24,Twitter Web App,7,11
We aren’t going to let these strong-arm tactics from President Rodrigo Duterte silence us from speaking out about human rights and supporting democracy in the Philippines. https://t.co/h5bwh8t90e,2020-01-07 01:35:00,Sprout Social,90,295
This is a positive first step but more needs to be done to address this public health crisis. https://t.co/HVjjaMAaen,2020-01-06 22:33:00,Sprout Social,2,5
I helped introduce this resolution to stop President Trump from starting a war in Iran. Only Congress can declare war. The President cannot make this decision without authorization. https://t.co/i8bp93cVd5,2020-01-06 19:18:59,Sprout Social,39,129
We must do everything we can do to curb the youth vaping epidemic and ensure that Big Vape and Big Tobacco don’t get a new generation hooked on dangerous nicotine products. https://t.co/2kMZx3MKu9,2020-01-06 02:43:00,Sprout Social,3,25
President Duterte’s troubling strong-arm tactics are undermining democracy in the Philippines. https://t.co/xn5ooSznNj,2020-01-05 22:11:00,Sprout Social,2,13
No one should live in fear of violence. It is time for Congress to support the Jewish community and take a stand against the recent rise of hateful anti-Semitic attacks. https://t.co/cls5iPxBZG,2020-01-05 18:07:00,Sprout Social,11,36
Climate change is real and we’re already feeling its devastating impacts. We can’t accept denial or delay from President Trump and the GOP. We need climate action now. https://t.co/YSvWY2eIAy,2020-01-05 03:09:00,Sprout Social,18,71
The 2020 Census is absolutely critical to determine Illinois’ representation in our government. I am encouraging Illinoisans to apply for these important jobs facilitating the Census this year. https://t.co/6CKWvW2B0n,2020-01-04 23:10:00,Sprout Social,7,12
Only Congress has the power to declare war. We must not allow President Trump to drag us into another unauthorized endless war in the Middle East. That’s why I filed a war powers resolution — to reassert our constitutional authority and prevent further escalations with Iran.,2020-01-04 20:13:06,Sprout Social,150,480
The U.S. strike that killed Iranian General Soleimani could lead to further escalation a scenario made even more frightening by President Trump’s already volatile record on the world stage. https://t.co/MEr3FnKUwl,2020-01-04 20:10:18,Sprout Social,15,24
Wishing a Happy New Year to everyone ringing in 2020 in Illinois and all across the country!,2020-01-01 15:23:00,Sprout Social,10,82
