To prevent future incidents I will be requesting that @Amtrak CEO Richard Anderson meet with me to discuss eliminating Amtrak’s nationwide policy of refusing to absorb any costs associated with reconfiguring a railcar to accommodate a group of wheelchair users. (4/4),2020-01-19 21:05:17,Twitter Web App,117,605
As Ranking Member of the @commercedems Subcommittee on Transportation I believe Amtrak must do better moving forward. (3/4),2020-01-19 21:05:16,Twitter Web App,67,381
The Americans with Disabilities Act has been the law of the land for 30 years. Yet in 2020 @Amtrak believes it would be an unreasonable burden to remove architectural barriers that would enable a group with five wheelchair users to travel together. (2/4),2020-01-19 21:05:15,Twitter Web App,86,331
It is outrageous that @Amtrak asked a group of passengers from @AccessLiving to pay $25000 to ride from Chicago to Bloomington IL. It is also disappointing that @Amtrak leadership appears to have failed to offer a public apology for its initial mistake. (1/4) https://t.co/5xbgulB8YE,2020-01-19 21:05:15,Twitter Web App,387,935
Chicago's Willis Tower is a pretty cool spot already but this achievement makes it that much better! Energy efficiency and sustainability makes our city economy environment and community stronger and healthier. https://t.co/FpQjnciTd3,2020-01-17 22:19:34,Twitter Web App,32,260
I don’t understand why some of my colleagues on the other side of the aisle are so scared of being asked questions by reporters. If only someone could ask them. #FirstAmendment #FreePress https://t.co/zmERr558dS,2020-01-16 18:51:09,Twitter for iPad,659,2554
I'll be pushing hard for witnesses &amp; documents so that I—&amp; all Americans—can carefully review the underlying evidence for each article.  Throughout the process I will be an impartial juror as I carry out the weighty responsibility that now rests on my shoulders as a US Senator.,2020-01-16 18:07:52,Twitter Web App,54,379
I will be an impartial juror. To do that it’s critical that we have witnesses and documents so we can review all the evidence of the case. Then and only then can we deliberate.   Because: *trials have witnesses and cover-ups do not*,2020-01-16 18:07:52,Twitter Web App,94,481
Today as the impeachment trial begins in the Senate I will raise my right hand and once again to swear an oath to this nation. This time I swear to do impartial justice according to the Constitution and laws. https://t.co/m1vW1CKPNX,2020-01-16 18:07:52,Twitter Web App,108,697
Transparency is critical to any functioning democracy and we should do everything in our power to increase not decrease it. These restrictions on the free press are un-American. https://t.co/JkpxV6WGzt,2020-01-16 16:52:25,Twitter for iPhone,273,701
