I’m concerned by how many former @ICEgov &amp; BOP officials now work for private prison &amp; detention companies. @SenKamalaHarris @RepJayapal @RepPressley &amp; I want to know what these agencies are doing to stop conflicts of interests &amp; corruption. https://t.co/JHlPTLBMjG,2020-01-19 15:37:05,Twitter for iPhone,837,2863
Congratulations to Darlene Lombos for making history at the Greater Boston Labor Council! I’m glad to be in this fight with you to level the playing field for MA workers. https://t.co/4IetdLO6gs,2020-01-18 19:08:46,Twitter for iPhone,159,1066
Student loan borrowers cheated by predatory for-profit colleges shouldn’t have to pay taxes on their cancelled loans. I successfully fought for Corinthian students’ tax exemption in 2015. I’m glad @USTreasury &amp; @IRSnews will expand relief to more students. https://t.co/Elf9jpvBDD,2020-01-18 00:41:39,Twitter for iPhone,319,1460
The Trump administration is quietly working on a new rule to kick people off of their Social Security Disability Insurance. We won’t let them dismantle Social Security inch by inch. https://t.co/FY8xbaHWhe,2020-01-17 18:34:47,Twitter Media Studio,1929,6580
United States senators were sworn in today for the impeachment trial of President Trump. I took an oath to support and defend the Constitution and that's what I'll do. https://t.co/LZuwggWhj6,2020-01-16 22:52:55,Twitter Media Studio,1166,10996
@EsperDoD @Raytheon @DeptofDefense The defense industry can have a seat at the table – but they shouldn’t own the table. We need to slam shut the revolving door between the Pentagon &amp; big defense contractors like @Raytheon – @EsperDOD’s former employer. I have a bill for that. https://t.co/RgHfyGvTln,2020-01-16 02:46:24,Twitter Web App,154,635
When I asked Secretary @EsperDOD – a former top lobbyist for @Raytheon – to extend his recusal from his former employer through the duration of his tenure at the @DeptofDefense he refused. That’s corruption plain and simple. https://t.co/YEHmfF1njo,2020-01-16 02:45:59,Twitter Media Studio,535,2618
My heart goes out to the @HCrossWRowing team Ms. Rett’s family &amp; friends &amp; the entire @holy_cross community. This is a tragedy. https://t.co/c74Td3WgJw,2020-01-15 22:31:00,Twitter Web App,174,1167
@BetsyDeVosED I’m standing with students scammed by for-profit colleges by cosponsoring @SenatorDurbin &amp; @RepSusieLee’s resolution to overturn @BetsyDeVosED’s rule &amp; fighting alongside @MassAGO Healey to make sure every defrauded MA student gets the relief they deserve. https://t.co/tn5q1xBH9E,2020-01-14 21:50:20,Twitter Web App,193,801
At her confirmation hearing 3 years ago this week I asked @BetsyDeVosED if she’d be a cop on the beat when greedy for-profit colleges break the law. She hemmed &amp; hawed &amp; it’s now clear why: her Borrower Defense rule would slam the door on loan cancellation for cheated students. https://t.co/RNcDXhSfMX,2020-01-14 21:49:47,Twitter Media Studio,768,2907
Between January 2nd &amp; 3rd stock prices for @NorthropGrumman @LockheedMartin &amp; @Raytheon  – @EsperDoD’s former employer – all soared as did the price of crude oil. The SEC &amp; CFTC must investigate whether Mar-a-Lago guests engaged in profiteering.,2020-01-14 20:37:15,Twitter Web App,375,1613
If Mar-a-Lago guests had advance knowledge of potential military action it raises national security concerns about President Trump’s handling of classified &amp; sensitive information. But I'm also concerned that guests may have profited from confidential market-moving information.,2020-01-14 20:37:14,Twitter Web App,384,1957
Days before launching the strike that killed Iranian Major General Qasem Soleimani President Trump reportedly dropped hints to Mar-a-Lago guests that something big was coming. I’ve asked the SEC &amp; CFTC to investigate any possible insider trading. https://t.co/LmsRsw9CFJ,2020-01-14 20:37:14,Twitter Web App,1185,4966
The federal govt cannot fail the people of Puerto Rico once again. @NydiaVelazquez @BennieGThompson &amp; I told President Trump to fully fund PR's emergency response &amp; waive cost-sharing so the island gets the help it needs to recover from recent earthquakes. https://t.co/PnaXTN4Qzs,2020-01-14 19:38:59,Twitter Web App,298,1110
Ten years after an earthquake devastated Haiti the country has faced one setback after another in its recovery. I’m glad @DHSgov extended TPS for Haitian refugees &amp; I’ll keeping fighting to protect Haitian families in MA &amp; across the country. https://t.co/gTJmvNUchI,2020-01-13 14:58:31,Twitter Web App,165,616
This National Blood Donor Month I’m still fighting to end the @US_FDA’s outdated &amp; discriminatory blood donation ban for gay &amp; bisexual men. Blood donor restrictions should be based on science &amp; risk not sexual orientation. https://t.co/vZg7zDMwal,2020-01-11 16:52:42,Twitter for iPhone,523,2571
My housing bill will invest in 3M new housing units bring down rents by 10% &amp; start to close the Black-white wealth gap caused by decades of housing discrimination. I’m grateful that @Marty_Walsh @Mayor_Spicer &amp; mayors across MA support this bill. https://t.co/KVISBNsOeg,2020-01-09 14:58:42,Twitter Web App,85,375
I’m very glad to see Mayor @Marty_Walsh announce bold action to tackle the housing crisis in Boston head-on. The federal govt needs to be a strong partner to cities like Boston that are fighting for more affordable housing for all of our families. https://t.co/7Fs3bB6KpR,2020-01-09 14:58:41,Twitter Web App,95,522
It’s shameful that when housing discrimination is still rampant @realDonaldTrump &amp; @SecretaryCarson want to gut civil rights laws like the Fair Housing Act. It’s time to confront the legacy of govt-backed housing discrimination &amp; fight to reverse it. https://t.co/xy3PvJXtTz,2020-01-09 00:08:52,Twitter Web App,435,1543
Access to safe drinking water is a basic human right but millions of Americans – especially communities of color – have tap water that violates federal standards. I’m fighting for much-needed investments in our country’s drinking water infrastructure &amp; so should the President.,2020-01-08 21:27:39,Twitter Web App,178,1136
Dangerous PFAS chemicals in our drinking water threaten the health of families in MA &amp; across the country. It’s disgusting that the President would even consider vetoing @RepDebDingell &amp; @SenatorCarper’s bipartisan bill to clean up PFAS-contaminated sites. https://t.co/8ZAJvhxbo4,2020-01-08 21:27:39,Twitter Web App,545,1715
I'm concerned by reports that Iranian Americans &amp; others of Iranian heritage were detained at the border or denied entry into the US. I've got questions for @CBP. https://t.co/gG6bROcdgI,2020-01-08 18:37:13,Twitter Web App,442,2482
Puerto Rico was struggling long before last night’s earthquake &amp; long before hurricanes devastated the island. Congress must pass my bill with @NydiaVelazquez to provide Puerto Rico a path to comprehensive debt relief so they can get back on their feet. https://t.co/14D4A5eVDG,2020-01-07 19:55:52,Twitter Web App,183,782
My thoughts are with the people of Puerto Rico as they recover from a series of terrible earthquakes. We will fight to hold the Trump administration accountable so the island’s residents receive the support &amp; respect they need to recover. https://t.co/k3NF6qjA8X,2020-01-07 19:55:52,Twitter Web App,472,2323
The rise in anti-Semitism &amp; horrific attacks like those in Monsey NY have no place in our country. On #JewishandProud Day we reaffirm our solidarity with Jewish communities in MA &amp; beyond &amp; stand together against all forms of bigotry &amp; hate.,2020-01-07 01:22:24,Twitter for iPhone,362,2428
The IRS has no more excuses to create its own Free File program. My bill with @BradSherman would let millions of Americans simply sign &amp; return a pre-filled tax form &amp; finally require the IRS to create a free online tax prep &amp; filing service. https://t.co/GTCm49wi7N,2020-01-06 22:17:20,Twitter Web App,221,1073
I’m glad that the IRS is reforming the Free File program to ban tax prep companies' worst tricks &amp; allow the IRS compete with them. But the IRS should’ve gone further to ensure that the millions of eligible taxpayers are truly able to file their taxes free of charge.,2020-01-06 22:17:20,Twitter Web App,92,748
For more than 5 years I’ve pushed to replace the broken IRS Free File program that has let giant companies trick taxpayers into paying for services that should be free. Persistence works. https://t.co/56WV2ruKLl,2020-01-06 22:17:19,Twitter Web App,401,1673
Since 2015 I’ve said the #IranDeal was the best option to peacefully prevent a nuclear-armed Iran &amp; prevent another war. But the President’s reckless actions have led Iran to totally scrap the deal &amp; brought us closer to a war. https://t.co/9W1txdMG7i,2020-01-06 20:13:52,Twitter Media Studio,600,2652
We should be expanding the services of the @USPS – not privatizing it. I've spent years fighting for postal banking to provide basic banking services like savings accounts for millions of underserved Americans. https://t.co/Xa2DOMwOmL,2020-01-06 18:52:58,Twitter Web App,548,2475
Washington has looked the other way while private equity firms have gutted companies hurt workers &amp; drained our economy. That’s why my bill to #StopWallStreetLooting would fundamentally change the private equity industry. https://t.co/vNhfTZbp2m,2020-01-06 16:24:59,Twitter Web App,455,1962
Wishing everyone in Massachusetts across the country &amp; around the world a safe &amp; happy New Year’s celebration! I’m deeply grateful for the opportunity to keep fighting alongside you.,2020-01-01 00:05:10,Twitter for iPhone,451,5642
Nobody fights harder in Congress than our hero @repjohnlewis &amp; our hearts will be with him &amp; his family every step of the way in this next fight. https://t.co/lLqbQT2njG,2019-12-30 01:32:04,Twitter for iPhone,540,4979
I’m glad to be a cosponsor of @SenatorBaldwin’s bill to rein in stock buybacks that help wealthy CEOs get richer while workers get left behind. I’m in this fight to level the playing field all the way. https://t.co/vgXsLV2h4q,2019-12-28 00:07:35,Twitter for iPhone,455,2308
Lack of competition in the generic drug market means giant drug companies are doing great while families are getting crushed. @JanSchakowsky &amp; I are reintroducing our bill to fix the generic drug market by letting @HHSGov manufacture generic drugs. https://t.co/qX2czEEzxQ,2019-12-20 22:01:38,Twitter Web App,449,1994
China's govt is subjecting over 1 million Muslims in Xinjiang to mass internment forced labor &amp; other human rights abuses. The #XinjiangPapers confirm this is state-sponsored cruelty. I joined @RepMcGovern’s bipartisan letter urging the Trump admin to hold China accountable. https://t.co/nN6k0AltTv,2019-12-20 21:29:09,Twitter Web App,1991,3506
Veterans have sacrificed so much for us. But our outdated federal marijuana laws prevent vets who work in their state’s legal cannabis industry from getting a VA-backed home loan to realize the dream of homeownership. I have a bipartisan bill for that. https://t.co/2NJt0PIMvS,2019-12-19 19:21:01,Twitter Web App,342,1638
It’s nonsense that Americans should have to ration their life-saving prescriptions because a handful of giant drug companies have rigged the market to jack up prices &amp; line their pockets. Drug manufacturers are charging sky-high prices – and Congress must act to stop them.,2019-12-19 16:41:36,Twitter Web App,219,1095
In 1996 Eli Lilly’s insulin cost $21/vial. Today it’s about $300/vial in the United States. The millions of Americans living with diabetes don’t need insults from Lilly’s highly paid CEO – they need the drug that they can’t live without.,2019-12-19 16:41:36,Twitter Web App,272,1163
Eli Lilly broke its promise to provide cheaper generic insulin to the American people. Most pharmacies we surveyed don’t have it &amp; can’t order it. That may be “nonsense” to you Mr. Ricks – but it’s not nonsense to people who can’t afford insulin. https://t.co/XelV3VRlHy,2019-12-19 16:41:35,Twitter Web App,761,2606
I'm proud of the entire Massachusetts delegation for fulfilling their oath to defend the United States Constitution today. Thank you @RepRichardNeal @RepMcGovern @RepLoriTrahan @RepJoeKennedy @RepKClark @TeamMoulton @RepPressley @RepStephenLynch &amp; @USRepKeating.,2019-12-19 02:00:30,Twitter for iPhone,855,8301
