Three years ago. Another reminder why Betsy DeVos should never have been confirmed to be Secretary of Education. https://t.co/Krv5IH7R02,2020-01-19 23:20:59,Twitter Web App,21,45
In Michigan and across the country folks are concerned about how they can afford the health care their families need.  No one in America should have to choose between life-saving prescription drugs or paying rent. https://t.co/4ccdjlnitK,2020-01-19 16:28:44,Twitter Web App,17,49
Michigan women are a powerful force and incredible leaders. #WomensMarch https://t.co/UBRftQFnce,2020-01-18 20:55:47,Twitter Web App,29,84
Through my dad a middle school teacher I saw firsthand the impact education can have.  It shouldn’t matter if you want to go to a four-year university or a trade school and it shouldn’t matter where you live -- a quality affordable education should be accessible for everyone. https://t.co/03JB0OS7kY,2020-01-17 17:23:49,Twitter Web App,50,180
Pets are part of the family. For many domestic abuse survivors the difficult choice to leave becomes that much harder if pets can’t come with you.  That’s why I championed the PAWS Act to expand pet-friendly shelters and stand up for survivors. https://t.co/tfVdbmovtz,2020-01-16 15:56:31,Twitter Web App,59,115
This is outrageous.  Michigan cherry growers are some of the hardest workers in the country and they deserve an equal playing field against cheating foreign actors. https://t.co/kmRrLF8E5e,2020-01-16 01:58:26,Twitter Web App,20,33
I'm fighting to lower the cost of prescription drugs because no one should have to choose between paying for medicine and putting food on the table.https://t.co/hxwaWubQVs,2020-01-15 21:24:24,Twitter Web App,9,16
Tonight's #DemDebate reminds me that as important as the presidency is we also have to flip the Senate.  That can’t happen without protecting my seat in Michigan. Donate now: https://t.co/B8tx4eJoVC,2020-01-15 02:51:44,Twitter Web App,36,76
Extreme weather can have devastating consequences for Michigan businesses and our economy.  That's why we literally cannot afford inaction on climate change. https://t.co/2ZMwM1XCv6,2020-01-15 00:21:43,Twitter Web App,8,19
Students and families are worse off because of Betsy DeVos. https://t.co/6gzqEoIzCJ,2020-01-14 21:37:11,Twitter Web App,17,35
Only in Michigan. https://t.co/dR6qtixk0o,2020-01-14 02:35:55,Twitter Web App,3,19
I've teamed up with community leaders and residents to take on polluters who make our state less healthy.  I'm committed to continuing this work because your zip code shouldn't determine your life expectancy. https://t.co/yjxET6KdgA,2020-01-13 23:26:44,Twitter Web App,7,17
The voices that are often left out of the conversation when it comes to pollution are many times the people who experience it directly.  Environmental justice needs to be part of our fight against climate change. https://t.co/7rNyHAXeuK,2020-01-13 23:25:38,Twitter Web App,18,53
Whether standing up for our Great Lakes or expanding skills training I'll always put Michigan first. https://t.co/bMqjzU90jy,2020-01-13 00:24:03,Twitter Web App,14,45
The Great Lakes are the central part of our economy and way of life and we have to act now to protect them and the communities that rely on them. https://t.co/s1y0poDnW1,2020-01-12 19:55:22,Twitter Web App,60,78
Thankful for brave Michiganders like Brian who answered the call to help battle the #AustralianWildfires. Stay safe -- and thank you for your service. https://t.co/Oj6QaPdkEA,2020-01-12 00:50:31,Twitter for iPhone,19,77
The consequences of climate change will hit Michigan and the Great Lakes hard. We can't afford to ignore this crisis. https://t.co/Dq5yIEyeZo,2020-01-11 17:06:14,Twitter Web App,316,448
Colleen and I are sad to hear of the passing of Jack Faxon. He was a model public servant whose dedication to his constituents won’t be forgotten. https://t.co/FT5S55PRnk,2020-01-10 23:02:59,Twitter Web App,3,10
I went to junior high with @Madonna. https://t.co/ePvPFaBqtV,2020-01-10 15:03:07,Twitter Web App,102,1004
Couldn’t agree more. Nothing beats Michigan. https://t.co/ioZSogxG9W,2020-01-09 23:29:37,Twitter Web App,8,41
This is huge -- these equipment upgrades and improvements will support Michigan's economy.  Proud to have supported Port of Monroe in their grant application. https://t.co/f3v9H2Gbt9,2020-01-09 18:57:48,Twitter Web App,15,17
Standing up for Michigan means standing up for the Great Lakes and the communities around them. https://t.co/70gfj8Q8Nt,2020-01-08 21:07:40,Twitter Web App,41,57
Excited to announce that we had our best fundraising quarter ever! Thank you to everyone who pitched in and supported our campaign to keep delivering results for Michigan. It’s folks like you who will make sure we’re successful in November! https://t.co/JacLcpGykh,2020-01-07 15:37:47,Twitter Web App,42,228
I’m also proud to say we collected signatures from all 83 counties in Michigan. I’ve always been focused on delivering for the people of this state no matter where they live. This outpouring of support from all parts of Michigan is both humbling and inspiring. Thank you!,2020-01-03 18:20:22,Twitter Web App,13,64
Today I officially filed to be on the #MISen ballot! We couldn't have done this without the hundreds of volunteers who gave their time and effort to collect signatures and canvass across the state. Together I know we’re going to be successful this November!,2020-01-03 18:20:22,Twitter Web App,60,431
The recent anti-Semitic attacks and attacks on places of worship are horrifying. Whether at home church synagogue or mosque everyone should be able to worship safely and free of fear. https://t.co/2ub4YGItVo,2019-12-30 23:36:14,Twitter Web App,12,33
Very sorry to hear about the passing of Allee Willis. A Detroit native she was a gifted songwriter with an incredibly kind spirit. She will be dearly missed but I know her music will continue to bring joy to so many for years to come. https://t.co/AwafSiAnrU,2019-12-27 01:59:08,Twitter Web App,6,44
Merry Christmas from my family to yours! Wishing you and your loved ones a day filled with happiness and good cheer. 🎄 https://t.co/4sFmKBIyfa,2019-12-25 12:54:29,Twitter Web App,10,103
Wishing a very happy #Hanukkah to everyone celebrating tonight! May this Festival of Lights bring blessings of health and happiness to you and your loved ones.,2019-12-22 21:40:56,Twitter Web App,8,36
John Dingell was a mentor and Debbie Dingell is my friend. To disrespect them is to disrespect the state of Michigan.   https://t.co/NGgsvO5TJy,2019-12-19 04:38:37,Twitter Web App,220,695
I'm all for getting more students interested in careers in the skilled trades. They're solid jobs and the backbone of Michigan's economy. https://t.co/jzGY5NaAPX,2019-12-06 21:11:53,Twitter Web App,4,27
This is all you need to know to figure out who really benefited from the #GOPTaxScam https://t.co/ZPi2rW6I7L,2019-12-05 22:00:47,Twitter Web App,46,50
It is unconscionable that after all these years of attacking health coverage for millions of Americans the Trump administration is STILL in court trying to gut protections for pre-existing conditions and rip coverage away. https://t.co/I4gCJLEM4o,2019-12-04 18:22:18,Twitter Web App,34,75
All eyes are going to be on us in 2020. If we want any chance to take back the Senate we've got to make sure we win here in Michigan. https://t.co/yvUCo7XiA0,2019-12-03 19:46:56,Twitter Web App,74,149
Who is ready for some college basketball tonight? Good luck to @umichbball and @MSU_Basketball on their games in the #B1GACC Challenge!,2019-12-03 18:22:48,Twitter Web App,2,12
