Certainty in our agricultural markets is everything. After years of market volatility the passage of USMCA will help MT producers regain that certainty. We'll continue the fight to expand market access so our producers can show off their world-class products and turn a profit.,2020-01-16 19:40:34,Twitter Web App,4,36
Look nobody does it better than @PearlJam. To my friend—and fellow Big Sandy native—Jeff Ament and the rest of the crew congrats on the new album &amp; tour! https://t.co/2mo5OFTOxq,2020-01-14 18:50:07,Twitter Web App,20,197
I look forward to continuing to serve our nation's veterans alongside Chairman @JerryMoran on the Senate Veterans' Affairs Committee. I am confident in Senator Moran's commitment to serving our men and women in uniform who fought bravely to protect our freedom. https://t.co/vUYUHz9CmA,2020-01-13 22:40:38,Twitter Web App,3,35
“Woke up and it was 8-below this morning. Have a great stew simmering to warm us up.” – Sharla https://t.co/2mYTtVhzu9,2020-01-10 21:02:37,Twitter Web App,8,208
When it comes to screening for breast cancer our servicemembers and their families deserve first-rate care. I'm proud to back the #BRSTAct giving folks more access to life-saving technology. https://t.co/a6rqnD82Ka,2020-01-09 22:00:47,Twitter Web App,6,41
In this year's 52 places to travel guide the @nytimes saved the best for last—and in this case that's the Last Best Place. https://t.co/wjmvFcbHYG,2020-01-09 17:50:10,Twitter Web App,11,47
There’s no doubt—Montana has some of the best landscapes around when it comes to enjoying the great outdoors in winter. Whether you’re hiking skiing or snowmobiling take a moment to review these important safety tips before heading out to play. https://t.co/rwFqO432ci,2020-01-07 23:45:35,Twitter for iPhone,7,76
The American people deserve a transparent debate and vote by their representatives before entering into another war in the Middle East. I’m joining my colleagues in backing a resolution that prevents a war with Iran without explicit approval from Congress. My full statement here: https://t.co/GzeUrrxLxk,2020-01-07 22:42:32,Twitter for iPhone,56,296
Montana's fire crews are never afraid to jump in the fray when the going gets tough. I'm grateful to the brave firefighters that have deployed to help fight the brushfires in Australia for their courage and service. https://t.co/qfxenu7coQ,2020-01-07 16:06:55,Twitter Web App,28,198
Hoping everyone has a happy and prosperous New Year! I’m honored every day to serve Montana in the Senate and will continue fighting for our great state as we ring in a new decade. New year still the Last Best Place. https://t.co/pjHVRY6scN,2020-01-01 16:42:32,Twitter for iPhone,14,250
Whether you’re indoors with loved ones or outdoors doing some ice-fishing I hope everyone in Montana has a very Merry Christmas today. 🎄🐟 https://t.co/iiQtjykeaF,2019-12-25 16:24:43,Twitter for iPhone,17,259
As the first night of Hanukkah kicks off I’m sending my best to you and your family. Hoping everyone has a wonderful holiday. https://t.co/XLFtIP0WtJ,2019-12-22 20:43:53,Twitter for iPhone,11,143
Tireless advocacy by generations of Tribal members has led to this moment—the President signed the bill recognizing the Little Shell Tribe’s sovereignty into law. I’ve been honored to work with the Tribe toward this achievement since I came to the Senate. This is a big day. https://t.co/XWsGdV5ltF,2019-12-21 02:14:23,Twitter for iPhone,33,231
Honored to join @GovernorBullock and Tribal members today to fly the Little Shell flag over the Capitol building in Helena. https://t.co/W17tGTEiGu,2019-12-20 22:35:01,Twitter for iPhone,34,187
The TRACED Act is headed to the President’s desk! I’ve been wrestling with these calls for a while now so I’m glad Congress is cutting down on unwanted calls and making sure your holidays aren’t spent on the phone with annoying robocallers. https://t.co/Ow9yOiC9dm,2019-12-19 19:27:27,Twitter for iPhone,24,170
Honored to join the U.S. Capitol Police during their holiday celebration today. These brave men and women work hard to keep us safe. It was great to be with you. https://t.co/loQJSy7J5y,2019-12-18 21:10:36,Twitter for iPhone,2,66
After generations of hard work federal recognition for the Little Shell Tribe is headed to the President's desk to become law. I've been honored to fight alongside the Tribe for their sovereignty since I came to the Senate. This is a monumental day for the Tribe and for Montana. https://t.co/xzt2WQE80f,2019-12-17 21:34:03,Twitter Web App,44,279
BREAKING: The Senate just voted 86-8 to recognize the Little Shell Tribe as a sovereign nation. The Tribe has fought for more than a century to achieve sovereignty and for the last 12 years I've been honored to work alongside them. Next stop the President's desk.,2019-12-17 18:12:46,Twitter Web App,173,957
TODAY is the last day to enroll in health care coverage at https://t.co/l7WtdHXWgs. The time is now to find a plan that works for you and your family. #GetCovered,2019-12-15 17:22:01,Twitter for iPhone,12,25
Open enrollment closes TOMORROW. https://t.co/l7WtdHXWgs makes it easy to find a plan that works for you and your family. Don’t wait—#GetCovered today.,2019-12-14 16:33:09,Twitter for iPhone,16,39
The countdown is on—there are just THREE days left to #GetCovered at https://t.co/l7WtdHXWgs. Enroll today.,2019-12-13 20:11:27,Twitter for iPhone,3,10
BIG NEWS for Montana’s seven Tribal Colleges and Universities: the #FUTUREAct is heading to the President’s desk! This bill will provide permanent funding for our TCUs giving students access to more resources and helping them achieve at their best.,2019-12-13 16:57:42,Twitter for iPhone,17,129
Having someone to talk to can mean the difference between life and death for folks going through a mental health crisis. I'm directing the FCC to make the National Suicide Prevention Hotline a household number so everyone can get immediate access to life-saving resources. https://t.co/igpjSguS8P,2019-12-12 22:21:21,Twitter Web App,29,88
#TBT in honor of my friend and colleague @SenatorIsakson. Thank you Johnny for your lifetime of public service and the honor of serving with you in the Senate. https://t.co/TTCmj4oDoA,2019-12-12 20:47:24,Twitter Web App,3,45
