1969 in Bozeman learning how to ski at Bridger with Dad.  Cheers to no lines and fresh tracks. #MSUSkiDay https://t.co/AK4M6hZXrK https://t.co/ZGYuB5j8FU,2020-01-17 20:29:48,Twitter for iPhone,3,36
2019 was a monumental year for MT ranchers and 2020 is shaping up to be even better. Thank you Fred @MTStockgrowers for being such a strong voice on behalf of MT ag.   https://t.co/9VGVmfR4Ns,2020-01-17 16:14:17,Twitter Web App,16,42
#USMCA is great news for our farmers and ranchers. Look forward to @realDonaldTrump signing it into law soon. https://t.co/lt3cawDA7R,2020-01-16 21:17:36,Twitter for iPhone,100,364
BREAKING: I just voted to pass the #USMCA out of the Senate - a long overdue win for MT farmers and ranchers. I’m grateful for @realdonaldtrump’s commitment to getting this done &amp; look forward to getting it signed into law.,2020-01-16 17:09:46,Twitter Web App,704,2977
Opening up this market to Montana producers is huge. Honored to work w/ @realDonaldTrump to get this done for our farmers and ranchers.    https://t.co/DjGLQHnCCl,2020-01-16 16:48:24,Twitter Web App,31,69
President Trump is on a winning streak. Trade deals w/ Japan Mexico&amp;Canada and China.   @realDonaldTrump is obsessed w/ growing jobs and securing trade wins Dems are obsessed w/ impeachment. #MAGA https://t.co/gnnnbZB5Tr,2020-01-15 23:17:17,Twitter for iPhone,1239,4255
Joining @FoxBusiness @DavidAsmanfox in a few to talk about the historic #ChinaTradeDeal &amp; more! https://t.co/3TWl8Kx1nS,2020-01-15 22:35:26,Twitter for iPhone,6,22
Even @realDonaldTrump is a @MSUBobcats fan! #GoCats https://t.co/qI61VkXsez,2020-01-15 19:58:01,Twitter Web App,68,305
Great day for Montana ag and America! Thank you @realDonaldTrump for your leadership in getting Phase One of this critical trade deal w/ China done. 🇺🇸 https://t.co/Qz2Wq6ug7h,2020-01-15 18:36:50,Twitter for iPhone,412,1850
Go Cats! https://t.co/0cp9gflGoi,2020-01-15 18:10:05,Twitter Web App,4,47
Headed into the @WhiteHouse with Cascade County Commissioner Joe Briggs to join @realDonaldTrump for the signing of the Phase One U.S.-China Trade Agreement. Big win for MT ag 🇺🇸 https://t.co/QeDzpIX3Kb,2020-01-15 16:17:59,Twitter for iPhone,192,923
Going LIVE with @Varneyco in a few minutes. Tune in! https://t.co/DwY97guQiT,2020-01-15 14:10:06,Twitter for iPhone,3,29
Go Cats! @msubobcats https://t.co/4FUqfkOn7j,2020-01-14 19:25:29,Twitter for iPhone,4,22
As a fifth-generation Montanan and avid lover of our outdoors I’m proud to help lead the fight for full mandatory funding of #LWCF.  Don’t just take it from me!  Cc: @MontanaTU https://t.co/U69oqbYap6,2020-01-13 19:45:44,Twitter for iPhone,13,62
Washington D.C. would be a much better place if it looked a little more like Montana. https://t.co/3z6XfUBlxM,2020-01-13 15:33:26,Twitter Web App,58,468
More great news 145000 new jobs created and wages continue to rise @realDonaldTrump. 🇺🇸 #winning https://t.co/mM5qmuHxCK,2020-01-10 15:38:22,Twitter Web App,13,55
Montanans want their #2A protected - that’s exactly what I’m fighting to do. #MAGA https://t.co/hnzoq3SVdF,2020-01-09 17:39:26,Twitter for iPhone,20,97
Today and every day we thank members of law enforcement for their dedication to keeping us safe. I will always #BackTheBlue. #LawEnforcementAppreciationDay https://t.co/UJQn6tUZlJ,2020-01-09 16:25:14,Twitter for iPhone,30,165
Montanans and Americans want their 2nd Amendment rights protected. That’s what I’m fighting for. #2A 🇺🇸  https://t.co/ZfOpuBI2jx,2020-01-08 21:22:38,Twitter for iPhone,57,276
POTUS: American strength both military and economic is the best deterrent.    I couldn’t agree more. Proud of @realDonaldTrump’s leadership and thankful for our troops who keep us safe. 🇺🇸,2020-01-08 17:08:49,Twitter for iPhone,82,500
