.@UofNorthDakota was a gracious host last Friday as @SpaceForceCSO and I toured @UNDAerospace facilities and met with students &amp; staff.  Read their excellent piece on our visit: https://t.co/Z4bFVzY5N9,2020-01-17 21:55:17,TweetDeck,3,8
Congratulations to a remarkable team on their remarkable accomplishment an 8th @NCAA_FCS championship.  We are proud of @NDSUfootball and proud of all of @NDSU.  They repeatedly demonstrate that excellence can be achieved not only on the gridiron but in life. https://t.co/9jGoEAUp5l,2020-01-17 15:19:49,Twitter Media Studio,4,24
Great video by @UNDAerospace! The military and intellectual assets of North Dakota are what motivated me to see the value and potential of @SpaceForceDoD. https://t.co/MPA1roB03Q,2020-01-17 13:34:00,Twitter Media Studio,6,18
Thank you @Gfherald!  Standing up @SpaceForceDoD is important to the defense of this nation and I look forward to seeing how North Dakota can play a part. https://t.co/u6zBk7rY6S,2020-01-16 21:24:18,TweetDeck,7,19
Enjoyed a productive discussion yesterday about Army Corps oversight and standing up @SpaceForceDOD with James McPherson nominee to be Under Secretary of the @USArmy.  I was pleased to support his nomination this morning in @SASCMajority. https://t.co/EGMAlFJCYF,2020-01-16 17:34:14,TweetDeck,5,11
#USMCA is a huge win for our producers.  Its implementation will stimulate the economy create new jobs and increase exports with two of North Dakota’s top trading partners.  It’s a shame this agreement was held up for over a year but I’m thankful we got this done. https://t.co/4ZwbAIXh3L,2020-01-16 16:55:47,TweetDeck,21,41
Phase One includes China committing to purchase $200 billion of American products over two years with at least $40 billion for agricultural goods while also pledging to stop intellectual property theft and currency manipulation.,2020-01-15 18:41:59,Twitter Web App,9,25
This deal is a major victory for the United States and for North Dakota!  I thank President @realDonaldTrump for fighting tirelessly to deliver trade deals that are good for North Dakota’s producers and put American interests first. https://t.co/0CDQs5gihd,2020-01-15 18:41:59,Twitter Web App,58,279
Good to meet the new NDDOT Director Bill Panos!  I appreciate the update on North Dakota’s transportation needs including passing the Highway Bill and prioritizing investment in rural infrastructure. https://t.co/2d9v10CDjp,2020-01-15 01:30:00,TweetDeck,4,11
Whether through personal animosity toward @POTUS or a misunderstanding of the importance of deterring our enemies some in the Senate are advocating for changes to make our country less safe.  I will not support their effort and I urge the rest of my colleagues to do the same.,2020-01-14 23:55:41,Twitter Web App,5,13
Whether through an existing AUMF or the War Powers Act President @realDonaldTrump was well within the legal bounds to take action against a known terrorist sitting in Iraq plotting attacks against the United States.  It would have been culpable negligence to not act.,2020-01-14 23:55:41,Twitter Web App,3,10
@POTUS I want to emphasize an overlooked point: Soleimani was killed in Iraq not Iran.  He was with another known terrorist driving to meet militia members who fired rockets at Americans – killing an American contractor – and tried to storm our embassy which is sovereign US territory.,2020-01-14 23:55:41,Twitter Web App,4,7
Delivered remarks on the Senate floor today opposing the War Powers Act resolution being debated by Congress.  I believe such a resolution is designed to hurt @POTUS politically in the short-term while inflicting long-term damage to our national security and military readiness. https://t.co/T56Bk6PYoX,2020-01-14 23:49:53,Twitter Media Studio,12,37
Wonderful to have a front-row seat to history this morning as @SpaceForceCSO General Raymond was sworn in just days after his visit to North Dakota.  I’m looking forward to working together as we stand up @SpaceForceDoD. https://t.co/89dqXT5uN9,2020-01-14 18:26:16,Twitter for iPhone,4,11
Always nice to see my friend @NDGodfread.  We had a productive conversation about legislation involving surprise medical billing and Air Ambulance costs. https://t.co/OotFMLrWcj,2020-01-14 18:04:33,TweetDeck,4,18
I thank @senatemajldr EPW Chairman @SenJohnBarrasso and Budget Chairman @SenatorEnzi for prioritizing this trade agreement which includes vital provisions for North Dakota.  I urge my colleagues to join me in supporting it when it reaches the Senate floor.,2020-01-14 17:13:32,Twitter Web App,3,4
Helped advance #USMCA in the Senate today voting for its passage from my seats on @BudgetGOP and @EPWGOP.  After a year of unnecessary delay real progress is being made to pass USMCA. https://t.co/b8XgkAWlja,2020-01-14 17:13:32,Twitter Web App,7,16
Congratulations to President Tsai Ing-wen on her landslide re-election!  Taiwan is not only a strong democratic ally in the region but also an important trading partner for my state of North Dakota. https://t.co/l7D0Lgme1r,2020-01-14 15:34:10,TweetDeck,46,264
It was a triumphant entry for @POTUS @realDonaldTrump &amp; @FLOTUS as @CFBPlayoff fans honored them and America with appropriate cheers of USA USA USA USA.......#CFBPlayoff  #NationalChampionship https://t.co/jtqElYGoVI,2020-01-14 01:56:44,Twitter for iPhone,34,192
Hey @POTUS @realDonaldTrump. How about serving up some Big Macs &amp; Chick-fil-A for the best college football team of the century!? No Impossible Burgers for @NDSUfootball Bison! https://t.co/573OCSvQVZ,2020-01-11 20:13:17,Twitter for iPhone,44,314
Congratulations @treylance09. You epitomize @NDSUfootball excellence! https://t.co/mWaaWX7rfc,2020-01-11 18:09:47,Twitter for iPhone,7,31
Big weekend for some of ND’s finest teams! Let’s go @UNDmhockey! #UNDproud https://t.co/BBe7kRnoIc,2020-01-11 03:27:53,Twitter for iPhone,5,36
I was pleased to welcome @SpaceForceCSO back to North Dakota &amp; I am glad he used his first public visit as the leader of @SpaceForceDoD to see our space assets firsthand.  We have great potential here. I look forward to seeing what becomes of today’s excellent conversations. https://t.co/U3LDRGYGpu,2020-01-11 00:33:50,Twitter for iPhone,6,25
More than anything else the military and intellectual assets in North Dakota are what motivated me to see the value and importance of a Space Force.   Thanks to the tireless leadership and help from President @realDonaldTrump @VP &amp; our allies in Congress it became a reality. https://t.co/vSEjW00Qr9,2020-01-11 00:33:48,Twitter for iPhone,7,22
With heightened tensions across the world and an increased focus on space as the next warfighting domain installations like Cavalier are as important as ever.,2020-01-11 00:21:15,Twitter for iPhone,3,2
We participated in a ribbon cutting ceremony for Cavalier’s SCIF which allows crewmembers to access timely intelligence on missile threat systems and adversary capabilities.  Thank you to our gracious hosts and to all who serve our nation here! https://t.co/BcQEyy9U9G,2020-01-11 00:21:15,Twitter for iPhone,5,11
@SpaceForceCSO Thank you to General Raymond and our military leaders for making this possible!,2020-01-11 00:01:18,TweetDeck,2,5
News: @SpaceForceCSO announced a $700 per-month incentive pay for each person stationed in Cavalier Air Force Station effective as soon as possible.    This incentive pay will help with recruitment and improve the lives of the crewmembers serving here.,2020-01-11 00:00:58,TweetDeck,6,26
Before our student town hall @SpaceForceCSO &amp; I met with @UNDAerospace faculty to tour their facilities &amp; hear how they train the next generation of space explorers.  Now we're off to the Cavalier Air Force Station for a tour ribbon cutting ceremony and a special announcement. https://t.co/sU0bbkW2Vx,2020-01-10 16:18:47,Twitter Web App,7,20
Here at the @UofNorthDakota Aerospace school with @SpaceForceCSO General Raymond of the newly formed @SpaceForceDoD.  We’re starting the day meeting with faculty and staff touring the facility and talking with students about the opportunities Space Force presents. https://t.co/7n4ed9nxe7,2020-01-10 15:21:59,Twitter for iPhone,8,33
I cannot wait to be there! https://t.co/tJwp2N8baw,2020-01-09 22:04:47,Twitter for iPad,2,22
Delivered remarks on the floor today honoring former North Dakota Senator Jocelyn Burdick who passed away the day after Christmas.  Throughout her life Jocelyn embraced her place in public life with grace dignity and class. https://t.co/UPoPvJHqd2,2020-01-09 20:31:08,TweetDeck,5,10
Today is #LawEnforcementAppreciationDay.  Thank you to all who answer the call to serve putting your own lives at risk in order to keep our communities safe. https://t.co/7SpHVaW0Qq,2020-01-09 17:26:03,TweetDeck,21,107
I urge our stakeholders and all interested citizens to engage in the rulemaking process to make sure NEPA is modernized in a way that works for the American people.,2020-01-09 17:14:52,Twitter Web App,4,3
Since it became law over 40 years ago the NEPA process has grown increasingly complicated and unnecessarily burdensome.,2020-01-09 17:14:52,Twitter Web App,4,4
Thank you to President @realDonaldTrump and Administration leaders for taking another step to increase government efficiency and decrease bureaucratic delay. https://t.co/s4kGiOs25B,2020-01-09 17:14:52,Twitter Web App,21,30
.@POTUS’s maximum pressure campaign is working and unlike the appeasement strategy of the past will continue to produce real results.,2020-01-08 23:25:50,Twitter for iPhone,3,9
Iran’s leadership faces a choice: Peace and prosperity for the Iranian people or further escalation and the consequences that come with it.  I applaud President @realDonaldTrump’s leadership and agree Iran must never get a nuclear weapon. https://t.co/CgBfzw0byT,2020-01-08 23:25:50,Twitter for iPhone,9,25
Well said ⁦@SenMikeLee⁩ ! https://t.co/q0MUP4CK7h,2020-01-08 18:40:19,Twitter for iPhone,4,11
As we seek to bolster American dominance in the realm of space North Dakota holds great potential for contributing to this effort.  I look forward to hosting General Raymond and to hearing how North Dakota can best contribute to our nation’s space operations. https://t.co/UOvcPziuvJ,2020-01-08 14:51:03,TweetDeck,8,31
Heading on @POVnow with @chrisbergPOVNOW to discuss the developing situation with Iran. https://t.co/zUetB6W4n8,2020-01-08 00:26:32,Twitter for iPhone,6,20
Here’s the reality: thanks to @realDonaldTrump and Republicans in Congress America is not just energy independent but energy dominant.  And that dominance makes our country safer when tensions escalate with countries like Iran.  My take on @FoxBusiness with @Varneyco⬇️ https://t.co/Fba4Ec6uDU,2020-01-07 22:09:45,Twitter Web App,28,73
Soleimani wasn’t just a bad guy who cut you off in traffic or that neighbor you don’t like.  This is a man with the blood of hundreds of Americans on his hands.   Thankfully President @realDonaldTrump stood up to him and made the right call. https://t.co/ZFzsXuoVOQ,2020-01-04 02:42:50,Twitter for iPhone,830,2141
To the Democrats questioning @realDonaldTrump’s decision:  If you’re in the Oval Office receive intelligence of an imminent attack on American personnel and learn exactly where the person masterminding it is:  Would you really not make the call to save American citizens? https://t.co/KO7xzcDI47,2020-01-04 02:36:14,Twitter for iPhone,565,1190
I thank @SecBernhardt for his work — including on the issuance of new and improved maps —and I encourage landowners to engage in this process.  Find more information here: https://t.co/CyT1lE7Xpf,2020-01-03 16:33:13,Twitter Web App,2,2
I am confident this process will produce mutually beneficial results building on important FWS guidance which instructs the agency to be cooperative willing partners while limiting the use of law enforcement officers.,2020-01-03 16:33:12,Twitter Web App,2,2
Providing quality maps is fundamental to defining property ownership and establishing an appeals process ensures we follow due process and protect people's private property rights.,2020-01-03 16:33:12,Twitter Web App,1,3
News: Following @SecBernhardt's visit to Hope North Dakota in October @USFWS is issuing a Director’s Order to provide due process for landowners who have perpetual FWS easements pre-dating 1976 on their property. https://t.co/SAaYlMN6UU,2020-01-03 16:33:11,Twitter Web App,9,25
Congratulations to the brave service members who successfully executed this mission.  The world is a safer place because of them.,2020-01-03 14:36:46,TweetDeck,4,10
General Soleimani was a terrorist having ordered several attacks on Americans and actively planning more.  This action sends a clear message that we will defend our own against such evil acts. https://t.co/UHlpnXN4cB,2020-01-03 14:36:23,TweetDeck,10,21
Happy New Year!    What I have learned most from my time in public service is how important the people are to my success as your Senator.  I look forward to what we can accomplish together in 2020. https://t.co/1gapw64ug8,2020-01-01 01:09:59,Twitter for iPhone,10,31
I encourage them to stay involved with similar groups and continue working on this important issue. https://t.co/PF6U70ad95,2019-12-26 23:10:33,Twitter Web App,5,11
Met with @JDRF members to hear their stories today.  For these young people &amp; many others insulin is not an option; it is a necessity.  Thank you to them and their families for sharing their stories &amp; discussing the progress we’ve made together. #goldvial https://t.co/774XYC294c,2019-12-26 23:10:28,Twitter Web App,4,16
Every year Christians around the world pause to celebrate the birth of our Savior and reflect on the past year. Take a moment to watch my Christmas message below and have a Merry Christmas! https://t.co/tZMZKFbEjS,2019-12-25 13:01:09,Sprout Social,52,398
While ACA required insurance providers to be honest about when money would be used to fund abortions the Obama Admin circumvented this part of their own law.  @POTUS's new rule follows the law and keeps the American people informed about how insurance companies use their money. https://t.co/8BY8hZbllW,2019-12-20 21:57:01,TweetDeck,8,23
Enjoyed appearing on Fox Business with (former Minot resident!) @cvpayne as the Senate voted to confirm several of @POTUS’s judicial nominees this afternoon.  We discussed trade impeachment and how to address federal spending. https://t.co/mA0pRhqF0p,2019-12-20 00:05:00,Twitter Media Studio,47,184
Pleased to see our bipartisan bill included in this package.  Increasing the amount of generic and low-cost insulin in the market will decrease the burden placed on patients who rely on these drugs.  I plan to keep working to find more solutions to the rising cost of health care. https://t.co/UV9nrhBFlN,2019-12-19 23:30:00,TweetDeck,4,11
Glad to see the House finally pass #USMCA.  Earlier today with @cvpayne I discussed how important this deal is for North Dakota and how advancing this deal creates momentum for securing other deals in the future. https://t.co/nkKyruHxPQ,2019-12-19 23:00:01,Twitter Media Studio,4,6
However this package prioritizes our most fundamental constitutional duty to provide for our national defense and it supports the people who keep our country safe and free.  It also advances important domestic policies and greatly benefits North Dakota. ⬇️ https://t.co/gT9KWVQdRt,2019-12-19 22:06:52,Twitter Web App,2,1
I am not pleased with everything included in today’s deal especially the extension of the wind production tax credit which was supposed to phase out.,2019-12-19 22:06:49,Twitter Web App,2,2
I am glad we finally ditched short-term Continuing Resolutions and have returned to complete appropriations bills.  I thank Senate leaders for including several of our priorities and I look forward to @POTUS signing it. https://t.co/76XoqFlRR2,2019-12-19 22:06:49,Twitter Web App,6,8
Democrats look downright foolish today.  @SpeakerPelosi is clearly looking for an offramp. Not sending the articles demonstrates a lack of confidence in their own case.   They are only trying to stall but prolonging this won’t solve anything. https://t.co/Gu6O4m7Kwk,2019-12-19 20:00:00,Twitter Media Studio,20,46
Dan Traynor is confirmed!  His character demeanor temperament as well as his intellectual capacity will make him an excellent judge. https://t.co/JEBDW2VVuf,2019-12-19 19:34:00,Twitter for iPhone,10,20
.@SpeakerPelosi’s impeachment is a yawner.  She’s wanted an offramp since it began but the radical members of her party forced her into it.  The American people have already moved on it's time for Democrats to do the same. https://t.co/edyTS80AFi,2019-12-19 19:30:00,Twitter Media Studio,8,15
I share @senatemajldr’s view: it is not the Senate’s job to make an incompetent impeachment hearing competent.  We are here to be jurors not assistants to the prosecutors. https://t.co/R3y1uTTrVh,2019-12-19 19:15:00,Twitter Media Studio,13,25
Today’s legislation provides stability for businesses and workers while making modest reforms to improve the way EXIM runs.  I thank @POTUS and my colleagues for ensuring businesses in North Dakota and the United States can compete on a level playing field.,2019-12-19 19:06:10,Twitter Web App,2,1
This is the longest reauthorization in history.  EXIM is important for national security and critical to helping American businesses compete and win in the global marketplace. https://t.co/4KttvhVoNc,2019-12-19 19:06:09,Twitter Web App,3,4
On @SquawkCNBC this morning I broke down how finalizing #USMCA and continuing trade talks with China create momentum for future deals.  Each agreement gives @POTUS more leverage and benefits North Dakota where we produce a lot of energy and a lot of agricultural products. https://t.co/3KqKTrN2mU,2019-12-19 19:00:00,Twitter Media Studio,6,6
Changing the name of a Game Preserve in North Dakota may seem like a small matter to some but it is no small matter to the people of Spirit Lake.  I am glad we did not wait another day to fix it.,2019-12-19 18:52:48,Twitter Web App,2,2
Today we passed our bill to rename “Sullys Hill" to “White Horse Hill" as part of this appropriations act.  Even as a deeply divided Congress remains consumed with partisan bickering over the issues of our day I am glad we were able to put politics aside to make this happen. https://t.co/TAmo1Ape9x,2019-12-19 18:52:47,Twitter Web App,4,5
Gave @AmericaNewsroom’s @SandraSmithFox and @BillHemmer my first reaction to @senatemajldr’s incredible speech on impeachment.  I’ve never been so pleased to serve alongside him and have him as our leader.   @SpeakerPelosi’s behavior would be comical if it weren’t so tragic. https://t.co/vA7IGBEiR6,2019-12-19 18:35:02,Twitter Media Studio,7,11
Spoke with Army Corps of Engineers Omaha District Commander Colonel John Hudson about working together to find a solution for Snake Creek Embankment Williston Levee certification and managing Missouri River flooding. https://t.co/92zXGPSBx6,2019-12-19 15:30:00,TweetDeck,5,12
You can’t make it up. Pelosi suggests she may wait to send impeachment articles to Senate: 'We'll make a decision ... as we go along'. History will be made by ⁦@realDonaldTrump⁩ being impeached and re-elected within an 11 month period.   https://t.co/lmabBEM9WR,2019-12-19 12:56:07,Twitter for iPhone,19,35
Hopefully we will end this nonsense that we can impeach every President every time just because we do not like them.  At the same time we should get this done quickly so we can move on to other important priorities.,2019-12-19 01:59:20,Twitter for iPhone,15,26
While we in the Senate are going to be saddled with these partisan sick articles of impeachment I think it is important we give them a full fair process and reach an appropriate conclusion which restores the integrity of the Congress.,2019-12-19 01:59:20,Twitter for iPhone,9,15
The American people have already tuned out this stunt.  Look at the stock market at the economy.  We see record low unemployment numbers for every demographic and growing investor confidence thanks to trade deals secured by @POTUS.  Everyone else has already dismissed this. https://t.co/iirmDCra56,2019-12-19 01:59:19,Twitter for iPhone,9,12
It is unfortunate @SpeakerPelosi backed herself into this corner.  To preserve her gavel she is trying to appease the far left in her caucus and chaos has ensued.,2019-12-19 01:49:12,Twitter for iPhone,7,28
This is a tragedy.  Impeachment used to be an important constitutional tool used rarely not mental therapy for distraught liberals in the House of Representatives. https://t.co/20b48LtLTH,2019-12-19 01:49:12,Twitter for iPhone,126,407
