.@AyannaPressley you’re one of the bravest people I know. Keep shining your light and showing millions of black women that they can be their truest selves. https://t.co/thPNLNs4Qp,2020-01-17 16:48:43,Twitter Web App,23,193
We had an opportunity to tackle NAFTA’s shortcomings and climate change. But #USMCA falls short.   Despite stronger and historic labor provisions it’s silent on climate change—our existential crisis. Workers and the environment must be at the heart of our trade deals.,2020-01-16 21:11:35,TweetDeck,20,63
Taking this oath was a solemn reminder of the duty we have to serve as impartial judges.   As we begin this trial I urge my Senate colleagues to keep these words close—history is watching. https://t.co/X1S2V5TiXE,2020-01-16 19:34:33,TweetDeck,78,333
In the shadow of Watergate Rep. Barbara Jordan the first black woman from TX elected to the House gave one of political history's most important speeches.  Today these words still ring true. I hope they will guide America through this dark moment as Rep. Jordan did then. https://t.co/QTAduLLAxv,2020-01-16 17:50:02,TweetDeck,193,488
@Genius And finally President George Washington’s Farewell Address in which he warned the nation about his deepest concerns for the future of the republic—including excessive partisanship and foreign interference in American politics: https://t.co/hAqXSrZsNI,2020-01-16 14:45:52,TweetDeck,26,91
@Genius And No. 69 where Hamilton explained why the President should be subject to impeachment. For all the powers conveyed on the President to lead the new nation this solution rejected the British monarchy's model of an unaccountable executive: https://t.co/YLcpjpzPSy,2020-01-16 14:45:36,TweetDeck,22,83
@Genius And Alexander Hamilton’s Federalist No. 65 on why the Senate was the proper place to try impeachments. "Where else than in the Senate could have been found a tribunal sufficiently dignified or sufficiently independent?" Hamilton posited. https://t.co/HiFuocFopU,2020-01-16 14:45:01,TweetDeck,14,56
@Genius Here are some of the Founders’ debates at the Constitutional Convention about the impeachment process. They decided it was critical to have an impeachment mechanism w/ a trial in the Senate to hold presidents accountable for abuses of the public trust: https://t.co/svJSoEUDYr,2020-01-16 14:44:26,TweetDeck,20,64
@Genius Here’s the impeachment process as outlined in our Constitution. These provisions will help define this trial: https://t.co/8y1avmcB9H,2020-01-16 14:43:49,TweetDeck,20,85
As I prepare for an oath to “do impartial justice” I’m thinking of our nation’s Founders &amp; why they created an impeachment mechanism.  Their thoughts must guide us through this somber time. See how they’ll be guiding me—I annotated their works using @Genius. Check it out ⬇️,2020-01-16 14:43:18,TweetDeck,70,426
That a US Ambassador could be stalked or surveilled by people connected to the WH is completely disgraceful &amp; dangerous. Marie Yovanovitch deserves better—sadly Sec. Pompeo hasn’t shown a willingness to protect his Department. We must get to the bottom of this if he won’t. https://t.co/YQ22NIOBLs,2020-01-16 02:05:36,Twitter for iPhone,109,343
A free press is essential to any democracy.    The impeachment trial is an important moment in our nation’s history. As we prepare to do our jobs and uphold the Constitution the press should have the access needed to do theirs. https://t.co/YFxRfvZ3Dd,2020-01-16 00:11:40,TweetDeck,141,322
Today the next chapter of this moment begins—we have a grave responsibility before us. As the House transmits the articles of impeachment to the Senate &amp; approves the new team of managers I’m prepared to fulfill my oath to do impartial justice. I hope my colleagues do the same. https://t.co/dhOVHDS2gB,2020-01-15 22:52:06,TweetDeck,57,311
This new information underscores one fact: to get to the bottom of what happened we must have a fair and thorough review of all of the evidence in this case. That includes calling relevant witnesses and producing relevant documents—the American people deserve nothing less. https://t.co/ZATVphq5ne,2020-01-15 21:38:24,Twitter Web App,82,344
While I'm sad to see him go I’m thrilled for his bright future serving New Jerseyans as their elected representative in the 5th Legislative District. Bill's passion for &amp; commitment to NJ runs deep &amp; I know he’ll be a terrific representative for South Jersey.,2020-01-15 16:31:58,Twitter for iPhone,4,32
Congratulations to @BillMoen on his swearing-in as the youngest member of the New Jersey Assembly. Bill has been a trusted advisor for the past 6 years and a humble generous leader in my South Jersey office. https://t.co/fOWkoU38tB,2020-01-15 16:30:58,Twitter for iPhone,21,87
The Trump Administration is once again putting the interests of oil and gas companies ahead of the future of our planet and the health of local communities—especially communities of color. We will fight this. https://t.co/T0gW9xzZPW,2020-01-11 20:10:54,TweetDeck,84,154
