Our office welcomed Ohio’s newest citizens in Columbus this week – their diversity their bravery and their perseverance help make our state and our country stronger. It’s not where you come from that makes you an American – it’s your commitment to our constitution. https://t.co/4aOsogV8Yd,2020-01-17 20:48:23,Twitter for iPhone,68,544
One child’s death is too many – and we can’t solve the problem if we don’t even have accurate data on how bad it is. Working with @RoyBlunt to change that.  https://t.co/0vKi6lCnn5,2020-01-17 16:52:27,TweetDeck,28,150
Trump's Treasury Dept is writing new regulations to fill in the blanks in the #GOPTaxScam that could amount to another billion+ giveaway to the multinational corporations that lobby the hardest. Yet another betrayal of workers. https://t.co/n0fW13mp5z,2020-01-16 23:09:00,TweetDeck,244,329
Just came off the Senate floor where we were sworn in as jurors in the impeachment trial - hear my thoughts: https://t.co/a1kjqDo5es,2020-01-16 20:28:36,Twitter for iPhone,304,1975
I just voted for a trade deal for the first time in my career because of our work with @RonWyden to fix President Trump’s corporate deal and for the first time ever to put workers at the center of a trade agreement. https://t.co/Z8ft1N9COX,2020-01-16 16:59:16,Twitter Media Studio,46,298
Victoria Parks' historic swearing in to the Hamilton County Board of Commissioners is an occasion to celebrate across Ohio. Our government works better when it reflects the people we serve. https://t.co/6HtYPHY1qj,2020-01-16 15:25:32,TweetDeck,24,125
I’ve spent my career fighting for a trade policy that puts workers first. After working to fix President Trump’s corporate first draft tomorrow I’m voting “yes” on a trade deal for the first time ever. Read why here &gt;&gt; https://t.co/OL0tcN1psY,2020-01-15 23:32:36,Twitter Web App,42,254
WATCH NOW: Speaking with @SenSchumer and @RonWyden about President Trump’s latest worker betrayal and sellout to China. https://t.co/8qLHPEcvgG,2020-01-15 19:14:32,Twitter Web App,28,84
As we celebrate what would have been Dr. King’s 91st birthday today and reflect on his life’s work we must continue striving to make his  dream of justice and equality for all a reality. As he reminded us “progress never rolls in on the wheels of inevitability.”,2020-01-15 16:27:15,TweetDeck,108,489
What do they look like? More money in the pockets of workers and families with the #WorkingFamilies Tax Relief Act. What do they NOT Look like? The President’s #GOPTaxScam that betrayed workers and gave handouts to corporations and unaccountable CEOs #TaxChat https://t.co/3yZvn6EKCD,2020-01-15 01:04:00,TweetDeck,20,80
Glad to join @NLIHC @DianeYentel @Just_shelter and everyone at today’s #OpportunityStartsatHome event. We need to work together to ensure everyone can afford a place to call home. https://t.co/Ui0102vG64,2020-01-14 21:19:27,Twitter Web App,14,55
Candidate Trump promised he’d do a number on Wall Street. Adding up his corporate tax cuts &amp; rule gutting that number comes to $34 billion at just one bank – the most money a Wall Street bank's ever made in a year.   It's pretty clear whose side he's on.  https://t.co/eBCX5IZwRj,2020-01-14 20:45:58,TweetDeck,186,361
We’ve heard too often of Black workers or students targeted and treated unfairly simply because of their hair texture and hairstyle. If we truly value the dignity of work we cannot accept discrimination of any kind. https://t.co/Yp6aToNokl,2020-01-14 17:01:09,TweetDeck,40,175
Congratulations to Coach @PatQBtrainer and @CoachTriv on their nominations for the 2019 Don Shula High School Coach of the Year award. Ohio is proud to be home to so many teachers coaches and mentors who make a difference in the lives of young Ohioans.  https://t.co/hz1YWuecNs,2020-01-13 23:52:00,TweetDeck,11,65
Congratulations to the Toledo Assembly Complex workers who are the engine behind the production of the Jeep Gladiator named 2020 Truck of the Year. Another reminder that Ohio workers are the best in the world. https://t.co/i9wrL3GuLA,2020-01-13 20:47:40,Twitter Web App,28,209
Thank you to the first responders and volunteers who worked through the weekend and we’re grateful that because of their efforts the people of Troy remained safe through these storms.,2020-01-13 18:34:29,Twitter Web App,6,64
Our office was on the ground in Troy today to meet with local officials tour the damage that storms and tornadoes caused this weekend and offer support to Mayor Oda and the @CityofTroyOH. We remain at the ready to help with the recovery effort. https://t.co/j9teAnJ74v,2020-01-13 18:34:29,Twitter Web App,20,154
The Affordable Care Act’s Medicaid expansion is our number one tool to get Ohioans the addiction treatment they need – and President Trump wants to take it away. We must #ProtectOurCare. https://t.co/BWK7cOblmN,2020-01-13 14:44:09,TweetDeck,415,927
It’s also a reminder of why we need the bipartisan PROTECT Act I introduced with @SenRobPortman - addiction has become another weapon for traffickers and our bill will give law enforcement the authority they need to bring these criminals to justice.,2020-01-11 15:06:22,Twitter for iPhone,14,84
Today and throughout #HumanTraffickingAwarenessMonth we honor survivors and lift up their voices support victim service providers and commit to ending the slavery that is still rampant in our own backyards.,2020-01-11 15:06:22,Twitter for iPhone,42,201
Glad to see this positive update from @ppswo.   Politicians in Columbus should be making it easier - not harder - for Ohioans to get the health care they need. https://t.co/DYOEXu7Yxa,2020-01-10 22:36:23,TweetDeck,29,146
.@SecretaryCarson must stop pretending housing discrimination and segregation don’t exist. https://t.co/NHBND0pFN4,2020-01-10 19:36:14,Twitter for iPhone,113,340
In 2019 we made progress for Ohio often by working together. Time to get to work for more in 2020. https://t.co/5XtNiEUnYj,2020-01-09 21:10:12,TweetDeck,39,228
WATCH: Talked with @chrislhayes tonight about the latest developments in the Middle East. https://t.co/MRcyl5BCPq,2020-01-09 02:03:34,Twitter Media Studio,64,273
Tune in at 8 PM tonight when I’ll be on @allinwithchris to discuss my thoughts on the situation in Iraq.,2020-01-09 00:00:00,TweetDeck,58,328
Nine years ago today @GabbyGiffords was shot and six Americans were killed in Tucson. 157 days ago nine Ohioans lost their lives in Dayton. Still President Trump and Mitch McConnell refuse to act. 2020 must be the year we finally #dosomething to prevent gun violence.,2020-01-08 22:43:41,TweetDeck,302,1255
@SethARichardson fixed it for you. https://t.co/qWwb7kfpmF https://t.co/7U0mfYNtKD,2020-01-08 16:16:33,Twitter Web App,19,63
Our thoughts are with our servicemembers in Iraq their families and Iraqis impacted by these attacks. We must end this cycle of escalating violence.,2020-01-08 12:19:07,Twitter for iPhone,90,815
Today in our Senate hearing on USMCA an expert witness agreed – our provision with @RonWyden will cause corporations to think twice about closing plants in Ohio and sending jobs to Mexico. https://t.co/ZeThpbvqPP,2020-01-07 18:40:16,Twitter Media Studio,73,274
Thank you to KJ Upshaw for bringing a little joy to families at @cincychildrens and reminding us all what the Dignity of Work looks like in action. https://t.co/SnSpkDgPXa,2020-01-07 15:19:12,TweetDeck,16,46
When Pres. Trump tried to negotiate another deal that sells out workers we said not on our watch and fought for our groundbreaking Brown-Wyden provision that amounts to the strongest-ever labor enforcement in a U.S. trade deal. https://t.co/bR0dHG67C0,2020-01-07 00:16:21,Twitter Media Studio,179,972
Standing today with members of the Jewish community in Ohio and around the world who remain #JewishAndProud in the face of anti-Semitic attacks. We must strengthen our resolve to fight bigotry and violence.,2020-01-06 21:02:10,TweetDeck,61,504
Air traffic control workers in Oberlin keep Ohioans safe as we travel across the country and around the world. I enjoyed meeting with these experts today and seeing the first-rate technology and innovation that Ohio is proud to call our own. https://t.co/uW6IXnxnZP,2020-01-06 17:27:18,Twitter for iPhone,16,110
Instead of working to identify and overcome patterns of housing segregation and inequality the Trump Administration pretends they don’t exist. HUD needs to reconsider this rule. https://t.co/KQ1X336g60,2020-01-03 19:54:07,TweetDeck,85,216
The year-end bill Congress passed before the holidays made investments in our state – from helping fight addiction to bolstering Lake Erie protections. I look forward to working w/ @senrobportman in 2020 on these important bipartisan initiatives. https://t.co/J1jfq8yawH,2020-01-02 22:30:00,TweetDeck,14,91
Looking for a new job in 2020? Working for the 2020 Census is a unique opportunity to ensure all Ohioans are counted and Ohio communities get the resources they need. https://t.co/tvNFcuFySF,2020-01-02 18:52:09,TweetDeck,44,120
Thank you Mayor Whaley - we all need to share that commitment to fighting for local journalism. https://t.co/NHj8mvgfKa,2020-01-02 16:43:33,TweetDeck,48,298
Happy New Year! Looking forward to getting to work – we have a lot to do from protecting Ohioans' pensions and healthcare to continuing our push for gun safety reform and overhauling our tax code to respect the dignity of work.,2020-01-01 14:35:00,TweetDeck,82,1079
@repjohnlewis represents the best in our country. He’s never given up before and if anyone can beat this it’s John. Sending prayers to John and his family that he’ll soon be back making the #goodtrouble we need.,2019-12-30 21:51:48,Twitter for iPhone,27,123
Ohioans join the nation in praying for the recovery of the victims of last night’s horrific attack. No one should feel unsafe in worship especially celebrating a sacred holiday. We must do more to prevent anti-Semitic acts of domestic terrorism like this one.,2019-12-29 20:18:59,Twitter for iPhone,95,840
Best of luck to @OhioStateFB and Buckeye Nation tonight as they take on Clemson on the road to another national championship #GoBucks,2019-12-28 23:00:00,TweetDeck,49,522
Wishing all those beginning Kwanzaa celebrations today a joyous holiday.,2019-12-26 14:30:00,TweetDeck,29,377
From our family to yours wishing peace and joy this Christmas to all those celebrating today. And to our servicemembers celebrating near or far from home thank you for your service and sacrifice.,2019-12-25 14:30:00,TweetDeck,88,1277
Members of Congress serve the American people not their stock portfolios.,2019-12-23 16:57:14,Twitter for iPhone,66,373
Glad to see @nytimes endorse my bill with @SenJeffMerkley to ban members of Congress and senior congressional staff from abusing their positions for personal financial gain. https://t.co/JgEOkuy04X,2019-12-23 16:57:14,Twitter for iPhone,360,1354
Wishing a happy start to Hanukkah to all those celebrating with friends and loved ones around Ohio tonight.,2019-12-23 00:05:00,TweetDeck,45,524
Proud to have joined Joe in his efforts on the Bipartisan American Miners Act. Ohio miners gave up raises at the negotiating table because they were counting on these pensions when they retired. This law will ensure these workers &amp; their families receive the benefits they earned. https://t.co/ih8U2WIiD4,2019-12-19 22:42:12,Twitter Web App,45,276
HBCUs—like Wilberforce &amp; Central State in Ohio—fostered generations of black leaders &amp; are a critical part of our nation’s higher education system.   I’m glad the FUTURE Act has been signed into law so we can secure the future of these institutions for our students &amp; communities.,2019-12-19 20:18:19,Twitter Web App,17,152
@SocialSecurity @SenBobCasey People with disabilities should be able to experience the joys of life without fear of losing their SSDI benefits because of moments they post on social media.   I’m glad @SocialSecurity listened to @SenBobCasey’s and my concerns and put a stop to this invasive proposal. https://t.co/vQlAt8rRLH,2019-12-19 19:17:40,Twitter Web App,94,263
Yesterday was a solemn day for our country and an important one for the future of our democracy.    It’s now up to every Senator to be an impartial juror focused on the facts — we owe that to the American people.,2019-12-19 14:42:44,Twitter Web App,124,1009
Instead of trying to take away health coverage for pre-existing conditions and causing confusion for patients Republicans should come to the table and work with us to improve the ACA.,2019-12-18 23:42:40,Twitter Web App,83,353
President Trump and Republicans in Congress need to quit playing games with Americans’ health insurance.   Today’s decision means too many families remain in limbo about whether they’ll be able to keep the healthcare protections on which they rely. https://t.co/2vcbuaQQ6s,2019-12-18 23:42:40,Twitter Web App,189,525
WATCH LIVE: Sherrod joins the Warmbier family along with @senrobportman Senator @ChrisVanHollen and @SenToomey for a press conference after the Senate passed the final NDAA. https://t.co/UKUh4eHNyu,2019-12-18 16:10:31,Twitter Web App,14,102
To be clear: Trump and the GOP only "expanded" the child tax credit for wealthy families. They left out 26 million children whose parents work hard but whose companies don’t pay them enough.   That’s why we need the #WorkingFamilies Tax Relief Act — to fix this. https://t.co/8RvZa9U8QI,2019-12-17 19:54:38,Twitter Web App,179,418
