Congratulations @CSexton25 on being selected by your colleagues to be the next speaker. I know you will be a great leader for Tennessee!,2019-07-24 16:27:05,Twitter for iPhone,8,66
Congratulations @VandyBoys! Tennessee is so proud of you! https://t.co/va8Kdqnvvz,2019-06-27 02:17:48,Twitter for iPhone,3,15
Good to have @ToddYoungIN join @BillLeeTN @VoteMarsha and I at tonight’s @TNGOP Statesmen’s Dinner and talk about #WhyItMatters that we continue our majority in the U.S. Senate. https://t.co/bd3rzHdQN4,2019-06-16 01:05:57,Twitter for iPhone,6,54
Congratulations @wmspowers on your special election victory. I know you will serve Tennesseans well in the state Senate!,2019-04-24 13:58:33,Twitter for iPhone,0,13
Congratulations @PaulRoseTN on your victory — I know you’ll represent West Tennesseans well in the General Assembly. https://t.co/VUky2aL4yZ,2019-03-13 20:15:43,Twitter for iPhone,7,34
Congratulations @wmspowers on your victory in Senate District 22! I know you will be a good conservative voice for Tennesseans in the General Assembly.,2019-03-12 22:37:14,Twitter for iPhone,6,11
TUNE IN to @foxnews at 1 PM ET — I’ll be talking with @HarrisFaulkner about border security and funding the government.,2019-02-14 17:44:32,Twitter for iPhone,6,51
Tune in to @997wtn at 7:45 AM CT for my conversation with @BrianWilson997. Listen live here: https://t.co/YxS3cCKUO7,2019-02-14 13:33:24,Twitter for iPhone,1,2
Congratulations to my former Memphis intern @AlexSchramTN on being elected @TeamTNCR chairman this weekend!,2019-02-11 02:30:28,Twitter for iPhone,6,19
I’m looking forward to having Ambassador A.B. Culvahouse our new ambassador to Australia as my special guest to President Trump’s #SOTU tonight. He’s from Tennessee one of the most distinguished lawyers in America and one of the finest public servants I know.,2019-02-05 22:03:31,Twitter for iPhone,0,5
Looking forward to joining @BrianWilson997 on Nashville’s @997wtn around 7:35 AM CT this morning. Tune-in: https://t.co/YxS3cCKUO7,2019-01-30 13:09:08,Twitter for iPhone,0,1
For over 60 years Charlie Daniel has been the first thing I’ve read in the paper. https://t.co/GpH4F29jUT,2019-01-30 03:06:08,Twitter for iPhone,1,2
TUNE IN at about 10:00 AM ET for my conversation with @MariaBartiromo on @FoxNews’ @SundayFutures to discuss the deal to reopen the federal government and the path forward to consider the presidents reasonable request for border security.,2019-01-26 22:43:23,Twitter for iPhone,24,159
