That’s why I’ve introduced legislation to expand the AHTC which would create roughly 1.9 million new affordable housing units over the next decade – including more than 9700 in Washington state. https://t.co/j6qSrtlItS,2020-01-18 20:31:34,Twitter Web App,5,18
This project and so many others throughout Washington state demonstrate the power of the Affordable Housing Tax Credit to help our communities provide resources to people in our state and across the country. https://t.co/h1KAmfewoz,2020-01-18 20:31:28,Twitter Web App,6,14
Congratulations to @PlymouthHousing on breaking ground on the new 2nd &amp; Mercer #affordablehousing project which will provide 91 new units of permanent affordable housing for formerly homeless people in Seattle. https://t.co/Z9T0TdlFYX,2020-01-18 20:31:25,Twitter Web App,7,37
E-cigarettes pose a serious health risk to youth but instead of taking meaningful action the Trump FDA announced a weak policy allowing flavored vaping products to remain on the market. I'm disappointed to see @US_FDA bowing to industry pressure at the expense of public health. https://t.co/5BkowtUhGx,2020-01-17 17:23:04,Twitter Web App,4,23
The United States can't lose shelf space to very very competitive markets and then come back years later and try to regain it. Let’s continue to move forward in making sure Washington products get delivered to the world. #USMCA https://t.co/V90QfmF31Q,2020-01-16 21:39:08,Twitter Web App,3,14
I hope the president will stop the tariff-first approach stop the continuation of the tariffs and continue negotiations with us being a leader for opening up markets.,2020-01-16 21:38:39,Twitter Web App,4,20
Today the Senate approved the #USMCA in a bipartisan 89-10 vote. It’s very important to me coming from one of the most trade-dependent states in the nation that we continue to open up trade markets in a fair rules-based trade system. https://t.co/lm66AUaEhN,2020-01-16 21:38:38,Twitter Web App,3,31
Proud to cheer on @TeamGleason alongside @RepDelBene @RepKimSchrier and @RepDerekKilmer at the ceremony in the U.S. Capitol today! https://t.co/dxJmFwFEfi,2020-01-15 20:31:53,Twitter Web App,7,19
Steve’s accomplishments both on and off the field are daily lessons in how to deal with adversity and how one person can make a difference. Thank you Steve.,2020-01-15 20:31:50,Twitter Web App,4,6
What an honor to join @SteveGleason who’s being awarded with the Congressional Gold Medal today. While we’re happy to share him with New Orleans Steve is a Spokane boy who has made all of Washington proud. https://t.co/HnHrXzmind,2020-01-15 20:31:50,Twitter Web App,12,73
This Seattle native was just crowned as @Jeopardy’s Greatest of All Time.  Who is: @KenJennings!  Congratulations Ken way to represent Washington state! #JeopardyGOAT https://t.co/3BCuq8VMJy,2020-01-15 18:00:25,Twitter Web App,4,45
This rollback would prevent Washingtonians from voicing their views on proposals ranging from siting a new fossil fuel pipeline to building an open-pit mine that could destroy the world’s largest sockeye salmon fishery. #ProtectNEPA  https://t.co/Us4dgTRvrV https://t.co/IZuFmSxL9f,2020-01-14 17:17:34,Twitter Web App,18,30
Congratulations to Bill Beattie of Tumwater for being nominated by the @Seahawks for the Don Shula @NFL High School Coach of the Year Award! Bill was selected for his exceptional character leadership and dedication to the community. https://t.co/5mlstDxHGa,2020-01-13 18:44:50,Twitter Web App,3,16
Congratulations to Savitha Srinivasan from Bellevue for being selected as one of just 300 scholars in the #RegeneronSTS 2020 one of America’s most prestigious science &amp; math competition for high school seniors! @Regeneron @Society4Science👉https://t.co/HVADxC8g54,2020-01-10 20:00:31,Twitter Web App,8,35
That’s why I introduced bipartisan legislation to encourage @NatlParkService to prioritize native plant materials in our national parks.,2020-01-10 18:52:09,Twitter Web App,7,33
Bringing more native plants back to our public lands will help us combat invasive species provide food and shelter for local wildlife and adapt to the looming threat of climate change.  https://t.co/A16mrH8kgg,2020-01-10 18:52:09,Twitter Web App,12,54
The U.S. Constitution is clear: the president cannot go to war without the authorization of Congress. We need a strategy to deal with Iran. We do not need to start another war. https://t.co/DX1uezMXjf,2020-01-09 23:19:08,Twitter Web App,54,314
We need to make smarter environmental decisions not roll back the safeguards we already have. #ProtectYourVoice https://t.co/R3u2PdWM2O,2020-01-09 21:58:43,Twitter Web App,15,42
NEPA has provided generations of Washingtonians a say in federal decisions that impact our air water and public lands. This #NEPA rewrite favors big polluters and corporate profits over balanced science-based decision making.  https://t.co/XZJAr93NDj,2020-01-09 21:58:41,Twitter Web App,21,25
This week I joined @RepDelBene @PattyMurray @RepJayapal @RepDennyHeck @RepAdamSmith @RepDerekKilmer @RepKimSchrier &amp; @RepRickLarsen to demand answers from @DHSgov.,2020-01-09 00:28:29,Twitter for iPhone,16,61
There are reports that more than 60 Americans of Iranian descent were held without explanation at the Peace Arch Border Crossing in Blaine last weekend. https://t.co/DlP1LaQPb2,2020-01-09 00:28:29,Twitter for iPhone,31,56
This federal funding will help @wsferries convert a ferry on the Seattle-Bainbridge Island route from diesel to hybrid-electric power reducing vessel emissions by 95%. https://t.co/K2YgSWDJSd,2020-01-08 18:20:43,Twitter Web App,14,65
Learn more about the agreement and the provisions I fought for that strengthen the enforcement of labor standards and help level the playing field for American workers. ➡️ https://t.co/8Xd1fhaXDB,2020-01-07 21:32:17,Twitter Web App,1,3
That’s why I was proud to vote for #USMCA in committee today. This agreement is a far cry from building a wall – in a lot of ways it’s a lot more @RichardTrumka than it is Trump.,2020-01-07 21:32:17,Twitter Web App,2,6
Trade is a great economic opportunity for our future economy and the #USMCA is a roadmap for where we need to go. This is the first time I know of where business and labor are in agreement about how to make the rules of the road. https://t.co/KCGObi6Cn1,2020-01-07 21:32:16,Twitter Web App,2,19
The Fair Housing Act has ensured that millions of Americans are protected from discrimination in housing. The Trump administration should be working to promote fair housing not weaken it.  https://t.co/Kht6uvdn7i,2020-01-06 20:46:28,Twitter Web App,25,43
We have a responsibility to ensure that all Americans have equal access to housing regardless of race color sex sexual orientation national origin religion disability or familial status. Housing segregation is a pervasive problem that must be eliminated.,2020-01-06 20:46:27,Twitter Web App,17,69
