Senator Capito visited the West Virginia Capitol this week and gave legislative updates to the House and Senate Republican caucuses. They discussed goings on in Washington and how they can continue to work together for success in Charleston and Washington. https://t.co/KNkxb60tGB,2020-01-18 15:49:39,Twitter for Android,7,23
A lot has been accomplished over the last five years. I’m proud to file for reelection today based on my record of delivering for families and communities across our state. #provenconservative #capito2020 https://t.co/pbcy0WozMW https://t.co/NqGMlCgdDM,2020-01-17 19:27:39,Twitter for iPhone,4,25
Senator Shelley Moore Capito with help from two of her grandkids shared an important message with voters after filing for reelection. #provenconservative #capito2020 https://t.co/gEhWsYUEbl,2020-01-17 17:13:54,Twitter for iPhone,4,40
I’m forever humbled by the confidence you placed in me. I look forward to traveling the state in the months to come &amp; campaigning on my record. Working together we can win big in 2020 &amp; deliver even better results in the years to come. #provenconservative #capito2020 https://t.co/83Nqoh1I5f,2020-01-17 15:14:31,Twitter for iPhone,29,94
Senator Shelley Moore Capito will officially file for reelection today. Take a moment to hear from her. #provenconservative #capito2020 https://t.co/tk12LWO2vo,2020-01-17 12:56:59,Twitter for iPhone,6,35
Thank you to the members of @ChamberAlerts (HuntPAC) for your confidence in me. I’m honored to have your endorsement. We've made a lot of progress turning our state’s economy around. I stand ready to work with you in the years to come. https://t.co/NZ9IkAFGIK,2020-01-16 18:09:52,Twitter for Android,3,8
ICYMI: Senator Capito kicked off 2020 reflecting on some of the strides made in West Virginia over the course of the last year and looking ahead to all we have yet to accomplish. Check our her year in review OpEd in the West Virginia Gazette-Mail: https://t.co/VDW1NFGUoC,2020-01-16 15:01:25,Twitter for Android,1,1
Great to see @mschlapp today and receive the "Award for Conservative Excellence" for my 91% @ACUConservative Congressional rating in 2018. #provenconservative https://t.co/cMCZhpgxwm,2020-01-15 18:00:31,Twitter for Android,12,22
Senator Shelley Moore Capito stands with President Donald Trump to secure the border and build the wall. That is why she worked to get $5 billion for the wall. Sign the petition to support building the wall and securing the border https://t.co/2OfKIfkAaj https://t.co/By7dbFGPQQ,2020-01-15 14:30:31,Twitter for Android,0,5
“By sitting on the articles Speaker Pelosi is proving to the American people that this has been about political games from the beginning.” Senator Capito has sponsored a resolution demanding the House to forward articles of impeachment to the Senate. https://t.co/1UJBKo8NyP,2020-01-10 17:01:27,Twitter for Android,1,10
Senator Capito is helping President Donald Trump establish a conservative judiciary. She has voted to confirm all of President Trump's conservative judges. Sign up to stand with Senator Capito and @realDonaldTrump to put conservatives on the federal bench. https://t.co/wUuOSE72f8 https://t.co/Fn5J8D0Mob,2020-01-09 16:18:53,Twitter for Android,3,11
I want to welcome the more than 13000 West Virginians who joined the @wvgop since the election of President Trump. The trend is a clear indication that conservative polices are not only helping move our state forward they are winning at the ballot box. https://t.co/df8sDgb8nW,2020-01-08 19:34:59,Twitter for Android,3,17
As we begin a new year Senator Capito reflected on the work done over the past year expanding broadband access in the Mountain State and looking to the future. Check out her Op-Ed featured Clarksburg's Exponent-Telegram.  https://t.co/9D8oDJ8cvD,2020-01-04 13:00:03,Twitter for Android,0,2
Socialists like Alexandria Ocasio-Cortez and Elizabeth Warren want to take away West Virginia's voice in electing the President by ending the Electoral College. Sign the petition to stop them.  https://t.co/4v1Ynpn2IZ https://t.co/Tf44uRT8eW,2020-01-02 15:01:46,Twitter for Android,0,2
Wishing everyone a happy and healthy New Year! https://t.co/puydWdeHmf,2020-01-01 13:00:15,Twitter for Android,0,4
ICYMI: Senator Capito recently traveled to Luxembourg and Belgium to commemorate the 75th anniversary of the Battle of the Bulge. Read more about her trip in the article. https://t.co/ApqIBzjKFU,2019-12-30 14:01:20,Twitter for Android,1,4
It's just the beginning! https://t.co/WCyfUCBgrG,2019-12-28 19:00:18,Twitter for Android,1,8
Senator Capito is West Virginia’s conservative voice in the U.S. Senate. The American Conservative Union awarded Senator Capito their Award for Conservative Excellence. Sign the petition to keep the trusted conservative Shelley Moore Capito working for us. https://t.co/eTt7MeUlQH https://t.co/Yo3OX8qCv8,2019-12-27 15:00:57,Twitter for Android,1,7
Wishing you a #MerryChristmas https://t.co/fGe1ePxtyi,2019-12-25 13:06:08,Twitter for Android,2,19
#TBT - This summer Senator Capito invited @FLOTUS to see and discuss the devasting effects of the opioid crisis first-hand. Check out the video for more about the First Lady's visit to Huntington and roundtable with community leaders. https://t.co/I3pne2mqbu,2019-12-19 15:01:43,Twitter for Android,3,3
Over Thanksgiving Senator Capito joined Fox News host @BretBaier to discuss the divisive and partisan impeachment hearings of @realDonaldTrump. Check out the video for more.  https://t.co/hrpvsNcOq1 https://t.co/Uk1rQgH2kZ,2019-12-18 14:31:02,Twitter for Android,0,5
President Trump stands with Shelley Moore Capito because he knows she votes for West Virginia. President Trump's agenda is good for West Virginia. Senator Capito has voted with him more than 95% of the time. Sign your name to support the Trump-Capito team. https://t.co/MHtixAaUhP https://t.co/NslfZMHGj1,2019-12-17 18:00:05,Twitter for Android,1,11
Senator Capito is West Virginia’s conservative voice in the U.S. Senate. The American Conservative Union awarded her their Award for Conservative Excellence. Sign the petition to keep the trusted conservative Shelley Moore Capito working for us.  https://t.co/eTt7MeUlQH https://t.co/WLCoBpkDGE,2019-12-12 14:00:32,Twitter for Android,4,8
