name,position,account_official,account_campaign,county_icpsr,state_icpsr,district,state_abbrev,party_code,born,nominate_dim1,nominate_dim2,career_start,career_end,race,population_density,region
Ralph Abraham,Rep,RepAbraham,DocAbraham,21522,45,5,LA,200,1954,0.534,0.31,20150103,NA,,,
Alma Adams,Rep,RepAdams,AlmaforCongress,21545,47,12,NC,100,1946,-0.468,0.011,20141104,NA,,,
Robert Aderholt,Rep,Robert_Aderholt,Robert_Aderholt,29701,41,4,AL,200,1965,0.367,0.595,19970103,NA,,,
Pete Aguilar,Rep,reppeteaguilar,AguilarCampaign,21506,71,31,CA,100,1979,-0.29,0.133,20150103,NA,,,
Rick W. Allen,Rep,reprickallen,rickallen,21516,44,12,GA,200,1951,0.676,0.304,20150103,NA,,,
Colin Allred,Rep,RepColinAllred,ColinAllredTX,21900,49,32,TX,100,1983,-0.449,0.653,20190103,NA,,,
Justin Amash,Rep,justinamash,teamamash,21143,23,3,MI,328,1980,0.654,-0.757,20110103,NA,,,
Mark Amodei,Rep,MarkAmodeiNV2,AmodeiForNevada,21196,65,2,NV,200,1958,0.381,0.2,20110913,NA,,,
Kelly Armstrong,Rep,RepArmstrongND,Armstrong_ND,21901,36,1,ND,200,1976,0.444,0.091,20190103,NA,,,
Jodey Arrington,Rep,RepArrington,JodeyArrington,21700,49,19,TX,200,1972,0.622,-0.046,20170103,NA,,,
Cindy Axne,Rep,RepCindyAxne,Axne4Congress,21902,31,3,IA,100,1965,-0.234,0.598,20190103,NA,,,
Brian Babin,Rep,RepBrianBabin,Babin4Congress,21551,49,36,TX,200,1948,0.691,0.158,20150103,NA,,,
Don Bacon,Rep,repdonbacon,DonJBacon,21701,35,2,NE,200,1963,0.417,-0.124,20170103,NA,,,
Jim Baird,Rep,RepJimBaird,ElectJimBaird,21903,22,4,IN,200,1945,0.405,0.643,20190103,NA,,,
Troy Balderson,Rep,RepBalderson,Troy_Balderson,21759,24,12,OH,200,1962,0.449,0.535,20180807,NA,,,
Jim Banks,Rep,RepJimBanks,Jim_Banks,21702,22,3,IN,200,1979,0.63,-0.001,20170103,NA,,,
Andy Barr,Rep,RepAndyBarr,barrforcongress,21333,51,6,KY,200,1973,0.492,0.28,20130103,NA,,,
Nanette Barragán,Rep,RepBarragan,Nanette4CA,21703,71,44,CA,100,1976,-0.519,0.086,20170103,NA,,,
Karen Bass,Rep,RepKarenBass,KarenBassTweets,21110,71,37,CA,100,1953,-0.586,-0.103,20110103,NA,,,
Joyce Beatty,Rep,RepBeatty,JoyceBeatty,21352,24,3,OH,100,1950,-0.429,0.069,20130103,NA,,,
Ami Bera,Rep,RepBera,BeraForCongress,21304,71,7,CA,100,1965,-0.231,0.013,20130103,NA,,,
Jack Bergman,Rep,RepJackBergman,JackBergman_MI4,21704,23,1,MI,200,1947,0.43,0.062,20170103,NA,,,
Don Beyer,Rep,RepDonBeyer,DonBeyerVA,21554,40,8,VA,100,1950,-0.387,-0.044,20150103,NA,,,
Andy Biggs,Rep,RepAndyBiggsAZ,andybiggs4az,21705,61,5,AZ,200,1958,0.883,-0.47,20170103,NA,,,
Gus Bilirakis,Rep,RepGusBilirakis,Bilirakis,20758,43,12,FL,200,1963,0.405,0.014,20070103,NA,,,
Dan Bishop,Rep,RepDanBishop,jdanbishop,21986,47,9,NC,200,1964,0.925,-0.011,20190910,NA,,,
Rob Bishop,Rep,RepRobBishop,,20357,67,1,UT,200,1951,0.536,0.104,20030103,NA,,,
Sanford Bishop,Rep,SanfordBishop,,29339,44,2,GA,100,1947,-0.282,0.465,19930103,NA,,,
Earl Blumenauer,Rep,repblumenauer,BlumenauerMedia,29588,72,3,OR,100,1948,-0.427,-0.669,19960521,NA,,,
Lisa Blunt Rochester,Rep,RepLBR,LisaBRochester,21706,11,1,DE,100,1962,-0.327,-0.125,20170103,NA,,,
Suzanne Bonamici,Rep,RepBonamici,,21198,72,1,OR,100,1954,-0.393,-0.395,20120131,NA,,,
Mike Bost,Rep,RepBost,BostForCongress,21519,21,12,IL,200,1960,0.272,0.499,20150103,NA,,,
Brendan Boyle,Rep,CongBoyle,RepBrendanBoyle,21548,14,2,PA,100,1977,-0.396,0.142,20150103,NA,,,
Kevin Brady,Rep,RepKevinBrady,bradyfortexas,29760,49,8,TX,200,1955,0.524,0.215,19970103,NA,,,
Anthony Brindisi,Rep,RepBrindisi,ABrindisiNY,21904,13,22,NY,100,1978,-0.151,0.563,20190103,NA,,,
Mo Brooks,Rep,RepMoBrooks,MoInTheHouse,21193,41,5,AL,200,1954,0.645,-0.442,20110103,NA,,,
Susan Brooks,Rep,SusanWBrooks,SusanBrooksIN,21331,22,5,IN,200,1960,0.358,0.218,20130103,NA,,,
Anthony G. Brown,Rep,RepAnthonyBrown,AnthonyBrownMD4,21707,52,4,MD,100,1961,-0.342,-0.161,20170103,NA,,,
Julia Brownley,Rep,RepBrownley,JuliaBrownley26,21308,71,26,CA,100,1952,-0.285,0.051,20130103,NA,,,
Vern Buchanan,Rep,VernBuchanan,Vern2014,20709,43,16,FL,200,1951,0.36,-0.138,20070103,NA,,,
Ken Buck,Rep,RepKenBuck,BuckForColorado,21510,62,4,CO,200,1959,0.752,-0.457,20150103,NA,,,
Larry Bucshon,Rep,RepLarryBucshon,DrLarryBucshon,21132,22,8,IN,200,1962,0.404,0.257,20110103,NA,,,
